instance mcsplit-si-ll mcsplit-si-dom mcsplit-si-dom-D1 mcsplit-si-dom-D2 mcsplit-si-static mcsplit-si-adjmat-dom glasgow glasgow-nosupp ri ri-ds vf3
grid3-45-knight22-UNSAT 10000000 10000000 10000000 10000000 10000000 10000001 10000655 10001189 TIMEOUT TIMEOUT TIMEOUT
grid3-49-knight23-SAT 10000000 10000000 10000000 10000000 10000000 10000001 10000723 10000982 TIMEOUT TIMEOUT TIMEOUT
grid3-50-knight23-UNSAT 10000000 10000000 10000000 10000000 10000000 10000001 10000652 10001008 TIMEOUT TIMEOUT TIMEOUT
grid3-53-knight24-SAT 10000000 10000000 10000000 10000000 10000000 10000001 10000673 10000921 TIMEOUT TIMEOUT TIMEOUT
grid3-54-knight24-UNSAT 10000000 10000000 10000000 10000000 10000000 10000001 10000614 10000992 TIMEOUT TIMEOUT TIMEOUT
grid4-1-knight4-SAT 0 0 0 0 0 0 0 0 0 0 0
grid4-2-knight4-UNSAT 0 0 0 0 0 0 0 0 0 0 0
grid4-2-knight5-SAT 0 0 0 0 0 0 0 0 0 0 0
grid4-3-knight5-UNSAT 0 0 0 0 0 0 0 0 0 0 0
grid4-4-knight6-SAT 0 0 0 0 0 0 0 0 0 0 0
grid4-5-knight6-UNSAT 0 0 0 0 0 0 0 0 0 0 1
grid4-4-knight7-SAT 0 0 0 0 0 0 0 0 0 0 0
grid4-5-knight7-UNSAT 1 1 1 1 1 1 2 3 6 4 7
grid4-5-knight8-SAT 0 0 0 0 0 0 0 0 1 0 1
grid4-6-knight8-UNSAT 4 5 5 5 5 8 8 13 24 17 26
grid4-6-knight9-SAT 0 0 0 0 0 0 0 0 3 2 5
grid4-7-knight9-UNSAT 13 16 16 16 17 29 29 51 67 50 100
grid4-8-knight10-SAT 9 12 12 7 6 22 7 16 9 6 17
grid4-9-knight10-UNSAT 36 45 45 46 44 79 91 170 169 125 394
grid4-8-knight11-SAT 0 0 0 0 0 0 3 2 10 7 52
grid4-9-knight11-UNSAT 143 109 142 180 151 188 252 388 405 294 1136
grid4-10-knight12-SAT 25 50 30 30 37 54 55 38 288 155 970
grid4-11-knight12-UNSAT 244 275 330 292 300 478 945 1062 1033 982 5302
grid4-12-knight13-SAT 0 0 0 0 2 0 3 2 82 34 1110
grid4-13-knight13-UNSAT 403 543 525 527 617 905 1450 2315 2367 1614 27878
grid4-12-knight14-SAT 0 0 0 0 4 0 16 41 148 62 1751
grid4-13-knight14-UNSAT 824 1001 972 1003 1380 1797 3046 4490 5712 3886 77787
grid4-14-knight15-SAT 0 0 0 0 9 0 248 149 225 143 13544
grid4-15-knight15-UNSAT 1632 1857 1832 1863 3137 3585 7334 10091 15342 9944 513539
grid4-15-knight16-SAT 0 0 0 0 13 1 293 144 564 339 47322
grid4-16-knight16-UNSAT 3341 3644 3655 3656 7478 7495 16426 21315 41115 26731 2297811
grid4-17-knight17-SAT 1 0 1 0 33 1 198 1353 1525 927 333687
grid4-18-knight17-UNSAT 6724 7609 7883 7563 17891 16265 45710 56621 123495 77695 TIMEOUT
grid4-18-knight18-SAT 1 1 1 1 135 4 202 8662 3578 2138 1272063
grid4-19-knight18-UNSAT 14147 16050 16084 16196 45638 36655 108657 129768 401570 251600 TIMEOUT
grid4-20-knight19-SAT 5 5 3 5 213 7 3856 2397 11622 6835 TIMEOUT
grid4-21-knight19-UNSAT 30548 35978 35774 35796 127516 88864 271776 324167 1506207 947159 TIMEOUT
grid4-20-knight20-SAT 11 6 12 6 152 27 2847 962 25748 15672 TIMEOUT
grid4-21-knight20-UNSAT 68930 82096 82264 82649 398107 207721 621080 732090 5228512 3219790 TIMEOUT
grid4-22-knight21-SAT 27 15 15 27 1624 38 28491 4966 88504 54620 TIMEOUT
grid4-23-knight21-UNSAT 157069 193109 191769 192421 1527225 520803 1613904 1895183 TIMEOUT TIMEOUT TIMEOUT
grid4-24-knight22-SAT 61 34 34 34 5991 144 147058 55318 396498 242499 TIMEOUT
grid4-25-knight22-UNSAT 363375 462445 458684 457588 7037636 1315925 4209590 4984433 TIMEOUT TIMEOUT TIMEOUT
grid4-25-knight23-SAT 331 346 319 334 20786 822 34704 1272 1276995 746605 TIMEOUT
grid4-26-knight23-UNSAT 858442 1091449 1095927 1094781 10000000 3264003 10000473 10000566 TIMEOUT TIMEOUT TIMEOUT
grid4-26-knight24-SAT 186 243 234 234 68188 551 3214 20840 4581373 2743297 TIMEOUT
grid4-27-knight24-UNSAT 2018516 2632793 2657685 2662594 10000000 8268135 10000441 10000544 TIMEOUT TIMEOUT TIMEOUT
grid4-28-knight25-SAT 486 437 481 504 402278 1390 17448 305491 TIMEOUT TIMEOUT TIMEOUT
grid4-29-knight25-UNSAT 4868020 6336935 6299984 6334158 10000000 10000001 10000383 10000620 TIMEOUT TIMEOUT TIMEOUT
grid4-29-knight26-SAT 1124 1051 1046 1050 1529241 3345 170542 93151 TIMEOUT TIMEOUT TIMEOUT
