instance mcsplit-si-ll mcsplit-si-dom mcsplit-si-dom-D1 mcsplit-si-dom-D2 mcsplit-si-static mcsplit-si-adjmat-dom glasgow glasgow-nosupp ri ri-ds vf3 pathlad
grid3-44-knight22-SAT 411407 452414 452890 451028 1169942 949089 10000000 10000000 1447486 866380 10000000 10000000
grid3-45-knight22-UNSAT 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000
grid3-49-knight23-SAT 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000
grid3-50-knight23-UNSAT 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000
grid3-53-knight24-SAT 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000
grid3-54-knight24-UNSAT 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000
grid4-1-knight4-SAT 0 0 0 0 0 0 0 0 0 0 0 0
grid4-2-knight4-UNSAT 0 0 0 0 0 0 0 0 0 0 0 0
grid4-2-knight5-SAT 0 0 0 0 0 0 0 0 0 0 0 0
grid4-3-knight5-UNSAT 0 0 0 0 0 0 0 0 0 0 0 0
grid4-4-knight6-SAT 0 0 0 0 0 0 0 0 0 0 0 1
grid4-5-knight6-UNSAT 0 0 0 0 0 0 1 1 1 0 1 7
grid4-4-knight7-SAT 0 0 0 0 0 0 0 0 0 0 0 1
grid4-5-knight7-UNSAT 1 2 1 2 1 1 4 6 6 4 11 19
grid4-5-knight8-SAT 0 0 0 0 0 0 0 0 1 0 2 6
grid4-6-knight8-UNSAT 4 5 8 8 5 8 8 13 24 25 41 75
grid4-6-knight9-SAT 0 0 0 0 0 0 1 0 3 2 8 24
grid4-7-knight9-UNSAT 14 16 16 27 17 28 29 52 69 50 115 245
grid4-8-knight10-SAT 6 7 7 7 6 22 7 16 6 6 28 32
grid4-9-knight10-UNSAT 40 76 45 45 44 79 136 170 206 154 408 894
grid4-8-knight11-SAT 0 0 0 0 0 0 2 2 15 7 51 44
grid4-9-knight11-UNSAT 94 108 132 168 110 250 211 398 427 294 1207 2153
grid4-10-knight12-SAT 43 30 30 49 36 54 33 37 271 154 1113 969
grid4-11-knight12-UNSAT 207 257 258 234 291 442 574 995 998 686 5307 6457
grid4-12-knight13-SAT 0 0 0 0 2 0 5 1 50 34 1336 203
grid4-13-knight13-UNSAT 416 528 509 525 620 916 1437 2374 2333 1660 27514 18718
grid4-12-knight14-SAT 0 0 0 0 2 0 16 41 128 87 1779 220
grid4-13-knight14-UNSAT 869 967 978 980 1322 1782 3047 4489 5878 3885 78511 41257
grid4-14-knight15-SAT 0 0 0 0 5 0 209 110 286 142 13148 428
grid4-15-knight15-UNSAT 1665 1863 1841 1867 3147 3587 7379 10163 15537 9931 516691 109611
grid4-15-knight16-SAT 0 0 0 0 13 1 293 144 528 336 47842 624
grid4-16-knight16-UNSAT 3518 3802 3847 3645 7520 7468 16438 21429 43299 26445 2298005 260017
grid4-17-knight17-SAT 1 0 1 0 33 1 138 1356 1410 877 330817 1041
grid4-18-knight17-UNSAT 6982 7584 7562 7533 17927 16241 45469 56840 121889 78724 10000000 690826
grid4-18-knight18-SAT 1 2 1 1 82 6 344 8772 3595 2418 1271276 1477
grid4-19-knight18-UNSAT 14867 16056 16159 16076 45726 36579 107145 130478 399856 246921 10000000 1680576
grid4-20-knight19-SAT 5 5 5 5 319 12 4051 2460 11376 6972 10000000 2791
grid4-21-knight19-UNSAT 33983 35941 36279 35734 127838 88165 272022 322829 1530224 954472 10000000 4615381
grid4-20-knight20-SAT 6 11 6 6 213 27 2901 997 25623 16488 10000000 4160
grid4-21-knight20-UNSAT 78773 81956 83670 83410 400015 207667 618015 731322 5219798 3223466 10000000 10000000
grid4-22-knight21-SAT 25 28 27 28 1853 68 29269 4892 89840 54695 10000000 8234
grid4-23-knight21-UNSAT 180555 192837 191380 193449 1526140 521523 1609232 1877655 10000000 10000000 10000000 10000000
grid4-24-knight22-SAT 31 63 63 34 6010 91 146969 55307 399413 241443 10000000 14777
grid4-25-knight22-UNSAT 424525 462823 465854 457006 7006295 1318719 4211344 4976191 10000000 10000000 10000000 10000000
grid4-25-knight23-SAT 252 328 277 336 20750 824 34640 1267 1244679 758964 10000000 95748
grid4-26-knight23-UNSAT 1019357 1093022 1111126 1087816 10000000 3266929 10000000 10000000 10000000 10000000 10000000 10000000
grid4-26-knight24-SAT 170 185 184 187 68951 596 3540 21018 4602145 2682126 10000000 81829
grid4-27-knight24-UNSAT 2493181 2623371 2653569 2612269 10000000 8233120 10000000 10000000 10000000 10000000 10000000 10000000
grid4-28-knight25-SAT 584 639 643 673 398640 1832 17454 301766 10000000 10000000 10000000 180810
