instance cp2016 incmc2 incmc2o1 incmc2o2
mcs10_m2Dr6_s50_AB06 1000000 1000000 1000000 1000000
mcs10_m2Dr6_s50_AB07 1000000 1000000 1000000 1000000
mcs10_m2Dr6_s50_AB08 1000000 1000000 1000000 1000000
mcs10_m2Dr6_s50_AB09 1000000 1000000 1000000 1000000
mcs10_r005_s20_AB00 46 701 8027 667
mcs10_r005_s20_AB01 68 731 97356 868
mcs10_r005_s20_AB02 33 1101 352280 1329
mcs10_r005_s20_AB03 195 1427 19081 1453
mcs10_r005_s20_AB04 51 1394 682477 1522
mcs10_r005_s20_AB05 45 1259 547153 1387
mcs10_r005_s20_AB06 51 5039 699418 5092
mcs10_r005_s20_AB07 123 1553 162228 1647
mcs10_r005_s20_AB08 76 227 179001 289
mcs10_r005_s20_AB09 103 504 21014 506
mcs10_r005_s25_AB00 983 300161 994297 297743
mcs10_r005_s25_AB01 1026 240469 1000000 237598
mcs10_r005_s25_AB02 1301 17248 1000000 16812
mcs10_r005_s25_AB03 3713 71552 1000000 72460
mcs10_r005_s25_AB04 20511 171790 1000000 171923
mcs10_r005_s25_AB05 1245 152859 1000000 152354
mcs10_r005_s25_AB06 9478 71985 1000000 73162
mcs10_r005_s25_AB07 374 894902 1000000 899920
mcs10_r005_s25_AB08 2744 314460 1000000 317695
mcs10_r005_s25_AB09 4819 211674 1000000 211428
mcs10_r005_s30_AB00 51075 1000000 1000000 1000000
mcs10_r005_s30_AB01 614671 1000000 1000000 1000000
mcs10_r005_s30_AB02 62640 1000000 1000000 1000000
mcs10_r005_s30_AB03 143607 1000000 1000000 1000000
mcs10_r005_s30_AB04 1000000 1000000 1000000 1000000
mcs10_r005_s30_AB05 879285 1000000 1000000 1000000
mcs10_r005_s30_AB06 647942 1000000 1000000 1000000
mcs10_r005_s30_AB07 157523 1000000 1000000 1000000
mcs10_r005_s30_AB08 189559 1000000 1000000 1000000
mcs10_r005_s30_AB09 38581 1000000 1000000 1000000
mcs10_r005_s35_AB00 1000000 1000000 1000000 1000000
mcs10_r005_s35_AB01 1000000 1000000 1000000 1000000
mcs10_r005_s35_AB02 1000000 1000000 1000000 1000000
mcs10_r005_s35_AB03 1000000 1000000 1000000 1000000
mcs10_r005_s35_AB04 1000000 1000000 1000000 1000000
mcs10_r005_s35_AB05 1000000 1000000 1000000 1000000
mcs10_r005_s35_AB06 1000000 1000000 1000000 1000000
mcs10_r005_s35_AB07 1000000 1000000 1000000 1000000
mcs10_r005_s35_AB08 1000000 1000000 1000000 1000000
mcs10_r005_s35_AB09 1000000 1000000 1000000 1000000
mcs10_r005_s40_AB00 1000000 1000000 1000000 1000000
mcs10_r005_s40_AB01 1000000 1000000 1000000 1000000
mcs10_r005_s40_AB02 1000000 1000000 1000000 1000000
mcs10_r005_s40_AB03 1000000 1000000 1000000 1000000
mcs10_r005_s40_AB04 1000000 1000000 1000000 1000000
mcs10_r005_s40_AB05 1000000 1000000 1000000 1000000
mcs10_r005_s40_AB06 1000000 1000000 1000000 1000000
mcs10_r005_s40_AB07 1000000 1000000 1000000 1000000
mcs10_r005_s40_AB08 1000000 1000000 1000000 1000000
mcs10_r005_s40_AB09 1000000 1000000 1000000 1000000
mcs10_r005_s50_AB00 1000000 1000000 1000000 1000000
mcs10_r005_s50_AB01 1000000 1000000 1000000 1000000
mcs10_r005_s50_AB02 1000000 1000000 1000000 1000000
mcs10_r005_s50_AB03 1000000 1000000 1000000 1000000
mcs10_r005_s50_AB04 1000000 1000000 1000000 1000000
mcs10_r005_s50_AB05 1000000 1000000 1000000 1000000
mcs10_r005_s50_AB06 1000000 1000000 1000000 1000000
mcs10_r005_s50_AB07 1000000 1000000 1000000 1000000
mcs10_r005_s50_AB08 1000000 1000000 1000000 1000000
mcs10_r005_s50_AB09 1000000 1000000 1000000 1000000
mcs10_r01_s20_AB00 282 524 555 869
mcs10_r01_s20_AB01 380 978 548 972
mcs10_r01_s20_AB02 184 567 510 567
mcs10_r01_s20_AB03 225 476 414 462
mcs10_r01_s20_AB04 207 597 444 584
mcs10_r01_s20_AB05 118 949 389 953
mcs10_r01_s20_AB06 266 980 518 961
mcs10_r01_s20_AB07 67 287 691 289
mcs10_r01_s20_AB08 65 563 1612 553
mcs10_r01_s20_AB09 124 406 278 425
mcs10_r01_s25_AB00 5837 21279 7699 21270
mcs10_r01_s25_AB01 5427 29396 15052 29394
mcs10_r01_s25_AB02 5394 38361 10047 38288
mcs10_r01_s25_AB03 6265 43112 6997 43056
mcs10_r01_s25_AB04 6857 27404 8199 27519
mcs10_r01_s25_AB05 8926 25038 11917 24971
mcs10_r01_s25_AB06 4375 4923 7861 4967
mcs10_r01_s25_AB07 3236 18452 115260 18312
mcs10_r01_s25_AB08 7128 38898 16663 39033
mcs10_r01_s25_AB09 5077 42940 9336 42860
mcs10_r01_s30_AB00 591158 1000000 387672 1000000
mcs10_r01_s30_AB01 328904 487773 219297 489788
mcs10_r01_s30_AB02 219624 1000000 243342 1000000
mcs10_r01_s30_AB03 211623 771995 301251 771568
mcs10_r01_s30_AB04 136819 1000000 170974 1000000
mcs10_r01_s30_AB05 202675 1000000 285842 1000000
mcs10_r01_s30_AB06 320168 1000000 295829 1000000
mcs10_r01_s30_AB07 235867 1000000 225107 1000000
mcs10_r01_s30_AB08 385258 1000000 457482 1000000
mcs10_r01_s30_AB09 263074 1000000 311792 1000000
mcs10_r01_s35_AB00 1000000 1000000 1000000 1000000
mcs10_r01_s35_AB01 1000000 1000000 1000000 1000000
mcs10_r01_s35_AB02 1000000 1000000 1000000 1000000
mcs10_r01_s35_AB03 1000000 1000000 1000000 1000000
mcs10_r01_s35_AB04 1000000 1000000 1000000 1000000
mcs10_r01_s35_AB05 1000000 1000000 1000000 1000000
mcs10_r01_s35_AB06 1000000 1000000 1000000 1000000
mcs10_r01_s35_AB07 1000000 1000000 1000000 1000000
mcs10_r01_s35_AB08 1000000 1000000 1000000 1000000
mcs10_r01_s35_AB09 1000000 1000000 1000000 1000000
mcs10_r01_s40_AB00 1000000 1000000 1000000 1000000
mcs10_r01_s40_AB01 1000000 1000000 1000000 1000000
mcs10_r01_s40_AB02 1000000 1000000 1000000 1000000
mcs10_r01_s40_AB03 1000000 1000000 1000000 1000000
mcs10_r01_s40_AB04 1000000 1000000 1000000 1000000
mcs10_r01_s40_AB05 1000000 1000000 1000000 1000000
mcs10_r01_s40_AB06 1000000 1000000 1000000 1000000
mcs10_r01_s40_AB07 1000000 1000000 1000000 1000000
mcs10_r01_s40_AB08 1000000 1000000 1000000 1000000
mcs10_r01_s40_AB09 1000000 1000000 1000000 1000000
mcs10_r01_s50_AB00 1000000 1000000 1000000 1000000
mcs10_r01_s50_AB01 1000000 1000000 1000000 1000000
mcs10_r01_s50_AB02 1000000 1000000 1000000 1000000
