instance cp2016 incmc2 incmc2o1 incmc2o2
mcs10_b03m_s90_AB09 X X X X
mcs10_b06_s100_AB00 34 34 34 34
mcs10_b06_s100_AB01 33 33 33 33
mcs10_b06_s100_AB02 34 34 34 34
mcs10_b06_s100_AB03 34 34 34 34
mcs10_b06_s100_AB04 33 33 33 33
mcs10_b06_s100_AB05 33 33 33 33
mcs10_b06_s100_AB06 33 33 33 33
mcs10_b06_s100_AB07 34 34 34 34
mcs10_b06_s100_AB08 33 33 33 33
mcs10_b06_s100_AB09 31 31 31 31
mcs10_b06_s70_AB00 26 26 26 26
mcs10_b06_s70_AB01 23 23 23 23
mcs10_b06_s70_AB02 25 25 25 25
mcs10_b06_s70_AB03 25 25 25 25
mcs10_b06_s70_AB04 25 25 25 25
mcs10_b06_s70_AB05 25 25 25 25
mcs10_b06_s70_AB06 24 24 24 24
mcs10_b06_s70_AB07 24 24 24 24
mcs10_b06_s70_AB08 25 25 25 25
mcs10_b06_s70_AB09 24 24 24 24
mcs10_b06_s80_AB00 28 X 28 X
mcs10_b06_s80_AB01 X 29 29 29
mcs10_b06_s80_AB02 29 29 29 29
mcs10_b06_s80_AB03 X 29 X 29
mcs10_b06_s80_AB04 X X 30 X
mcs10_b06_s80_AB05 28 28 28 28
mcs10_b06_s80_AB06 X 29 29 X
mcs10_b06_s80_AB07 X X X X
mcs10_b06_s80_AB08 29 29 29 29
mcs10_b06_s80_AB09 31 31 X 31
mcs10_b06_s90_AB00 35 X X 35
mcs10_b06_s90_AB01 X X X X
mcs10_b06_s90_AB02 X X X X
mcs10_b06_s90_AB03 X X X X
mcs10_b06_s90_AB04 X X X X
mcs10_b06_s90_AB05 X X X X
mcs10_b06_s90_AB06 X X X X
mcs10_b06_s90_AB07 X X X X
mcs10_b06_s90_AB08 X X X 32
mcs10_b06_s90_AB09 X X X X
mcs10_b06m_s100_AB00 32 32 32 32
mcs10_b06m_s100_AB01 32 32 32 32
mcs10_b06m_s100_AB02 33 33 33 33
mcs10_b06m_s100_AB03 34 34 34 34
mcs10_b06m_s100_AB04 34 34 34 34
mcs10_b06m_s100_AB05 32 32 32 32
mcs10_b06m_s100_AB06 33 33 33 33
mcs10_b06m_s100_AB07 35 35 35 35
mcs10_b06m_s100_AB08 34 34 34 34
mcs10_b06m_s100_AB09 33 33 33 33
mcs10_b06m_s70_AB00 25 25 25 25
mcs10_b06m_s70_AB01 24 24 24 24
mcs10_b06m_s70_AB02 26 26 26 26
mcs10_b06m_s70_AB03 24 24 24 24
mcs10_b06m_s70_AB04 24 24 24 24
mcs10_b06m_s70_AB05 27 27 27 27
mcs10_b06m_s70_AB06 25 25 25 25
mcs10_b06m_s70_AB07 26 26 26 26
mcs10_b06m_s70_AB08 24 24 24 24
mcs10_b06m_s70_AB09 25 25 25 25
mcs10_b06m_s80_AB00 28 28 28 28
mcs10_b06m_s80_AB01 30 30 30 30
mcs10_b06m_s80_AB02 X X 29 X
mcs10_b06m_s80_AB03 29 29 29 29
mcs10_b06m_s80_AB04 30 30 30 30
mcs10_b06m_s80_AB05 X X 28 X
mcs10_b06m_s80_AB06 29 29 29 29
mcs10_b06m_s80_AB07 X 29 29 29
mcs10_b06m_s80_AB08 29 29 29 29
mcs10_b06m_s80_AB09 29 29 29 29
mcs10_b06m_s90_AB00 X X X X
mcs10_b06m_s90_AB01 X X X X
mcs10_b06m_s90_AB02 X X X X
mcs10_b06m_s90_AB03 X X X X
mcs10_b06m_s90_AB04 X X X X
mcs10_b06m_s90_AB05 X X X X
mcs10_b06m_s90_AB06 X X X X
mcs10_b06m_s90_AB07 X X X X
mcs10_b06m_s90_AB08 X X X X
mcs10_b06m_s90_AB09 X X X X
mcs10_b09_s100_AB00 27 27 27 27
mcs10_b09_s100_AB01 28 28 28 28
mcs10_b09_s100_AB02 27 27 27 27
mcs10_b09_s100_AB03 27 27 27 27
mcs10_b09_s100_AB04 26 26 26 26
mcs10_b09_s100_AB05 27 27 27 27
mcs10_b09_s100_AB06 26 26 26 26
mcs10_b09_s100_AB07 27 27 27 27
mcs10_b09_s100_AB08 28 28 28 28
mcs10_b09_s100_AB09 28 28 28 28
mcs10_b09m_s100_AB00 28 28 28 28
mcs10_b09m_s100_AB01 28 28 28 28
mcs10_b09m_s100_AB02 27 27 27 27
mcs10_b09m_s100_AB03 29 29 29 29
mcs10_b09m_s100_AB04 27 27 27 27
mcs10_b09m_s100_AB05 27 27 27 27
mcs10_b09m_s100_AB06 27 27 27 27
mcs10_b09m_s100_AB07 27 27 27 27
mcs10_b09m_s100_AB08 29 29 29 29
mcs10_b09m_s100_AB09 27 27 27 27
mcs10_m2D_s100_AB00 X 42 42 42
mcs10_m2D_s100_AB01 X 41 41 41
mcs10_m2D_s100_AB02 X 42 42 42
mcs10_m2D_s100_AB03 41 X 41 X
mcs10_m2D_s100_AB04 X 41 41 41
mcs10_m2D_s100_AB05 42 42 42 42
