instance cp2016 incmc2 incmc2o1 incmc2o2
mcs10_b03m_s70_AB04 1000000 644490 1000000 645584
mcs10_b03m_s70_AB05 1000000 6148 1000000 6376
mcs10_b03m_s70_AB06 1000000 45459 1000000 45861
mcs10_b03m_s70_AB07 1000000 366689 1000000 355688
mcs10_b03m_s70_AB08 1000000 28433 53823 26857
mcs10_b03m_s70_AB09 665710 65497 282352 70893
mcs10_b03m_s80_AB00 1000000 145380 1000000 143921
mcs10_b03m_s80_AB01 1000000 1000000 1000000 1000000
mcs10_b03m_s80_AB02 1000000 1000000 1000000 1000000
mcs10_b03m_s80_AB03 1000000 1000000 1000000 1000000
mcs10_b03m_s80_AB04 1000000 1000000 1000000 1000000
mcs10_b03m_s80_AB05 1000000 1000000 1000000 1000000
mcs10_b03m_s80_AB06 1000000 1000000 1000000 1000000
mcs10_b03m_s80_AB07 1000000 4507 1000000 5216
mcs10_b03m_s80_AB08 1000000 1000000 1000000 1000000
mcs10_b03m_s80_AB09 1000000 1000000 1000000 1000000
mcs10_b03m_s90_AB00 1000000 1000000 1000000 1000000
mcs10_b03m_s90_AB01 1000000 4518 1000000 5055
mcs10_b03m_s90_AB02 1000000 1000000 1000000 1000000
mcs10_b03m_s90_AB03 1000000 1000000 1000000 1000000
mcs10_b03m_s90_AB04 1000000 1000000 1000000 1000000
mcs10_b03m_s90_AB05 1000000 1000000 1000000 1000000
mcs10_b03m_s90_AB06 1000000 1000000 1000000 1000000
mcs10_b03m_s90_AB07 1000000 1000000 1000000 1000000
mcs10_b03m_s90_AB08 1000000 1000000 1000000 1000000
mcs10_b03m_s90_AB09 1000000 1000000 1000000 1000000
mcs10_b06_s100_AB00 296792 73333 73345 730585
mcs10_b06_s100_AB01 305989 113695 114046 29841
mcs10_b06_s100_AB02 10475 41687 19670 42091
mcs10_b06_s100_AB03 825204 191161 190723 116284
mcs10_b06_s100_AB04 5732 11155 11093 22232
mcs10_b06_s100_AB05 444942 41315 33853 41497
mcs10_b06_s100_AB06 10429 20024 7888 19981
mcs10_b06_s100_AB07 374570 16178 16201 188081
mcs10_b06_s100_AB08 431801 295261 91559 296760
mcs10_b06_s100_AB09 10131 11236 28924 11091
mcs10_b06_s70_AB00 3357 7632 7587 41773
mcs10_b06_s70_AB01 2662 810 3178 795
mcs10_b06_s70_AB02 14274 46095 6129 45829
mcs10_b06_s70_AB03 1671 13494 13449 6285
mcs10_b06_s70_AB04 3979 4563 4551 9443
mcs10_b06_s70_AB05 6205 70859 12700 71612
mcs10_b06_s70_AB06 21499 4146 11931 4112
mcs10_b06_s70_AB07 4319 2743 5497 2737
mcs10_b06_s70_AB08 30638 1608 14823 1593
mcs10_b06_s70_AB09 17311 2805 10837 2863
mcs10_b06_s80_AB00 826766 1000000 639833 1000000
mcs10_b06_s80_AB01 1000000 713984 713742 382895
mcs10_b06_s80_AB02 233845 663184 57536 670401
mcs10_b06_s80_AB03 1000000 328828 1000000 325164
mcs10_b06_s80_AB04 1000000 1000000 882608 1000000
mcs10_b06_s80_AB05 568176 103391 60334 103552
mcs10_b06_s80_AB06 1000000 684286 684116 1000000
mcs10_b06_s80_AB07 1000000 1000000 1000000 1000000
mcs10_b06_s80_AB08 249153 114895 442291 114694
mcs10_b06_s80_AB09 195696 813735 1000000 812962
mcs10_b06_s90_AB00 439399 1000000 1000000 426325
mcs10_b06_s90_AB01 1000000 1000000 1000000 1000000
mcs10_b06_s90_AB02 1000000 1000000 1000000 1000000
mcs10_b06_s90_AB03 1000000 1000000 1000000 1000000
mcs10_b06_s90_AB04 1000000 1000000 1000000 1000000
mcs10_b06_s90_AB05 1000000 1000000 1000000 1000000
mcs10_b06_s90_AB06 1000000 1000000 1000000 1000000
mcs10_b06_s90_AB07 1000000 1000000 1000000 1000000
mcs10_b06_s90_AB08 1000000 1000000 1000000 31393
mcs10_b06_s90_AB09 1000000 1000000 1000000 1000000
mcs10_b06m_s100_AB00 11106 4738 17935 4792
mcs10_b06m_s100_AB01 500539 439006 263199 439268
mcs10_b06m_s100_AB02 21646 106355 43662 106549
mcs10_b06m_s100_AB03 93674 14868 14762 223010
mcs10_b06m_s100_AB04 80405 48490 65774 48307
mcs10_b06m_s100_AB05 236759 873751 75650 869393
mcs10_b06m_s100_AB06 774596 134498 134297 227071
mcs10_b06m_s100_AB07 123363 5102 11652 5109
mcs10_b06m_s100_AB08 685232 137596 51233 138114
mcs10_b06m_s100_AB09 104516 58010 57759 134018
mcs10_b06m_s70_AB00 8516 9682 12738 9735
mcs10_b06m_s70_AB01 13397 12518 5957 12551
mcs10_b06m_s70_AB02 45292 8594 8555 71888
mcs10_b06m_s70_AB03 27632 95338 36279 95157
mcs10_b06m_s70_AB04 21991 1807 5340 1851
mcs10_b06m_s70_AB05 4371 18718 3594 18987
mcs10_b06m_s70_AB06 17995 13801 13727 13830
mcs10_b06m_s70_AB07 40699 154236 16530 154964
mcs10_b06m_s70_AB08 40521 444 17242 435
mcs10_b06m_s70_AB09 27599 855975 201892 855163
mcs10_b06m_s80_AB00 626789 800130 857397 776773
mcs10_b06m_s80_AB01 264594 142701 140001 467860
mcs10_b06m_s80_AB02 1000000 1000000 610485 1000000
mcs10_b06m_s80_AB03 78379 19841 14008 19894
mcs10_b06m_s80_AB04 44850 92887 34015 92757
mcs10_b06m_s80_AB05 1000000 1000000 1000000 1000000
mcs10_b06m_s80_AB06 190486 195344 527151 194454
mcs10_b06m_s80_AB07 1000000 688340 742544 689031
mcs10_b06m_s80_AB08 905876 162157 116214 161933
mcs10_b06m_s80_AB09 277579 172832 112483 172723
mcs10_b06m_s90_AB00 1000000 1000000 1000000 1000000
mcs10_b06m_s90_AB01 1000000 1000000 1000000 1000000
mcs10_b06m_s90_AB02 1000000 1000000 1000000 1000000
mcs10_b06m_s90_AB03 1000000 1000000 1000000 1000000
mcs10_b06m_s90_AB04 1000000 1000000 1000000 1000000
mcs10_b06m_s90_AB05 1000000 1000000 1000000 1000000
mcs10_b06m_s90_AB06 1000000 1000000 1000000 1000000
mcs10_b06m_s90_AB07 1000000 1000000 1000000 1000000
mcs10_b06m_s90_AB08 1000000 1000000 1000000 1000000
mcs10_b06m_s90_AB09 1000000 1000000 1000000 1000000
mcs10_b09_s100_AB00 9318 5604 5596 10485
mcs10_b09_s100_AB01 4140 8755 8736 26554
mcs10_b09_s100_AB02 17551 11660 11667 3901
mcs10_b09_s100_AB03 51691 9911 9798 4524
mcs10_b09_s100_AB04 8183 4096 11703 4106
mcs10_b09_s100_AB05 21228 19974 19743 13465
mcs10_b09_s100_AB06 2884 4804 4733 2009
mcs10_b09_s100_AB07 16309 2622 4183 2517
