instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped
r-983 24 0.434783 24 0.514493 3411362 2651845 2651845 3711974 2424786 5877666 4459182 4459182 3900171 4019008 4019008
r-28 24 0.362319 24 0.221014 1517227 3026320 1517227 2357529 2058384 2367518 5176058 2367518 1588178 1733411 1588178
r-859 24 0.416667 24 0.17029 326251 968534 326251 627805 803132 505397 1607303 505397 690364 811257 690364
r-403 24 0.521739 24 0.623188 2738689 4286047 2738689 3658463 3435413 4616947 8109098 4616947 3719542 4060106 3719542
r-711 24 0.398551 24 0.344203 2645676 3051547 2645676 3353882 2668654 4684870 5532025 4684870 2191540 2473065 2191540
r-475 24 0.746377 24 0.721014 1410487 1190385 1190385 1840550 1055534 2039706 1695556 1695556 1822740 1591820 1591820
r-942 24 0.307971 24 0.452899 3618321 1835650 1835650 3291956 1962877 6604925 2941600 2941600 3050301 2143360 2143360
r-108 24 0.648551 24 0.503623 3532380 1708615 1708615 3218430 1706764 6856822 2854729 2854729 3000784 2429589 2429589
r-282 24 0.847826 24 0.181159 59128 63919 63919 76393 39390 89770 96573 96573 89604 92657 92657
r-911 24 0.721014 24 0.336957 328698 334374 334374 489935 242615 492836 503075 503075 578500 368208 368208
r-853 24 0.543478 24 0.855072 124992 608124 124992 387870 431011 179762 1000832 179762 496514 652124 496514
r-692 24 0.807971 24 0.655797 2093899 503001 503001 1810921 662024 3227083 719624 719624 1914891 1037614 1037614
r-844 24 0.666667 24 0.518116 2873047 1266093 1266093 2462862 1300872 5406562 2076599 2076599 1683498 1776760 1776760
r-562 24 0.423913 24 0.873188 37842 224936 37842 158664 87702 41930 293303 41930 48505 106794 48505
r-733 24 0.0434783 24 0.98913 731 2948 731 2691 1786 6275 10573 6275 2828 3105 2828
r-105 24 0.17029 24 0.923913 20937 30797 20937 29154 19268 21896 50068 21896 22013 36070 22013
r-257 24 0.84058 24 0.681159 1345330 313828 313828 1267543 489830 2076941 431572 431572 936647 1220864 1220864
r-747 24 0.913043 24 0.0362319 1167 5593 1167 3088 3658 5447 12830 5447 2209 4347 2209
r-467 24 0.434783 24 0.224638 707731 2204509 707731 1494134 1692604 1103337 3954217 1103337 1108260 1809871 1108260
r-870 24 0.416667 24 0.942029 19733 237070 19733 155008 65281 22897 339512 22897 40581 252064 40581
r-260 24 0.807971 24 0.981884 1498331 -1 1498331 -1 -1 1628392 -1 1628392 186763229 -1 186763229
r-757 24 0.166667 24 0.858696 32201 47752 32201 39995 27470 47557 71162 47557 47360 59659 47360
r-564 24 0.746377 24 0.938406 348987 12786458 348987 5532215 2423935 448377 15682774 448377 2641162 12826781 2641162
r-199 24 0.728261 24 0.0144928 5162 39273 5162 29492 20698 10222 95697 10222 13646 39975 13646
r-247 24 0.539855 24 0.800725 320158 849332 320158 634936 667229 530651 1589244 530651 388989 851443 388989
r-646 24 0.855072 24 0.82971 298413 196294 196294 368757 187490 380842 252075 252075 604094 1721374 1721374
r-136 24 0.865942 24 0.82971 405001 135873 135873 376801 150829 502759 168558 168558 2796882 825553 825553
r-56 24 0.492754 24 0.873188 61705 358005 61705 217539 155268 91692 490908 91692 172049 350588 172049
r-778 24 0.822464 24 0.952899 45053 128175611 45053 51213126 18649511 48367 126416366 48367 90098 211362044 90098
r-583 24 0.597826 24 0.985507 93367 67724517 93367 55142687 1820681 113082 79113205 113082 1813386 69086515 1813386
r-361 24 0.0905797 24 0.804348 26950 12466 12466 19895 6710 42810 19872 19872 40900 18731 18731
r-962 24 0.336957 24 0.688406 398386 489392 398386 559971 372985 604061 770583 604061 759487 664508 759487
r-102 24 0.00724638 24 0.181159 -1 394796221 394796221 -1 394786167 -1 317113527 317113527 -1 -1 -1
r-875 24 0.764493 24 0.264493 128044 160568 160568 181962 95999 183734 238036 238036 223282 139156 139156
r-27 24 0.952899 24 0.307971 47472 6281 6281 33023 4215 78217 9323 9323 51791 17389 17389
r-591 24 0.467391 24 0.532609 2715910 2911531 2715910 3165509 2652172 4637095 5018108 4637095 3339220 3815620 3339220
r-235 24 0.931159 24 0.0507246 3274 4256 3274 4482 2927 7228 11313 7228 2560 4844 2560
r-274 24 0.594203 24 0.945652 43136 2562606 43136 1545075 306195 60995 3603870 60995 123216 2824657 123216
r-998 24 0.474638 24 0.115942 73086 463245 73086 335936 212924 104510 752671 104510 214171 507470 214171
r-552 24 0.956522 24 0.00362319 577 2444 577 2040 1164 6071 7738 6071 659 2612 659
r-277 24 0.634058 24 0.550725 4012364 2657229 2657229 4018919 2507328 7243746 4470525 4470525 3358098 3363259 3363259
r-992 24 0.32971 24 0.938406 22194 85887 22194 73264 40574 27883 100675 27883 15618 57532 15618
r-265 24 0.884058 24 0.101449 15582 15567 15582 20205 10792 26185 26859 26185 25958 30142 25958
r-700 24 0.228261 24 0.257246 715635 581694 581694 742932 492922 1016715 775461 775461 997447 1257010 1257010
r-568 24 0.768116 24 0.322464 127503 160896 160896 133900 99821 180227 220338 220338 151178 195365 195365
r-611 24 0.865942 24 0.398551 78166 37424 37424 69222 23774 116963 42001 42001 127159 43932 43932
r-311 24 0.431159 24 0.141304 124138 430175 124138 270268 316126 176787 737480 176787 145486 344958 145486
r-87 24 0.231884 24 0.927536 9319 27659 9319 20543 17830 15225 55436 15225 18085 34463 18085
r-627 24 0.42029 24 0.594203 1345022 1916997 1345022 1537411 1620876 2182919 3072300 2182919 2007755 2165122 2007755
r-13 24 0.971014 24 0.557971 1705332 33306 33306 1269771 29921 2487194 51638 51638 1718665 504978 504978
r-292 24 0.626812 24 0.282609 542775 529848 542775 722454 462279 862427 766187 862427 944127 1160359 944127
r-487 24 0.322464 24 0.416667 2048974 1399710 1399710 1976131 1350062 3637301 2258934 2258934 1827980 1433427 1433427
r-176 24 0.271739 24 0.322464 2204800 973714 973714 2200846 1011205 3478221 1595559 1595559 1681171 2835284 2835284
r-433 24 0.887681 24 0.641304 1529903 142586 142586 1119796 214931 2254486 201603 201603 1376525 672930 672930
r-10 24 0.0507246 24 0.623188 102021 12679 12679 72920 9280 184145 22198 22198 132512 55111 55111
r-865 24 0.67029 24 0.597826 4433502 2143736 2143736 4529428 2178214 8119795 3693967 3693967 2891822 2747959 2747959
r-58 24 0.282609 24 0.0797101 148156 8694560 148156 3415691 2233737 186507 10774511 186507 305287 9057632 305287
r-518 24 0.402174 24 0.416667 3868714 4010999 4010999 4258027 3330268 7005382 7120227 7120227 3742446 4607239 4607239
r-165 24 0.333333 24 0.228261 690063 1886361 690063 1180437 1527319 1054164 3092930 1054164 2094111 1832634 2094111
r-94 24 0.876812 24 0.231884 25772 19482 19482 28180 10876 44569 21358 21358 30207 26728 26728
r-963 24 0.528986 24 0.326087 673959 1081775 673959 968681 877369 1021281 1607756 1021281 908399 1682715 908399
r-652 24 0.641304 24 0.98913 144717 175568687 144717 131838343 1798880 153595 191609404 153595 784408 170530947 784408
r-597 24 0.822464 24 0.0289855 3741 14914 3741 9542 5952 8785 26605 8785 5813 17696 5813
r-867 24 0.0507246 24 0.278986 9044114 12842 12842 7343064 12772 10286713 16389 16389 11588981 57865 57865
r-930 24 0.221014 24 0.449275 1130835 303963 303963 913201 347907 1900762 445926 445926 828774 927264 927264
r-256 24 0.822464 24 0.474638 224252 118273 118273 236407 77902 319141 165744 165744 280976 209472 209472
r-384 24 0.00724638 24 0.141304 -1 276569447 276569447 -1 276556559 -1 277786686 277786686 -1 -1 -1
r-918 24 0.0905797 24 0.717391 75657 13464 13464 67336 6839 108858 18795 18795 39750 15840 15840
r-512 24 0.710145 24 0.413043 471991 307471 307471 550343 248117 697051 448436 448436 918277 663832 663832
r-323 24 0.757246 24 0.402174 373524 176368 176368 404542 122236 545113 247769 247769 670557 306355 306355
r-474 24 0.554348 24 0.173913 145870 190750 145870 204042 115816 175927 278867 175927 236695 269696 236695
r-333 24 0.0398551 24 0.934783 5352 1966 1966 5189 1226 12603 6950 6950 5565 2931 2931
r-704 24 0.681159 24 0.365942 395614 501428 501428 637260 365205 580941 760148 760148 978894 642699 642699
r-373 24 0.384058 24 0.503623 2228686 1954920 1954920 2643785 1690587 3659550 3261118 3261118 2786033 2475121 2475121
r-719 24 0.572464 24 0.565217 4139421 3886766 3886766 4110037 3439404 7438810 6907210 6907210 4845874 4273018 4273018
r-589 24 0.224638 24 0.380435 1687015 992475 992475 1698299 997666 2889676 1491987 1491987 1508727 1273799 1273799
r-925 24 0.630435 24 0.945652 55130 4665434 55130 3041348 669393 77757 6921452 77757 964234 5129232 964234
r-121 24 0.0652174 24 0.786232 23534 19256 19256 33003 11604 46115 30173 30173 30039 22584 22584
r-878 24 0.550725 24 0.25 279425 227084 279425 274042 173309 412721 323331 412721 315640 355120 315640
r-901 24 0.710145 24 0.0507246 12976 114395 12976 76870 31933 16221 174903 16221 13840 108830 13840
r-554 24 0.268116 24 0.242754 1877594 2857110 1877594 2559488 2321213 2782458 4289699 2782458 3954173 3238565 3954173
r-669 24 0.913043 24 0.931159 110632 838930 110632 323880 504269 114075 563603 114075 4584399 3160803 4584399
r-595 24 0.188406 24 0.398551 690362 171784 171784 662705 205596 1261801 268459 268459 634284 469770 469770
r-641 24 0.0289855 24 0.630435 237923 6701 6701 193783 5383 338953 11564 11564 220466 15783 15783
r-862 24 0.713768 24 0.355072 177789 395667 395667 216081 301417 215476 564321 564321 637440 349941 349941
r-188 24 0.797101 24 0.619565 718327 121535 121535 649082 148821 1223383 183020 183020 973877 365469 365469
r-740 24 0.717391 24 0.358696 264956 317049 317049 357988 239833 339742 486945 486945 467441 453113 453113
r-945 24 0.844203 24 0.92029 43337 465332 43337 151052 336720 27392 432492 27392 159740 1914435 159740
r-285 24 0.742754 24 0.0289855 7579 53550 7579 47863 27652 14012 103543 14012 15669 40496 15669
r-411 24 0.98913 24 0.387681 277354 37705 37705 247435 35562 476836 43226 43226 314025 65738 65738
r-478 24 0.15942 24 0.0652174 89087 5758110 89087 1079709 1968838 94375 5815059 94375 765419 18048965 765419
r-354 24 0.141304 24 0.181159 377931 430099 430099 403422 424803 475632 509936 509936 3387031 1113843 1113843
r-355 24 0.0217391 24 0.115942 -1 325031 325031 -1 323701 -1 333131 333131 -1 -1 -1
r-947 24 0.713768 24 0.0471014 9024 67645 9024 51968 22244 15802 123608 15802 10861 65076 10861
r-880 24 0.952899 24 0.384058 243799 9111 9111 125480 5238 381112 14598 14598 89110 23097 23097
r-324 24 0.224638 24 0.0942029 181264 929958 181264 634718 452107 210742 1166298 210742 874732 1969422 874732
r-618 24 0.637681 24 0.235507 378110 448340 378110 557535 377212 574043 675854 574043 591440 901215 591440
r-275 24 0.735507 24 0.347826 227033 204145 204145 274385 142335 336132 302252 302252 428142 350040 350040
r-917 24 0.0434783 24 0.188406 373999622 167903 167903 253479278 163999 400938567 193216 193216 371915761 542089 542089
r-125 24 0.615942 24 0.695652 1472522 2752847 1472522 2143045 2060778 2470276 4954005 2470276 1727563 2300730 1727563
r-211 24 0.333333 24 0.0398551 107960 6991892 107960 4588884 428933 138743 8680597 138743 1130322 6939394 1130322
r-369 24 0.905797 24 0.293478 36715 21903 21903 43853 9790 67460 33843 33843 70984 31104 31104
r-49 24 0.00362319 24 0.597826 549090 353512 353512 376397 353108 799915 397370 397370 590440 42783 42783
r-980 24 0.800725 24 0.0797101 18309 20673 18309 28695 15634 31370 32796 31370 33696 33283 33696
r-280 24 0.518116 24 0.0434783 25386 1218710 25386 893398 195725 34060 1658266 34060 161397 1232964 161397
r-118 24 0.793478 24 0.887681 220457 1412846 220457 702642 1152511 273917 1791319 273917 2171005 2592561 2171005
r-728 24 0.365942 24 0.297101 1650097 2754108 1650097 2456809 2155218 2359358 4707224 2359358 3259584 2509616 3259584
r-640 24 0.963768 24 0.173913 19689 3637 3637 14318 1844 36592 8343 8343 21447 8682 8682
r-913 24 0.0652174 24 0.271739 3646081 100890 100890 2249238 108904 4674033 135260 135260 3603069 244959 244959
r-191 24 0.619565 24 0.0398551 24931 109733 24931 100073 38722 23327 198257 23327 32744 120641 32744
r-689 24 0.971014 24 0.155797 11176 1860 1860 6835 1276 20406 6320 6320 11730 2504 2504
r-203 24 0.362319 24 0.623188 779662 795166 795166 934567 639893 1212338 1193771 1193771 1500048 1500948 1500948
r-775 24 0.278986 24 0.992754 6838 110104 6838 80019 19264 11132 173885 11132 11054 113791 11054
r-378 24 0.434783 24 0.221014 553546 1700345 553546 1147564 1350021 853911 2959997 853911 861650 1471117 861650
r-184 24 0.902174 24 0.416667 351414 27539 27539 182536 13699 480188 37495 37495 268011 45768 45768
r-758 24 0.797101 24 0.311594 99987 138545 138545 150832 86854 140357 211684 211684 188932 138969 138969
r-664 24 0.108696 24 0.474638 395896 60216 60216 339337 66833 619677 92854 92854 401783 121243 121243
r-995 24 0.811594 24 0.0797101 19466 20848 19466 19440 12611 16462 23859 16462 11387 24911 11387
r-817 24 0.221014 24 1 14373 171773 14373 160720 40602 24376 281789 24376 28221 171699 28221
r-223 24 0.902174 24 0.851449 3181621 877063 877063 2804735 857506 3398757 930125 930125 3274935 1369500 1369500
r-88 24 0.492754 24 0.119565 44404 209608 44404 165759 150176 67417 374709 67417 211736 205144 211736
r-57 24 0.163043 24 0.699275 130529 127073 127073 155223 99212 199415 193433 193433 196747 128504 128504
r-278 24 0.0833333 24 0.199275 23056241 519137 519137 13085797 561460 25160722 636706 636706 37954758 10998039 10998039
r-213 24 0.445652 24 0.297101 1473705 3675180 1473705 2619728 2646740 2425717 6848377 2425717 2420700 2895812 2420700
r-143 24 0.0724638 24 0.525362 313554 19395 19395 217066 14481 458769 17383 17383 140530 24939 24939
r-931 24 0.847826 24 0.137681 11664 14949 11664 14049 10710 17889 23589 17889 12952 15756 12952
r-981 24 0.583333 24 0.188406 254611 264733 254611 402099 220517 382972 382338 382972 269207 272534 269207
r-16 24 0.286232 24 0.105072 113933 1564292 113933 718383 672709 151300 2099542 151300 398634 1386666 398634
r-319 24 0.115942 24 0.637681 182708 79916 79916 176305 48567 278246 123249 123249 105613 72095 72095
r-50 24 0.485507 24 0.344203 1650233 3503122 1650233 2758473 2405602 2643881 6491055 2643881 2030587 3017827 2030587
r-422 24 0.271739 24 0.275362 2479617 2475463 2475463 2902186 2299956 3890542 3893673 3893673 2997971 2947253 2947253
r-721 24 0.971014 24 0.210145 24258 4461 4461 20877 3204 47627 7701 7701 19877 5848 5848
r-816 24 0.0144928 24 0.221014 -1 113913 113913 -1 111628 -1 165132 165132 -1 73464431 73464431
r-586 24 0.978261 24 0.0326087 2711 606 606 2386 589 7954 5310 5310 2184 1150 1150
r-616 24 0.992754 24 0.98913 324 281 281 323 282 350 307 307 -1 36382 36382
r-243 24 0.934783 24 0.188406 22293 12294 12294 25561 6125 44875 18281 18281 30352 17675 17675
r-132 24 0.0362319 24 0.82971 34770 3470 3470 19718 1811 51196 7420 7420 14504 5947 5947
r-173 24 0.731884 24 0.84058 194306 870914 194306 490443 657878 269463 1285731 269463 349054 1428397 349054
r-845 24 0.391304 24 0.967391 9881 405489 9881 308923 30170 13472 431634 13472 24784 420201 24784
r-513 24 0.753623 24 0.648551 4039178 2161214 2161214 3595816 2434823 6818615 3369302 3369302 3604826 3127218 3127218
r-827 24 0.0362319 24 0.5 675385 27755 27755 472065 25488 921852 35547 35547 613023 41405 41405
r-819 24 0.492754 24 0.503623 3860660 4459622 4459622 4518377 4039198 6791155 8196543 8196543 4577713 4292087 4292087
r-177 24 0.137681 24 0.731884 79330 59345 59345 79689 30816 126908 91828 91828 123485 68939 68939
