instance n1 density1 n2 density2 mcsplit mcsplit+f mcsplit+bigf
r-690 44 0.206131 44 0.206131 1197 1192 1226
r-932 28 0.42328 28 0.42328 6577 6097 5646
r-981 29 0.246305 29 0.246305 4813152 4796964 2577530
r-270 41 0.47561 41 0.47561 326675122 301554185 233982571
r-409 19 0.350877 19 0.350877 35321 30670 23285
r-755 12 0.409091 12 0.409091 75 75 75
r-673 15 0.247619 15 0.247619 124 124 124
r-344 25 0.333333 25 0.333333 1466752 1559457 1086822
r-168 24 0.521739 24 0.521739 198217 189012 134132
r-437 12 0.409091 12 0.409091 75 83 81
r-876 35 0.420168 35 0.420168 19641 20944 17408
r-188 14 0.494505 14 0.494505 192 207 153
r-573 33 0.0606061 33 0.0606061 595 595 595
r-134 18 0.294118 18 0.294118 11288 9776 7236
r-303 13 0.153846 13 0.153846 105 105 105
r-423 21 0.428571 21 0.428571 1206 1226 1097
r-101 35 0.504202 35 0.504202 6209490 6056629 3378827
r-158 48 0.43883 48 0.43883 16239383 23958372 8909752
r-365 19 0.280702 19 0.280702 180 180 180
r-254 40 0.0974359 40 0.0974359 106970588 328740995 104752789
r-651 25 0.5 25 0.5 57533 47556 37983
r-209 28 0.388889 28 0.388889 7037652 7020734 5784285
r-84 42 0.047619 42 0.047619 946 946 946
r-195 13 0.512821 13 0.512821 385 399 421
r-477 25 0.153333 25 0.153333 329 329 329
r-286 42 0.176539 42 0.176539 564874654 661719054 405061912
r-506 44 0.494715 44 0.494715 97532063 83690853 56638067
r-215 28 0.388889 28 0.388889 5825265 5974042 4549861
r-177 47 0.388529 47 0.388529 2283533 1591391 1130899
r-282 47 0.499537 47 0.499537 346706611 360521656 253580790
r-109 49 0.44898 49 0.44898 -1 -1 -1
r-104 43 0.389812 43 0.389812 1653809028 1779056430 1306420561
r-249 24 0.431159 24 0.431159 348028 284701 234217
r-251 38 0.0526316 38 0.0526316 780 780 780
r-833 18 0.20915 18 0.20915 175 175 175
r-680 50 0.480816 50 0.480816 90477745 82840065 65135118
r-542 18 0.424837 18 0.424837 26853 25260 22875
r-26 15 0.419048 15 0.419048 255 254 237
r-797 19 0.526316 19 0.526316 7177 6080 5323
r-371 20 0.336842 20 0.336842 24203 18704 15693
r-98 24 0.431159 24 0.431159 1387 1409 1084
r-65 48 0.507092 48 0.507092 208057897 318240601 180905431
r-916 49 0.505102 49 0.505102 1371101172 1665297288 982917160
r-458 47 0.259019 47 0.259019 4793 4351 4056
r-775 45 0.490909 45 0.490909 602862481 583715178 429284952
r-760 30 0.434483 30 0.434483 10395694 10421156 8269986
r-328 27 0.518519 27 0.518519 1287994 1101360 654737
r-738 46 0.371981 46 0.371981 446505 339506 293112
r-137 43 0.27907 43 0.27907 1939 2043 1976
r-301 35 0.161345 35 0.161345 63057225 53258626 21782748
r-381 11 0.509091 11 0.509091 598 634 464
r-33 37 0.495495 37 0.495495 2164151 2567428 1757913
r-889 10 0.355556 10 0.355556 288 331 318
r-936 11 0.181818 11 0.181818 78 78 78
r-534 48 0.467199 48 0.467199 87489037 74873009 58962984
r-115 25 0.48 25 0.48 10432 10817 9320
r-463 32 0.497984 32 0.497984 356477 439193 418585
r-449 46 0.510145 46 0.510145 142556437 199287734 119472474
r-471 17 0.529412 17 0.529412 3178 3206 3523
r-535 25 0.153333 25 0.153333 1161186 1402519 332911
r-854 49 0.153061 49 0.153061 -1 -1 -1
r-793 19 0.280702 19 0.280702 208 195 193
r-850 48 0.467199 48 0.467199 -1 -1 -1
r-297 30 0.496552 30 0.496552 151153 147012 130657
r-983 40 0.45 40 0.45 611545823 584082657 446537749
r-329 50 0.0783673 50 0.0783673 -1 -1 -1
r-61 11 0.509091 11 0.509091 378 450 541
r-349 36 0.203175 36 0.203175 937 934 963
r-402 41 0.290244 41 0.290244 2934 2992 2844
r-214 21 0.380952 21 0.380952 354 394 337
r-484 10 0.466667 10 0.466667 294 235 305
r-578 49 0.331633 49 0.331633 41538 37265 41585
r-894 13 0.461538 13 0.461538 93 93 97
r-731 36 0.436508 36 0.436508 134791443 124706324 97427710
r-758 12 0.545455 12 0.545455 833 772 416
r-500 24 0.344203 24 0.344203 360357 417327 263796
r-105 20 0.521053 20 0.521053 7480 7773 7687
r-985 10 0.555556 10 0.555556 93 99 107
r-197 18 0.470588 18 0.470588 22321 17634 14992
r-246 24 0.521739 24 0.521739 187151 169155 101077
r-615 19 0.45614 19 0.45614 1135 1147 1078
r-537 18 0.424837 18 0.424837 305 323 301
r-497 49 0.25 49 0.25 2199 2283 2188
r-967 33 0.265152 33 0.265152 631 630 631
r-886 34 0.508021 34 0.508021 2599019 2817016 2124385
r-453 21 0.52381 21 0.52381 16067 13860 13176
r-995 22 0.311688 22 0.311688 280662 312057 229413
r-997 11 0.509091 11 0.509091 391 458 622
r-545 32 0.272177 32 0.272177 1190 1240 1147
r-788 31 0.124731 31 0.124731 4476265 4354416 1348866
r-999 41 0.509756 41 0.509756 70564945 87771014 41435779
r-699 32 0.508065 32 0.508065 862510 1103281 773832
r-719 48 0.0416667 48 0.0416667 1225 1225 1225
r-330 40 0.430769 40 0.430769 531324905 523806629 421500925
r-790 44 0.359408 44 0.359408 37091 33421 46302
r-391 19 0.45614 19 0.45614 54290 48414 41189
r-683 33 0.511364 33 0.511364 9888333 11168800 7842296
r-733 20 0.336842 20 0.336842 44687 52366 37198
r-517 18 0.424837 18 0.424837 309 334 324
r-448 17 0.220588 17 0.220588 6311 7178 4838
