instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped-D mcsplit-smart-swapped-O mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped-D mcsplit-b-smart-swapped-O mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped-D mcsplit-nosort-smart-swapped-O
r-720 47 0.012951 46 0.536232 -1 75687 75687 75687 -1 60047 -1 144679 144679 144679 -1 1833756 1833756 1833756
r-738 38 0.190612 18 0.529412 14272 13390 13390 13390 15913 18469 17873 17087 17087 17087 54718 43083 43083 43083
r-791 25 0.276667 24 0.474638 1366282 91263 91263 91263 1292840 80792 2671987 130100 130100 130100 637389 618346 618346 618346
r-990 10 0.977778 44 0.229387 9583 227 227 9583 395 6270 17100 234 234 17100 9664 3824 3824 9664
r-199 26 0.28 39 0.758435 231255 110446 231255 231255 140979 147725 338300 160347 338300 338300 1211413 1143476 1211413 1211413
r-534 14 0.824176 50 0.782041 345 439 439 345 430 357 297 423 423 297 811 994 994 811
r-352 35 0.737815 41 0.820732 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-825 15 0.466667 39 0.609987 354871 67735 354871 354871 71948 346332 495500 90032 495500 495500 421846 107141 421846 421846
r-983 37 0.791291 21 0.147619 5203 7661 5203 7661 7417 3647 4787 10348 4787 10348 18791 25939 18791 25939
r-820 21 0.804762 11 0.618182 1627 244 244 244 1616 267 2080 302 302 302 2669 6452 6452 6452
r-120 24 0.844203 14 0.263736 1339 601 601 601 1498 626 1692 392 392 392 3543 7957 7957 7957
r-362 30 0.416092 29 0.1133 116652 2840595 116652 2840595 157173 1686130 116343 4795942 116343 4795942 260297 1346137 260297 1346137
r-556 44 0.168076 18 0.686275 13605 23286 23286 23286 16162 26352 17032 32055 32055 32055 25974 59424 59424 59424
r-954 42 0.893148 40 0.874359 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-641 39 0.504723 22 0.748918 472789 10138290 472789 10138290 846416 8739884 645087 18641195 645087 18641195 5007394 9875622 5007394 9875622
r-895 22 0.887446 48 0.460106 1702241 75401 75401 1702241 261222 1030606 2602263 24156 24156 2602263 1635317 762285 762285 1635317
r-658 23 0.573123 32 0.183468 54142 77078 54142 54142 97973 34553 61342 98800 61342 61342 448203 161112 448203 448203
r-479 29 0.123153 20 0.731579 7804 5873 5873 5873 9290 4653 2762 1984 1984 1984 7510 9267 9267 9267
r-740 14 0.934066 24 0.0978261 350 130 130 350 130 183 573 161 161 573 321 145 145 321
r-390 15 0.914286 40 0.512821 949583 17115 17115 949583 89524 714196 1271626 6149 6149 1271626 484462 394775 394775 484462
r-15 39 0.425101 14 0.428571 235852 72531 72531 72531 246231 68754 326429 87715 87715 87715 89555 105276 105276 105276
r-473 41 0.830488 10 0.444444 167 2104 2104 2104 200 2105 138 2508 2508 2508 609 3194 3194 3194
r-613 35 0.166387 25 0.8 10494 20669 20669 20669 14505 17905 15132 28861 28861 28861 16377 40927 40927 40927
r-20 10 0.0444444 42 0.912892 1110 45 45 1110 24 542 1841 99 99 1841 1266 94 94 1266
r-427 11 0.672727 24 0.40942 4870 2940 2940 4870 3621 4313 4816 3405 3405 4816 5893 5601 5601 5893
r-455 15 0.914286 30 0.645977 441014 22208 22208 441014 44977 373145 541886 31484 31484 541886 953887 415187 415187 953887
r-307 20 0.873684 17 0.867647 3857 535 535 535 4065 593 4486 427 427 427 9013 5733 5733 5733
r-63 48 0.475177 25 0.543333 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-523 27 0.826211 24 0.768116 988389 339271 339271 339271 1064940 463324 1461739 453414 453414 453414 969858 299890 299890 299890
r-213 40 0.0782051 37 0.0405405 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-28 44 0.542283 30 0.6 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-699 45 0.156566 14 0.230769 7873 709 709 709 7874 750 7368 383 383 383 15809 4700 4700 4700
r-30 12 0.909091 26 0.507692 53857 1744 1744 53857 5891 37871 71679 2075 2075 71679 48006 6503 6503 48006
r-64 24 0.938406 38 0.00284495 49 278 49 49 279 89 819 683 819 819 142 58 142 142
r-188 25 0.356667 36 0.638095 3415769 1211546 1211546 3415769 1632328 2610030 5654467 1941938 1941938 5654467 3466320 2799904 2799904 3466320
r-423 39 0.597841 27 0.213675 144593 1207752 144593 1207752 374782 895454 170666 1824723 170666 1824723 3158432 5459264 3158432 5459264
r-677 33 0.86553 48 0.879433 47910177 -1 47910177 47910177 -1 92040861 51750298 -1 51750298 51750298 -1 -1 -1 -1
r-14 14 0.406593 46 0.323671 59290 191405 59290 59290 180590 58555 67045 239969 67045 67045 66202 92988 66202 66202
r-907 36 0.649206 10 0.955556 370369 92464 370369 92464 547368 78442 50033 7828 50033 7828 29495 20558 29495 20558
r-16 32 0.40121 46 0.616425 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-722 45 0.308081 29 0.689655 2248105 6118966 6118966 6118966 2918568 4008691 3528400 9902765 9902765 9902765 3467769 6471264 6471264 6471264
r-701 15 0.390476 19 0.666667 6476 880 6476 6476 1282 3165 7393 1062 7393 7393 6178 3355 6178 6178
r-210 46 0.0386473 48 0.820035 35443 9997 9997 35443 21410 11908 72202 3351 3351 72202 161146 70593 70593 161146
r-235 21 0.361905 23 0.328063 243276 296675 243276 243276 258641 262519 388771 460214 388771 388771 175715 126781 175715 175715
r-865 48 0.449468 34 0.0695187 554911 -1 554911 -1 2071529 11223516 885716 -1 885716 -1 3397085 -1 3397085 -1
r-499 39 0.187584 17 0.838235 4417 6134 4417 6134 5151 8029 1515 11698 1515 11698 11971 9894 11971 9894
r-446 21 0.971429 11 0.109091 124 32 32 32 124 46 179 206 206 206 109 29 29 29
r-290 48 0.719858 31 0.666667 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-680 28 0.716931 11 0.509091 4051 4358 4358 4358 4110 4239 4479 4907 4907 4907 3505 3259 3259 3259
r-445 23 0.802372 50 0.982857 4064 -1 4064 4064 -1 4606 1248 -1 1248 1248 -1 -1 -1 -1
r-504 34 0.700535 33 0.82197 5476623 62898737 5476623 62898737 7317243 47758807 5960230 102978189 5960230 102978189 24445199 36824681 24445199 36824681
r-459 28 0.410053 14 0.362637 25280 44647 25280 44647 26302 42360 18554 57590 18554 57590 43690 77843 43690 77843
r-204 20 0.736842 14 0.78022 3916 2052 3916 2052 4139 1980 4580 2119 4580 2119 4258 2822 4258 2822
r-228 28 0.402116 27 0.282051 2807894 9892186 2807894 9892186 3437536 6653036 5048680 19254146 5048680 19254146 4711453 6518450 4711453 6518450
r-391 14 0.835165 24 0.199275 1304 626 626 1304 608 737 2013 288 288 2013 5304 2608 2608 5304
r-281 34 0.650624 31 0.0817204 55021 233219 55021 233219 72910 37152 26195 372816 26195 372816 44111 351725 44111 351725
r-592 15 0.514286 21 0.690476 6006 26629 6006 6006 23178 6168 4148 37607 4148 4148 4567 7070 4567 4567
r-49 45 0.0434343 41 0.717073 330776 30681 30681 30681 375318 18599 532936 47297 47297 47297 207604 135970 135970 135970
r-657 18 0.764706 30 0.616092 932017 172032 172032 932017 260613 878447 1392650 222923 222923 1392650 928392 701888 701888 928392
r-520 10 0.266667 34 0.139037 111 75 111 111 75 111 83 80 83 83 280 923 280 280
r-99 32 0.820565 43 0.378738 1313748 1163222 1163222 1313748 1889144 900957 1428392 1518653 1518653 1428392 2753455 9814562 9814562 2753455
r-622 28 0.298942 46 0.689855 6120770 2653826 2653826 6120770 3737819 4263537 10202198 4218384 4218384 10202198 16119660 12848925 12848925 16119660
r-381 27 0.011396 29 0.763547 20235 138 138 20235 44 2716 34993 646 646 34993 19842 2490 2490 19842
r-436 23 0.173913 23 0.581028 26286 23471 23471 26286 36606 12446 34728 17629 17629 34728 63114 57386 57386 63114
r-536 49 0.855442 21 0.495238 94191 217973 217973 217973 106338 266763 111698 109909 109909 109909 516618 1471463 1471463 1471463
r-127 43 0.821705 16 0 273 41253 273 41253 689 7916 248 61287 248 61287 529 41077 529 41077
r-822 48 0.546099 22 0.982684 300272 135909462 300272 135909462 2754415 18199758 508747 -1 508747 -1 7736025 140581051 7736025 -1
r-788 47 0.276596 14 0.043956 21250395 7523194 21250395 7523194 35702349 6995376 2815674 2249062 2815674 2249062 2958422 4641621 2958422 4641621
r-159 39 0.31444 35 0.897479 125454 226624 125454 226624 294998 103087 157976 253477 157976 253477 234561 756423 234561 756423
r-274 39 0.840756 12 0.363636 1226 7213 7213 7213 1374 5966 1365 9822 9822 9822 2922 6183 6183 6183
r-675 41 0.59878 43 0.0564784 160266 2725794 160266 160266 3088163 92754 71143 2815279 71143 71143 442441 1822688 442441 442441
r-549 23 0.458498 45 0.607071 22132233 4204436 22132233 22132233 4653214 21154956 36463208 5884276 36463208 36463208 30288093 29838880 30288093 30288093
r-207 21 0.966667 50 0.281633 107956 671 671 107956 3360 14477 184229 413 413 184229 101347 27047 27047 101347
r-160 18 0.0588235 21 0.047619 938 11975483 938 938 2502945 32292 846 11575915 846 846 714809 44804441 714809 714809
r-552 37 0.403904 33 0.481061 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-672 35 0.0705882 38 0.920341 3332 1388 1388 3332 1389 2276 3958 2014 2014 3958 5251 9850 9850 5251
r-300 16 0.05 22 0.186147 4432660 28383 28383 4432660 1131725 947280 4524329 30994 30994 4524329 4694936 235191 235191 4694936
r-288 35 0.00168067 14 0.417582 496094 126072 126072 126072 496689 126060 537250 129885 129885 129885 4599960 285666 285666 285666
r-434 18 0 44 0.105708 -1 1180608 1180608 -1 -1 -1 396601390 129097 129097 396601390 361848402 -1 -1 361848402
r-146 47 0.855689 22 0.666667 1606694 96348 96348 96348 1601253 201037 2436641 130311 130311 130311 1437203 721742 721742 721742
r-212 24 0.315217 39 0.048583 31918 2679123 31918 31918 2481392 55900 10227 3162159 10227 10227 34270 5509467 34270 34270
r-731 10 0.333333 46 0.0714976 246 1441 246 246 1269 272 221 1432 221 221 794 1288 794 794
r-26 48 0.655142 27 0.22792 683693 2725668 683693 2725668 1236900 1562162 488413 4185378 488413 4185378 3585386 16609980 3585386 16609980
r-69 17 0.632353 42 0.440186 906291 328835 328835 906291 345189 860236 823847 427831 427831 823847 1605694 1646807 1646807 1605694
r-406 24 0.695652 29 0.884236 68174 1212341 68174 68174 927904 129393 96762 1908954 96762 96762 257166 759342 257166 257166
