instance n1 density1 n2 density2 mcsplit mcsplit+f mcsplit+bigf
r-196 16 0.458333 16 0.458333 6 5 3
r-106 13 0.384615 13 0.384615 1 1 0
r-698 29 0.46798 29 0.46798 1062 867 860
r-970 16 0.525 16 0.525 6 5 4
r-595 35 0.480672 35 0.480672 101486 93218 78258
r-521 14 0.362637 14 0.362637 0 6 3
r-358 28 0.507937 28 0.507937 2663 2100 2002
r-590 35 0.480672 35 0.480672 19036 21093 18588
r-705 26 0.470769 26 0.470769 1642 1436 1388
r-719 37 0.198198 37 0.198198 1000006 1000007 1000007
r-824 17 0.485294 17 0.485294 4 5 3
r-679 16 0.458333 16 0.458333 3 2 3
r-954 14 0.527473 14 0.527473 1 1 1
r-371 16 0.325 16 0.325 6 35 20
r-764 30 0.23908 30 0.23908 3651 4787 5048
r-649 40 0.184615 40 0.184615 1000005 1000006 1000004
r-260 26 0.369231 26 0.369231 1583 1733 1706
r-917 21 0.0952381 21 0.0952381 1000007 1000003 284463
r-468 38 0.273115 38 0.273115 1000002 1000007 29070
r-473 36 0.5 36 0.5 128950 112638 101766
r-132 14 0.263736 14 0.263736 1 1 1
r-118 29 0.37931 29 0.37931 7343 6184 4996
r-771 15 0.419048 15 0.419048 1 1 1
r-957 28 0.198413 28 0.198413 1000002 1000005 1000009
r-667 26 0.516923 26 0.516923 1194 1033 1006
r-389 39 0.188934 39 0.188934 1000002 1000000 1000009
r-469 25 0.38 25 0.38 510 239 38
r-494 21 0.466667 21 0.466667 18 19 20
r-744 25 0.453333 25 0.453333 864 800 789
r-180 37 0.198198 37 0.198198 1000007 1000005 1000002
r-671 22 0.506494 22 0.506494 141 136 121
r-396 37 0.198198 37 0.198198 464397 330570 145003
r-641 19 0.409357 19 0.409357 30 28 26
r-97 40 0.0974359 40 0.0974359 12970 37428 38506
r-350 16 0.4 16 0.4 2 1 1
r-675 36 0.512698 36 0.512698 108475 91699 98395
r-555 31 0.395699 31 0.395699 21882 18982 16306
r-522 40 0.466667 40 0.466667 1000007 1000008 1000007
r-972 16 0.325 16 0.325 1 1 1
r-369 20 0.442105 20 0.442105 50 48 42
r-931 16 0.525 16 0.525 4 3 4
r-107 23 0.521739 23 0.521739 150 183 183
r-575 20 0.521053 20 0.521053 68 63 78
r-252 23 0.166008 23 0.166008 35246 1000007 1000007
r-315 12 0.545455 12 0.545455 0 0 0
r-378 23 0.442688 23 0.442688 64 71 70
r-783 38 0.308677 38 0.308677 1000004 1000008 3309
r-108 23 0.166008 23 0.166008 70 57 24
r-785 39 0.364372 39 0.364372 786948 892626 648515
r-624 21 0.495238 21 0.495238 231 207 169
r-805 28 0.494709 28 0.494709 4374 3821 2970
r-85 15 0.533333 15 0.533333 2 2 2
r-527 15 0.133333 15 0.133333 2 166650 45480
r-577 29 0.339901 29 0.339901 5061 6047 5534
r-620 24 0.507246 24 0.507246 312 320 396
r-947 37 0.153153 37 0.153153 211211 174800 75741
r-2 22 0.311688 22 0.311688 15 801784 36145
r-186 23 0.237154 23 0.237154 229 202 168
r-175 21 0.514286 21 0.514286 108 99 94
r-40 30 0.45977 30 0.45977 1779 1597 1224
r-702 14 0.538462 14 0.538462 1 1 1
r-831 12 0.484848 12 0.484848 0 0 0
r-506 34 0.114082 34 0.114082 7640 9226 5486
r-417 38 0.443812 38 0.443812 38697 28887 23505
r-380 20 0.521053 20 0.521053 38 40 45
r-761 21 0.52381 21 0.52381 54 50 28
r-981 33 0.306818 33 0.306818 1646 1000009 1000004
r-153 32 0.175403 32 0.175403 1000000 1000006 1000006
r-280 22 0.484848 22 0.484848 47 62 59
r-445 22 0.311688 22 0.311688 9499 6771 49
r-338 22 0.311688 22 0.311688 49254 40668 80
r-709 34 0.336898 34 0.336898 6906 1000000 1000007
r-292 28 0.47619 28 0.47619 828 825 714
r-303 36 0.488889 36 0.488889 23920 24030 18781
r-462 33 0.515152 33 0.515152 36865 34511 37742
r-788 20 0.394737 20 0.394737 31 27 21
r-684 12 0.409091 12 0.409091 1 0 0
r-569 22 0.311688 22 0.311688 19 32959 5274
r-820 31 0.503226 31 0.503226 4708 5053 5571
r-742 30 0.23908 30 0.23908 1000000 1000008 1000006
r-219 31 0.511828 31 0.511828 20284 18755 18377
r-497 13 0.282051 13 0.282051 16 13 20
r-638 12 0.545455 12 0.545455 0 0 0
r-512 32 0.314516 32 0.314516 29426 33744 28783
r-383 13 0.512821 13 0.512821 1 1 1
r-995 18 0.529412 18 0.529412 16 14 15
r-225 26 0.507692 26 0.507692 1271 1207 1018
r-609 17 0.382353 17 0.382353 10 11 7
r-793 40 0.480769 40 0.480769 944177 861126 736615
r-162 25 0.5 25 0.5 818 685 409
r-443 27 0.205128 27 0.205128 1000007 1000008 1000004
r-265 36 0.385714 36 0.385714 309991 262117 204213
r-179 12 0.484848 12 0.484848 0 0 0
r-689 17 0.382353 17 0.382353 13 5 2
r-302 37 0.24024 37 0.24024 1000000 1000002 1000000
r-924 14 0.142857 14 0.142857 13777 18879 893
r-839 38 0.14936 38 0.14936 173542 214050 125378
r-345 27 0.48433 27 0.48433 2761 2408 2639
r-578 32 0.314516 32 0.314516 629 719735 51177
r-628 14 0.362637 14 0.362637 0 2 4
r-568 28 0.349206 28 0.349206 9919 4319 98
r-695 24 0.507246 24 0.507246 538 474 459
r-272 13 0.538462 13 0.538462 1 0 0
r-220 31 0.451613 31 0.451613 2120 2153 1664
r-969 33 0.170455 33 0.170455 8424 16526 19865
r-750 13 0.538462 13 0.538462 1 1 1
r-406 17 0.485294 17 0.485294 5 4 3
r-665 31 0.124731 31 0.124731 704 1377 1457
r-99 39 0.496626 39 0.496626 554255 514250 444520
r-28 21 0.180952 21 0.180952 12 12 12
r-977 38 0.193457 38 0.193457 1000002 1000005 1000006
r-971 36 0.385714 36 0.385714 145723 24418 4324
r-56 39 0.472335 39 0.472335 68128 83894 70567
r-21 31 0.232258 31 0.232258 1000006 1000000 128020
r-148 26 0.369231 26 0.369231 2387 2017 1703
r-703 32 0.120968 32 0.120968 1000004 1000005 1000004
r-218 17 0.529412 17 0.529412 7 6 8
r-207 37 0.513514 37 0.513514 256422 214285 219628
r-823 29 0.246305 29 0.246305 4607 3401 1987
r-482 33 0.477273 33 0.477273 6319 7454 6983
r-205 17 0.382353 17 0.382353 10 11 10
r-33 19 0.45614 19 0.45614 9 7 5
r-755 29 0.46798 29 0.46798 947 680 550
r-113 17 0.382353 17 0.382353 2 3 3
r-988 12 0.484848 12 0.484848 0 0 0
r-819 30 0.287356 30 0.287356 1000007 1000006 607283
r-32 32 0.465726 32 0.465726 5405 4600 3584
r-484 17 0.382353 17 0.382353 9 5 1
r-428 28 0.304233 28 0.304233 1700 1993 2163
r-70 39 0.504723 39 0.504723 466130 407077 403520
r-929 10 0.533333 10 0.533333 0 0 0
r-507 17 0.220588 17 0.220588 87128 77259 546
r-833 35 0.504202 35 0.504202 36604 42685 43720
r-295 25 0.153333 25 0.153333 547912 1000009 1000007
r-201 15 0.342857 15 0.342857 1 5 6
r-248 25 0.22 25 0.22 23 34 41
r-653 22 0.17316 22 0.17316 26 19 9
r-123 22 0.484848 22 0.484848 326 279 198
r-953 10 0.555556 10 0.555556 0 0 0
r-696 28 0.47619 28 0.47619 1153 1144 893
r-96 27 0.518519 27 0.518519 2427 2257 2376
r-599 37 0.279279 37 0.279279 1000002 1000004 25075
r-519 36 0.246032 36 0.246032 1000006 1000009 1000005
r-88 31 0.516129 31 0.516129 9773 8454 7343
r-751 25 0.22 25 0.22 509 449 305
r-360 11 0.327273 11 0.327273 0 0 0
r-656 24 0.518116 24 0.518116 269 220 213
r-524 10 0.555556 10 0.555556 0 0 0
r-991 35 0.504202 35 0.504202 141465 119143 113074
r-908 16 0.125 16 0.125 764355 756787 248
r-326 15 0.419048 15 0.419048 1 0 0
r-961 18 0.294118 18 0.294118 4 4 4
r-842 15 0.514286 15 0.514286 4 4 3
r-573 39 0.334683 39 0.334683 658475 534695 419527
r-666 14 0.527473 14 0.527473 1 1 1
r-767 33 0.511364 33 0.511364 33199 31479 30276
r-394 21 0.514286 21 0.514286 58 57 38
r-46 10 0.533333 10 0.533333 0 0 0
r-485 37 0.0540541 37 0.0540541 1000006 1000008 1000009
r-725 19 0.409357 19 0.409357 4 7 5
r-723 30 0.331034 30 0.331034 1000005 1000002 326
r-897 22 0.415584 22 0.415584 36 27 19
r-989 28 0.518519 28 0.518519 1421 1327 1239
r-990 12 0.166667 12 0.166667 347 399 10
r-210 31 0.180645 31 0.180645 1000003 1000003 1000008
r-188 34 0.165775 34 0.165775 1000001 1000001 1000007
r-415 35 0.443697 35 0.443697 207753 198261 178758
r-782 25 0.48 25 0.48 1550 1349 1313
