instance n1 density1 n2 density2 mcsplit mcsplit+f mcsplit+bigf
r-982 22 0.367965 22 0.367965 78409 1126179 503595
r-716 29 0.512315 29 0.512315 22814836 16823954 14716425
r-579 39 0.510121 39 0.510121 652519556 600587876 607629151
r-430 11 0.436364 11 0.436364 1184 1040 924
r-157 22 0.367965 22 0.367965 54174294 38666199 199698
r-442 18 0.529412 18 0.529412 47266 51247 38687
r-985 16 0.4 16 0.4 14046 13968 13729
r-864 37 0.315315 37 0.315315 1088330622 1367599612 918528291
r-306 14 0.43956 14 0.43956 6059 4441 3451
r-448 25 0.48 25 0.48 3054649 3122351 2875855
r-196 16 0.458333 16 0.458333 29246 23396 13624
r-106 13 0.384615 13 0.384615 2895 3313 2583
r-698 29 0.46798 29 0.46798 3450442 2845430 2361263
r-970 16 0.525 16 0.525 20202 21243 15469
r-595 35 0.480672 35 0.480672 221939442 222893449 168361397
r-521 14 0.362637 14 0.362637 3855 39454 16195
r-358 28 0.507937 28 0.507937 6195900 5255499 4478765
r-590 35 0.480672 35 0.480672 50907731 62464142 49991517
r-705 26 0.470769 26 0.470769 4028452 3875027 3374541
r-719 37 0.198198 37 0.198198 -1 -1 -1
r-824 17 0.485294 17 0.485294 18903 22287 13220
r-679 16 0.458333 16 0.458333 12720 10547 10897
r-954 14 0.527473 14 0.527473 4862 5856 3065
r-371 16 0.325 16 0.325 32312 207287 101819
r-764 30 0.23908 30 0.23908 10544885 15233146 14132227
r-649 40 0.184615 40 0.184615 -1 -1 -1
r-260 26 0.369231 26 0.369231 4016282 4875705 4345184
r-917 21 0.0952381 21 0.0952381 -1 -1 1377282250
r-468 38 0.273115 38 0.273115 -1 -1 119644091
r-473 36 0.5 36 0.5 281371420 269056849 218825792
r-132 14 0.263736 14 0.263736 4116 4925 5321
r-118 29 0.37931 29 0.37931 19343089 17441048 12079258
r-771 15 0.419048 15 0.419048 3874 3058 2762
r-957 28 0.198413 28 0.198413 -1 -1 -1
r-667 26 0.516923 26 0.516923 3231062 3078839 2676194
r-389 39 0.188934 39 0.188934 -1 -1 -1
r-469 25 0.38 25 0.38 2371339 1134073 123187
r-494 21 0.466667 21 0.466667 61517 67203 62125
r-744 25 0.453333 25 0.453333 2133017 2090873 1937542
r-180 37 0.198198 37 0.198198 -1 -1 -1
r-671 22 0.506494 22 0.506494 383984 396384 310240
r-396 37 0.198198 37 0.198198 1419430020 1076283249 402102531
r-641 19 0.409357 19 0.409357 85964 86440 72906
r-97 40 0.0974359 40 0.0974359 42874491 130674605 125432349
r-350 16 0.4 16 0.4 9344 5628 4307
r-675 36 0.512698 36 0.512698 261436196 248571152 234146423
r-555 31 0.395699 31 0.395699 56178673 52491930 39195214
r-522 40 0.466667 40 0.466667 -1 -1 -1
r-972 16 0.325 16 0.325 4738 5682 4440
r-369 20 0.442105 20 0.442105 146114 148656 116351
r-931 16 0.525 16 0.525 11645 11311 10785
r-107 23 0.521739 23 0.521739 427344 565436 495895
r-575 20 0.521053 20 0.521053 199686 222241 244472
r-252 23 0.166008 23 0.166008 164101533 -1 -1
r-315 12 0.545455 12 0.545455 1038 1173 1335
r-378 23 0.442688 23 0.442688 239377 282370 240074
r-783 38 0.308677 38 0.308677 -1 -1 12726649
r-108 23 0.166008 23 0.166008 263680 216829 94838
r-785 39 0.364372 39 0.364372 1825754869 2278949125 2266018709
r-624 21 0.495238 21 0.495238 636234 613650 449893
r-805 28 0.494709 28 0.494709 10713764 9933912 7111620
r-85 15 0.533333 15 0.533333 8554 8140 7569
r-527 15 0.133333 15 0.133333 11663 1143709723 294617198
r-577 29 0.339901 29 0.339901 13138578 17316601 14256452
r-620 24 0.507246 24 0.507246 946431 1037619 1154089
r-947 37 0.153153 37 0.153153 666791686 581394485 226246551
r-2 22 0.311688 22 0.311688 66454 6235941535 226251338
r-186 23 0.237154 23 0.237154 781706 737059 518822
r-175 21 0.514286 21 0.514286 318227 312129 247258
r-40 30 0.45977 30 0.45977 5029930 5099907 3646137
r-702 14 0.538462 14 0.538462 3400 3454 3313
r-831 12 0.484848 12 0.484848 2193 2578 2369
r-506 34 0.114082 34 0.114082 26511680 32988415 17971184
r-417 38 0.443812 38 0.443812 127291067 93296239 63851186
r-380 20 0.521053 20 0.521053 111454 125522 124955
r-761 21 0.52381 21 0.52381 151453 151404 72890
r-981 33 0.306818 33 0.306818 6919043 -1 -1
r-153 32 0.175403 32 0.175403 -1 -1 -1
r-280 22 0.484848 22 0.484848 174018 231625 193287
r-445 22 0.311688 22 0.311688 54145134 39306538 222452
r-338 22 0.311688 22 0.311688 290294060 246870186 380233
r-709 34 0.336898 34 0.336898 29184399 -1 -1
r-292 28 0.47619 28 0.47619 2522192 2562800 1944908
r-303 36 0.488889 36 0.488889 59304399 65450508 45793094
r-462 33 0.515152 33 0.515152 91291532 91984365 88867473
r-788 20 0.394737 20 0.394737 91546 83052 56915
r-684 12 0.409091 12 0.409091 5380 2683 1598
r-569 22 0.311688 22 0.311688 85062 186089187 26625847
r-820 31 0.503226 31 0.503226 12938762 15086767 14210599
r-742 30 0.23908 30 0.23908 -1 -1 -1
r-219 31 0.511828 31 0.511828 50549522 50918649 44312081
r-497 13 0.282051 13 0.282051 101508 88365 122988
r-638 12 0.545455 12 0.545455 904 874 598
r-512 32 0.314516 32 0.314516 75057618 94637492 72279695
r-383 13 0.512821 13 0.512821 7045 7931 5335
r-995 18 0.529412 18 0.529412 47384 46467 43437
r-225 26 0.507692 26 0.507692 3616388 3753953 2881736
r-609 17 0.382353 17 0.382353 29538 34184 21012
r-793 40 0.480769 40 0.480769 2081145952 2068522782 1592322521
r-162 25 0.5 25 0.5 2053338 1877955 1010474
r-443 27 0.205128 27 0.205128 -1 -1 -1
r-265 36 0.385714 36 0.385714 710873697 636994684 434125930
r-179 12 0.484848 12 0.484848 1459 1151 1205
r-689 17 0.382353 17 0.382353 70527 27067 7155
r-302 37 0.24024 37 0.24024 -1 -1 -1
r-924 14 0.142857 14 0.142857 94707541 134059655 4853258
r-839 38 0.14936 38 0.14936 524906536 686247205 355555728
r-345 27 0.48433 27 0.48433 6743732 6470852 6420467
r-578 32 0.314516 32 0.314516 2604023 3590606979 226698952
r-628 14 0.362637 14 0.362637 3512 13159 21516
r-568 28 0.349206 28 0.349206 47421233 23202376 365369
r-695 24 0.507246 24 0.507246 1429771 1370079 1173896
r-272 13 0.538462 13 0.538462 3374 3034 2417
r-220 31 0.451613 31 0.451613 6155790 7010606 5022009
r-969 33 0.170455 33 0.170455 26623457 56874671 61093014
r-750 13 0.538462 13 0.538462 3157 3718 3515
r-406 17 0.485294 17 0.485294 19306 17091 13420
r-665 31 0.124731 31 0.124731 2376245 5085340 4792013
r-99 39 0.496626 39 0.496626 1224436585 1245532298 960823359
r-28 21 0.180952 21 0.180952 42053 46871 43424
r-977 38 0.193457 38 0.193457 -1 -1 -1
r-971 36 0.385714 36 0.385714 654533018 109801325 14196719
r-56 39 0.472335 39 0.472335 184538905 245482287 187628521
r-21 31 0.232258 31 0.232258 -1 -1 562237619
r-148 26 0.369231 26 0.369231 6369144 5861367 4367327
r-703 32 0.120968 32 0.120968 -1 -1 -1
r-218 17 0.529412 17 0.529412 21683 21938 24995
r-207 37 0.513514 37 0.513514 605451874 560624134 493637249
r-823 29 0.246305 29 0.246305 13952688 10692690 5393903
r-482 33 0.477273 33 0.477273 19727507 23712967 19245466
r-205 17 0.382353 17 0.382353 30445 36375 28852
r-33 19 0.45614 19 0.45614 32773 26368 19995
r-755 29 0.46798 29 0.46798 3018049 2187116 1443701
r-113 17 0.382353 17 0.382353 9327 14426 12054
r-988 12 0.484848 12 0.484848 938 1077 878
r-819 30 0.287356 30 0.287356 -1 -1 2798817618
r-32 32 0.465726 32 0.465726 17187689 15104990 10041690
r-484 17 0.382353 17 0.382353 48495 28164 5457
r-428 28 0.304233 28 0.304233 4565048 5983435 5883485
r-70 39 0.504723 39 0.504723 1043252211 998851293 890386268
r-929 10 0.533333 10 0.533333 455 395 461
r-507 17 0.220588 17 0.220588 595962018 534276819 2755526
r-833 35 0.504202 35 0.504202 96732749 120438644 103881487
r-295 25 0.153333 25 0.153333 2501479801 -1 -1
