instance n1 density1 n2 density2 mcsplit mcsplit+f mcsplit+bigf
r-138 30 0.0505747 30 0.0505747 9372 100007 100002
r-912 10 0.355556 10 0.355556 0 0 0
r-934 26 0.415385 26 0.415385 3767 3931 3431
r-737 23 0.411067 23 0.411067 663 690 665
r-520 18 0.300654 18 0.300654 5 5 4
r-558 22 0.800866 22 0.800866 44 47 50
r-996 29 0.142857 29 0.142857 2150 2635 2332
r-678 30 0.937931 30 0.937931 182 305 2823
r-284 29 0.559113 29 0.559113 20284 19527 18181
r-627 14 0.472527 14 0.472527 1 1 1
r-320 12 0.469697 12 0.469697 0 0 0
r-931 10 0.511111 10 0.511111 0 0 0
r-466 10 0.666667 10 0.666667 0 0 0
r-410 18 0.235294 18 0.235294 9 13 9
r-808 22 0.839827 22 0.839827 20 16 21
r-995 24 0.82971 24 0.82971 70 98 100
r-248 16 0.366667 16 0.366667 7 7 7
r-105 10 0.8 10 0.8 0 0 0
r-785 15 0.0190476 15 0.0190476 0 0 0
r-683 23 0.102767 23 0.102767 4 4 5
r-316 19 0.345029 19 0.345029 76 87 77
r-629 26 0.0646154 26 0.0646154 1216 822 182
r-179 25 0.346667 25 0.346667 1804 1909 1710
r-444 13 0.5 13 0.5 1 0 1
r-768 19 0.631579 19 0.631579 63 64 54
r-943 18 0.836601 18 0.836601 3 3 4
r-11 12 0.333333 12 0.333333 0 0 0
r-828 11 0.2 11 0.2 0 0 0
r-818 12 0.227273 12 0.227273 0 0 0
r-711 19 0.795322 19 0.795322 11 15 11
r-425 15 0.895238 15 0.895238 0 0 0
r-880 22 0.212121 22 0.212121 58 61 47
r-139 18 0.189542 18 0.189542 7 8 8
r-657 20 0.384211 20 0.384211 65 67 45
r-855 25 0.706667 25 0.706667 969 909 856
r-289 30 0.0689655 30 0.0689655 81 126 114
r-243 15 0.485714 15 0.485714 8 7 7
r-893 25 0.836667 25 0.836667 237 290 187
r-731 21 0.790476 21 0.790476 12 13 18
r-792 13 0.487179 13 0.487179 0 0 1
r-447 11 0.545455 11 0.545455 0 0 0
r-281 27 0.14245 27 0.14245 95 107 139
r-798 29 0.512315 29 0.512315 26525 25344 23336
r-696 12 0.227273 12 0.227273 0 0 0
r-596 19 0.192982 19 0.192982 16 18 16
r-831 25 0.00666667 25 0.00666667 0 0 0
r-628 30 0.924138 30 0.924138 601 569 233
r-849 13 0.641026 13 0.641026 1 1 1
r-478 18 0.96732 18 0.96732 0 0 0
r-311 21 0.238095 21 0.238095 96 85 84
r-942 18 0.27451 18 0.27451 10 10 9
r-834 30 0.434483 30 0.434483 26967 25723 26420
r-756 23 0.55336 23 0.55336 956 886 674
r-150 11 0.381818 11 0.381818 0 0 0
r-626 22 0.982684 22 0.982684 0 0 0
r-806 20 0.773684 20 0.773684 18 19 34
r-89 22 0.251082 22 0.251082 139 159 143
r-906 14 0.637363 14 0.637363 3 3 3
r-570 30 0.126437 30 0.126437 685 1113 418
r-159 13 0.576923 13 0.576923 1 2 1
r-990 28 0.529101 28 0.529101 10291 10480 10367
r-77 27 0.0968661 27 0.0968661 78 101 17
r-707 16 0.275 16 0.275 4 3 2
r-530 15 0.533333 15 0.533333 3 3 3
r-362 14 0.989011 14 0.989011 0 0 0
r-251 28 0.531746 28 0.531746 12461 11842 11318
r-964 19 0.0409357 19 0.0409357 0 0 0
r-92 15 0.92381 15 0.92381 0 0 0
r-972 30 0.4 30 0.4 31689 31736 25837
r-916 17 0.301471 17 0.301471 10 11 9
r-929 29 0.965517 29 0.965517 21 24 100004
r-364 13 0.782051 13 0.782051 0 1 0
r-881 30 0.604598 30 0.604598 30133 30957 27316
r-871 18 0.509804 18 0.509804 36 32 38
r-33 15 0.942857 15 0.942857 0 0 0
r-920 30 0.96092 30 0.96092 176 88 100002
r-9 28 0.465608 28 0.465608 12028 11486 9708
r-12 17 0.0588235 17 0.0588235 0 0 1
r-313 28 0.44709 28 0.44709 9507 10645 12231
r-6 15 0.638095 15 0.638095 2 2 1
r-214 21 0.7 21 0.7 53 59 55
r-153 18 0.784314 18 0.784314 14 17 13
r-511 16 0.241667 16 0.241667 4 5 4
r-702 25 0.0366667 25 0.0366667 3 2 100001
r-415 18 0.0196078 18 0.0196078 0 0 0
r-352 11 0.509091 11 0.509091 0 0 0
r-786 10 0.0666667 10 0.0666667 0 0 0
r-254 20 0.115789 20 0.115789 3 5 10
r-228 19 0.116959 19 0.116959 1 1 0
r-242 25 0.81 25 0.81 540 659 473
r-664 24 0.275362 24 0.275362 316 337 228
r-424 19 0.643275 19 0.643275 54 56 50
r-766 21 0.790476 21 0.790476 65 63 57
r-430 26 0.455385 26 0.455385 6452 6596 5062
r-169 25 0.0266667 25 0.0266667 100000 100000 100006
r-65 26 0.190769 26 0.190769 359 397 289
r-846 21 0.561905 21 0.561905 172 163 201
r-634 20 0.578947 20 0.578947 122 114 104
r-794 30 0.186207 30 0.186207 3436 3867 3470
r-787 14 0.362637 14 0.362637 2 1 1
r-618 27 0.37037 27 0.37037 6408 7306 6188
r-397 16 0.15 16 0.15 0 0 0
r-338 30 0.278161 30 0.278161 19805 21315 14233
r-331 20 0.426316 20 0.426316 157 156 128
r-531 25 0.686667 25 0.686667 1486 1661 1395
r-800 23 0.73913 23 0.73913 228 264 251
r-234 22 0.619048 22 0.619048 385 373 315
r-353 28 0.269841 28 0.269841 3694 4167 5775
r-279 22 0.359307 22 0.359307 260 298 309
r-797 18 0.529412 18 0.529412 47 42 35
r-930 24 0.775362 24 0.775362 554 576 464
r-244 16 0.458333 16 0.458333 8 7 8
r-509 26 0.926154 26 0.926154 323 491 72
r-193 10 0.311111 10 0.311111 0 0 0
r-795 30 0.177011 30 0.177011 10052 12068 7591
r-174 26 0.323077 26 0.323077 2085 2102 2178
r-609 19 0.929825 19 0.929825 22 22 2
r-497 30 0.68046 30 0.68046 22404 23583 22162
r-482 22 0.961039 22 0.961039 0 0 45506
r-507 24 0.0543478 24 0.0543478 100000 100004 100009
r-440 21 0.938095 21 0.938095 2 1901 17380
r-587 16 0.0416667 16 0.0416667 0 0 0
r-723 25 0.963333 25 0.963333 1 1 100001
r-710 17 0.654412 17 0.654412 20 22 14
r-751 19 0.0116959 19 0.0116959 0 0 0
r-76 28 0.28836 28 0.28836 7272 7674 6291
r-867 29 0.711823 29 0.711823 13932 14538 12298
r-422 22 0.861472 22 0.861472 4 4 2
r-156 13 0.705128 13 0.705128 0 0 1
r-192 25 0.173333 25 0.173333 199 234 205
r-354 14 0.0769231 14 0.0769231 1 1 22
r-879 20 0.0526316 20 0.0526316 0 0 0
r-663 30 0.0505747 30 0.0505747 10510 12235 100005
r-402 12 0.848485 12 0.848485 0 0 0
r-304 14 0.373626 14 0.373626 0 0 1
r-494 29 0.374384 29 0.374384 22500 23424 20251
r-201 30 0.967816 30 0.967816 100001 100009 100003
r-296 30 0.806897 30 0.806897 2876 3204 2182
r-97 25 0.67 25 0.67 2878 3409 2749
r-951 20 0.347368 20 0.347368 119 95 51
r-694 14 0.692308 14 0.692308 1 1 1
r-654 30 0.367816 30 0.367816 19796 24059 28474
r-656 12 0.636364 12 0.636364 0 0 0
r-754 27 0.883191 27 0.883191 187 261 117
r-147 23 0.640316 23 0.640316 599 662 538
r-518 29 0.300493 29 0.300493 15701 16586 13895
r-726 15 0.333333 15 0.333333 2 2 1
r-121 23 0.0474308 23 0.0474308 100004 100008 16255
r-164 13 0.538462 13 0.538462 0 0 1
r-453 22 0.549784 22 0.549784 321 283 208
r-333 15 0.914286 15 0.914286 0 0 0
r-158 26 0.975385 26 0.975385 100008 100003 1
r-142 30 0.963218 30 0.963218 100000 100000 199
r-395 11 0.436364 11 0.436364 0 0 0
