instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped
r-73 15 0.27619 38 0.28734 5331 89485 5331 81841 5424 5332 94848 5332 1 42837 1
r-220 39 0.302294 23 0.320158 37650036 10018922 10018922 39075533 10144518 62516032 14301801 14301801 36190094 12744371 12744371
r-934 28 0.312169 25 0.29 6496067 7275433 7275433 7654416 6534170 10976600 11556161 11556161 7015179 6521009 6521009
r-948 10 0.222222 27 0.270655 1 1 1 1 1 1 1 1 1 1 1
r-853 43 0.302326 15 0.342857 425661 18179 18179 433486 19052 488806 18181 18181 426071 6843 6843
r-64 45 0.319192 27 0.327635 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-612 25 0.306667 25 0.306667 2109388 1740276 2109388 2278048 1540653 3408878 2829349 3408878 1996815 1766687 1996815
r-469 13 0.397436 16 0.275 1841 8002 1841 5805 1813 2272 11954 2272 2130 6336 2130
r-131 49 0.295918 15 0.361905 668616 9645 9645 688625 9749 807065 9647 9647 672692 6629 6629
r-564 39 0.287449 13 0.269231 114935 1 1 114935 1 114936 2 2 103103 1 1
r-858 42 0.277584 16 0.333333 1782552 87181 87181 1818628 89064 2369872 99437 99437 1182393 49316 49316
r-861 48 0.296986 41 0.282927 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-56 15 0.27619 26 0.236923 5814 80378 5814 67808 6153 6557 105353 6557 8618 72787 8618
r-529 33 0.285985 29 0.275862 92149410 53539924 53539924 101796077 51455273 156620773 85886484 85886484 78532419 60659451 60659451
r-593 47 0.295097 32 0.296371 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-559 11 0.236364 50 0.315102 1 1 1 1 1 1 1 1 1 1 1
r-870 47 0.292322 10 0.222222 1 1 1 1 1 1 1 1 1 1 1
r-790 13 0.320513 32 0.318548 7888 160682 7888 145145 8006 7890 196102 7890 10380 132352 10380
r-266 24 0.278986 24 0.289855 904424 966549 904424 984866 839055 1441202 1484272 1441202 992799 876063 992799
r-232 39 0.28475 30 0.305747 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-809 19 0.350877 12 0.287879 5460 796 796 5748 740 6983 798 798 4919 680 680
