instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped
r-983 24 0.434783 24 0.514493 2211022 2157706 2157706 2333554 1966189 3818502 3679390 3679390 2638450 2385941 2385941
r-28 24 0.362319 24 0.221014 930712 1398898 930712 1578841 1059889 1429225 2361179 1429225 543099 1181557 543099
r-859 24 0.416667 24 0.17029 268339 673733 268339 558508 559812 417895 1142064 417895 505956 570927 505956
r-403 24 0.521739 24 0.623188 1974853 2839452 1974853 2759620 2283777 3320003 5336552 3320003 2462381 2431232 2462381
r-711 24 0.398551 24 0.344203 1322405 1705581 1322405 1846268 1510570 2275528 3025185 2275528 1345164 1478081 1345164
r-475 24 0.746377 24 0.721014 682980 550913 550913 1009771 494592 1055580 835612 835612 990075 590103 590103
r-942 24 0.307971 24 0.452899 2061742 1362111 1362111 1751718 1507295 3677925 2175853 2175853 2086463 1458295 1458295
r-108 24 0.648551 24 0.503623 2044639 1283078 1283078 1718780 1297861 3877904 2155893 2155893 2054784 1424898 1424898
r-282 24 0.847826 24 0.181159 55573 60571 60571 71809 36631 84729 91510 91510 85636 54047 54047
r-911 24 0.721014 24 0.336957 303731 280625 280625 454936 196578 459939 434366 434366 281065 269286 269286
r-853 24 0.543478 24 0.855072 102470 413026 102470 361530 282598 147532 676701 147532 116708 528469 116708
r-692 24 0.807971 24 0.655797 1151431 401114 401114 895414 521150 1756898 572501 572501 1329591 486297 486297
r-844 24 0.666667 24 0.518116 1836642 1088423 1088423 1481125 1134360 3412766 1810009 1810009 1414632 1065402 1065402
r-562 24 0.423913 24 0.873188 23476 166448 23476 139922 75639 33853 240793 33853 37184 84182 37184
r-733 24 0.0434783 24 0.98913 704 2655 704 2664 1615 5725 9603 5725 2801 2865 2801
r-105 24 0.17029 24 0.923913 19007 27991 19007 27049 17472 21169 47223 21169 17395 32851 17395
r-257 24 0.84058 24 0.681159 459766 250736 250736 329448 394067 702064 341392 341392 514238 1038155 1038155
r-747 24 0.913043 24 0.0362319 1028 4871 1028 2949 3253 4947 11701 4947 1615 3763 1615
r-467 24 0.434783 24 0.224638 542584 1213321 542584 1271768 970639 850688 2105340 850688 629378 1432736 629378
r-870 24 0.416667 24 0.942029 15256 199103 15256 149055 60429 22353 295438 22353 38692 211055 38692
r-260 24 0.807971 24 0.981884 1473557 -1 1473557 -1 -1 1600446 -1 1600446 14927747 -1 14927747
r-757 24 0.166667 24 0.858696 30717 42515 30717 38199 23839 45928 65678 45928 42833 36337 42833
r-564 24 0.746377 24 0.938406 257222 8595333 257222 5106109 1663823 320616 10498936 320616 2552861 8651724 2552861
r-199 24 0.728261 24 0.0144928 4965 32160 4965 29204 18652 9646 81642 9646 11229 36656 11229
r-247 24 0.539855 24 0.800725 203470 357309 203470 484836 277589 336930 645452 336930 212208 271651 212208
r-646 24 0.855072 24 0.82971 149496 112276 112276 170104 103187 192990 145027 145027 159468 184391 184391
r-136 24 0.865942 24 0.82971 282486 91478 91478 238624 93269 341329 111855 111855 1279351 616415 616415
r-56 24 0.492754 24 0.873188 54918 288821 54918 209202 139301 83356 421807 83356 60597 259702 60597
r-778 24 0.822464 24 0.952899 33947 84226377 33947 41391170 14776158 40252 88474983 40252 84265 82295820 84265
r-583 24 0.597826 24 0.985507 72694 48763005 72694 55081051 1564248 92334 57395859 92334 1523289 49701554 1523289
r-361 24 0.0905797 24 0.804348 24451 11936 11936 17272 6268 40632 19226 19226 38501 16115 16115
r-962 24 0.336957 24 0.688406 369865 430176 369865 507767 324044 569718 684717 569718 312514 514747 312514
r-102 24 0.00724638 24 0.181159 -1 7903371 7903371 -1 7894677 -1 8362946 8362946 -1 -1 -1
r-875 24 0.764493 24 0.264493 122712 138441 138441 170195 79567 178992 213303 213303 155361 79792 79792
r-27 24 0.952899 24 0.307971 32137 4366 4366 16860 2506 60447 8725 8725 33391 12475 12475
r-591 24 0.467391 24 0.532609 2024488 2026876 2024488 2327947 1846387 3534367 3549064 3534367 2414378 2458652 2414378
r-235 24 0.931159 24 0.0507246 2930 3837 2930 4138 2564 6727 10176 6727 2316 4499 2316
r-274 24 0.594203 24 0.945652 40760 1913404 40760 1542659 248021 57298 2706985 57298 107920 2197556 107920
r-998 24 0.474638 24 0.115942 67443 187571 67443 329593 84886 97705 324883 97705 158233 282415 158233
r-552 24 0.956522 24 0.00362319 550 2181 550 2013 1041 5521 6952 5521 557 2409 557
r-277 24 0.634058 24 0.550725 2746996 2204786 2204786 2674119 2093424 4904614 3735392 3735392 2194671 2172496 2172496
r-992 24 0.32971 24 0.938406 16037 73565 16037 64655 35865 25394 90558 25394 12801 44270 12801
r-265 24 0.884058 24 0.101449 14915 14866 14915 19507 10280 25089 25695 25089 18024 16302 18024
r-700 24 0.228261 24 0.257246 568921 375336 375336 574037 336828 801171 502832 502832 683270 460508 460508
r-568 24 0.768116 24 0.322464 108281 136569 136569 112070 81422 165565 208631 208631 117766 152694 152694
r-611 24 0.865942 24 0.398551 61870 27791 27791 49745 17099 96333 41208 41208 101868 27060 27060
r-311 24 0.431159 24 0.141304 99256 213450 99256 236603 162843 147103 376228 147103 60283 238809 60283
r-87 24 0.231884 24 0.927536 7734 23990 7734 18655 15410 13207 48522 13207 14744 29837 14744
r-627 24 0.42029 24 0.594203 968716 1570049 968716 1063078 1321767 1618954 2602779 1618954 1166609 1128987 1166609
r-13 24 0.971014 24 0.557971 1257546 24416 24416 822360 21840 1872574 37585 37585 1354387 225609 225609
r-292 24 0.626812 24 0.282609 511761 383941 511761 683563 332513 834827 573859 834827 567226 993887 567226
