maxlab	mean
1	0.614785858413814
2	0.744568524439069
3	0.84253369811739
4	0.944703739195483
5	1.04376955016661
6	1.07599495275966
7	1.16182003182003
8	1.21563072729739
9	1.27817882734549
10	1.31367296283963
11	1.33427618677619
12	1.4316642308309
13	1.39113756613757
14	1.42889329805996
15	1.47463524130191
16	1.44745350328684
17	1.45055635722302
18	1.52186588103255
19	1.59255691839025
20	1.51369929453263
