maxlab	mean
1	0.622166620071426
2	0.741967522164522
3	0.86027890789798
4	0.95609500120336
5	1.03774195575666
6	1.08776014109347
7	1.16302731219398
8	1.21289577706244
9	1.27117891367891
10	1.30351031684365
11	1.32850766517433
12	1.40243287576621
13	1.38772887606221
14	1.42294171877505
15	1.45609948693282
16	1.45796376463043
17	1.45304834054834
18	1.52234648067981
19	1.60651234567901
20	1.49561728395062
