instance n_pattern n_target runtime_realkdown runtime_kdown solsize solsize_over_n_pattern
si2_m4Dr2_m1296.05 259 1296 1316 20 259 1.0
si2_m4Dr2_m1296.09 259 1296 1452 26 259 1.0
si2_m4Dr2_m1296.02 259 1296 1604 82 259 1.0
si2_m4Dr2_m1296.07 259 1296 1476 81 259 1.0
si2_m4Dr2_m1296.00 259 1296 1313 17 259 1.0
si2_m4Dr2_m1296.06 259 1296 1580 137 259 1.0
si2_m4Dr2_m1296.08 259 1296 1360 24 259 1.0
si2_m4Dr2_m1296.01 259 1296 1606 429 259 1.0
si2_m4Dr2_m1296.03 259 1296 1321 24 259 1.0
si2_m4Dr2_m1296.04 259 1296 1409 18 259 1.0
si4_b06m_m800.08 320 800 569 12 320 1.0
si4_b06m_m800.00 320 800 533 9 320 1.0
si4_b06m_m800.06 320 800 520 9 320 1.0
si4_b06m_m800.05 320 800 682 9 320 1.0
si4_b06m_m800.04 320 800 521 7 320 1.0
si4_b06m_m800.09 320 800 681 8 320 1.0
si4_b06m_m800.01 320 800 537 11 320 1.0
si4_b06m_m800.07 320 800 546 8 320 1.0
si4_b06m_m800.03 320 800 778 8 320 1.0
si4_b06m_m800.02 320 800 548 7 320 1.0
si6_m4Dr2_m625.08 375 625 568 6 375 1.0
si6_m4Dr2_m625.09 375 625 428 6 375 1.0
si6_m4Dr2_m625.05 375 625 459 16 375 1.0
si6_m4Dr2_m625.01 375 625 396 10 375 1.0
si6_m4Dr2_m625.06 375 625 490 10 375 1.0
si6_m4Dr2_m625.00 375 625 424 10 375 1.0
si6_m4Dr2_m625.03 375 625 405 10 375 1.0
si6_m4Dr2_m625.02 375 625 652 9 375 1.0
si6_m4Dr2_m625.07 375 625 404 6 375 1.0
si6_m4Dr2_m625.04 375 625 399 8 375 1.0
si2_m4D_m1296.01 259 1296 1604 100 259 1.0
si2_m4D_m1296.08 259 1296 1360 25 259 1.0
si2_m4D_m1296.06 259 1296 1397 179 259 1.0
si2_m4D_m1296.05 259 1296 1176 20 259 1.0
si2_m4D_m1296.09 259 1296 1179 51 259 1.0
si2_m4D_m1296.03 259 1296 1359 93 259 1.0
si2_m4D_m1296.07 259 1296 1392 24 259 1.0
si2_m4D_m1296.02 259 1296 1366 25 259 1.0
si2_m4D_m1296.04 259 1296 1316 28 259 1.0
si2_m4D_m1296.00 259 1296 1201 28 259 1.0
si4_b03_m800.05 320 800 640 10 320 1.0
si4_b03_m800.00 320 800 672 10 320 1.0
si4_b03_m800.08 320 800 624 7 320 1.0
si4_b03_m800.09 320 800 685 6 320 1.0
si4_b03_m800.03 320 800 712 7 320 1.0
si4_b03_m800.02 320 800 743 6 320 1.0
si4_b03_m800.04 320 800 824 8 320 1.0
si4_b03_m800.01 320 800 727 6 320 1.0
si4_b03_m800.06 320 800 670 6 320 1.0
si4_b03_m800.07 320 800 621 9 320 1.0
si6_m4D_m1296.02 777 1296 2339 102 777 1.0
si6_m4D_m1296.07 777 1296 3528 55 777 1.0
si6_m4D_m1296.05 777 1296 2835 89 777 1.0
si6_m4D_m1296.09 777 1296 4045 86 777 1.0
si6_m4D_m1296.00 777 1296 126328 86110 777 1.0
si6_m4D_m1296.08 777 1296 3241 66 777 1.0
si6_m4D_m1296.04 777 1296 2338 105 777 1.0
si6_m4D_m1296.06 777 1296 3650 57 777 1.0
si6_m4D_m1296.01 777 1296 248607 23844 777 1.0
si6_m4D_m1296.03 777 1296 11161 1609 777 1.0
si6_r001_m200.05 120 200 34 42 120 1.0
si6_r001_m200.09 120 200 60 10 120 1.0
si6_r001_m200.07 120 200 32 0 120 1.0
si6_r001_m200.02 120 200 34 5 120 1.0
si6_r001_m200.01 120 200 33 1 120 1.0
si6_r001_m200.00 120 200 55 1 120 1.0
si6_r001_m200.04 120 200 33 8 120 1.0
si6_r001_m200.06 120 200 33 0 120 1.0
si6_r001_m200.08 120 200 33 1 120 1.0
si6_r001_m200.03 120 200 34 1 120 1.0
si4_b06_m400.06 160 400 132 2 160 1.0
si4_b06_m400.07 160 400 171 3 160 1.0
si4_b06_m400.09 160 400 186 2 160 1.0
si4_b06_m400.01 160 400 155 3 160 1.0
si4_b06_m400.04 160 400 142 2 160 1.0
si4_b06_m400.03 160 400 140 2 160 1.0
si4_b06_m400.00 160 400 146 2 160 1.0
si4_b06_m400.05 160 400 227 3 160 1.0
si4_b06_m400.08 160 400 133 2 160 1.0
si4_b06_m400.02 160 400 136 2 160 1.0
si2_m4Dr6_m256.06 51 256 32 7 51 1.0
si2_m4Dr6_m256.05 51 256 32 0 51 1.0
si2_m4Dr6_m256.09 51 256 32 10 51 1.0
si2_m4Dr6_m256.00 51 256 33 12 51 1.0
si2_m4Dr6_m256.07 51 256 32 1 51 1.0
si2_m4Dr6_m256.04 51 256 33 1 51 1.0
si2_m4Dr6_m256.02 51 256 33 3 51 1.0
si2_m4Dr6_m256.01 51 256 34 50 51 1.0
si2_m4Dr6_m256.08 51 256 58 5 51 1.0
si2_m4Dr6_m256.03 51 256 32 1 51 1.0
si6_r01_m200.04 120 200 1349 2 120 1.0
si6_r01_m200.08 120 200 656 6 120 1.0
si6_r01_m200.02 120 200 3091 9 120 1.0
si6_r01_m200.09 120 200 4904 1 120 1.0
si6_r01_m200.07 120 200 1043 5 120 1.0
si6_r01_m200.00 120 200 1100 12 120 1.0
si6_r01_m200.01 120 200 12811 2 120 1.0
si6_r01_m200.03 120 200 3007 25 120 1.0
si6_r01_m200.05 120 200 4616 8 120 1.0
si6_r01_m200.06 120 200 4707 3 120 1.0
si2_b03m_m800.03 160 800 500 6 160 1.0
si2_b03m_m800.02 160 800 329 7 160 1.0
si2_b03m_m800.09 160 800 432 9 160 1.0
si2_b03m_m800.04 160 800 352 6 160 1.0
si2_b03m_m800.06 160 800 331 6 160 1.0
si2_b03m_m800.05 160 800 478 9 160 1.0
si2_b03m_m800.01 160 800 344 9 160 1.0
si2_b03m_m800.08 160 800 388 6 160 1.0
si2_b03m_m800.07 160 800 340 1000000 160 1.0
si2_b03m_m800.00 160 800 335 6 160 1.0
si2_r001_m200.06 40 200 39 10 40 1.0
si2_r001_m200.01 40 200 20 397 40 1.0
si2_r001_m200.02 40 200 35 170 40 1.0
si2_r001_m200.07 40 200 19 1 40 1.0
si2_r001_m200.04 40 200 20 5 40 1.0
si2_r001_m200.05 40 200 52 307734 40 1.0
si2_r001_m200.09 40 200 3833 64716 40 1.0
si2_r001_m200.03 40 200 28 2578 40 1.0
si2_r001_m200.00 40 200 21 0 40 1.0
si2_r001_m200.08 40 200 24 18380 40 1.0
si6_b03m_m800.01 480 800 686 13 480 1.0
si6_b03m_m800.08 480 800 679 9 480 1.0
si6_b03m_m800.03 480 800 681 83 480 1.0
si6_b03m_m800.00 480 800 680 13 480 1.0
si6_b03m_m800.04 480 800 790 9 480 1.0
si6_b03m_m800.05 480 800 681 9 480 1.0
si6_b03m_m800.07 480 800 676 14 480 1.0
si6_b03m_m800.06 480 800 681 13 480 1.0
si6_b03m_m800.09 480 800 694 13 480 1.0
si6_b03m_m800.02 480 800 672 14 480 1.0
si4_r005_m200.00 80 200 445 22 80 1.0
si4_r005_m200.08 80 200 132 2 80 1.0
si4_r005_m200.02 80 200 110 23 80 1.0
si4_r005_m200.05 80 200 127 2 80 1.0
si4_r005_m200.06 80 200 103 2 80 1.0
si4_r005_m200.04 80 200 872 4 80 1.0
si4_r005_m200.07 80 200 267 4 80 1.0
si4_r005_m200.09 80 200 264 6 80 1.0
si4_r005_m200.01 80 200 241 2 80 1.0
si4_r005_m200.03 80 200 207 7 80 1.0
si6_b09m_m400.03 240 400 176 4 240 1.0
si6_b09m_m400.07 240 400 275 4 240 1.0
si6_b09m_m400.00 240 400 162 3 240 1.0
si6_b09m_m400.04 240 400 163 4 240 1.0
si6_b09m_m400.06 240 400 162 4 240 1.0
si6_b09m_m400.08 240 400 159 4 240 1.0
si6_b09m_m400.02 240 400 162 3 240 1.0
si6_b09m_m400.05 240 400 159 4 240 1.0
si6_b09m_m400.09 240 400 163 5 240 1.0
si6_b09m_m400.01 240 400 162 3 240 1.0
