instance n_pattern n_target runtime_realkdown runtime_kdown solsize solsize_over_n_pattern
si6_b03_m400.00 240 400 220 3 240 1.0
si2_r005_m600.03 120 600 44232 1008 120 1.0
si2_r005_m600.00 120 600 255480 12104 120 1.0
si2_r005_m600.06 120 600 178796 3803 120 1.0
si2_r005_m600.01 120 600 162279 9707 120 1.0
si2_r005_m600.04 120 600 311834 1172 120 1.0
si2_r005_m600.09 120 600 77806 848 120 1.0
si2_r005_m600.05 120 600 502861 2024 120 1.0
si2_r005_m600.02 120 600 274352 4292 120 1.0
si2_r005_m600.08 120 600 66120 6820 120 1.0
si2_r005_m600.07 120 600 13682 1975 120 1.0
si4_r01_m600.05 240 600 1000000 340 240 1.0
si4_r01_m600.02 240 600 1000000 900 240 1.0
si4_r01_m600.03 240 600 1000000 2693 240 1.0
si4_r01_m600.07 240 600 1000000 605 240 1.0
si4_r01_m600.08 240 600 1000000 1737 240 1.0
si4_r01_m600.06 240 600 1000000 3882 240 1.0
si4_r01_m600.01 240 600 1000000 71 240 1.0
si4_r01_m600.04 240 600 1000000 24 240 1.0
si4_r01_m600.00 240 600 1000000 18 240 1.0
si4_r01_m600.09 240 600 1000000 2643 240 1.0
si2_b09_m400.04 80 400 91 1 80 1.0
si2_b09_m400.08 80 400 157 2 80 1.0
si2_b09_m400.05 80 400 91 2 80 1.0
si2_b09_m400.01 80 400 105 2 80 1.0
si2_b09_m400.03 80 400 92 1 80 1.0
si2_b09_m400.02 80 400 92 1 80 1.0
si2_b09_m400.07 80 400 92 2 80 1.0
si2_b09_m400.09 80 400 91 3 80 1.0
si2_b09_m400.06 80 400 91 1 80 1.0
si2_b09_m400.00 80 400 115 1 80 1.0
si4_b06_m200.06 80 200 50 0 80 1.0
si4_b06_m200.03 80 200 30 0 80 1.0
si4_b06_m200.02 80 200 29 0 80 1.0
si4_b06_m200.07 80 200 51 0 80 1.0
si4_b06_m200.05 80 200 29 0 80 1.0
si4_b06_m200.08 80 200 43 1 80 1.0
si4_b06_m200.00 80 200 29 1 80 1.0
si4_b06_m200.04 80 200 30 0 80 1.0
si4_b06_m200.01 80 200 50 0 80 1.0
si4_b06_m200.09 80 200 29 0 80 1.0
si4_r005_m400.06 160 400 15530 11 160 1.0
si4_r005_m400.03 160 400 2610 155 160 1.0
si4_r005_m400.07 160 400 17297 88 160 1.0
si4_r005_m400.01 160 400 5531 17 160 1.0
si4_r005_m400.04 160 400 10200 105 160 1.0
si4_r005_m400.00 160 400 10662 31 160 1.0
si4_r005_m400.09 160 400 4802 14 160 1.0
si4_r005_m400.05 160 400 4330 36 160 1.0
si4_r005_m400.08 160 400 4010 5 160 1.0
si4_r005_m400.02 160 400 4865 266 160 1.0
si4_m4Dr2_m1296.07 518 1296 2343 32 518 1.0
si4_m4Dr2_m1296.00 518 1296 1867 24 518 1.0
si4_m4Dr2_m1296.05 518 1296 2658 31 518 1.0
si4_m4Dr2_m1296.04 518 1296 1934 25 518 1.0
si4_m4Dr2_m1296.08 518 1296 2149 36 518 1.0
si4_m4Dr2_m1296.01 518 1296 1956 27 518 1.0
si4_m4Dr2_m1296.06 518 1296 1955 33 518 1.0
si4_m4Dr2_m1296.02 518 1296 1907 21 518 1.0
si4_m4Dr2_m1296.03 518 1296 2167 22 518 1.0
si4_m4Dr2_m1296.09 518 1296 2100 22 518 1.0
si6_b09_m800.03 480 800 928 9 480 1.0
si6_b09_m800.09 480 800 928 19 480 1.0
si6_b09_m800.07 480 800 934 8 480 1.0
si6_b09_m800.05 480 800 929 8 480 1.0
si6_b09_m800.04 480 800 945 9 480 1.0
si6_b09_m800.01 480 800 1046 8 480 1.0
si6_b09_m800.00 480 800 964 9 480 1.0
si6_b09_m800.02 480 800 1074 10 480 1.0
si6_b09_m800.06 480 800 940 8 480 1.0
si6_b09_m800.08 480 800 1080 12 480 1.0
si6_b06m_m400.00 240 400 166 3 240 1.0
si6_b06m_m400.08 240 400 141 4 240 1.0
si6_b06m_m400.03 240 400 146 3 240 1.0
si6_b06m_m400.04 240 400 150 3 240 1.0
si6_b06m_m400.06 240 400 185 3 240 1.0
si6_b06m_m400.07 240 400 140 2 240 1.0
si6_b06m_m400.09 240 400 144 4 240 1.0
si6_b06m_m400.02 240 400 162 4 240 1.0
si6_b06m_m400.01 240 400 139 4 240 1.0
si6_b06m_m400.05 240 400 142 3 240 1.0
si2_m4Dr4_m1296.08 259 1296 1500 35 259 1.0
si2_m4Dr4_m1296.07 259 1296 1506 30 259 1.0
si2_m4Dr4_m1296.03 259 1296 1417 24 259 1.0
si2_m4Dr4_m1296.05 259 1296 1605 18 259 1.0
si2_m4Dr4_m1296.06 259 1296 1457 19 259 1.0
si2_m4Dr4_m1296.04 259 1296 1421 936 259 1.0
si2_m4Dr4_m1296.09 259 1296 1559 33 259 1.0
si2_m4Dr4_m1296.01 259 1296 1379 19 259 1.0
si2_m4Dr4_m1296.00 259 1296 1348 23 259 1.0
si2_m4Dr4_m1296.02 259 1296 1413 31 259 1.0
si6_m4Dr6_m1296.02 777 1296 2969 39 777 1.0
si6_m4Dr6_m1296.08 777 1296 2708 29 777 1.0
si6_m4Dr6_m1296.07 777 1296 3080 43 777 1.0
si6_m4Dr6_m1296.06 777 1296 2781 34 777 1.0
si6_m4Dr6_m1296.03 777 1296 2896 34 777 1.0
si6_m4Dr6_m1296.04 777 1296 3036 29 777 1.0
si6_m4Dr6_m1296.05 777 1296 2786 31 777 1.0
si6_m4Dr6_m1296.00 777 1296 2704 35 777 1.0
si6_m4Dr6_m1296.09 777 1296 2665 44 777 1.0
si6_m4Dr6_m1296.01 777 1296 2754 29 777 1.0
si4_m4Dr2_m256.00 102 256 42 2 102 1.0
si4_m4Dr2_m256.01 102 256 41 1 102 1.0
si4_m4Dr2_m256.05 102 256 66 1 102 1.0
si4_m4Dr2_m256.04 102 256 54 1 102 1.0
si4_m4Dr2_m256.08 102 256 69 1 102 1.0
si4_m4Dr2_m256.07 102 256 43 1 102 1.0
si4_m4Dr2_m256.06 102 256 41 1 102 1.0
si4_m4Dr2_m256.02 102 256 41 1 102 1.0
si4_m4Dr2_m256.09 102 256 41 1 102 1.0
si4_m4Dr2_m256.03 102 256 65 1 102 1.0
si4_b09m_m200.01 80 200 32 1 80 1.0
si4_b09m_m200.00 80 200 32 1 80 1.0
si4_b09m_m200.03 80 200 51 0 80 1.0
si4_b09m_m200.06 80 200 31 1 80 1.0
si4_b09m_m200.02 80 200 54 0 80 1.0
si4_b09m_m200.04 80 200 50 1 80 1.0
si4_b09m_m200.05 80 200 50 1 80 1.0
si4_b09m_m200.07 80 200 31 1 80 1.0
si4_b09m_m200.08 80 200 31 0 80 1.0
si4_b09m_m200.09 80 200 44 0 80 1.0
si4_m4Dr4_m625.07 250 625 316 6 250 1.0
si4_m4Dr4_m625.05 250 625 313 8 250 1.0
si4_m4Dr4_m625.01 250 625 299 8 250 1.0
si4_m4Dr4_m625.08 250 625 345 6 250 1.0
si4_m4Dr4_m625.09 250 625 310 8 250 1.0
si4_m4Dr4_m625.00 250 625 387 13 250 1.0
si4_m4Dr4_m625.04 250 625 305 6 250 1.0
si4_m4Dr4_m625.06 250 625 426 6 250 1.0
si4_m4Dr4_m625.03 250 625 329 8 250 1.0
si4_m4Dr4_m625.02 250 625 354 7 250 1.0
si4_m4Dr4_m1296.03 518 1296 2073 22 518 1.0
si4_m4Dr4_m1296.01 518 1296 2143 24 518 1.0
si4_m4Dr4_m1296.00 518 1296 2083 24 518 1.0
si4_m4Dr4_m1296.07 518 1296 1990 22 518 1.0
si4_m4Dr4_m1296.02 518 1296 2078 21 518 1.0
si4_m4Dr4_m1296.04 518 1296 1997 23 518 1.0
si4_m4Dr4_m1296.09 518 1296 2171 25 518 1.0
si4_m4Dr4_m1296.06 518 1296 2065 44 518 1.0
si4_m4Dr4_m1296.08 518 1296 2050 26 518 1.0
si4_m4Dr4_m1296.05 518 1296 2057 40 518 1.0
si2_r005_m400.05 80 400 5164 976 80 1.0
si2_r005_m400.06 80 400 1826 471 80 1.0
si2_r005_m400.08 80 400 5276 397 80 1.0
si2_r005_m400.02 80 400 417974 1210 80 1.0
si2_r005_m400.03 80 400 9930 196 80 1.0
si2_r005_m400.00 80 400 4833 689 80 1.0
si2_r005_m400.07 80 400 31190 650 80 1.0
si2_r005_m400.09 80 400 6276 90 80 1.0
si2_r005_m400.04 80 400 13879 231 80 1.0
si2_r005_m400.01 80 400 4129 18 80 1.0
si2_b06m_m400.03 80 400 104 1 80 1.0
si2_b06m_m400.06 80 400 136 2 80 1.0
si2_b06m_m400.05 80 400 91 2 80 1.0
si2_b06m_m400.01 80 400 137 2 80 1.0
si2_b06m_m400.00 80 400 136 2 80 1.0
si2_b06m_m400.08 80 400 83 2 80 1.0
si2_b06m_m400.07 80 400 138 1 80 1.0
si2_b06m_m400.09 80 400 92 2 80 1.0
si2_b06m_m400.04 80 400 106 2 80 1.0
si2_b06m_m400.02 80 400 89 3 80 1.0
si6_r005_m600.02 360 600 64630 30 360 1.0
si6_r005_m600.08 360 600 41807 11 360 1.0
si6_r005_m600.03 360 600 87831 19 360 1.0
si6_r005_m600.05 360 600 105000 15 360 1.0
si6_r005_m600.07 360 600 58105 25 360 1.0
si6_r005_m600.04 360 600 70537 15 360 1.0
si6_r005_m600.06 360 600 117887 83 360 1.0
si6_r005_m600.01 360 600 17545 14 360 1.0
si6_r005_m600.09 360 600 147886 9 360 1.0
si6_r005_m600.00 360 600 32914 18 360 1.0
si6_r005_m200.02 120 200 160 3 120 1.0
si6_r005_m200.08 120 200 143 3 120 1.0
si6_r005_m200.09 120 200 149 2 120 1.0
si6_r005_m200.05 120 200 187 13 120 1.0
si6_r005_m200.03 120 200 130 2 120 1.0
si6_r005_m200.00 120 200 186 11 120 1.0
si6_r005_m200.04 120 200 148 1 120 1.0
si6_r005_m200.07 120 200 108 2 120 1.0
si6_r005_m200.01 120 200 143 1 120 1.0
si6_r005_m200.06 120 200 89 2 120 1.0
si2_m4Dr6_m625.06 125 625 248 4 125 1.0
si2_m4Dr6_m625.08 125 625 220 6 125 1.0
si2_m4Dr6_m625.07 125 625 243 6 125 1.0
si2_m4Dr6_m625.03 125 625 221 10 125 1.0
si2_m4Dr6_m625.04 125 625 217 7 125 1.0
si2_m4Dr6_m625.05 125 625 311 6 125 1.0
si2_m4Dr6_m625.09 125 625 224 6 125 1.0
si2_m4Dr6_m625.01 125 625 254 10 125 1.0
si2_m4Dr6_m625.02 125 625 231 15 125 1.0
si2_m4Dr6_m625.00 125 625 218 5 125 1.0
si6_b03_m800.02 480 800 964 8 480 1.0
si6_b03_m800.04 480 800 1003 7 480 1.0
si6_b03_m800.03 480 800 941 12 480 1.0
si6_b03_m800.05 480 800 895 7 480 1.0
si6_b03_m800.06 480 800 894 8 480 1.0
si6_b03_m800.01 480 800 919 12 480 1.0
si6_b03_m800.00 480 800 997 18 480 1.0
si6_b03_m800.07 480 800 931 12 480 1.0
si6_b03_m800.09 480 800 910 12 480 1.0
si6_b03_m800.08 480 800 937 9 480 1.0
si4_m4D_m1296.09 518 1296 1566 39 518 1.0
si4_m4D_m1296.06 518 1296 1697 25 518 1.0
si4_m4D_m1296.05 518 1296 1618 39 518 1.0
si4_m4D_m1296.00 518 1296 3437 507 518 1.0
si4_m4D_m1296.03 518 1296 13756 287 518 1.0
si4_m4D_m1296.04 518 1296 1593 40 518 1.0
si4_m4D_m1296.02 518 1296 4299 199 518 1.0
si4_m4D_m1296.01 518 1296 1638 74 518 1.0
si4_m4D_m1296.07 518 1296 1628 23 518 1.0
si6_b03m_m400.03 240 400 168 2 240 1.0
si6_b03m_m400.01 240 400 138 5 240 1.0
si6_b03m_m400.09 240 400 134 2 240 1.0
si6_b03m_m400.08 240 400 149 3 240 1.0
si6_b03m_m400.07 240 400 150 3 240 1.0
si6_b03m_m400.02 240 400 156 4 240 1.0
si6_b03m_m400.05 240 400 217 3 240 1.0
si6_b03m_m400.00 240 400 205 3 240 1.0
si6_b03m_m400.06 240 400 149 4 240 1.0
si6_b03m_m400.04 240 400 131 2 240 1.0
si4_m4D_m256.07 102 256 38 1 102 1.0
si4_m4D_m256.06 102 256 38 1 102 1.0
si4_m4D_m256.05 102 256 60 2 102 1.0
si4_m4D_m256.08 102 256 65 2 102 1.0
si4_m4D_m256.04 102 256 63 3 102 1.0
si4_m4D_m256.09 102 256 61 2 102 1.0
si4_m4D_m256.02 102 256 60 1 102 1.0
si4_m4D_m256.00 102 256 40 2 102 1.0
si4_m4D_m256.03 102 256 39 1 102 1.0
si4_m4D_m256.01 102 256 39 2 102 1.0
si6_b06m_m800.07 480 800 725 19 480 1.0
si6_b06m_m800.04 480 800 707 10 480 1.0
si6_b06m_m800.01 480 800 675 16 480 1.0
si6_b06m_m800.00 480 800 748 15 480 1.0
si6_b06m_m800.05 480 800 684 10 480 1.0
si6_b06m_m800.08 480 800 696 10 480 1.0
si6_b06m_m800.09 480 800 736 18 480 1.0
si6_b06m_m800.02 480 800 704 10 480 1.0
si6_b06m_m800.03 480 800 718 10 480 1.0
si6_b06m_m800.06 480 800 757 10 480 1.0
si4_r001_m400.08 160 400 585 7674 160 1.0
si4_r001_m400.06 160 400 134 141436 160 1.0
si4_r001_m400.02 160 400 176 8 160 1.0
si4_r001_m400.00 160 400 170 44 160 1.0
si4_r001_m400.04 160 400 166 6362 160 1.0
si4_r001_m400.03 160 400 145 266 160 1.0
si4_r001_m400.09 160 400 220 4 160 1.0
si4_r001_m400.05 160 400 653 4927 160 1.0
si4_r001_m400.01 160 400 148 109 160 1.0
si4_r001_m400.07 160 400 191 420 160 1.0
si2_m4Dr6_m1296.00 259 1296 1496 18 259 1.0
si2_m4Dr6_m1296.01 259 1296 1437 20 259 1.0
si2_m4Dr6_m1296.09 259 1296 1352 28 259 1.0
si2_m4Dr6_m1296.06 259 1296 1350 17 259 1.0
si2_m4Dr6_m1296.03 259 1296 1319 18 259 1.0
si2_m4Dr6_m1296.02 259 1296 1529 25 259 1.0
si2_m4Dr6_m1296.05 259 1296 1511 21 259 1.0
si2_m4Dr6_m1296.08 259 1296 1395 18 259 1.0
si2_m4Dr6_m1296.04 259 1296 1643 39 259 1.0
si2_m4Dr6_m1296.07 259 1296 1396 47 259 1.0
si2_b03_m800.07 160 800 392 5 160 1.0
si2_b03_m800.08 160 800 392 7 160 1.0
si2_b03_m800.04 160 800 395 8 160 1.0
si2_b03_m800.05 160 800 433 6 160 1.0
si2_b03_m800.09 160 800 391 7 160 1.0
si2_b03_m800.00 160 800 391 6 160 1.0
si2_b03_m800.02 160 800 395 6 160 1.0
si2_b03_m800.03 160 800 509 9 160 1.0
si2_b03_m800.01 160 800 390 5 160 1.0
si2_b03_m800.06 160 800 390 5 160 1.0
si4_b03m_m200.05 80 200 23 0 80 1.0
si4_b03m_m200.02 80 200 23 1 80 1.0
si4_b03m_m200.04 80 200 22 0 80 1.0
si4_b03m_m200.07 80 200 35 1 80 1.0
si4_b03m_m200.00 80 200 25 1 80 1.0
si4_b03m_m200.06 80 200 23 0 80 1.0
si4_b03m_m200.03 80 200 38 0 80 1.0
si4_b03m_m200.09 80 200 23 0 80 1.0
si4_b03m_m200.08 80 200 37 1 80 1.0
si4_b03m_m200.01 80 200 37 0 80 1.0
si2_b06m_m200.04 40 200 33 0 40 1.0
si2_b06m_m200.03 40 200 32 0 40 1.0
si2_b06m_m200.08 40 200 19 0 40 1.0
si2_b06m_m200.06 40 200 19 0 40 1.0
si2_b06m_m200.05 40 200 20 0 40 1.0
si2_b06m_m200.02 40 200 19 1 40 1.0
si2_b06m_m200.00 40 200 27 0 40 1.0
si2_b06m_m200.01 40 200 20 0 40 1.0
si2_b06m_m200.09 40 200 20 0 40 1.0
si2_b06m_m200.07 40 200 20 0 40 1.0
si6_m4Dr4_m625.05 375 625 414 10 375 1.0
si6_m4Dr4_m625.09 375 625 408 9 375 1.0
si6_m4Dr4_m625.04 375 625 517 15 375 1.0
si6_m4Dr4_m625.00 375 625 472 10 375 1.0
si6_m4Dr4_m625.08 375 625 465 17 375 1.0
si6_m4Dr4_m625.06 375 625 398 7 375 1.0
si6_m4Dr4_m625.01 375 625 435 9 375 1.0
si6_m4Dr4_m625.03 375 625 413 12 375 1.0
si6_m4Dr4_m625.07 375 625 464 10 375 1.0
si6_m4Dr4_m625.02 375 625 406 7 375 1.0
si4_b03_m200.06 80 200 28 0 80 1.0
si4_b03_m200.02 80 200 47 0 80 1.0
si4_b03_m200.07 80 200 45 0 80 1.0
si4_b03_m200.04 80 200 33 0 80 1.0
si4_b03_m200.03 80 200 28 0 80 1.0
si4_b03_m200.05 80 200 28 0 80 1.0
si4_b03_m200.09 80 200 29 0 80 1.0
si4_b03_m200.01 80 200 29 0 80 1.0
si4_b03_m200.00 80 200 28 0 80 1.0
si4_b03_m200.08 80 200 46 0 80 1.0
si2_b03_m400.03 80 400 138 2 80 1.0
si2_b03_m400.06 80 400 140 1 80 1.0
si2_b03_m400.07 80 400 83 1 80 1.0
si2_b03_m400.01 80 400 82 1 80 1.0
si2_b03_m400.05 80 400 140 1 80 1.0
si2_b03_m400.09 80 400 83 2 80 1.0
si2_b03_m400.02 80 400 83 1 80 1.0
si2_b03_m400.00 80 400 84 2 80 1.0
si2_b03_m400.08 80 400 140 1 80 1.0
si2_b03_m400.04 80 400 83 1 80 1.0
si4_b09_m200.02 80 200 31 1 80 1.0
si4_b09_m200.01 80 200 52 0 80 1.0
si4_b09_m200.00 80 200 32 0 80 1.0
si4_b09_m200.09 80 200 53 0 80 1.0
si4_b09_m200.08 80 200 51 1 80 1.0
si4_b09_m200.04 80 200 33 0 80 1.0
si4_b09_m200.06 80 200 52 1 80 1.0
si4_b09_m200.05 80 200 31 0 80 1.0
si4_b09_m200.07 80 200 54 0 80 1.0
si4_b09_m200.03 80 200 31 1 80 1.0
si4_m4Dr4_m256.05 102 256 42 1 102 1.0
si4_m4Dr4_m256.09 102 256 68 1 102 1.0
si4_m4Dr4_m256.01 102 256 46 1 102 1.0
si4_m4Dr4_m256.03 102 256 63 1 102 1.0
si4_m4Dr4_m256.06 102 256 72 1 102 1.0
si4_m4Dr4_m256.07 102 256 61 1 102 1.0
si4_m4Dr4_m256.00 102 256 71 1 102 1.0
si4_m4Dr4_m256.02 102 256 43 1 102 1.0
si4_m4Dr4_m256.08 102 256 64 1 102 1.0
si4_m4Dr4_m256.04 102 256 53 1 102 1.0
si2_m4D_m625.01 125 625 210 28 125 1.0
si2_m4D_m625.00 125 625 206 8 125 1.0
si2_m4D_m625.08 125 625 208 8 125 1.0
si2_m4D_m625.04 125 625 273 5 125 1.0
si2_m4D_m625.09 125 625 230 5 125 1.0
si2_m4D_m625.02 125 625 231 33 125 1.0
si2_m4D_m625.05 125 625 212 5 125 1.0
si2_m4D_m625.06 125 625 208 11 125 1.0
si2_m4D_m625.07 125 625 226 9 125 1.0
si2_m4D_m625.03 125 625 261 37 125 1.0
si4_b09_m800.03 320 800 689 10 320 1.0
si4_b09_m800.02 320 800 643 8 320 1.0
si4_b09_m800.09 320 800 722 7 320 1.0
si4_b09_m800.06 320 800 647 7 320 1.0
si4_b09_m800.04 320 800 659 7 320 1.0
si4_b09_m800.05 320 800 645 10 320 1.0
si4_b09_m800.00 320 800 644 7 320 1.0
si4_b09_m800.01 320 800 659 8 320 1.0
si4_b09_m800.07 320 800 645 10 320 1.0
si4_b09_m800.08 320 800 639 8 320 1.0
si2_m4Dr4_m256.05 51 256 31 3 51 1.0
si2_m4Dr4_m256.02 51 256 52 1 51 1.0
si2_m4Dr4_m256.00 51 256 49 1 51 1.0
si2_m4Dr4_m256.07 51 256 50 5 51 1.0
si2_m4Dr4_m256.03 51 256 32 13 51 1.0
si2_m4Dr4_m256.06 51 256 51 1 51 1.0
si2_m4Dr4_m256.04 51 256 52 9 51 1.0
si2_m4Dr4_m256.09 51 256 32 1 51 1.0
si2_m4Dr4_m256.01 51 256 31 0 51 1.0
si2_m4Dr4_m256.08 51 256 31 6 51 1.0
si6_m4Dr2_m256.04 153 256 56 2 153 1.0
si6_m4Dr2_m256.08 153 256 53 2 153 1.0
si6_m4Dr2_m256.00 153 256 54 1 153 1.0
si6_m4Dr2_m256.07 153 256 51 1 153 1.0
si6_m4Dr2_m256.01 153 256 69 1 153 1.0
si6_m4Dr2_m256.09 153 256 77 2 153 1.0
si6_m4Dr2_m256.03 153 256 64 1 153 1.0
si6_m4Dr2_m256.05 153 256 84 1 153 1.0
si6_m4Dr2_m256.02 153 256 89 2 153 1.0
si6_m4Dr2_m256.06 153 256 87 4 153 1.0
si6_b06_m800.00 480 800 1053 7 480 1.0
si6_b06_m800.05 480 800 903 8 480 1.0
si6_b06_m800.02 480 800 1254 8 480 1.0
si6_b06_m800.07 480 800 934 12 480 1.0
si6_b06_m800.08 480 800 998 12 480 1.0
si6_b06_m800.09 480 800 904 8 480 1.0
si6_b06_m800.06 480 800 939 8 480 1.0
si6_b06_m800.01 480 800 921 8 480 1.0
si6_b06_m800.04 480 800 915 7 480 1.0
si6_b06_m800.03 480 800 911 12 480 1.0
si4_b09m_m800.06 320 800 625 9 320 1.0
si4_b09m_m800.01 320 800 628 8 320 1.0
si4_b09m_m800.02 320 800 777 12 320 1.0
si4_b09m_m800.08 320 800 599 13 320 1.0
si4_b09m_m800.04 320 800 593 9 320 1.0
si4_b09m_m800.03 320 800 619 8 320 1.0
si4_b09m_m800.09 320 800 681 11 320 1.0
si4_b09m_m800.05 320 800 609 8 320 1.0
si4_b09m_m800.00 320 800 597 10 320 1.0
si4_b09m_m800.07 320 800 606 12 320 1.0
si2_b06_m800.04 160 800 422 6 160 1.0
si2_b06_m800.07 160 800 406 8 160 1.0
si2_b06_m800.02 160 800 396 9 160 1.0
si2_b06_m800.00 160 800 403 9 160 1.0
si2_b06_m800.03 160 800 397 6 160 1.0
si2_b06_m800.05 160 800 422 8 160 1.0
si2_b06_m800.09 160 800 432 8 160 1.0
si2_b06_m800.01 160 800 439 6 160 1.0
si2_b06_m800.08 160 800 397 8 160 1.0
si2_b06_m800.06 160 800 619 6 160 1.0
si6_m4D_m256.03 153 256 49 1 153 1.0
si6_m4D_m256.08 153 256 76 2 153 1.0
si6_m4D_m256.07 153 256 49 1 153 1.0
si6_m4D_m256.00 153 256 49 2 153 1.0
si6_m4D_m256.01 153 256 73 1 153 1.0
si6_m4D_m256.05 153 256 49 2 153 1.0
si6_m4D_m256.09 153 256 65 2 153 1.0
si6_m4D_m256.04 153 256 49 2 153 1.0
si6_m4D_m256.02 153 256 48 2 153 1.0
si6_m4D_m256.06 153 256 50 2 153 1.0
si2_b06m_m800.07 160 800 531 10 160 1.0
si2_b06m_m800.02 160 800 384 10 160 1.0
si2_b06m_m800.03 160 800 383 10 160 1.0
si2_b06m_m800.01 160 800 387 13 160 1.0
si2_b06m_m800.08 160 800 377 7 160 1.0
si2_b06m_m800.04 160 800 395 7 160 1.0
si2_b06m_m800.06 160 800 556 8 160 1.0
si2_b06m_m800.09 160 800 480 10 160 1.0
si2_b06m_m800.05 160 800 513 9 160 1.0
si2_b06m_m800.00 160 800 394 6 160 1.0
si4_b06m_m200.00 80 200 27 1 80 1.0
si4_b06m_m200.08 80 200 47 1 80 1.0
si4_b06m_m200.05 80 200 43 1 80 1.0
si4_b06m_m200.09 80 200 27 1 80 1.0
si4_b06m_m200.01 80 200 27 0 80 1.0
si4_b06m_m200.07 80 200 27 0 80 1.0
si4_b06m_m200.02 80 200 45 0 80 1.0
si4_b06m_m200.04 80 200 46 1 80 1.0
si4_b06m_m200.06 80 200 27 0 80 1.0
si4_b06m_m200.03 80 200 27 0 80 1.0
si6_r001_m400.09 240 400 185 12 240 1.0
si6_r001_m400.05 240 400 191 55 240 1.0
si6_r001_m400.00 240 400 186 6 240 1.0
si6_r001_m400.04 240 400 180 3 240 1.0
si6_r001_m400.07 240 400 189 9 240 1.0
si6_r001_m400.06 240 400 173 4 240 1.0
si6_r001_m400.02 240 400 169 3 240 1.0
si6_r001_m400.03 240 400 216 5 240 1.0
si6_r001_m400.08 240 400 183 8 240 1.0
si6_r001_m400.01 240 400 171 4 240 1.0
si6_m4D_m625.00 375 625 384 9 375 1.0
si6_m4D_m625.07 375 625 666 30 375 1.0
si6_m4D_m625.05 375 625 925 26 375 1.0
si6_m4D_m625.08 375 625 346 11 375 1.0
si6_m4D_m625.02 375 625 361 9 375 1.0
si6_m4D_m625.03 375 625 1891 137 375 1.0
si6_m4D_m625.04 375 625 498 7 375 1.0
si6_m4D_m625.09 375 625 993 154 375 1.0
si6_m4D_m625.01 375 625 341 6 375 1.0
si6_m4D_m625.06 375 625 500 67 375 1.0
si6_b09m_m800.02 480 800 784 13 480 1.0
si6_b09m_m800.09 480 800 964 17 480 1.0
si6_b09m_m800.04 480 800 809 17 480 1.0
si6_b09m_m800.07 480 800 785 14 480 1.0
si6_b09m_m800.00 480 800 803 11 480 1.0
si6_b09m_m800.05 480 800 798 14 480 1.0
si6_b09m_m800.03 480 800 770 17 480 1.0
si6_b09m_m800.01 480 800 784 11 480 1.0
si6_b09m_m800.06 480 800 769 16 480 1.0
si6_b09m_m800.08 480 800 841 11 480 1.0
si4_m4Dr6_m1296.01 518 1296 2095 23 518 1.0
si4_m4Dr6_m1296.07 518 1296 2064 355 518 1.0
si4_m4Dr6_m1296.06 518 1296 2204 24 518 1.0
si4_m4Dr6_m1296.02 518 1296 1999 25 518 1.0
si4_m4Dr6_m1296.08 518 1296 2139 309 518 1.0
si4_m4Dr6_m1296.03 518 1296 1990 24 518 1.0
si4_m4Dr6_m1296.00 518 1296 2091 38 518 1.0
si4_m4Dr6_m1296.09 518 1296 2051 33 518 1.0
si4_m4Dr6_m1296.05 518 1296 2174 38 518 1.0
si4_m4Dr6_m1296.04 518 1296 2124 32 518 1.0
si2_b06_m400.09 80 400 113 1 80 1.0
si2_b06_m400.02 80 400 87 2 80 1.0
si2_b06_m400.00 80 400 86 1 80 1.0
si2_b06_m400.03 80 400 126 1 80 1.0
si2_b06_m400.07 80 400 86 1 80 1.0
si2_b06_m400.04 80 400 117 2 80 1.0
si2_b06_m400.05 80 400 87 1 80 1.0
si2_b06_m400.01 80 400 87 1 80 1.0
si2_b06_m400.08 80 400 136 2 80 1.0
si2_b06_m400.06 80 400 104 1 80 1.0
si4_r01_m200.01 80 200 855 145 80 1.0
si4_r01_m200.08 80 200 18009 230 80 1.0
si4_r01_m200.03 80 200 7016 6 80 1.0
si4_r01_m200.04 80 200 5936 1 80 1.0
si4_r01_m200.07 80 200 9322 8 80 1.0
si4_r01_m200.02 80 200 9589 95 80 1.0
si4_r01_m200.05 80 200 13439 153 80 1.0
si4_r01_m200.06 80 200 2624 2 80 1.0
si4_r01_m200.00 80 200 9438 90 80 1.0
si4_r01_m200.09 80 200 7956 39 80 1.0
si2_r001_m400.06 80 400 288 1000000 80 1.0
si2_r001_m400.08 80 400 252 77289 80 1.0
si2_r001_m400.09 80 400 1533 1000000 80 1.0
si2_r001_m400.01 80 400 105 12549 80 1.0
si2_r001_m400.03 80 400 181 10232 80 1.0
si2_r001_m400.04 80 400 116 817297 80 1.0
si2_r001_m400.05 80 400 142 198139 80 1.0
si2_r001_m400.02 80 400 178 1000000 80 1.0
si2_r001_m400.00 80 400 164 216 80 1.0
si2_r001_m400.07 80 400 20710 1000000 80 1.0
si4_b03m_m800.03 320 800 487 8 320 1.0
si4_b03m_m800.05 320 800 488 12 320 1.0
si4_b03m_m800.06 320 800 509 12 320 1.0
si4_b03m_m800.01 320 800 571 11 320 1.0
si4_b03m_m800.08 320 800 605 8 320 1.0
si4_b03m_m800.09 320 800 506 11 320 1.0
si4_b03m_m800.00 320 800 502 11 320 1.0
si4_b03m_m800.02 320 800 619 8 320 1.0
