i labels p nt np mcsplit-si-ll mcsplit-si-dom mcsplit-si-dom-D1 msplit-si-dom-D2 mcsplit-si-adjmat mcsplit-si-adjmat-dom glasgow glasgow-nosupp ri ri-ds vf3
6 1 0.2 3500 700 77270 46234 78583 48553 40950 41287 1220641 699782 3827507 3303770 1487582
7 1 0.2 3500 700 89115 47861 81234 47873 30060 29951 1579016 893903 3870319 3183536 1336879
8 1 0.2 3500 700 105832 56454 92076 56419 31885 31853 1507089 902925 2997176 2424630 1808171
9 1 0.2 3500 700 112717 63499 79518 62003 52253 52252 1343752 750783 3978231 3175982 1494874
10 1 0.2 3500 700 99390 55354 268036 54835 33431 32903 1791287 1039520 7516288 6372389 1443406
1 1 0.2 4000 800 231180 126857 122960 123535 120613 121201 9113316 5720209 10000000 10000000 10000000
2 1 0.2 4000 800 182079 99759 164366 100416 69817 70037 2448629 1385926 6300561 5191725 3234928
3 1 0.2 4000 800 560926 321691 184777 324983 276140 274643 10000000 7136442 10000000 10000000 10000000
4 1 0.2 4000 800 150477 79729 617608 79194 42540 41941 4111396 2537530 10000000 10000000 2539741
5 1 0.2 4000 800 170041 94153 93731 93952 86378 86074 2595595 1486840 4220483 3560552 3885731
6 1 0.2 4000 800 218176 108636 106580 105914 83420 83641 8023453 4768790 9169423 8069574 2698288
7 1 0.2 4000 800 154181 81955 76389 77264 43850 43855 3264746 1989115 7774748 6237668 3176239
8 1 0.2 4000 800 448424 243612 240946 241232 127915 128368 2487879 1431329 10000000 10000000 10000000
9 1 0.2 4000 800 199455 120309 466018 121795 114892 115093 2696276 1579174 8637388 7630167 6672799
10 1 0.2 4000 800 228062 132018 205027 132226 135405 132393 2966635 1645697 10000000 10000000 3593855
1 1 0.2 4500 900 710028 363559 325694 363477 220147 218719 5295140 3023720 10000000 10000000 10000000
2 1 0.2 4500 900 314717 157632 951949 164822 107946 107524 10000000 10000000 10000000 10000000 3986199
3 1 0.2 4500 900 303140 145176 213770 151833 93062 94095 4753197 2718691 10000000 10000000 6545549
4 1 0.2 4500 900 216869 123787 117835 120583 72935 72027 5859252 3410274 10000000 10000000 6598427
5 1 0.2 4500 900 182265 97227 95688 96474 60315 60629 7777052 4870187 10000000 10000000 5716854
6 1 0.2 4500 900 325137 174412 1047801 174834 136394 137315 6352946 3588211 10000000 10000000 5862155
7 1 0.2 4500 900 365322 231200 955517 233631 161977 161407 10000000 10000000 10000000 10000000 10000000
8 1 0.2 4500 900 239313 120157 119017 118111 57173 57435 4814974 2759461 7970319 7161752 2724855
9 1 0.2 4500 900 311800 171320 169924 169285 124004 122450 5875541 3313560 10000000 10000000 5467970
10 1 0.2 4500 900 292648 155772 153969 154234 83386 83153 5610031 3380500 10000000 10000000 6022580
1 1 0.2 5000 1000 1739356 815019 808574 807146 596193 596870 10000000 10000000 10000000 10000000 10000000
2 1 0.2 5000 1000 1451695 792447 846252 785001 640498 641202 10000000 7164906 10000000 10000000 10000000
3 1 0.2 5000 1000 335197 168126 170751 170219 102238 102065 6837687 4141231 10000000 10000000 3914441
4 1 0.2 5000 1000 587861 292333 309374 252353 207683 212490 10000000 8736388 10000000 10000000 10000000
5 1 0.2 5000 1000 478712 253601 294577 293988 154680 154512 7508909 4439755 10000000 10000000 10000000
6 1 0.2 5000 1000 373349 183446 594852 182467 153665 152938 9271728 5921278 10000000 10000000 10000000
7 1 0.2 5000 1000 746446 406271 407853 467895 411861 414889 9147179 5319405 10000000 10000000 10000000
8 1 0.2 5000 1000 588227 267387 280865 343636 227329 230379 10000000 7345842 10000000 10000000 9631451
9 1 0.2 5000 1000 395292 206533 1527457 203771 137897 143877 6990533 4323237 10000000 10000000 10000000
10 1 0.2 5000 1000 395294 204024 436890 206381 130204 128030 5730970 3480593 10000000 10000000 10000000
1 1 0.3 300 60 84 33 32 49 32 32 254 162 907 744 750
2 1 0.3 300 60 57 59 37 39 35 35 167 71 512 419 1359
3 1 0.3 300 60 46 46 31 29 31 31 169 72 470 374 681
4 1 0.3 300 60 63 62 42 43 41 42 170 72 1065 854 910
5 1 0.3 300 60 39 36 25 25 25 25 205 99 805 617 911
6 1 0.3 300 60 62 42 64 42 43 43 289 154 876 699 1019
7 1 0.3 300 60 49 49 148 33 35 35 173 77 997 821 659
8 1 0.3 300 60 66 69 45 45 40 40 171 76 655 529 1392
9 1 0.3 300 60 62 63 145 65 37 37 186 82 763 615 865
10 1 0.3 300 60 53 55 35 37 37 37 174 77 1027 831 683
1 1 0.3 500 100 564 374 370 376 245 279 1095 567 6619 5388 15426
2 1 0.3 500 100 372 265 457 261 230 204 1065 561 7424 6046 4644
3 1 0.3 500 100 524 438 365 372 275 273 961 498 8109 6567 11822
4 1 0.3 500 100 548 337 1277 338 331 298 1311 699 11910 9767 12485
5 1 0.3 500 100 442 273 689 273 233 213 1078 591 13493 10483 6154
6 1 0.3 500 100 372 262 514 261 239 228 987 516 15201 12004 6013
7 1 0.3 500 100 315 233 220 264 213 208 1442 862 6051 4901 7023
8 1 0.3 500 100 251 184 188 158 122 122 1158 646 14295 11280 6039
9 1 0.3 500 100 460 297 803 304 284 284 1640 993 6696 5404 7170
10 1 0.3 500 100 471 207 286 300 219 231 1238 710 7467 6157 6404
1 1 0.3 750 150 2414 1317 1554 1346 1156 1368 8595 5733 58650 46016 41308
2 1 0.3 750 150 1837 998 4553 1005 684 680 6324 4129 40535 32713 32741
3 1 0.3 750 150 2075 1160 1147 1124 771 771 8891 6054 42330 33719 30054
4 1 0.3 750 150 2069 1132 1154 1170 1051 1078 6091 3973 123903 100015 47450
5 1 0.3 750 150 2016 1088 1110 1094 775 797 8442 5870 52435 42459 46152
6 1 0.3 750 150 1981 1094 2468 1088 808 801 8596 5911 41444 33464 26183
7 1 0.3 750 150 1995 1137 1117 1105 1003 995 5477 3418 52635 42384 52088
8 1 0.3 750 150 1889 1076 1038 1056 763 726 5812 3649 59003 47478 25162
9 1 0.3 750 150 1788 1012 2111 1013 837 854 4558 2762 59207 48363 49853
10 1 0.3 750 150 2507 1358 3994 1382 1145 1140 4724 2943 55089 44106 39769
1 1 0.3 1000 200 4723 2464 7653 2521 1649 1631 14903 9999 260437 214677 119355
2 1 0.3 1000 200 10726 5113 5094 5119 5805 5760 17727 12376 303323 246898 172740
3 1 0.3 1000 200 7688 3718 12209 3858 2832 2870 19323 13775 243170 202613 186813
4 1 0.3 1000 200 7888 4112 4339 4087 2772 2804 16445 12206 267299 217150 291451
5 1 0.3 1000 200 10340 4870 18626 4889 4964 4966 20821 14888 187220 153426 174097
6 1 0.3 1000 200 6141 3149 15707 3165 3137 3116 18212 12690 341003 276626 265434
7 1 0.3 1000 200 9315 4542 4747 4411 3684 3649 17699 12256 161018 130734 161536
8 1 0.3 1000 200 7885 4071 10077 3679 2516 2510 21217 15794 352225 281433 187182
9 1 0.3 1000 200 7885 3849 6051 3856 2543 2515 16952 11515 170433 138591 144403
10 1 0.3 1000 200 8575 4220 4217 4325 3785 3780 14865 10119 166734 136634 104702
1 1 0.3 1250 250 24707 12167 12192 12198 9514 9632 115560 80218 1034589 835822 591773
2 1 0.3 1250 250 31059 15626 22673 15247 17516 17523 143397 99191 1023905 819650 704568
3 1 0.3 1250 250 19810 10003 10091 10083 6581 6628 175176 123917 1028835 844615 315600
4 1 0.3 1250 250 20368 10224 38914 10077 5005 5024 151721 102922 979185 796978 667510
5 1 0.3 1250 250 16629 8632 24339 8596 6154 6241 152172 107031 1036555 844554 594943
6 1 0.3 1250 250 22750 11460 42115 11760 10279 10108 123234 84444 549657 444327 606209
7 1 0.3 1250 250 25639 12952 19321 12608 13133 13097 140943 100822 943593 779397 530453
8 1 0.3 1250 250 28968 14412 15117 14610 16326 16541 141630 97717 860669 710860 508652
9 1 0.3 1250 250 24227 12162 12448 12344 12117 12272 118610 83563 2148484 1777857 394437
10 1 0.3 1250 250 16360 8197 8130 8173 3779 3776 137139 93929 531085 442838 266638
1 1 0.3 1500 300 53049 27538 27554 27742 24469 24304 327099 221911 5581113 4185227 1223076
2 1 0.3 1500 300 52836 27182 27722 27181 22870 22814 293970 197785 2799500 2306166 1319891
3 1 0.3 1500 300 61311 32786 32952 32935 30778 30778 265142 175188 1362804 1135910 1299125
4 1 0.3 1500 300 52238 26512 26291 26334 19958 20089 349796 249573 3022945 2407759 926564
5 1 0.3 1500 300 56777 30235 31060 30570 25541 25604 394393 286446 3308537 2734349 1403655
6 1 0.3 1500 300 56216 27308 27311 27860 23248 23317 373334 269650 3018783 2598770 1480202
7 1 0.3 1500 300 54032 29712 29195 29170 26214 26299 303240 203048 2752095 2180178 1369114
8 1 0.3 1500 300 45946 25281 45969 24769 18601 18568 440173 322082 1481922 1248054 1160959
9 1 0.3 1500 300 45310 24106 47662 24224 16859 16872 335631 234171 3003819 2471459 1511490
10 1 0.3 1500 300 39617 21598 51470 21776 17417 17505 349826 253529 3010921 2404165 1218706
1 1 0.3 2000 400 233808 133790 132493 132908 126265 125832 1650602 1105677 10000000 8940566 4881529
2 1 0.3 2000 400 227047 132038 132692 132755 95938 94438 1568871 1084952 10000000 10000000 10000000
3 1 0.3 2000 400 181864 103114 102454 101832 88967 89442 1657527 1126128 10000000 10000000 3784925
4 1 0.3 2000 400 133478 77048 183947 77983 54390 54218 2169416 1549483 10000000 10000000 4700636
5 1 0.3 2000 400 232149 138770 146749 139175 134277 135616 1592390 1067076 8650386 7692705 7554439
6 1 0.3 2000 400 141487 76639 77223 76877 38359 38031 1809848 1191017 10000000 10000000 3619441
7 1 0.3 2000 400 182856 97785 231365 97670 76655 76470 1351130 922088 8035621 6632898 2906529
8 1 0.3 2000 400 191413 107398 262667 104958 97168 93277 1835256 1264167 10000000 10000000 5134641
9 1 0.3 2000 400 146759 82831 82262 81412 37098 36409 1560500 1057452 7020292 6282653 6871429
10 1 0.3 2000 400 261995 113009 155384 113291 88317 87428 1780823 1215319 10000000 10000000 6114332
1 1 0.3 2500 500 539079 334520 317857 315172 265934 262241 6282756 4351965 10000000 10000000 10000000
2 1 0.3 2500 500 609151 333968 536280 331255 283579 281928 5323339 3613587 10000000 10000000 10000000
3 1 0.3 2500 500 502248 276349 275655 275478 180900 178438 5445932 3688902 10000000 10000000 10000000
4 1 0.3 2500 500 770207 401719 403989 411134 343005 343612 5058105 3331739 10000000 10000000 10000000
5 1 0.3 2500 500 447893 256345 578438 253761 155349 156063 5500820 3780185 10000000 10000000 10000000
6 1 0.3 2500 500 527387 298243 298010 296280 271434 273221 6186938 4248056 10000000 10000000 10000000
7 1 0.3 2500 500 450985 260463 1292978 260047 168986 167448 5269501 3625774 10000000 10000000 8427387
8 1 0.3 2500 500 693025 337106 334734 334964 270943 271283 5660927 3829312 10000000 10000000 10000000
9 1 0.3 2500 500 487924 245172 244961 245794 162022 160414 4505443 2972588 10000000 10000000 10000000
10 1 0.3 2500 500 414954 242570 438724 245057 176002 174277 5456752 3819275 10000000 10000000 10000000
1 1 0.3 3000 600 780911 405701 1422688 405093 163496 161993 10000000 9547453 10000000 10000000 10000000
2 1 0.3 3000 600 1199747 701510 701936 709769 439938 439008 10000000 10000000 10000000 10000000 10000000
3 1 0.3 3000 600 1372713 815752 1606666 809839 585448 594489 10000000 7500899 10000000 10000000 10000000
4 1 0.3 3000 600 1369894 840398 840968 839129 678313 672403 10000000 10000000 10000000 10000000 10000000
5 1 0.3 3000 600 1200134 725716 1341882 725865 477354 475153 10000000 10000000 10000000 10000000 10000000
6 1 0.3 3000 600 1117955 633320 1240235 629636 441329 442154 10000000 10000000 10000000 10000000 10000000
7 1 0.3 3000 600 1415914 825522 1121885 822188 615707 612346 10000000 8057018 10000000 10000000 10000000
8 1 0.3 3000 600 909448 520441 520486 523174 417805 418836 9800769 6518121 10000000 10000000 10000000
9 1 0.3 3000 600 1055569 596077 869408 590138 486410 488931 10000000 8494932 10000000 10000000 10000000
10 1 0.3 3000 600 1011860 600023 1991959 594554 449437 447759 10000000 10000000 10000000 10000000 10000000
1 1 0.4 300 60 185 102 103 106 69 65 532 324 7050 5625 6905
2 1 0.4 300 60 223 214 200 191 116 86 454 279 6716 5375 6525
3 1 0.4 300 60 291 237 215 236 143 149 491 334 8623 6810 8704
4 1 0.4 300 60 290 237 255 233 140 151 524 315 8086 6448 8600
5 1 0.4 300 60 322 244 229 246 133 124 542 337 6919 5599 8800
6 1 0.4 300 60 341 277 481 285 166 158 576 360 19233 15122 10302
7 1 0.4 300 60 237 210 345 212 124 134 580 358 8192 6553 9140
8 1 0.4 300 60 389 283 291 286 166 162 614 386 14170 11463 12634
9 1 0.4 300 60 305 250 252 247 120 145 540 338 6679 5383 8991
10 1 0.4 300 60 330 249 263 251 133 141 528 314 12263 9943 7904
1 1 0.4 500 100 3057 2069 2047 2085 1275 1200 5209 3959 117380 95019 129611
2 1 0.4 500 100 3083 2051 2035 2062 1263 1275 5510 3970 192392 159292 133225
3 1 0.4 500 100 2955 1956 1916 1911 1155 1152 4877 3557 214274 174496 134439
4 1 0.4 500 100 3300 2304 3012 2279 1556 1539 5711 4095 172633 139673 149410
5 1 0.4 500 100 2354 1567 3064 1540 822 819 5558 4039 189855 147995 109122
6 1 0.4 500 100 3086 2141 4117 2046 1205 1189 6038 4415 118136 94138 69458
7 1 0.4 500 100 2815 1877 1854 1886 1238 1295 5022 3576 158289 125645 108606
8 1 0.4 500 100 2962 1955 1927 1946 1232 1241 5546 3945 140231 113745 98628
9 1 0.4 500 100 3359 2222 4501 2212 1518 1530 5373 3854 189079 154990 115403
10 1 0.4 500 100 3045 2050 2143 2081 1344 1352 5270 3822 203413 167161 140595
1 1 0.4 750 150 24679 14132 14290 13981 12312 12283 43082 33583 1286660 1066785 1288267
2 1 0.4 750 150 28895 16388 25817 16898 14716 14828 42303 34263 2461092 2017969 1689044
3 1 0.4 750 150 25127 14296 14091 14209 13341 13345 36600 29273 1636291 1332409 974686
4 1 0.4 750 150 21379 11923 23402 12023 8666 8632 40151 31724 1398185 1141637 1521174
5 1 0.4 750 150 24428 15634 14549 14169 11305 11243 41586 33988 2373138 1877136 1235506
6 1 0.4 750 150 25095 14206 22785 15758 12000 11974 39389 31064 2381685 1886585 800810
7 1 0.4 750 150 19914 11135 11100 10954 7533 7485 42761 34634 1298879 1049820 1012739
8 1 0.4 750 150 24341 13749 13612 13640 11886 12003 41980 34879 2200319 1805668 690989
9 1 0.4 750 150 24760 13569 23236 13632 11956 11832 36866 29309 1885721 1533613 1326172
10 1 0.4 750 150 23614 13389 22283 13360 10667 10623 42270 34152 2027598 1681451 1029949
1 1 0.4 1000 200 77675 40559 104495 40246 31396 31535 182844 154518 7482418 6077111 4600899
2 1 0.4 1000 200 120071 65457 65747 66200 54506 54511 178163 147632 10000000 9850210 5306627
3 1 0.4 1000 200 96012 50546 50644 51782 44028 44059 163704 137008 8470200 6936276 3858559
4 1 0.4 1000 200 91084 47651 47019 47220 36408 36442 149041 123581 10000000 8422120 6955756
5 1 0.4 1000 200 95126 52433 106580 52864 43589 43510 182295 152165 7976601 6482159 3731893
6 1 0.4 1000 200 96302 53924 94294 51918 42723 42790 162259 136146 7578062 6269939 3424985
7 1 0.4 1000 200 99794 53179 54212 53234 45021 44911 181246 152802 10000000 8376589 3665978
8 1 0.4 1000 200 112341 59757 60660 59987 50815 51203 173206 146466 10000000 8147018 7647911
9 1 0.4 1000 200 95629 53711 103428 52807 41073 40920 169809 138785 10000000 9189045 5519279
10 1 0.4 1000 200 100377 54946 82957 55598 47033 47005 162408 134377 10000000 9110821 3513035
1 1 0.4 1250 250 367362 202065 200077 201628 141875 141933 1704292 1360978 10000000 10000000 10000000
2 1 0.4 1250 250 241668 137206 324172 136052 90549 90857 1672385 1314542 10000000 10000000 10000000
3 1 0.4 1250 250 267333 153658 154374 155245 102668 102693 1758885 1400676 10000000 10000000 10000000
4 1 0.4 1250 250 274888 153198 363372 153743 100344 100240 1678577 1326058 10000000 10000000 10000000
5 1 0.4 1250 250 365313 199862 268528 201541 135984 135110 1961303 1553549 10000000 10000000 10000000
6 1 0.4 1250 250 291801 160793 161362 161550 115788 115637 1698354 1315993 10000000 10000000 10000000
7 1 0.4 1250 250 281599 156005 156612 158543 107258 107597 1598909 1268379 10000000 10000000 10000000
8 1 0.4 1250 250 281346 153449 159787 155460 102631 101957 1895502 1483556 10000000 10000000 10000000
9 1 0.4 1250 250 306448 178044 178082 184165 134999 135156 1692020 1370985 10000000 10000000 10000000
10 1 0.4 1250 250 308042 177212 184129 180754 110344 110956 1636392 1287388 10000000 10000000 10000000
1 1 0.4 1500 300 835339 502409 497380 498665 276941 281997 4697694 3596610 10000000 10000000 10000000
2 1 0.4 1500 300 903218 530524 522290 520303 294603 307956 4534018 3431768 10000000 10000000 10000000
3 1 0.4 1500 300 852672 480352 908435 484364 255659 257522 4713910 3533149 10000000 10000000 10000000
4 1 0.4 1500 300 875185 495398 508232 497745 300190 301141 5310100 4085613 10000000 10000000 10000000
5 1 0.4 1500 300 955988 520446 1021569 524252 278945 285443 4437091 3409522 10000000 10000000 10000000
6 1 0.4 1500 300 832574 474246 473133 473235 292366 296891 5711567 4267168 10000000 10000000 10000000
7 1 0.4 1500 300 851558 497963 495288 493619 283974 284751 4342392 3344762 10000000 10000000 10000000
8 1 0.4 1500 300 838765 500251 494365 509099 296470 315451 4787956 3578202 10000000 10000000 10000000
9 1 0.4 1500 300 789951 446568 1102175 453611 273589 270130 4753910 3607137 10000000 10000000 10000000
10 1 0.4 1500 300 855400 479724 887267 485804 275010 279140 4922532 3696736 10000000 10000000 10000000
1 8 0.05 1000 200 3 0 2 0 10 8 254 20 2 32 1
2 8 0.05 1000 200 4 1 1 0 8 11 235 20 3 37 1
3 8 0.05 1000 200 4 0 0 0 11 10 237 15 2 34 1
4 8 0.05 1000 200 3 1 0 1 7 7 237 20 1 37 1
5 8 0.05 1000 200 4 0 1 0 8 8 239 17 1 22 1
6 8 0.05 1000 200 5 0 2 0 8 11 236 15 1 50 1
7 8 0.05 1000 200 4 1 0 0 7 7 240 19 1 51 1
8 8 0.05 1000 200 4 0 2 0 8 8 239 23 1 36 1
9 8 0.05 1000 200 4 1 0 0 8 11 239 24 1 49 1
10 8 0.05 1000 200 3 0 1 0 8 7 235 22 1 50 1
1 8 0.05 1250 250 8 1 1 1 12 12 532 37 2 63 1
2 8 0.05 1250 250 6 1 2 1 18 18 516 43 7 44 2
3 8 0.05 1250 250 6 1 1 1 12 12 505 50 2 42 1
4 8 0.05 1250 250 8 1 1 1 12 12 529 32 1 51 2
5 8 0.05 1250 250 7 2 1 1 13 18 503 32 1 43 3
6 8 0.05 1250 250 6 1 3 1 17 17 509 30 2 54 1
7 8 0.05 1250 250 7 2 1 1 13 19 514 47 2 43 3
8 8 0.05 1250 250 8 1 3 1 12 17 508 41 1 41 1
9 8 0.05 1250 250 6 1 1 1 17 12 507 30 1 68 1
10 8 0.05 1250 250 9 1 3 1 12 17 508 30 3 44 2
1 8 0.05 1500 300 10 2 2 2 19 19 877 52 2 71 2
2 8 0.05 1500 300 13 1 3 1 18 18 904 80 2 77 2
3 8 0.05 1500 300 9 1 2 2 26 18 895 80 2 72 2
4 8 0.05 1500 300 9 1 3 2 26 19 905 82 3 69 3
5 8 0.05 1500 300 9 1 3 2 25 18 866 49 10 80 2
6 8 0.05 1500 300 16 2 4 2 20 28 900 84 3 86 4
7 8 0.05 1500 300 15 2 5 2 20 28 909 86 13 75 5
8 8 0.05 1500 300 13 2 3 2 19 19 873 51 15 77 2
9 8 0.05 1500 300 13 1 5 1 18 18 878 67 3 108 3
10 8 0.05 1500 300 9 2 3 1 18 25 883 51 2 88 2
1 8 0.05 2000 400 18 4 3 3 35 34 2110 115 6 176 4
2 8 0.05 2000 400 18 4 3 3 34 34 2099 110 6 183 4
3 8 0.05 2000 400 18 4 3 3 34 35 2105 121 9 166 4
4 8 0.05 2000 400 28 4 7 4 36 37 2085 121 6 171 8
5 8 0.05 2000 400 22 3 3 4 47 33 2113 117 11 173 4
6 8 0.05 2000 400 17 4 5 3 34 33 2169 207 7 169 4
7 8 0.05 2000 400 25 3 8 3 34 46 2090 122 9 164 5
8 8 0.05 2000 400 17 3 7 3 33 33 2080 104 10 160 4
9 8 0.05 2000 400 28 7 5 5 38 40 2241 194 10 162 10
10 8 0.05 2000 400 20 7 4 4 41 37 2105 116 5 175 8
1 8 0.05 2500 500 30 5 5 5 53 54 4144 204 11 314 7
2 8 0.05 2500 500 29 5 5 5 54 54 4291 212 10 319 7
3 8 0.05 2500 500 29 5 5 8 75 53 4140 191 11 316 10
4 8 0.05 2500 500 30 5 12 5 54 54 4186 215 11 312 7
5 8 0.05 2500 500 30 5 7 5 54 53 4231 221 11 319 8
6 8 0.05 2500 500 28 5 5 7 53 53 4143 196 12 314 7
7 8 0.05 2500 500 30 5 5 5 54 55 4192 214 11 315 8
8 8 0.05 2500 500 29 7 5 5 53 53 4220 198 12 319 7
9 8 0.05 2500 500 39 5 7 5 52 71 4265 206 49 337 6
10 8 0.05 2500 500 30 5 5 5 54 54 4287 210 11 311 8
1 8 0.05 3000 600 44 8 8 8 77 77 7392 353 18 566 11
2 8 0.05 3000 600 44 7 28 7 76 75 7334 332 17 522 10
3 8 0.05 3000 600 44 8 19 8 76 77 7321 366 19 517 10
4 8 0.05 3000 600 55 14 14 14 90 90 7865 787 16 542 39
5 8 0.05 3000 600 43 7 7 7 74 74 7417 377 20 525 9
6 8 0.05 3000 600 43 7 8 7 76 76 7386 368 19 523 10
7 8 0.05 3000 600 44 8 9 8 76 76 7327 322 16 521 15
8 8 0.05 3000 600 55 14 8 14 91 90 7379 329 15 522 69
9 8 0.05 3000 600 46 8 17 8 79 79 7324 332 18 542 11
10 8 0.05 3000 600 44 8 29 8 81 77 7293 320 18 539 10
1 8 0.05 3500 700 76 20 20 20 125 127 12047 593 23 868 79
2 8 0.05 3500 700 83 10 12 15 102 118 11805 529 24 857 14
3 8 0.05 3500 700 60 10 10 10 101 100 11830 485 31 847 13
4 8 0.05 3500 700 60 11 13 14 103 103 12001 600 30 882 14
5 8 0.05 3500 700 61 11 10 11 102 103 11826 489 27 874 13
6 8 0.05 3500 700 63 11 11 12 107 106 11963 641 28 873 15
7 8 0.05 3500 700 61 11 31 11 104 104 11796 496 23 851 15
8 8 0.05 3500 700 62 11 11 11 105 105 11932 531 28 855 15
9 8 0.05 3500 700 61 11 12 11 104 104 11860 511 25 908 14
10 8 0.05 3500 700 60 10 29 10 103 102 11779 482 27 860 13
1 8 0.05 4000 800 84 15 16 15 138 137 18363 761 34 1269 22
2 8 0.05 4000 800 82 15 15 15 137 137 18037 746 32 1239 29
3 8 0.05 4000 800 87 18 17 18 141 142 18227 854 32 1263 26
4 8 0.05 4000 800 85 16 15 16 141 142 18110 754 43 1255 26
5 8 0.05 4000 800 81 15 14 16 135 135 18343 707 32 1272 17
6 8 0.05 4000 800 82 14 14 14 134 134 18096 713 34 1259 18
7 8 0.05 4000 800 81 15 14 15 135 135 18057 721 32 1268 21
8 8 0.05 4000 800 83 15 15 15 137 137 18235 780 44 1270 19
9 8 0.05 4000 800 89 17 18 17 142 143 18297 858 42 1275 24
10 8 0.05 4000 800 85 16 16 16 140 139 18373 888 42 1246 25
1 8 0.05 4500 900 114 23 19 23 179 180 26536 1060 39 1837 29
2 8 0.05 4500 900 151 43 23 45 221 216 28449 2668 56 1758 103
3 8 0.05 4500 900 107 20 20 20 171 171 26726 1047 46 1773 24
4 8 0.05 4500 900 104 18 23 18 168 168 26617 1082 45 1742 22
5 8 0.05 4500 900 107 19 21 19 170 169 26664 1017 47 1853 24
6 8 0.05 4500 900 109 20 21 20 170 171 26613 1016 40 1737 26
7 8 0.05 4500 900 105 19 22 19 170 170 26472 965 55 1764 24
8 8 0.05 4500 900 109 20 23 20 173 173 26658 1060 37 1753 29
9 8 0.05 4500 900 112 22 21 21 179 179 26959 1194 36 1765 31
10 8 0.05 4500 900 106 19 19 20 170 168 26930 1225 37 1808 23
1 8 0.05 5000 1000 139 27 27 27 210 211 37794 1446 77 2526 36
2 8 0.05 5000 1000 135 25 24 24 208 208 38060 1743 54 2512 29
3 8 0.05 5000 1000 142 27 88 27 218 217 37563 1402 68 2558 50
4 8 0.05 5000 1000 138 26 25 26 215 213 38102 1647 54 2484 50
5 8 0.05 5000 1000 138 26 82 26 213 214 37455 1371 48 2483 44
6 8 0.05 5000 1000 135 26 25 25 208 209 37593 1349 68 2458 35
7 8 0.05 5000 1000 140 27 30 28 221 219 37572 1377 94 2540 46
8 8 0.05 5000 1000 134 25 24 24 206 204 37679 1321 52 2495 30
9 8 0.05 5000 1000 139 26 30 27 215 217 37587 1333 51 2474 39
10 8 0.05 5000 1000 136 25 28 26 210 209 37737 1580 76 2484 31
1 8 0.05 5500 1100 173 33 38 34 260 263 51536 1793 66 3219 47
2 8 0.05 5500 1100 166 31 31 31 252 252 51869 1793 65 3208 40
3 8 0.05 5500 1100 173 33 36 33 256 256 51966 1743 65 3234 50
4 8 0.05 5500 1100 172 33 32 32 259 258 51821 1946 94 3192 46
5 8 0.05 5500 1100 168 32 35 32 254 255 51980 1896 66 3404 48
6 8 0.05 5500 1100 172 33 35 34 260 262 51918 1986 144 3218 54
7 8 0.05 5500 1100 169 32 32 32 258 257 51810 1772 71 3208 72
8 8 0.05 5500 1100 224 32 42 43 310 266 52001 1695 68 3348 36
9 8 0.05 5500 1100 172 34 33 33 262 260 52182 1917 99 3209 43
10 8 0.05 5500 1100 172 33 33 33 262 261 52385 2083 98 3333 41
1 8 0.05 6000 1200 201 39 38 38 299 299 70378 2698 80 4474 46
2 8 0.05 6000 1200 206 40 40 40 304 305 69841 2337 131 4383 56
3 8 0.05 6000 1200 206 39 145 39 307 307 69866 2436 94 4325 46
4 8 0.05 6000 1200 198 36 154 38 294 299 70166 2754 79 4424 40
5 8 0.05 6000 1200 212 42 42 42 316 315 70043 2537 164 4406 57
6 8 0.05 6000 1200 205 39 43 38 303 304 69490 2253 141 4252 51
7 8 0.05 6000 1200 204 39 40 39 302 302 69753 2311 157 4562 51
8 8 0.05 6000 1200 209 40 45 40 310 309 69409 2208 82 4347 53
9 8 0.05 6000 1200 338 107 39 106 437 435 69948 2573 97 4372 469
10 8 0.05 6000 1200 220 45 43 44 310 310 70630 2936 132 4383 85
1 8 0.05 6500 1300 269 59 60 57 380 379 92305 3438 170 5748 79
2 8 0.05 6500 1300 258 55 52 52 365 365 91822 3065 107 5504 87
3 8 0.05 6500 1300 248 49 207 49 362 361 91898 2937 128 5589 61
4 8 0.05 6500 1300 247 50 53 48 360 356 92212 2809 160 5488 78
5 8 0.05 6500 1300 251 50 57 49 368 366 92173 3018 102 5532 70
6 8 0.05 6500 1300 249 51 55 50 369 372 91658 2900 110 5385 84
7 8 0.05 6500 1300 249 49 63 49 362 363 91355 2882 170 5489 71
8 8 0.05 6500 1300 264 55 54 55 371 372 92722 3238 102 5518 79
9 8 0.05 6500 1300 248 51 61 51 368 368 91633 3010 237 5602 76
10 8 0.05 6500 1300 246 50 50 50 362 359 91561 2877 109 5445 77
1 8 0.05 7000 1400 292 57 56 56 411 411 118856 3530 132 6915 63
2 8 0.05 7000 1400 295 60 61 61 422 424 119065 4165 143 6757 94
3 8 0.05 7000 1400 292 65 77 58 420 417 118237 3606 140 6706 73
4 8 0.05 7000 1400 298 62 62 60 431 428 119176 4060 239 6814 134
5 8 0.05 7000 1400 289 58 57 57 414 414 119176 3936 268 6911 74
6 8 0.05 7000 1400 280 55 55 57 402 405 118691 3640 146 6735 58
7 8 0.05 7000 1400 298 61 61 61 429 431 119083 3938 138 6732 129
8 8 0.05 7000 1400 294 59 58 59 418 416 120275 4603 132 6929 72
9 8 0.05 7000 1400 299 61 67 61 430 429 118620 3889 260 6839 79
