i labels p nt np mcsplit-si-ll mcsplit-si-dom mcsplit-si-dom-D1 msplit-si-dom-D2 mcsplit-si-adjmat mcsplit-si-adjmat-dom glasgow glasgow-nosupp ri ri-ds vf3
8 1 0.05 4000 800 719 341 343 342 874 853 170675 94889 33600 29556 3046
9 1 0.05 4000 800 1360 780 767 915 1547 1595 125877 59335 32319 26942 30406
10 1 0.05 4000 800 2536 1359 1352 2115 2457 2719 142395 70876 33372 29016 27171
1 1 0.05 4500 900 1172 586 14512 574 1167 1174 112816 28862 8070 8864 3586
2 1 0.05 4500 900 5201 3030 6932 3180 5895 5506 5401733 4263262 61475 53314 42924
3 1 0.05 4500 900 976 461 460 458 941 941 274908 148411 6378 8325 4333
4 1 0.05 4500 900 1112 461 128338 517 1071 1073 418686 258457 55176 46696 5972
5 1 0.05 4500 900 3513 2016 151248 1815 3572 3635 231747 117147 53411 46581 44093
6 1 0.05 4500 900 7772 4059 57727 4200 7625 7705 307989 172015 8877 10501 47669
7 1 0.05 4500 900 3359 1717 413 1731 3103 3099 345616 204684 68861 57834 38342
8 1 0.05 4500 900 938 425 9283 427 695 691 110449 25327 5751 7733 5052
9 1 0.05 4500 900 6188 3872 3308 3290 5368 5379 168404 67228 7038 8700 44457
10 1 0.05 4500 900 3555 2148 1930 1980 3147 3158 125183 34880 4860 7435 47825
1 1 0.05 5000 1000 6043 3176 3127 3079 6582 6174 367861 191277 130570 106443 86492
2 1 0.05 5000 1000 746 510 341 335 604 607 189968 50842 9799 12452 5155
3 1 0.05 5000 1000 11545 6237 740 6208 10967 10981 485050 265417 112424 94965 58959
4 1 0.05 5000 1000 1770 799 799 769 1733 1768 178284 47736 14525 17393 7776
5 1 0.05 5000 1000 1056 489 13488 570 760 769 464339 269940 11385 13601 7823
6 1 0.05 5000 1000 7026 3858 11788 4116 6284 6366 164109 39626 94800 78591 81391
7 1 0.05 5000 1000 7717 4222 9477 4108 8429 8399 480540 281196 918230 734811 69594
8 1 0.05 5000 1000 1984 925 976 922 2071 2071 524691 296847 8121 10503 6092
9 1 0.05 5000 1000 5961 2950 9225 2989 5925 5878 355193 186499 13104 14981 50119
10 1 0.05 5000 1000 6176 3283 10558 3300 6021 5976 548046 314518 114627 98407 64858
1 1 0.1 500 100 15 13 131 8 18 25 169 59 121 66 186
2 1 0.1 500 100 11 3 272 5 6 6 374 260 39 27 24
3 1 0.1 500 100 15 9 14 9 22 22 185 72 86 75 116
4 1 0.1 500 100 7 3 268 5 10 7 187 72 80 58 27
5 1 0.1 500 100 14 8 14 8 23 23 204 53 95 79 130
6 1 0.1 500 100 15 8 263 13 23 16 156 50 86 76 128
