GroupBy(labels) GroupBy(p) GroupBy(nt) mean(mcsplit-si-ll) mean(mcsplit-si-dom) mean(mcsplit-si-dom-D1) mean(msplit-si-dom-D2) mean(mcsplit-si-adjmat) mean(mcsplit-si-adjmat-dom) mean(glasgow) mean(glasgow-nosupp) mean(ri) mean(ri-ds) mean(vf3)
8 0.05 1250 7.1 1.2 1.7 1 13.8 15.4 513.1 37.2 2.2 49.3 1.7
8 0.05 1500 11.6 1.5 3.3 1.7 20.9 21 889 68.2 5.5 80.3 2.7
8 0.05 2000 21.1 4.3 4.8 3.5 36.6 36.2 2119.7 132.7 7.9 169.9 5.5
8 0.05 2500 30.4 5.2 6.1 5.5 55.6 55.4 4209.9 206.7 14.9 317.6 7.5
8 0.05 3000 46.2 8.9 14.7 8.9 79.6 79.1 7403.8 388.6 17.6 531.9 19.4
8 0.05 3500 64.7 11.6 15.9 12.5 105.6 107.2 11883.9 535.7 26.6 867.5 20.5
8 0.05 4000 83.9 15.6 15.4 15.7 138 138.1 18213.8 778.2 36.7 1261.6 22.7
8 0.05 4500 112.4 22.3 21.2 22.5 177.1 176.5 26862.4 1233.4 43.8 1779 33.5
8 0.05 5000 137.6 26 38.3 26 212.4 212.1 37714.2 1456.9 64.2 2501.4 39
8 0.05 5500 176.1 32.6 34.7 33.7 263.3 259 51946.8 1862.4 83.6 3257.3 47.7
8 0.05 6000 219.9 46.6 62.9 46.4 318.2 318.5 69952.4 2504.3 115.7 4392.8 95.4
8 0.05 6500 252.9 51.9 71.2 51 366.7 366.1 91933.9 3017.4 139.5 5530 76.2
8 0.05 7000 292 59.6 61.7 58.6 419.1 418.9 118925.6 3873.7 172.9 6799.3 84.6
8 0.05 7500 346.1 71.2 104.7 70.7 489.9 491.8 150608.4 4592.5 257.4 8531.5 100.8
8 0.05 8000 394.9 82.7 115.7 82.9 553.2 555.7 188860.7 5642.9 219.5 10209.4 131
8 0.05 9000 520.6 114.3 117.9 113.1 714 712.7 287263 7868.6 441.8 15116.9 186.2
8 0.05 10000 651.2 145.4 153 143.5 870 869.9 415457.9 11197.7 591.4 20564.1 306.5
8 0.1 500 1.5 0 0 0 2.5 2.5 80.9 5.4 0.3 7.9 0.1
8 0.1 750 4.4 0.3 0.7 0.3 5.4 5.3 207.1 13.6 1.6 22.6 1.1
8 0.1 1000 9.4 1.2 1.4 1.3 10.2 9.4 417 22.3 3.4 49.5 2.2
8 0.1 1250 14 2 2.3 2.4 15.3 15.3 897.8 51.6 7.4 83.2 3.3
8 0.1 1500 22.9 3.3 3.4 3 22.9 21.4 1562.4 96.3 10.3 142.9 5.6
8 0.1 2000 38.8 5.4 5.5 5.2 38.5 38.6 3934.3 175.9 20.6 331.4 10.9
8 0.1 2500 62.9 9.2 10.5 9.1 60.6 60.3 8463.3 331.4 37.8 630.6 23
8 0.1 3000 96.3 14.7 16.9 14.8 88.9 88.9 16004.6 539.1 70.3 1053.4 43.9
8 0.1 3500 134.4 21 24.8 21.1 121.3 121.2 27050 835.7 107.2 1757.7 69.1
8 0.1 4000 181.5 30.2 31 30.1 161.5 160.9 42759.1 1267 184.1 2620.8 150.6
8 0.1 4500 241.6 42.1 47.6 42.6 204.6 204.3 64186.1 1771.2 278 3621.9 152.1
8 0.1 5000 307.5 55.3 60.7 55 254.1 253.6 92488.3 2414.2 357.8 5290 237.1
8 0.1 5500 382.6 70.8 77.6 70.5 306.3 306.2 128805.8 3221.4 501.4 6810.2 321.9
8 0.1 6000 506 99.5 107.8 98.8 383.1 381 175142.5 4312 685.2 9444 483.1
8 0.1 6500 588.7 117.6 126.1 116.8 445.1 446.9 231990.8 5507.7 918 11778 607.5
8 0.1 7000 685.1 137.4 166 135.4 511.9 511.5 301426.6 6693.7 1078.9 14545.8 650
8 0.1 7500 839.2 175.7 199 177.9 601.1 599.5 386124.2 8848.9 1729.8 18573.6 955.4
8 0.1 8000 957.7 204.4 234.6 199.3 729.2 688.2 486359.8 10294.1 2260.6 22497.4 1165.7
8 0.1 9000 1386.1 313.8 352.4 308.3 927.8 919.7 746706.7 15419 3105.4 33694.5 2032.1
8 0.1 10000 1712.5 393.6 457.4 391.7 1119.8 1127.5 1094868.5 21823.4 4750.5 46143.2 2816.6
8 0.2 300 1 0 0 0 0.9 1 30.9 2.3 0 2.7 0
8 0.2 500 4.1 0.1 0.2 0 2.6 2.4 116.6 8.2 1.8 12.7 1.4
8 0.2 750 10.4 1.2 1.2 1.5 7.2 6.1 370.3 21.1 7.2 39.4 5.1
8 0.2 1000 18.7 2.4 2.6 2.9 12.6 11.3 853.3 42.4 14.8 92.4 11.3
8 0.2 1250 34.4 4.7 4.4 4.2 18.4 18.7 2004.3 96 35.5 171.4 27.1
8 0.2 1500 49.3 6.9 8.5 6.9 29 26.5 3574.3 149.3 51.1 282.7 56.1
8 0.2 2000 94.4 16.1 18.1 15.7 49.6 49.5 9732.4 342.8 186.7 763 127.7
8 0.2 2500 164 31.2 34.2 32.4 81.7 81.8 21769.5 664.4 394.2 1501 343
8 0.2 3000 263.5 55 59.6 55.2 122.8 123.1 42858.1 1185.3 734.4 2540.3 709.5
8 0.2 3500 396.2 90.7 121.8 89.9 175.4 175.7 75767.7 1929.8 1136.4 4270.6 1225.8
8 0.2 4000 572.4 140.6 174.1 140.2 238.9 239.2 123929.7 3150.7 2336.5 6714.7 1889.3
8 0.2 4500 816.7 217.9 249.8 217.6 324.2 322.7 190654.6 4635.5 4056.1 10136.3 2628.3
8 0.2 5000 1098.9 303.4 363.9 302 416.7 416.4 281757 6900.6 6075.9 15387.3 3861.1
8 0.2 5500 1460.3 412.5 509.1 415.1 539.7 536.1 400875.2 10114.7 8577 19987.6 4737.2
8 0.2 6000 2095.4 583.2 687.3 566.4 688.1 679.1 555325.5 13867.4 11323.6 26648.7 7672.8
8 0.2 6500 2743.5 788 877.2 783.4 874.7 881.1 749617.2 19162 16170.3 35866.7 10931
8 0.2 7000 3757.2 1046.3 1232.2 1035.8 1154.8 1150.3 989054.3 26211.6 22239.1 45877.4 16180
8 0.2 7500 4598.5 1341.6 1637 1391.7 1381.9 1381.9 1279130.3 34199.6 34338.7 62500.8 15671.9
8 0.2 8000 5651.7 1649.7 1819 1702.7 1581.2 1572.6 1628367.3 42798.2 39954.2 73628.1 21477.4
8 0.2 9000 9233.9 2708.9 3319.6 2680.8 2552.1 2495.2 2555082.6 74070.4 81342.3 130933.3 33378.6
8 0.2 10000 13997 4218 4939.6 4252.8 3735.4 3742.7 3820538 120603.9 135794 194094.2 51867.8
8 0.3 300 2 0 0 0 1 1 50.4 3.2 1 4.2 0.5
8 0.3 500 8.4 0.9 1 0.8 3.9 4 233.5 14.6 8.5 26.9 8.4
8 0.3 750 20.1 2.7 2.4 2.8 7.9 7.8 624 29.1 26.9 70.2 23.8
8 0.3 1000 37.1 5.9 7.1 6.7 15.7 14.7 1468.7 63.4 68.9 179.9 79.5
8 0.3 1250 60.9 11.3 14.2 11.9 23.5 24.1 3678.6 162.9 167.5 370.4 175.5
8 0.3 1500 99.4 24.6 27 23.8 37.1 37.3 6824.3 290.6 376.6 643.2 315
8 0.3 2000 226.6 62.6 71.7 60.5 81.7 78.3 18991.6 744.6 1294 1890.5 1059.6
8 0.3 2500 431.8 132 150.9 143.8 150.8 154.2 43665.6 1695.7 3799 4692.9 2469.8
8 0.3 3000 771.5 261 320.4 270.3 288.8 281.2 87972.3 3548.4 8709.9 9847.8 5170.9
8 0.3 3500 1329.6 470.8 575.8 476.6 483 481.5 159185.1 6730.5 17020.6 18626 12155.8
8 0.3 4000 2006.4 778.3 945.3 780.8 771.8 770.1 263431.6 11825 33604.7 34343.6 16828.1
8 0.3 4500 3132.7 1285 1416 1238.9 1177.8 1174 411440.8 19391.3 60739.7 59575.2 30830
8 0.3 5000 4517.4 1972.2 2264.8 1948.7 1761.1 1748.4 615327.2 31041.6 111212.5 106869.4 52051
8 0.3 5500 6877.5 2944.1 3680.5 2921.4 2569.8 2564.2 887365.3 47079.6 168225.5 159138.2 71789.7
8 0.3 6000 10166.2 4389.4 5391.9 4290.8 3511.8 3484.1 1241347.4 71592.9 294524.7 268447.9 131311.5
8 0.3 6500 14931.4 5987.5 7388.8 6042.3 4604.1 4613.3 1692473.1 101065.2 374168.1 342827.9 169794.2
