instance mcsp0 mcsp1 mcsp2 mcsp3 csia
mcs10_m2Dr6_s50_AB09 -1 -1 -1 -1 -1
mcs10_r005_s20_AB00 392 392 392 392 392
mcs10_r005_s20_AB01 2400 2400 2400 2400 2400
mcs10_r005_s20_AB02 2880 2880 2880 2880 2880
mcs10_r005_s20_AB03 288 288 288 288 288
mcs10_r005_s20_AB04 2208 2208 2208 2208 2208
mcs10_r005_s20_AB05 167040 167040 167040 167040 167040
mcs10_r005_s20_AB06 34608 34608 34608 34608 34608
mcs10_r005_s20_AB07 1536 1536 1536 1536 1536
mcs10_r005_s20_AB08 24480 24480 24480 24480 24480
mcs10_r005_s20_AB09 39312 39312 39312 39312 39312
mcs10_r005_s25_AB00 28704 28704 28704 28704 28704
mcs10_r005_s25_AB01 80 80 80 80 80
mcs10_r005_s25_AB02 8 8 8 8 8
mcs10_r005_s25_AB03 840 840 840 840 840
mcs10_r005_s25_AB04 1034 1034 1034 1034 1034
mcs10_r005_s25_AB05 68 68 68 68 68
mcs10_r005_s25_AB06 7392 7392 7392 7392 7392
mcs10_r005_s25_AB07 192 192 192 192 192
mcs10_r005_s25_AB08 3340 3340 3340 3340 3340
mcs10_r005_s25_AB09 1248 1248 1248 1248 1248
mcs10_r005_s30_AB00 176 176 176 -1 -1
mcs10_r005_s30_AB01 186 186 186 186 186
mcs10_r005_s30_AB02 10960 10960 10960 -1 -1
mcs10_r005_s30_AB03 1038 1038 1038 -1 -1
mcs10_r005_s30_AB04 1574 1574 1574 -1 -1
mcs10_r005_s30_AB05 1207 1207 1207 1207 -1
mcs10_r005_s30_AB06 1062872 1062872 1062872 -1 -1
mcs10_r005_s30_AB07 5548 5548 5548 -1 -1
mcs10_r005_s30_AB08 40 40 40 40 40
mcs10_r005_s30_AB09 9320 9320 9320 9320 9320
mcs10_r005_s35_AB00 2880 2880 -1 -1 -1
mcs10_r005_s35_AB01 7552 7552 7552 -1 -1
mcs10_r005_s35_AB02 194 194 -1 -1 -1
mcs10_r005_s35_AB03 103266 103266 -1 -1 -1
mcs10_r005_s35_AB04 2920 2920 -1 -1 -1
mcs10_r005_s35_AB05 576 576 576 -1 -1
mcs10_r005_s35_AB06 3468 3468 -1 -1 -1
mcs10_r005_s35_AB07 49756 49756 -1 -1 -1
mcs10_r005_s35_AB08 352 352 -1 -1 -1
mcs10_r005_s35_AB09 13480 13480 13480 -1 -1
mcs10_r005_s40_AB00 6390 6390 -1 -1 -1
mcs10_r005_s40_AB01 -1 -1 -1 -1 -1
mcs10_r005_s40_AB02 -1 -1 -1 -1 -1
mcs10_r005_s40_AB03 77108 77108 -1 -1 -1
mcs10_r005_s40_AB04 -1 -1 -1 -1 -1
mcs10_r005_s40_AB05 -1 -1 -1 -1 -1
mcs10_r005_s40_AB06 1502 1502 -1 -1 -1
mcs10_r005_s40_AB07 32 32 -1 -1 -1
mcs10_r005_s40_AB08 566766 566766 -1 -1 -1
mcs10_r005_s40_AB09 -1 -1 -1 -1 -1
mcs10_r005_s50_AB00 -1 -1 -1 -1 -1
mcs10_r005_s50_AB01 -1 -1 -1 -1 -1
mcs10_r005_s50_AB02 -1 -1 -1 -1 -1
mcs10_r005_s50_AB03 -1 -1 -1 -1 -1
mcs10_r005_s50_AB04 -1 -1 -1 -1 -1
mcs10_r005_s50_AB05 -1 -1 -1 -1 -1
mcs10_r005_s50_AB06 -1 -1 -1 -1 -1
mcs10_r005_s50_AB07 -1 -1 -1 -1 -1
mcs10_r005_s50_AB08 -1 -1 -1 -1 -1
mcs10_r005_s50_AB09 -1 -1 -1 -1 -1
mcs10_r01_s20_AB00 61 61 61 61 61
mcs10_r01_s20_AB01 38 38 38 38 38
mcs10_r01_s20_AB02 37 37 37 37 37
mcs10_r01_s20_AB03 2 2 2 2 2
mcs10_r01_s20_AB04 1 1 1 1 1
mcs10_r01_s20_AB05 3141 3141 3141 3141 3141
mcs10_r01_s20_AB06 55 55 55 55 55
mcs10_r01_s20_AB07 4 4 4 4 4
mcs10_r01_s20_AB08 430 430 430 430 430
mcs10_r01_s20_AB09 16 16 16 16 16
mcs10_r01_s25_AB00 1 1 1 1 1
mcs10_r01_s25_AB01 410 410 410 410 410
mcs10_r01_s25_AB02 261 261 261 261 261
mcs10_r01_s25_AB03 3 3 3 3 3
mcs10_r01_s25_AB04 207 207 207 207 207
mcs10_r01_s25_AB05 339 339 339 339 339
mcs10_r01_s25_AB06 17 17 17 17 17
mcs10_r01_s25_AB07 16 16 16 16 16
mcs10_r01_s25_AB08 3 3 3 3 3
mcs10_r01_s25_AB09 1116 1116 1116 1116 1116
mcs10_r01_s30_AB00 116 116 116 116 116
mcs10_r01_s30_AB01 8 8 8 8 8
mcs10_r01_s30_AB02 1 1 1 1 1
mcs10_r01_s30_AB03 32 32 32 32 32
mcs10_r01_s30_AB04 821 821 821 821 821
mcs10_r01_s30_AB05 363 363 363 363 363
mcs10_r01_s30_AB06 687 687 687 687 687
mcs10_r01_s30_AB07 683 683 683 -1 -1
mcs10_r01_s30_AB08 657 657 657 657 657
mcs10_r01_s30_AB09 377 377 377 377 377
mcs10_r01_s35_AB00 13 13 -1 -1 -1
mcs10_r01_s35_AB01 68 68 -1 -1 -1
mcs10_r01_s35_AB02 3870 3870 -1 -1 -1
mcs10_r01_s35_AB03 336 336 -1 -1 -1
mcs10_r01_s35_AB04 101 101 -1 -1 -1
mcs10_r01_s35_AB05 5 5 -1 -1 -1
mcs10_r01_s35_AB06 2 2 -1 -1 -1
mcs10_r01_s35_AB07 26 26 -1 -1 -1
mcs10_r01_s35_AB08 92 92 -1 -1 -1
mcs10_r01_s35_AB09 27 27 -1 -1 -1
mcs10_r01_s40_AB00 -1 -1 -1 -1 -1
mcs10_r01_s40_AB01 -1 -1 -1 -1 -1
mcs10_r01_s40_AB02 -1 -1 -1 -1 -1
mcs10_r01_s40_AB03 -1 -1 -1 -1 -1
mcs10_r01_s40_AB04 -1 -1 -1 -1 -1
mcs10_r01_s40_AB05 -1 -1 -1 -1 -1
mcs10_r01_s40_AB06 -1 -1 -1 -1 -1
mcs10_r01_s40_AB07 -1 -1 -1 -1 -1
mcs10_r01_s40_AB08 -1 -1 -1 -1 -1
mcs10_r01_s40_AB09 -1 -1 -1 -1 -1
mcs10_r01_s50_AB00 -1 -1 -1 -1 -1
mcs10_r01_s50_AB01 -1 -1 -1 -1 -1
mcs10_r01_s50_AB02 -1 -1 -1 -1 -1
mcs10_r01_s50_AB03 -1 -1 -1 -1 -1
mcs10_r01_s50_AB04 -1 -1 -1 -1 -1
mcs10_r01_s50_AB05 -1 -1 -1 -1 -1
mcs10_r01_s50_AB06 -1 -1 -1 -1 -1
mcs10_r01_s50_AB07 -1 -1 -1 -1 -1
mcs10_r01_s50_AB08 -1 -1 -1 -1 -1
mcs10_r01_s50_AB09 -1 -1 -1 -1 -1
mcs10_r02_s20_AB00 388 388 388 388 388
mcs10_r02_s20_AB01 5 5 5 5 5
mcs10_r02_s20_AB02 11 11 11 11 11
