instance mcsp0 mcsp1 mcsp2 mcsp3 csia
mcs10_m2Dr6_s50_AB09 80000 80000 80000 80000 80000
mcs10_r005_s20_AB00 17 17 181 4126 3037
mcs10_r005_s20_AB01 115 61 396 1387 1025
mcs10_r005_s20_AB02 30 13 87 3632 1094
mcs10_r005_s20_AB03 60 52 249 2272 1972
mcs10_r005_s20_AB04 25 26 148 264 330
mcs10_r005_s20_AB05 618 708 1787 12627 80000
mcs10_r005_s20_AB06 32 26 117 3512 2531
mcs10_r005_s20_AB07 52 58 253 801 3223
mcs10_r005_s20_AB08 290 222 2219 22629 14218
mcs10_r005_s20_AB09 138 255 1053 4005 9781
mcs10_r005_s25_AB00 3528 3460 36660 80000 80000
mcs10_r005_s25_AB01 766 776 18729 80000 80000
mcs10_r005_s25_AB02 280 440 1873 43454 65357
mcs10_r005_s25_AB03 423 385 5628 80000 80000
mcs10_r005_s25_AB04 159 161 3300 4152 27591
mcs10_r005_s25_AB05 70 76 1206 14845 52588
mcs10_r005_s25_AB06 287 283 5735 80000 80000
mcs10_r005_s25_AB07 491 975 5801 4303 23436
mcs10_r005_s25_AB08 422 433 6664 9846 34176
mcs10_r005_s25_AB09 2156 1865 33201 80000 80000
mcs10_r005_s30_AB00 2011 2019 80000 80000 80000
mcs10_r005_s30_AB01 3099 3252 61100 80000 80000
mcs10_r005_s30_AB02 5077 5429 80000 80000 80000
mcs10_r005_s30_AB03 4542 4703 80000 80000 80000
mcs10_r005_s30_AB04 3559 3728 77640 80000 80000
mcs10_r005_s30_AB05 2845 2896 80000 80000 80000
mcs10_r005_s30_AB06 19904 20361 80000 80000 80000
mcs10_r005_s30_AB07 4366 4393 80000 80000 80000
mcs10_r005_s30_AB08 555 333 13176 80000 80000
mcs10_r005_s30_AB09 2927 3019 80000 80000 80000
mcs10_r005_s35_AB00 47828 50242 80000 80000 80000
mcs10_r005_s35_AB01 31566 33213 80000 80000 80000
mcs10_r005_s35_AB02 46753 49798 80000 80000 80000
mcs10_r005_s35_AB03 80000 80000 80000 80000 80000
mcs10_r005_s35_AB04 58171 61023 80000 80000 80000
mcs10_r005_s35_AB05 11164 12011 80000 80000 80000
mcs10_r005_s35_AB06 39967 44957 80000 80000 80000
mcs10_r005_s35_AB07 80000 80000 80000 80000 80000
mcs10_r005_s35_AB08 19839 21289 80000 80000 80000
mcs10_r005_s35_AB09 15704 16928 80000 80000 80000
mcs10_r005_s40_AB00 80000 80000 80000 80000 80000
mcs10_r005_s40_AB01 80000 80000 80000 80000 80000
mcs10_r005_s40_AB02 80000 80000 80000 80000 80000
mcs10_r005_s40_AB03 80000 80000 80000 80000 80000
mcs10_r005_s40_AB04 80000 80000 80000 80000 80000
mcs10_r005_s40_AB05 80000 80000 80000 80000 80000
mcs10_r005_s40_AB06 80000 80000 80000 80000 80000
mcs10_r005_s40_AB07 80000 80000 80000 80000 80000
mcs10_r005_s40_AB08 80000 80000 80000 80000 80000
mcs10_r005_s40_AB09 80000 80000 80000 80000 80000
mcs10_r005_s50_AB00 80000 80000 80000 80000 80000
mcs10_r005_s50_AB01 80000 80000 80000 80000 80000
mcs10_r005_s50_AB02 80000 80000 80000 80000 80000
mcs10_r005_s50_AB03 80000 80000 80000 80000 80000
mcs10_r005_s50_AB04 80000 80000 80000 80000 80000
mcs10_r005_s50_AB05 80000 80000 80000 80000 80000
mcs10_r005_s50_AB06 80000 80000 80000 80000 80000
mcs10_r005_s50_AB07 80000 80000 80000 80000 80000
mcs10_r005_s50_AB08 80000 80000 80000 80000 80000
mcs10_r005_s50_AB09 80000 80000 80000 80000 80000
mcs10_r01_s20_AB00 123 81 294 861 599
mcs10_r01_s20_AB01 120 133 380 908 1681
mcs10_r01_s20_AB02 65 98 290 324 360
mcs10_r01_s20_AB03 46 29 156 385 458
mcs10_r01_s20_AB04 84 52 252 588 620
mcs10_r01_s20_AB05 45 80 253 782 1023
mcs10_r01_s20_AB06 71 78 314 626 838
mcs10_r01_s20_AB07 22 23 85 203 218
mcs10_r01_s20_AB08 52 32 166 180 354
mcs10_r01_s20_AB09 59 38 174 380 381
mcs10_r01_s25_AB00 1816 2079 6492 10926 9380
mcs10_r01_s25_AB01 1388 1462 6777 41449 26383
mcs10_r01_s25_AB02 1422 1558 10404 30477 43036
mcs10_r01_s25_AB03 1376 1560 10354 8202 16118
mcs10_r01_s25_AB04 1992 2247 14784 41080 34438
mcs10_r01_s25_AB05 2084 2299 23213 42034 80887
mcs10_r01_s25_AB06 614 666 4364 17682 17584
mcs10_r01_s25_AB07 427 474 2617 53333 45086
mcs10_r01_s25_AB08 1547 1558 9926 17535 15797
mcs10_r01_s25_AB09 1388 1473 7734 19694 22648
mcs10_r01_s30_AB00 38905 43559 80000 80000 80000
mcs10_r01_s30_AB01 23606 27208 80000 80000 80000
mcs10_r01_s30_AB02 17611 20323 80000 80000 80000
mcs10_r01_s30_AB03 37483 42188 80000 80000 80000
mcs10_r01_s30_AB04 17980 19809 80000 80000 80000
mcs10_r01_s30_AB05 32413 36098 80000 80000 80000
mcs10_r01_s30_AB06 29653 33979 80000 80000 80000
mcs10_r01_s30_AB07 23021 26516 80000 80000 80000
mcs10_r01_s30_AB08 39577 45496 80000 80000 80000
mcs10_r01_s30_AB09 31108 35242 80000 80000 80000
mcs10_r01_s35_AB00 80000 80000 80000 80000 80000
mcs10_r01_s35_AB01 80000 80000 80000 80000 80000
mcs10_r01_s35_AB02 80000 80000 80000 80000 80000
mcs10_r01_s35_AB03 80000 80000 80000 80000 80000
mcs10_r01_s35_AB04 80000 80000 80000 80000 80000
mcs10_r01_s35_AB05 80000 80000 80000 80000 80000
mcs10_r01_s35_AB06 80000 80000 80000 80000 80000
mcs10_r01_s35_AB07 80000 80000 80000 80000 80000
mcs10_r01_s35_AB08 80000 80000 80000 80000 80000
mcs10_r01_s35_AB09 80000 80000 80000 80000 80000
mcs10_r01_s40_AB00 80000 80000 80000 80000 80000
mcs10_r01_s40_AB01 80000 80000 80000 80000 80000
mcs10_r01_s40_AB02 80000 80000 80000 80000 80000
mcs10_r01_s40_AB03 80000 80000 80000 80000 80000
mcs10_r01_s40_AB04 80000 80000 80000 80000 80000
mcs10_r01_s40_AB05 80000 80000 80000 80000 80000
mcs10_r01_s40_AB06 80000 80000 80000 80000 80000
mcs10_r01_s40_AB07 80000 80000 80000 80000 80000
mcs10_r01_s40_AB08 80000 80000 80000 80000 80000
mcs10_r01_s40_AB09 80000 80000 80000 80000 80000
mcs10_r01_s50_AB00 80000 80000 80000 80000 80000
mcs10_r01_s50_AB01 80000 80000 80000 80000 80000
mcs10_r01_s50_AB02 80000 80000 80000 80000 80000
mcs10_r01_s50_AB03 80000 80000 80000 80000 80000
mcs10_r01_s50_AB04 80000 80000 80000 80000 80000
mcs10_r01_s50_AB05 80000 80000 80000 80000 80000
mcs10_r01_s50_AB06 80000 80000 80000 80000 80000
mcs10_r01_s50_AB07 80000 80000 80000 80000 80000
mcs10_r01_s50_AB08 80000 80000 80000 80000 80000
mcs10_r01_s50_AB09 80000 80000 80000 80000 80000
mcs10_r02_s20_AB00 298 353 630 732 510
mcs10_r02_s20_AB01 207 164 335 447 347
mcs10_r02_s20_AB02 122 94 206 345 248
mcs10_r02_s20_AB03 223 256 343 532 354
mcs10_r02_s20_AB04 231 237 469 819 498
mcs10_r02_s20_AB05 306 348 531 783 484
mcs10_r02_s20_AB06 271 289 468 449 327
mcs10_r02_s20_AB07 299 344 664 945 670
mcs10_r02_s20_AB08 214 239 369 539 372
mcs10_r02_s20_AB09 184 210 391 483 332
mcs10_r02_s25_AB00 2329 2888 5439 7260 6149
mcs10_r02_s25_AB01 2795 3425 8342 10396 7656
mcs10_r02_s25_AB02 4050 5167 10450 13145 8816
mcs10_r02_s25_AB03 1943 2263 4300 4050 3010
mcs10_r02_s25_AB04 3004 3876 7724 12381 7979
mcs10_r02_s25_AB05 2979 3660 7005 9361 7070
mcs10_r02_s25_AB06 3349 4141 8677 10996 7446
mcs10_r02_s25_AB07 4616 5560 9247 10559 8685
mcs10_r02_s25_AB08 2013 2535 6199 9574 6315
mcs10_r02_s25_AB09 3249 3946 7554 10400 8501
mcs10_r02_s30_AB00 38877 48231 80000 80000 78343
mcs10_r02_s30_AB01 38876 50122 80000 80000 80000
mcs10_r02_s30_AB02 45698 56301 80000 80000 80000
mcs10_r02_s30_AB03 51384 62997 80000 80000 80000
mcs10_r02_s30_AB04 52264 65858 80000 80000 80000
mcs10_r02_s30_AB05 41635 52080 80000 80000 81793
mcs10_r02_s30_AB06 41546 53775 80000 80000 80000
mcs10_r02_s30_AB07 32554 40300 80000 80000 63854
mcs10_r02_s30_AB08 54490 66950 80000 80000 80000
mcs10_r02_s30_AB09 52816 65645 80000 80000 80000
mcs10_r02_s35_AB00 80000 80000 80000 80000 80000
mcs10_r02_s35_AB01 80000 80000 80000 80000 80000
mcs10_r02_s35_AB02 80000 80000 80000 80000 80000
mcs10_r02_s35_AB03 80000 80000 80000 80000 80000
mcs10_r02_s35_AB04 80000 80000 80000 80000 80000
mcs10_r02_s35_AB05 80000 80000 80000 80000 80000
mcs10_r02_s35_AB06 80000 80000 80000 80000 80000
mcs10_r02_s35_AB07 80000 80000 80000 80000 80000
mcs10_r02_s35_AB08 80000 80000 80000 80000 80000
mcs10_r02_s35_AB09 80000 80000 80000 80000 80000
mcs10_r02_s40_AB00 80000 80000 80000 80000 80000
mcs10_r02_s40_AB01 80000 80000 80000 80000 80000
mcs10_r02_s40_AB02 80000 80000 80000 80000 80000
mcs10_r02_s40_AB03 80000 80000 80000 80000 80000
mcs10_r02_s40_AB04 80000 80000 80000 80000 80000
mcs10_r02_s40_AB05 80000 80000 80000 80000 80000
mcs10_r02_s40_AB06 80000 80000 80000 80000 80000
mcs10_r02_s40_AB07 80000 80000 80000 80000 80000
mcs10_r02_s40_AB08 80000 80000 80000 80000 80000
mcs10_r02_s40_AB09 80000 80000 80000 80000 80000
mcs10_r02_s50_AB00 80000 80000 80000 80000 80000
mcs10_r02_s50_AB01 80000 80000 80000 80000 80000
mcs10_r02_s50_AB02 80000 80000 80000 80000 80000
mcs10_r02_s50_AB03 80000 80000 80000 80000 80000
mcs10_r02_s50_AB04 80000 80000 80000 80000 80000
mcs10_r02_s50_AB05 80000 80000 80000 80000 80000
mcs10_r02_s50_AB06 80000 80000 80000 80000 80000
mcs10_r02_s50_AB07 80000 80000 80000 80000 80000
mcs10_r02_s50_AB08 80000 80000 80000 80000 80000
mcs10_r02_s50_AB09 80000 80000 80000 80000 80000
mcs30_b03_s15_AB00 7 7 14 36 43
mcs30_b03_s15_AB01 0 1 3 10 11
mcs30_b03_s15_AB02 6 6 10 45 40
mcs30_b03_s15_AB03 2 5 8 37 16
mcs30_b03_s15_AB04 9 5 27 16 16
mcs30_b03_s15_AB05 4 8 22 13 15
mcs30_b03_s15_AB06 2 4 10 26 36
mcs30_b03_s15_AB07 7 8 7 11 35
mcs30_b03_s15_AB08 5 3 17 28 25
mcs30_b03_s15_AB09 2 2 13 14 11
mcs30_b03_s20_AB00 57 33 388 893 2483
mcs30_b03_s20_AB01 52 30 281 1312 1679
mcs30_b03_s20_AB02 36 66 220 737 2486
mcs30_b03_s20_AB03 23 50 288 2909 1795
mcs30_b03_s20_AB04 157 162 580 1031 1442
mcs30_b03_s20_AB05 57 105 802 4466 4769
mcs30_b03_s20_AB06 29 16 140 602 678
mcs30_b03_s20_AB07 25 50 164 396 200
mcs30_b03_s20_AB08 14 25 72 278 371
mcs30_b03_s20_AB09 54 30 382 1023 800
mcs30_b03_s25_AB00 332 338 18950 80000 80000
mcs30_b03_s25_AB01 49 81 528 7261 6366
mcs30_b03_s25_AB02 987 924 17688 80000 80000
mcs30_b03_s25_AB03 332 318 6267 68846 69574
mcs30_b03_s25_AB04 87 49 1064 12051 27141
mcs30_b03_s25_AB05 484 503 10850 80000 80000
mcs30_b03_s25_AB06 1040 641 11322 80000 80000
mcs30_b03_s25_AB07 340 323 7909 80000 80000
mcs30_b03_s25_AB08 500 527 7116 27741 23233
mcs30_b03_s25_AB09 442 378 13194 80000 80000
mcs30_b03_s30_AB00 2439 2480 80000 80000 80000
mcs30_b03_s30_AB01 2750 3170 80000 80000 80000
mcs30_b03_s30_AB02 8772 8752 80000 80000 80000
mcs30_b03_s30_AB03 4917 4835 80000 80000 80000
mcs30_b03_s30_AB04 1153 972 17248 80000 80000
mcs30_b03_s30_AB05 5897 5739 80000 80000 80000
mcs30_b03_s30_AB06 20648 21341 80000 80000 80000
mcs30_b03_s30_AB07 1947 1986 30598 75913 80000
mcs30_b03_s30_AB08 2417 2411 80000 80000 80000
mcs30_b03_s30_AB09 2590 1951 80000 80000 80000
mcs30_b03_s35_AB00 11841 12172 80000 80000 80000
mcs30_b03_s35_AB01 22529 28300 80000 80000 80000
mcs30_b03_s35_AB02 11719 12219 80000 80000 80000
mcs30_b03_s35_AB03 57265 58066 80000 80000 80000
mcs30_b03_s35_AB04 12258 12081 80000 80000 80000
mcs30_b03_s35_AB05 17407 17745 80000 80000 80000
mcs30_b03_s35_AB06 7099 7582 80000 80000 80000
mcs30_b03_s35_AB07 16400 17731 80000 80000 80000
mcs30_b03_s35_AB08 10002 10466 80000 80000 80000
mcs30_b03_s35_AB09 23989 24328 80000 80000 80000
mcs30_b03_s40_AB00 80000 80000 80000 80000 80000
mcs30_b03_s40_AB01 80000 80000 80000 80000 80000
mcs30_b03_s40_AB02 80000 80000 80000 80000 80000
mcs30_b03_s40_AB03 80000 80000 80000 80000 80000
mcs30_b03_s40_AB04 79111 80000 80000 80000 80000
mcs30_b03_s40_AB05 80000 80000 80000 80000 80000
mcs30_b03_s40_AB06 80000 80000 80000 80000 80000
mcs30_b03_s40_AB07 80000 80000 80000 80000 80000
mcs30_b03_s40_AB08 80000 80000 80000 80000 80000
mcs30_b03_s40_AB09 80000 80000 80000 80000 80000
mcs30_b03_s50_AB00 80000 80000 80000 80000 80000
mcs30_b03_s50_AB01 80000 80000 80000 80000 80000
mcs30_b03_s50_AB02 80000 80000 80000 80000 80000
mcs30_b03_s50_AB03 80000 80000 80000 80000 80000
mcs30_b03_s50_AB04 80000 80000 80000 80000 80000
mcs30_b03_s50_AB05 80000 80000 80000 80000 80000
mcs30_b03_s50_AB06 80000 80000 80000 80000 80000
mcs30_b03_s50_AB07 80000 80000 80000 80000 80000
mcs30_b03_s50_AB08 80000 80000 80000 80000 80000
mcs30_b03_s50_AB09 80000 80000 80000 80000 80000
mcs30_b03m_s15_AB00 1 1 4 13 6
mcs30_b03m_s15_AB01 5 5 17 42 28
mcs30_b03m_s15_AB02 7 7 19 41 24
mcs30_b03m_s15_AB03 2 4 12 9 7
mcs30_b03m_s15_AB04 9 9 51 122 53
mcs30_b03m_s15_AB05 3 3 12 32 42
