instance mcsplit-mcis-sparse kdown2017 kdown2019 kdown2019-restarts
si6_m4Dr2_m625.08 0 166 182 193
si6_m4Dr2_m625.09 0 150 189 199
si6_m4Dr2_m625.05 1 604 185 187
si6_m4Dr2_m625.01 1 91 170 188
si6_m4Dr2_m625.06 1 158 177 182
si6_m4Dr2_m625.00 1 145 183 195
si6_m4Dr2_m625.03 1 128 197 202
si6_m4Dr2_m625.02 0 224 192 198
si6_m4Dr2_m625.07 1 152 130 178
si6_m4Dr2_m625.04 1 107 184 134
si2_m4D_m1296.01 6 179 402 1093
si2_m4D_m1296.08 0 196 321 367
si2_m4D_m1296.06 23 338 917 1087
si2_m4D_m1296.05 0 243 383 385
si2_m4D_m1296.09 9 945 320 326
si2_m4D_m1296.03 2 203 530 1028
si2_m4D_m1296.07 1 372 325 392
si2_m4D_m1296.02 2 281 327 376
si2_m4D_m1296.04 4 312 347 333
si2_m4D_m1296.00 1 230 318 369
si4_b03_m800.05 0 89 177 196
si4_b03_m800.00 0 91 176 194
si4_b03_m800.08 0 91 177 196
si4_b03_m800.09 0 41 177 309
si4_b03_m800.03 0 42 239 272
si4_b03_m800.02 0 42 255 194
si4_b03_m800.04 0 41 233 264
si4_b03_m800.01 0 91 176 251
si4_b03_m800.06 0 91 176 196
si4_b03_m800.07 0 91 176 224
si6_m4D_m1296.02 4 591 653 605
si6_m4D_m1296.07 7 1442 996 1946
si6_m4D_m1296.05 9 1862 655 643
si6_m4D_m1296.09 14 3300 1078 853
si6_m4D_m1296.00 20866 497291 263308 10585
si6_m4D_m1296.08 3 768 666 609
si6_m4D_m1296.04 10 1668 697 734
si6_m4D_m1296.06 7 1806 1161 1434
si6_m4D_m1296.01 6118 613803 74013 1485
si6_m4D_m1296.03 249 38952 2884 2101
si6_r001_m200.05 5 672 27 13
si6_r001_m200.09 4 418 27 13
si6_r001_m200.07 0 17 12 25
si6_r001_m200.02 1 180 26 13
si6_r001_m200.01 0 206 12 13
si6_r001_m200.00 0 41 25 12
si6_r001_m200.04 1 1518 13 13
si6_r001_m200.06 0 21 12 26
si6_r001_m200.08 0 27 12 26
si6_r001_m200.03 0 9 13 13
si4_b06_m400.06 0 10 43 45
si4_b06_m400.07 0 21 46 77
si4_b06_m400.09 0 21 44 92
si4_b06_m400.01 0 21 44 92
si4_b06_m400.04 0 21 44 92
si4_b06_m400.03 0 21 43 93
si4_b06_m400.00 0 21 43 93
si4_b06_m400.05 0 21 44 92
si4_b06_m400.08 0 21 43 93
si4_b06_m400.02 0 21 44 93
si2_m4Dr6_m256.06 3 16 27 14
si2_m4Dr6_m256.05 0 10 12 26
si2_m4Dr6_m256.09 4 21 13 27
si2_m4Dr6_m256.00 2 18 13 27
si2_m4Dr6_m256.07 0 4 25 26
si2_m4Dr6_m256.04 0 17 13 13
si2_m4Dr6_m256.02 0 7 13 28
si2_m4Dr6_m256.01 12 4 13 13
si2_m4Dr6_m256.08 2 115 16 15
si2_m4Dr6_m256.03 0 24 12 26
si6_r01_m200.04 0 283 37 106
si6_r01_m200.08 2 177 178 177
si6_r01_m200.02 4 701 354 422
si6_r01_m200.09 0 1397 87 260
si6_r01_m200.07 1 297 113 120
si6_r01_m200.00 3 339 435 553
si6_r01_m200.01 0 3432 101 125
si6_r01_m200.03 12 708 1005 1070
si6_r01_m200.05 2 1177 220 208
si6_r01_m200.06 1 1187 150 229
si2_b03m_m800.03 0 105 107 108
si2_b03m_m800.02 0 108 105 228
si2_b03m_m800.09 0 52 110 111
si2_b03m_m800.04 0 77 109 145
si2_b03m_m800.06 0 104 109 133
si2_b03m_m800.05 0 104 108 162
si2_b03m_m800.01 0 51 108 162
si2_b03m_m800.08 0 52 108 109
si2_b03m_m800.07 1000000 106 107 109
si2_b03m_m800.00 0 100 105 109
si2_r001_m200.06 3 420 36 12
si2_r001_m200.01 156 985 17 9
si2_r001_m200.02 80 1440 9 10
si2_r001_m200.07 0 23 7 15
si2_r001_m200.04 0 82 16 8
si2_r001_m200.05 103104 38621 16 45
si2_r001_m200.09 28766 242803 262 173
si2_r001_m200.03 778 1327 15 7
si2_r001_m200.00 0 13 16 15
si2_r001_m200.08 4767 290690 17 8
si6_b03m_m800.01 0 251 261 256
si6_b03m_m800.08 0 200 200 248
si6_b03m_m800.03 32 148 197 248
si6_b03m_m800.00 0 308 196 249
si6_b03m_m800.04 0 153 195 263
si6_b03m_m800.05 0 206 276 270
si6_b03m_m800.07 1 212 272 250
si6_b03m_m800.06 0 157 200 263
si6_b03m_m800.09 0 207 269 268
si6_b03m_m800.02 0 216 252 248
si4_r005_m200.00 5 346 90 123
si4_r005_m200.08 0 234 26 24
si4_r005_m200.02 11 199 83 89
si4_r005_m200.05 0 141 28 44
si4_r005_m200.06 0 74 56 33
si4_r005_m200.04 1 718 83 29
si4_r005_m200.07 1 268 87 43
si4_r005_m200.09 2 260 89 60
si4_r005_m200.01 0 283 44 30
si4_r005_m200.03 3 266 116 74
si6_b09m_m400.03 0 72 57 73
si6_b09m_m400.07 0 33 104 61
si6_b09m_m400.00 0 38 105 118
si6_b09m_m400.04 0 33 58 60
si6_b09m_m400.06 0 71 57 60
