instance mcsplit-mcis-sparse kdown2017 kdown2019 kdown2019-restarts
g4-g28 2 2 2 2
g4-g42 8 8 8 8
g4-g6 3 3 3 3
g41-g48 X X X X
g42-g50 X X X X
g47-g48 X X X X
g5-g20 10 10 10 10
g5-g31 11 11 11 11
g5-g45 11 11 11 11
g6-g13 17 17 17 17
g6-g27 17 17 17 17
g6-g41 17 17 17 17
g6-g7 10 10 10 10
g7-g23 11 11 11 11
g7-g37 10 10 10 10
g7-g48 11 11 11 11
g8-g19 X X X X
g8-g30 X X X X
g8-g42 24 24 24 24
g9-g10 X X X X
g9-g23 37 37 37 37
g9-g37 X X X X
g9-g48 X X X X
PR15-8 6 6 6 6
PR15-18 15 15 15 15
g10-g103 X X X X
g10-g51 X X X X
g10-g64 X X X X
g10-g76 X X X X
g10-g88 X X X X
g10-g99 X X X X
g11-g109 X X X X
g11-g57 X X X X
g11-g71 X X X X
g11-g83 X X X X
g11-g95 X X X X
g12-g105 X X X X
g12-g53 X 32 X X
g12-g67 X 33 33 33
g12-g78 X X X X
g12-g90 33 X X X
g13-g101 X X X X
g13-g111 X X X X
g13-g62 X X X X
g13-g74 X X X X
g13-g85 X X X X
g13-g97 41 41 41 41
g14-g107 X X X X
g14-g55 X X X X
g14-g69 44 44 44 44
g14-g80 42 X 42 42
g14-g92 44 44 44 44
g15-g103 X X X X
g15-g51 X X X X
g15-g64 X X X X
g15-g76 X X X X
g15-g88 X X X X
g15-g99 41 41 41 41
g16-g109 X X X X
g16-g57 X X X X
g16-g71 X X X X
g16-g83 X X X X
g16-g95 X X X X
g17-g105 X X X X
g17-g53 X X X X
g17-g67 X X X X
g17-g78 64 64 64 64
g17-g90 64 64 64 64
g18-g101 X X X X
g18-g111 X X X X
g18-g62 X X X X
g18-g74 X X X X
g18-g85 X X X X
g18-g97 X X X X
g19-g107 X X X X
g19-g55 X X X X
g19-g69 X X X X
g19-g80 X X X X
g19-g92 X X X X
g2-g103 10 10 10 10
g2-g51 10 10 10 10
g2-g64 10 10 10 10
g2-g76 10 10 10 10
g2-g88 10 10 10 10
g2-g99 10 10 10 10
g20-g109 X X X X
g20-g57 X X X X
g20-g71 X X X X
g20-g83 X X X X
g20-g95 X X X X
g21-g105 X X X X
g21-g53 9 X X X
g21-g67 4 4 4 X
g21-g78 4 X X X
g21-g90 4 X X X
g22-g101 X X X X
g22-g111 X X X X
g22-g62 X X X X
g22-g74 X X X X
g22-g85 X X X X
g22-g97 X X X X
g23-g107 X X X X
g23-g55 X X X X
g23-g69 X X X X
g23-g80 X X X X
g23-g92 X X X X
g24-g103 X X X X
g24-g51 X X X X
g24-g64 X X X X
g24-g76 X X X X
g24-g88 X X X X
g24-g99 74 74 X X
g25-g109 X X X X
g25-g57 62 X X X
g25-g71 65 X X X
g25-g83 X X X X
g25-g95 66 X X X
g26-g105 X X X X
g26-g53 X X X X
g26-g67 X X X X
g26-g78 X X X X
g26-g90 X X X X
g27-g101 X X X X
g27-g111 X X X X
g27-g62 X X X X
g27-g74 X X X X
g27-g85 X X X X
g27-g97 X X X X
g28-g107 X X X X
g28-g55 X X X X
g28-g69 X X X X
g28-g80 86 X X X
g28-g92 X X X X
g29-g103 X X X X
g29-g51 X X X X
g29-g64 X X X X
g29-g76 X X X X
g29-g88 X X X X
g29-g99 X X X X
g3-g109 7 7 7 7
g3-g57 6 6 6 6
g3-g71 7 7 7 7
g3-g83 7 7 7 7
g3-g95 7 7 7 7
g30-g105 X X X X
g30-g53 X X X X
g30-g67 X X X X
g30-g78 X X X X
g30-g90 X X X X
g31-g101 X X X X
g31-g111 X X X X
g31-g62 X X X X
g31-g74 X X X X
g31-g85 X X X X
g31-g97 X X X X
g32-g107 12 X 12 12
g32-g55 2 X 2 2
g32-g69 4 4 4 4
g32-g80 4 4 4 4
g32-g92 4 X 4 4
g33-g103 X X X X
g33-g51 X X X X
g33-g64 X X X X
g33-g76 X X X X
g33-g88 X X X X
