mcsplit mcsplit-h mcsplit+f mcsplit+fmm mcsplit+bigf mcsplit+r mcsplit+S
0 0 0 0 0 0 0
4814 5316 6359 6779 5511 6082 4753
7387 9245 9246 9785 7229 7938 7370
100003 100002 100000 100005 100003 100006 100005
3577 3957 4046 4286 3245 3437 3603
47919 55163 53758 58189 43366 46321 46177
6062 6617 7646 7903 5643 6001 6111
0 0 0 0 0 0 0
100004 100001 100008 100002 100007 100003 100007
100008 100001 100004 100007 100008 100005 100008
4 7 5 5 4 5 4
1219 1271 1682 1858 908 1047 1219
1 1 1 1 1 1 1
100009 100003 100005 100009 100008 100002 100008
989 1149 1230 1388 588 644 977
100004 100007 100003 100010 100009 100003 100001
311 323 489 518 372 479 467
437 433 389 380 215 235 424
441 605 441 478 427 437 445
100002 100000 100009 100008 100004 100004 100000
33007 37258 39552 43533 77020 80969 78812
1 1 1 1 1 1 1
18256 21608 21442 22832 3959 3736 18314
2064 2230 2216 2345 2021 2153 2077
59 63 59 63 64 65 59
100001 100005 100000 100002 100008 100003 100001
7060 8402 7531 8220 4422 4251 7045
100006 100003 100007 100007 100006 100004 100002
34 81 42 44 32 37 34
2250 2592 2484 2574 1817 1897 2234
78 93 69 77 64 62 78
100003 100004 100002 100008 100001 100008 100008
960 1213 1011 1077 3327 3861 947
96 107 120 123 111 114 99
74254 82180 100005 100005 61972 69068 74790
1638 1799 2374 2515 1705 1943 1629
207 230 278 296 213 240 231
13 18 13 14 10 12 8
178 215 195 204 174 189 181
5 6 5 5 5 7 7
5095 5425 6638 6428 6021 6673 5160
0 0 0 0 0 0 0
10 10 9 9 5 5 6
124 139 135 144 124 140 123
0 0 0 0 0 0 0
27 50 33 47 16 21 26
20 21 21 22 24 27 20
100009 100004 100007 100006 100002 100001 100009
1355 1399 1690 1744 871 920 880
272 328 333 353 288 296 275
22 26 28 28 19 22 23
5 6 7 8 4 6 6
26591 29843 23876 26874 12754 13982 15046
9352 10811 9972 10743 8921 9752 9280
12 31 16 17 11 12 12
3587 4060 4353 4702 3678 4057 3579
88 98 103 111 140 150 90
1634 2004 1770 1883 1635 1741 1646
0 0 0 0 0 1 0
3 4 4 4 3 3 3
100007 100003 100004 100006 100009 100000 100005
0 0 0 0 0 0 0
5700 7422 5762 6182 12520 13526 13566
42448 50084 43506 46380 12209 8679 42472
0 0 0 0 0 0 0
2 2 2 2 1 1 1
1 2 1 1 1 1 1
1654 5390 1721 2101 1916 1992 1686
100005 100008 100002 100006 100009 100003 100002
24136 24610 38042 40313 42458 53401 24155
15 21 32 37 12 34 16
100005 100002 100001 100004 100001 100001 100008
16 14 15 16 16 17 16
0 0 0 0 0 0 0
21898 28855 22478 24680 16006 18050 18387
60 62 70 68 23 26 60
99 114 141 146 112 125 99
100008 100009 100004 100000 100005 100009 100001
100006 100008 100002 100002 100002 100007 100002
100010 100006 100004 100006 100009 100009 100001
100009 100002 100008 100006 100001 100003 100011
195 207 243 265 206 225 198
100010 100000 100007 100006 100002 100000 100008
100007 100010 100009 100001 100000 100009 100009
100008 100006 100001 100005 100004 100001 100002
100006 100004 100009 100004 100004 100006 100009
3240 3503 4192 4191 3581 3509 3224
100009 100009 100007 100009 100009 100006 100003
467 541 482 520 213 203 201
1226 1418 1359 1423 1620 1838 1207
6 6 7 8 7 8 6
100004 100005 100007 100004 100005 100006 100005
1 1 1 1 1 2 1
0 0 0 0 0 0 0
100005 100002 100002 100000 100003 100005 100008
100000 100009 100003 100000 100003 100009 100005
100003 100009 100000 100006 100008 100004 100008
100009 100008 100006 100005 100002 100005 100003
25329 27095 33796 36066 30732 35639 25193
100005 100008 100007 100001 100002 100004 100002
2812 3206 3094 3313 1538 1963 2827
100004 100005 100003 100004 100006 100009 100001
0 0 0 0 1 1 0
11 11 14 13 5 5 10
3 4 2 2 4 3 2
100003 100003 100004 100001 100007 100007 100009
100006 100003 100001 100002 100007 100006 100006
100000 100001 100008 100002 100000 100008 100004
298 317 358 366 301 335 300
100005 100004 100000 100004 100002 100006 100001
0 0 0 0 0 0 0
0 0 0 0 0 0 0
52950 56397 90389 98760 91535 100001 52519
84 87 116 122 74 87 83
100002 100008 100007 100001 100008 100009 100003
100002 100007 100009 100002 100001 100007 100002
100005 100002 100009 100002 100002 100008 100009
1147 1235 1767 1916 1241 1378 1151
100007 100002 100008 100010 100007 100004 100000
10 11 10 10 14 14 10
100003 100002 100004 100000 100004 100007 100001
100008 100006 100008 100007 100004 100008 100009
0 0 0 0 0 0 0
100002 100001 100008 100009 100007 100000 100006
100005 100010 100006 100001 100000 100009 100001
2790 3573 3206 3400 2907 3240 2769
100004 100001 100009 100004 100006 100000 100009
13 16 15 15 17 18 13
34 27 38 38 41 44 34
52 55 72 74 61 68 52
0 0 0 0 0 0 0
100000 100005 100001 100007 100006 100000 100000
6606 7422 8708 9810 6130 7148 6689
6 6 6 6 5 6 6
3920 4499 4215 4416 3682 3678 3940
0 0 0 0 0 0 0
0 0 0 0 0 0 0
100009 100003 100008 100004 80675 95527 94437
100005 100005 100006 100008 100002 100004 100005
2130 2920 2231 2400 1687 1694 2147
0 0 0 0 0 0 0
2 2 2 2 1 2 2
1777 2138 2192 2431 2492 2883 1792
11313 31061 13421 15995 14124 15192 11327
1906 2397 1915 2030 1603 1746 1969
100009 100008 100005 100007 100009 100009 100003
75414 80709 100001 100002 91504 100009 100003
100003 100008 100002 100005 100002 100003 100003
11718 13428 14660 15818 31175 34324 11768
68 90 77 83 58 84 67
100001 100002 100000 100008 100009 100006 100007
1713 1828 2264 2379 1534 1758 1654
0 0 0 0 0 0 0
5258 6153 5902 6395 4621 4772 4691
100003 100000 100009 100006 100007 100010 100007
2918 3426 3657 3854 2771 2899 2939
39980 52514 52483 57091 49514 57290 40037
5898 6135 7815 8213 2558 2975 5913
100007 100005 100005 100001 100002 100000 100001
7761 6818 8799 7034 9260 9949 7854
5640 6052 6941 7542 3962 4269 4268
100004 100005 100005 100009 100006 100001 100009
8513 10252 10449 11719 8355 9477 8360
0 0 0 0 0 0 0
51718 59999 63366 61278 81993 87612 84484
7432 7793 14050 14642 7180 8398 7440
8 10 8 8 3 3 8
14 16 15 16 15 18 14
100003 100009 100006 100006 100007 100008 100002
1015 1179 1114 1165 2438 2685 1010
0 0 0 0 0 0 0
2 2 2 3 3 3 2
14045 16537 15912 17240 12135 12502 14232
100001 100006 100002 100006 100007 100006 100006
466 533 586 632 455 539 526
327 369 390 399 361 378 329
100004 100008 100001 100007 100007 100005 100005
1390 1659 1490 1589 5162 6352 1395
100008 100006 100001 100000 100003 100000 100001
1267 1581 1396 1473 2099 2141 2080
597 616 663 689 564 828 580
16 22 23 24 12 17 16
6 8 7 7 6 6 6
133 150 136 146 99 107 136
795 893 826 867 600 619 607
55 63 66 71 59 66 56
1250 221 1378 1196 1229 1310 1245
0 0 0 0 0 0 0
100000 100003 100006 100005 100009 100005 100001
100005 100000 100009 100002 100002 100009 100005
2 2 1 1 2 2 2
1424 1728 1360 1497 1188 1254 1396
16208 20974 20602 24014 19945 23744 24735
5345 5487 6809 7024 5130 6546 5411
2 3 3 3 6 6 2
27 30 27 30 23 22 27
441 492 549 572 468 506 436
