instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped-D mcsplit-smart-swapped-O mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped-D mcsplit-b-smart-swapped-O mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped-D mcsplit-nosort-smart-swapped-O
r-720 47 0.012951 46 0.536232 -1 9323102 9323102 9323102 -1 8574879 -1 13042058 13042058 13042058 -1 12940380 12940380 12940380
r-738 38 0.190612 18 0.529412 314111 29745 29745 29745 344311 33230 463817 39737 39737 39737 387346 146573 146573 146573
r-791 25 0.276667 24 0.474638 1572494 942627 942627 942627 1281181 1143234 2884728 1570774 1570774 1570774 1667530 887921 887921 887921
r-990 10 0.977778 44 0.229387 11941 14674 14674 11941 29075 9805 18100 26713 26713 18100 15832 13321 13321 15832
r-199 26 0.28 39 0.758435 1474146 2042409 1474146 1474146 3010405 1133864 2481223 3355920 2481223 2481223 1911816 1750230 1911816 1911816
r-534 14 0.824176 50 0.782041 1 1 1 1 1 1 1 1 1 1 1 1 1 1
r-352 35 0.737815 41 0.820732 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-825 15 0.466667 39 0.609987 252099 1006341 252099 252099 1098866 247444 318118 1459002 318118 318118 231981 1437306 231981 231981
r-983 37 0.791291 21 0.147619 67636 64185 67636 64185 102705 45757 102063 106388 102063 106388 128025 136224 128025 136224
r-820 21 0.804762 11 0.618182 2668 78 78 78 2685 78 3391 80 80 80 3562 239 239 239
r-120 24 0.844203 14 0.263736 10923 4068 4068 4068 11852 3441 15654 5444 5444 5444 8874 989 989 989
r-362 30 0.416092 29 0.1133 625788 3176505 625788 3176505 3367649 1302598 968922 5160844 968922 5160844 1496590 4799165 1496590 4799165
r-556 44 0.168076 18 0.686275 192332 107503 107503 107503 234257 109386 281601 162414 162414 162414 302422 143662 143662 143662
