instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped-D mcsplit-smart-swapped-O mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped-D mcsplit-b-smart-swapped-O mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped-D mcsplit-nosort-smart-swapped-O
r-237 35 0.406723 22 0 43475431 -1 43475431 -1 -1 468633702 3483495 -1 3483495 -1 -1 -1 -1 -1
r-819 19 0.502924 26 0.821538 37774 141636 37774 37774 113306 55135 48054 235039 48054 48054 76838 96402 76838 76838
r-878 40 0.453846 30 0.314943 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-650 22 0.220779 10 0.333333 2934 148 148 148 2934 146 2977 189 189 189 1608 455 455 455
r-42 11 0.109091 39 0.153846 104 47 47 104 47 104 104 75 75 104 221 99 99 221
r-321 40 0.396154 39 0.0148448 5114364 -1 5114364 -1 -1 155846544 7406230 -1 7406230 -1 223895752 -1 223895752 -1
r-567 12 0.909091 37 0.16967 7504 5051 5051 7504 7700 6440 14790 8472 8472 14790 5760 7045 7045 5760
r-382 35 0.830252 32 0.354839 3920541 1845472 1845472 1845472 4185023 1349869 6077722 2942360 2942360 2942360 5259256 2856291 2856291 2856291
r-187 24 0.855072 17 0.669118 189427 27395 27395 27395 181897 36990 259232 34981 34981 34981 107716 146330 146330 146330
r-126 28 0.0846561 31 0.301075 31071207 684289 684289 31071207 13288887 6624804 41268146 1000552 1000552 41268146 67848184 2708185 2708185 67848184
r-848 19 0.409357 17 0.183824 16981 38700 16981 38700 25604 30093 22929 60390 22929 60390 49147 28657 49147 28657
r-56 33 0.032197 38 0.0113798 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-546 13 0.564103 38 0.237553 40679 80144 40679 40679 88410 40365 47900 106292 47900 47900 89766 130219 89766 89766
r-428 28 0.388889 24 0.155797 739894 4196080 739894 4196080 1709640 3161133 1094182 6896557 1094182 6896557 2284882 4552582 2284882 4552582
r-143 27 0.652422 20 0.378947 411254 429136 429136 429136 503267 320829 595528 627980 627980 627980 814434 769951 769951 769951
r-831 26 0.104615 11 0.509091 4093 1335 1335 1335 4312 1139 4390 1305 1305 1305 2078 879 879 879
r-416 10 1 21 1 176 66 176 176 66 176 176 77 176 176 176 66 176 176
r-146 36 0.68254 14 0.296703 52514 65097 52514 65097 64957 56103 71859 85533 71859 85533 173351 106598 173351 106598
r-194 26 0.92 30 0.898851 93250 133225 133225 93250 155965 83400 81370 136295 136295 81370 2360254 6020747 6020747 2360254
r-905 14 0.89011 10 0.0444444 223 180 223 180 240 180 760 480 760 480 344 424 344 424
r-494 27 0.00854701 24 0.442029 19771422 262482 262482 262482 17286193 260470 24601285 284188 284188 284188 22179760 137462 137462 137462
r-277 27 0.746439 34 0.327986 2812928 2257885 2257885 2812928 3714425 1951851 4371507 3563126 3563126 4371507 4427059 4097239 4097239 4427059
r-99 33 0.863636 31 0.0537634 45478 57080 45478 57080 72293 47828 79217 112752 79217 112752 46455 83322 46455 83322
r-394 37 0.0135135 17 0.382353 4966226 8378 8378 8378 4921800 8048 5575199 9926 9926 9926 4764619 23025 23025 23025
r-594 39 0.0782726 39 0.178138 -1 308833336 308833336 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-974 40 0.520513 17 0.419118 4691700 3113114 4691700 3113114 5056658 3001401 7537864 4485794 7537864 4485794 6723827 3168383 6723827 3168383
r-236 27 0.552707 36 0.62381 66556252 130804506 66556252 66556252 120177438 66955500 123357321 -1 123357321 123357321 90723950 144335294 90723950 90723950
r-316 29 0.568966 28 0.796296 4043304 14207661 4043304 14207661 9295740 10402310 6406895 25494684 6406895 25494684 6877622 12435093 6877622 12435093
r-145 36 0.331746 32 0.0604839 3557057 -1 3557057 -1 114505530 44375647 5295360 -1 5295360 -1 52795637 -1 52795637 -1
r-906 10 0.955556 18 0.359477 4613 595 595 4613 2608 1943 5702 805 805 5702 3894 3051 3051 3894
r-477 25 0.616667 11 0.418182 11114 7827 7827 7827 12534 7485 13686 8994 8994 8994 26240 10942 10942 10942
r-341 26 0.184615 31 0.393548 13196800 3130518 3130518 13196800 8015714 10137932 21841971 4610271 4610271 21841971 10809608 8285957 8285957 10809608
r-927 29 0.615764 15 0.952381 183522 3089398 183522 3089398 1046646 1618761 233841 3371670 233841 3371670 1001158 3770303 1001158 3770303
r-342 12 0.272727 21 0.861905 1132 1589 1132 1132 1624 794 1432 2623 1432 1432 2471 2378 2471 2471
r-119 38 0.475107 36 0.626984 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
