instance n1 density1 n2 density2 mcsplit mcsplit+f mcsplit+bigf
r-890 32 0.387097 32 0.387097 2 2 2
r-757 30 0.186207 30 0.186207 855 611 341
r-617 21 0.428571 21 0.428571 0 0 0
r-551 22 0.246753 22 0.246753 0 0 0
r-251 44 0.241015 44 0.241015 1 1 1
r-402 23 0.521739 23 0.521739 14 14 11
r-863 41 0.402439 41 0.402439 178 133 122
r-348 30 0.508046 30 0.508046 139 124 117
r-387 42 0.284553 42 0.284553 3 3 3
r-900 25 0.28 25 0.28 148 167 150
r-409 38 0.341394 38 0.341394 153586 147810 121303
r-516 43 0.41196 43 0.41196 300008 300000 300006
r-132 26 0.147692 26 0.147692 14 21 29
r-30 45 0.505051 45 0.505051 247902 260753 200822
r-568 35 0.208403 35 0.208403 0 0 0
r-998 35 0.208403 35 0.208403 9994 12986 11443
r-564 45 0.490909 45 0.490909 53145 46532 33392
r-234 37 0.45045 37 0.45045 116855 103327 82701
r-159 33 0.515152 33 0.515152 1060 949 727
r-543 32 0.175403 32 0.175403 0 0 0
r-487 24 0.15942 24 0.15942 4 4 3
r-813 43 0.13289 43 0.13289 0 0 0
r-557 36 0.512698 36 0.512698 2068 2445 2068
r-676 40 0.511538 40 0.511538 57833 55106 36184
r-220 31 0.516129 31 0.516129 1501 1493 1166
r-57 34 0.336898 34 0.336898 40168 39033 27874
r-466 34 0.45098 34 0.45098 110 76 67
r-449 23 0.403162 23 0.403162 145 130 122
r-232 23 0.513834 23 0.513834 184 139 134
r-726 39 0.22942 39 0.22942 261986 281729 217248
r-239 23 0.237154 23 0.237154 0 0 0
r-15 21 0.428571 21 0.428571 28 21 21
r-603 38 0.371266 38 0.371266 2 2 1
r-174 30 0.23908 30 0.23908 0 0 0
r-581 38 0.273115 38 0.273115 0 0 0
r-279 39 0.437247 39 0.437247 149821 129647 112592
r-285 28 0.253968 28 0.253968 0 0 0
r-706 35 0.329412 35 0.329412 64331 71558 68746
r-410 37 0.513514 37 0.513514 15103 16737 15352
r-486 30 0.496552 30 0.496552 3245 2949 2407
r-52 28 0.494709 28 0.494709 989 813 656
r-689 30 0.404598 30 0.404598 2 2 2
r-787 23 0.166008 23 0.166008 12 12 12
r-431 39 0.22942 39 0.22942 0 0 0
r-835 21 0.380952 21 0.380952 57 47 42
r-163 29 0.246305 29 0.246305 0 0 0
r-793 32 0.225806 32 0.225806 0 0 0
r-6 24 0.289855 24 0.289855 135 163 167
r-473 23 0.513834 23 0.513834 102 61 85
r-634 36 0.203175 36 0.203175 7354 10433 9127
r-421 43 0.504983 43 0.504983 300004 300002 282728
r-605 23 0.442688 23 0.442688 289 265 267
r-938 31 0.36129 31 0.36129 1 1 0
r-188 37 0.378378 37 0.378378 42114 37947 33704
r-295 44 0.502114 44 0.502114 217575 230387 177443
r-578 28 0.507937 28 0.507937 1161 1058 895
r-17 23 0.442688 23 0.442688 165 148 142
r-893 40 0.511538 40 0.511538 29424 31704 23455
r-415 29 0.133005 29 0.133005 127 124 149
r-455 37 0.504505 37 0.504505 22289 21559 19163
r-623 23 0.442688 23 0.442688 0 0 0
r-640 21 0.514286 21 0.514286 30 23 22
r-906 26 0.516923 26 0.516923 41 36 43
r-317 33 0.117424 33 0.117424 2359 3357 4043
r-493 38 0.398293 38 0.398293 311 301 37
r-620 39 0.391363 39 0.391363 42 39 42
r-997 20 0.189474 20 0.189474 4 5 5
r-515 37 0.405405 37 0.405405 43 34 30
r-216 34 0.508021 34 0.508021 971 959 474
r-953 43 0.27907 43 0.27907 1 1 1
r-955 38 0.102418 38 0.102418 0 0 0
r-109 41 0.42439 41 0.42439 252 188 114
r-205 43 0.172757 43 0.172757 300005 300005 300001
r-736 33 0.435606 33 0.435606 29631 27627 25674
r-946 24 0.391304 24 0.391304 0 0 0
r-235 34 0.213904 34 0.213904 0 0 0
r-439 40 0.384615 40 0.384615 14 13 10
r-502 36 0.488889 36 0.488889 1108 959 541
r-963 44 0.169133 44 0.169133 0 0 0
r-315 35 0.494118 35 0.494118 12784 11434 13488
r-4 34 0.299465 34 0.299465 0 0 0
r-505 38 0.193457 38 0.193457 0 0 0
r-540 45 0.4 45 0.4 215 169 143
r-860 31 0.36129 31 0.36129 0 1 1
r-630 43 0.431894 43 0.431894 300009 300006 300006
r-850 21 0.52381 21 0.52381 16 11 12
r-125 36 0.0555556 36 0.0555556 0 0 0
r-978 30 0.370115 30 0.370115 2728 2644 2301
r-330 29 0.502463 29 0.502463 81 80 88
r-61 25 0.42 25 0.42 0 0 0
r-195 27 0.31339 27 0.31339 1178 1163 903
r-147 25 0.153333 25 0.153333 0 0 0
r-970 32 0.514113 32 0.514113 1696 1917 1460
r-968 34 0.508021 34 0.508021 719 765 770
r-341 42 0.507549 42 0.507549 256844 284269 178525
r-785 37 0.504505 37 0.504505 29518 31908 25150
r-897 44 0.502114 44 0.502114 202735 218594 174017
r-400 37 0.504505 37 0.504505 14944 16180 15500
r-905 42 0.250871 42 0.250871 0 0 0
r-902 42 0.507549 42 0.507549 82931 87141 69719
r-534 26 0.516923 26 0.516923 86 74 46
r-654 31 0.451613 31 0.451613 12 11 9
r-734 44 0.206131 44 0.206131 0 0 0
r-261 38 0.102418 38 0.102418 180032 300006 130771
r-405 24 0.463768 24 0.463768 363 361 316
r-412 37 0.105105 37 0.105105 0 0 0
r-956 20 0.521053 20 0.521053 20 21 17
r-768 41 0.460976 41 0.460976 286600 273901 243847
r-58 22 0.484848 22 0.484848 1 1 1
r-384 26 0.52 26 0.52 144 133 118
r-969 41 0.402439 41 0.402439 44 43 38
r-470 32 0.417339 32 0.417339 10351 9962 8335
r-769 44 0.359408 44 0.359408 47 43 48
r-786 33 0.219697 33 0.219697 3777 4981 4826
r-831 33 0.435606 33 0.435606 18 18 15
r-883 44 0.0887949 44 0.0887949 0 0 0
r-542 21 0.257143 21 0.257143 12 13 11
r-593 40 0.480769 40 0.480769 159478 133465 116396
r-767 20 0.336842 20 0.336842 17 17 21
r-256 38 0.513514 38 0.513514 9758 10713 7238
r-615 29 0.246305 29 0.246305 0 0 0
r-78 45 0.509091 45 0.509091 129336 128368 91296
r-382 31 0.180645 31 0.180645 0 0 0
r-624 31 0.322581 31 0.322581 4104 4657 3782
r-619 29 0.517241 29 0.517241 334 348 313
r-374 21 0.514286 21 0.514286 10 8 9
r-565 29 0.512315 29 0.512315 310 322 223
r-63 20 0.521053 20 0.521053 17 16 12
r-140 37 0.513514 37 0.513514 4676 4261 2641
r-794 33 0.117424 33 0.117424 0 0 0
r-150 30 0.514943 30 0.514943 492 689 421
r-616 44 0.485201 44 0.485201 300003 279511 256724
r-464 33 0.477273 33 0.477273 31 35 26
r-16 42 0.507549 42 0.507549 63063 67146 53963
r-310 42 0.315912 42 0.315912 3 3 1
r-797 40 0.45 40 0.45 173 136 126
r-597 31 0.395699 31 0.395699 5 4 2
r-240 32 0.483871 32 0.483871 86 73 48
r-194 26 0.492308 26 0.492308 15 13 11
r-718 44 0.273784 44 0.273784 300003 300011 300003
r-447 42 0.214866 42 0.214866 0 0 0
r-669 39 0.437247 39 0.437247 678 520 360
