instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped
r1-3-12-20 12 0.272727 20 0.331579 1 3 1 3 1 1 4 1 2 3 2
r1-3-37-37 37 0.285285 37 0.304805 100007 100001 100004 100002 100003 100007 100001 100003 100003 100007 100005
r1-3-23-29 23 0.304348 29 0.285714 1037 2025 1041 1921 1110 1626 3490 1605 1503 2553 1511
r1-3-11-33 11 0.327273 33 0.268939 0 0 0 0 0 0 0 0 0 0 0
r1-3-12-29 12 0.272727 29 0.285714 0 11 0 10 0 0 11 0 2 9 2
r3-3-13-38 13 0.358974 38 0.266003 0 17 0 16 0 0 18 0 4 13 4
r2-2-30-22 30 0.252874 22 0.290043 3856 1659 1582 3689 1629 5964 2337 2318 3045 2100 2133
r2-3-16-20 16 0.3 20 0.331579 20 31 20 30 20 30 48 29 27 34 26
r2-3-19-30 19 0.263158 30 0.303448 131 353 130 323 130 179 549 186 261 570 258
r3-2-36-21 36 0.269841 21 0.314286 5883 1221 1231 5954 1321 9498 1673 1671 4967 3660 3585
r1-1-22-38 22 0.298701 38 0.29303 1854 6628 1900 5993 1814 2711 11295 2705 3473 6588 3434
r1-1-28-27 28 0.280423 27 0.259259 6647 7414 7380 7619 6447 10906 12267 12267 7624 8435 8422
r1-3-10-37 10 0.311111 37 0.304805 0 0 0 0 0 0 0 0 0 0 0
r3-3-14-31 14 0.252747 31 0.305376 14 76 14 68 14 16 99 16 17 62 18
r3-3-17-37 17 0.279412 37 0.304805 130 688 129 640 128 150 976 170 510 716 508
r3-1-40-39 40 0.291026 39 0.325236 100003 100003 100001 100002 100001 100008 100007 100004 100002 100006 100008
r2-2-40-20 40 0.317949 20 0.331579 6378 1795 1780 6518 1861 10812 2643 2636 6376 2965 2920
r1-2-12-10 12 0.272727 10 0.377778 0 0 0 0 0 0 0 0 0 0 0
r3-3-36-21 36 0.269841 21 0.390476 2972 975 961 2976 1085 5148 1468 1454 2203 1459 1459
r2-1-36-26 36 0.366667 26 0.295385 32500 26067 25896 34852 24373 61088 47589 47382 35644 27939 28133
r3-1-25-37 25 0.286667 37 0.285285 7731 21780 7835 20620 8320 12193 37868 12088 12541 18351 12573
r3-3-18-18 18 0.326797 18 0.326797 0 0 0 0 0 0 0 0 0 0 0
r2-1-29-14 29 0.325123 14 0.32967 23 3 3 24 3 31 4 4 24 6 6
r1-2-21-11 21 0.290476 11 0.254545 2 1 0 2 0 2 0 0 1 0 0
r1-3-40-38 40 0.301282 38 0.266003 100000 100007 100004 100003 100004 100001 100003 100008 100005 100004 100008
r2-3-34-20 34 0.304813 20 0.331579 2693 1056 1057 2663 1096 4541 1574 1569 1503 965 945
r1-3-36-18 36 0.298413 18 0.326797 1545 125 124 1525 109 2296 152 151 529 337 342
r2-1-17-25 17 0.227941 25 0.28 27 55 28 58 26 33 82 34 79 81 80
r2-2-38-11 38 0.314367 11 0.254545 0 0 0 0 0 0 0 0 0 0 0
r2-3-37-27 37 0.303303 27 0.321937 41812 32694 32872 41858 32690 78763 54447 54638 37468 39034 39044
r2-2-31-23 31 0.296774 23 0.3083 4606 2438 2480 4703 2459 8096 3823 3801 4898 3601 3603
r2-2-33-25 33 0.291667 25 0.3 8856 4879 4858 9052 4879 15321 8079 8025 10801 6285 6196
r1-2-29-13 29 0.300493 13 0.307692 30 5 5 31 5 36 5 5 27 5 5
r1-3-29-40 29 0.300493 40 0.291026 82406 100000 82487 100005 84014 100002 100007 100006 62669 89536 62808
r3-2-18-11 18 0.326797 11 0.254545 1 0 0 1 0 1 0 0 0 0 0
r1-1-22-28 22 0.298701 28 0.280423 535 1074 536 1015 527 779 1836 789 933 1122 935
r3-1-24-22 24 0.300725 22 0.298701 365 309 311 390 280 615 496 503 445 435 442
r3-3-32-37 32 0.304435 37 0.304805 100002 100007 100004 100009 100005 100002 100009 100003 100005 100006 100006
r3-3-19-28 19 0.368421 28 0.26455 73 282 70 235 77 102 501 104 212 300 211
r2-3-30-23 30 0.252874 23 0.351779 2043 557 556 1948 669 3676 910 872 1812 1103 1078
r2-1-29-17 29 0.325123 17 0.272059 126 57 57 127 55 191 76 76 141 82 84
r3-3-21-37 21 0.390476 37 0.304805 2841 6880 2838 6104 2976 4495 13138 4541 2057 3226 2043
r3-1-20-17 20 0.331579 17 0.272059 16 16 15 18 13 25 23 23 18 13 14
r2-1-30-20 30 0.252874 20 0.3 550 118 115 554 132 883 163 165 536 241 239
r1-1-11-16 11 0.327273 16 0.291667 0 1 0 1 0 0 1 0 0 0 0
r1-1-40-20 40 0.301282 20 0.3 3014 813 897 3136 848 4723 1113 1122 3765 1117 1096
r2-3-29-36 29 0.325123 36 0.269841 23444 66760 23460 58777 26165 39426 100001 39810 38197 55758 38303
r1-2-37-29 37 0.285285 29 0.325123 94689 39941 39820 95157 41902 100007 68244 68853 87737 50918 50566
r1-2-40-35 40 0.301282 35 0.314286 100009 100002 100008 100006 100004 100000 100008 100000 100009 100006 100002
r2-2-25-33 25 0.3 33 0.291667 4872 8759 4826 8435 4876 7926 15474 7976 6281 10908 6213
r1-3-39-14 39 0.325236 14 0.252747 77 5 6 76 6 76 5 5 78 16 16
r1-3-35-17 35 0.319328 17 0.279412 473 61 61 490 64 675 77 79 277 343 342
r2-1-27-22 27 0.296296 22 0.298701 435 247 251 462 217 731 365 366 469 336 338
r3-1-10-18 10 0.422222 18 0.24183 0 1 0 0 0 0 1 0 0 0 0
r1-3-25-22 25 0.28 22 0.320346 574 228 227 607 236 955 349 344 298 301 295
r2-3-31-36 31 0.296774 36 0.269841 100000 100008 100004 100002 100007 100007 100003 100002 100002 100000 100006
r3-2-39-12 39 0.287449 12 0.378788 23 1 1 23 2 23 1 1 19 2 2
r2-1-12-11 12 0.378788 11 0.327273 0 0 0 0 0 0 0 0 0 0 0
r2-3-19-36 19 0.263158 36 0.269841 414 1924 415 1777 419 519 2804 525 526 701 524
r1-1-38-19 38 0.29303 19 0.304094 2286 468 459 2332 480 3689 644 643 2056 869 860
r3-1-31-32 31 0.305376 32 0.268145 33539 52096 33534 44881 35011 58662 94133 58654 55450 55265 55678
r2-3-31-18 31 0.296774 18 0.326797 474 127 125 472 129 741 168 170 414 168 169
r2-2-25-39 25 0.3 39 0.327935 28955 50933 28678 50443 28134 47637 93598 47751 36768 53132 36686
r3-3-40-35 40 0.291026 35 0.307563 100006 100007 100001 100007 100007 100003 100005 100009 100007 100009 100007
