instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped
r-530 23 0.312253 33 0.261364 2608409 4557915 2608409 4248179 3248530 3958450 7761436 3958450 1754603 3047583 1754603
r-499 26 0.295385 31 0.303226 9043198 16135445 9043198 18113410 8793141 15162637 27738122 15162637 12320532 15996196 12320532
r-511 11 0.218182 34 0.283422 102 66 102 69 103 93 80 93 102 105 102
r-211 15 0.352381 31 0.294624 47872 114979 47872 102858 47922 61301 162720 61301 83617 55903 83617
r-854 31 0.290323 22 0.333333 5446525 2596054 2596054 5638394 2837314 9426363 4119667 4119667 1244391 2176519 2176519
r-347 18 0.27451 24 0.289855 29323 58665 29323 60283 25158 40916 90056 40916 128181 196136 128181
r-270 27 0.259259 33 0.304924 27498001 15557326 27498001 18374798 25258715 45644634 10996455 45644634 17479047 20055435 17479047
r-903 26 0.258462 37 0.27027 15612579 32976938 15612579 33030338 16580039 21006281 49400554 21006281 62483276 19431873 62483276
r-572 36 0.301587 20 0.273684 1978225 752530 752530 2056155 773783 3124557 1056330 1056330 1624142 1670598 1670598
r-311 20 0.278947 37 0.321321 954327 1667266 954327 1763455 948639 1346239 2541185 1346239 1300829 1254159 1300829
r-900 39 0.296896 30 0.278161 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-978 15 0.361905 20 0.310526 7406 23726 7406 21513 8005 9054 35650 9054 21372 8735 21372
r-736 22 0.285714 12 0.242424 2236 1541 1541 2241 1587 2381 1649 1649 6972 4565 4565
r-682 10 0.422222 36 0.315873 543 769 543 697 547 303 363 303 7070 1645 7070
r-138 25 0.32 36 0.331746 10083061 14565490 10083061 15122894 10146424 17193371 26860212 17193371 19838317 26542213 19838317
r-623 36 0.31746 35 0.32605 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-113 12 0.227273 14 0.296703 480 615 480 587 356 595 824 595 2025 966 2025
r-618 25 0.29 30 0.275862 909730 2445139 909730 2424058 710115 1456360 4257225 1456360 13691647 4645480 13691647
r-493 23 0.284585 39 0.306343 9549145 12997956 9549145 13162712 9701933 14491752 21984033 14491752 16246097 14383963 16246097
r-155 11 0.309091 15 0.27619 921 2298 921 1999 833 1062 2941 1062 814 1388 814
r-144 17 0.242647 18 0.320261 36017 37059 36017 51679 26789 49964 56862 49964 47079 33357 47079
r-259 17 0.286765 32 0.324597 210327 277586 210327 259542 210909 280745 395614 280745 243598 342379 243598
r-124 26 0.329231 22 0.372294 762843 795004 795004 741537 837194 1302254 1351212 1351212 1415180 863333 863333
r-932 13 0.282051 34 0.28164 5857 17632 5857 15811 5890 5689 18176 5689 4270 8500 4270
r-528 28 0.312169 23 0.280632 799498 2843341 2843341 903537 2642585 1023861 3136144 3136144 2244919 3012956 3012956
r-151 19 0.251462 37 0.292793 1308533 2179403 1308533 2112534 1320129 1737439 3222779 1737439 1825464 2954467 1825464
r-877 22 0.307359 19 0.263158 19404 48059 48059 22280 40071 20861 71005 71005 112049 119055 119055
r-84 37 0.33033 21 0.266667 4943066 3518512 3518512 5212808 3464835 8078077 5264891 5264891 5757790 4279526 4279526
r-435 39 0.287449 25 0.313333 14238498 4872396 4872396 14895750 5116967 25304236 6987091 6987091 28619043 37686400 37686400
r-718 19 0.298246 24 0.289855 71588 316201 71588 308271 78541 105703 504266 105703 441428 318503 441428
r-389 11 0.363636 30 0.308046 1843 7377 1843 6838 1884 1878 7388 1878 3947 1636 3947
r-711 17 0.301471 15 0.295238 6726 13334 13334 7169 13503 9538 19424 19424 13805 16497 16497
r-249 35 0.277311 31 0.307527 -1 49130027 49130027 -1 49653368 -1 -1 -1 -1 -1 -1
r-108 30 0.321839 39 0.330634 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-326 36 0.288889 17 0.308824 569570 283773 283773 592078 296107 860477 383741 383741 331759 429454 429454
r-851 29 0.29803 28 0.283069 7486124 10671028 10671028 8649084 9056223 12935370 18406413 18406413 10727783 14575158 14575158
r-560 30 0.273563 27 0.304843 3828617 4598164 4598164 3989361 4874602 5639939 6962889 6962889 4596653 6566804 6566804
r-323 14 0.32967 10 0.266667 502 583 583 599 552 488 524 524 479 400 400
r-647 40 0.298718 13 0.269231 36493 17364 17364 36503 17809 36620 17455 17455 14295 18903 18903
r-358 33 0.301136 16 0.266667 46813 26672 26672 47807 26932 57090 32053 32053 123207 112642 112642
r-785 17 0.279412 13 0.269231 123 1168 1168 214 974 156 1551 1551 2910 2341 2341
r-318 37 0.283784 18 0.30719 601803 426978 426978 629866 449511 914358 579586 579586 560030 701751 701751
r-859 21 0.285714 39 0.295547 1949486 3527676 1949486 3505522 2002860 2718305 5516805 2718305 3415724 5494660 3415724
r-147 21 0.27619 22 0.380952 416183 101811 416183 130250 336349 709445 161514 709445 406124 566777 406124
r-459 33 0.291667 26 0.307692 7662323 3623876 3623876 8321290 3722508 13136935 5283374 5283374 13474774 11135646 11135646
r-427 23 0.332016 35 0.27395 3328634 8698260 3328634 8027727 4164817 5256888 14853570 5256888 16197370 6975131 16197370
r-773 18 0.320261 11 0.254545 1213 616 616 1254 626 1437 711 711 521 447 447
r-212 37 0.315315 24 0.333333 16244940 5696535 5696535 17160681 5389396 29563454 9155916 9155916 20335410 17546629 17546629
r-705 35 0.309244 40 0.287179 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-32 26 0.323077 40 0.285897 18085604 32701646 18085604 31084474 23162092 28811970 57849414 28811970 32110565 47514466 32110565
r-150 34 0.30303 22 0.268398 2864380 2597987 2597987 3049841 2552819 4774136 3959631 3959631 4755278 3544892 3544892
r-642 10 0.288889 11 0.236364 216 396 216 391 210 176 450 176 259 160 259
r-159 32 0.306452 16 0.358333 275134 139991 139991 286069 145172 419896 189602 189602 123293 141358 141358
r-307 14 0.384615 33 0.278409 22935 96059 22935 83929 23946 28349 133550 28349 74683 25062 74683
r-897 10 0.311111 29 0.263547 127 105 127 99 123 88 102 88 297 1477 297
r-171 39 0.2861 13 0.371795 45057 20955 20955 46137 22200 52068 22507 22507 35545 17785 17785
r-536 40 0.301282 20 0.347368 5687659 1413563 1413563 5914734 1486493 9407538 2090137 2090137 3572780 2725549 2725549
r-512 16 0.25 10 0.355556 1813 342 342 1876 351 2273 438 438 575 1735 1735
r-346 32 0.318548 32 0.288306 49079003 -1 49079003 59898798 66900297 -1 -1 -1 125438933 103906022 125438933
r-732 29 0.320197 26 0.295385 3159662 4113237 4113237 3679476 3587561 5329728 6706813 6706813 5870513 4460551 4460551
r-83 26 0.273846 33 0.287879 5360396 8911623 5360396 9819432 4894445 7734671 14501262 7734671 16244161 23833053 16244161
r-476 24 0.300725 17 0.301471 82533 35177 35177 86253 37594 133259 49589 49589 72239 127952 127952
r-190 26 0.276923 30 0.294253 4613818 4093522 4613818 4569395 4269209 7743621 7151821 7743621 5545386 7508347 5545386
