instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped
r-953 24 0.0652174 24 0.51087 495732 40269 40269 420261 28333 701310 61547 61547 369058 78405 78405
r-827 24 0.373188 24 0.297101 2100496 3522261 2100496 3053574 2921946 3390919 6191508 3390919 3043304 3872049 3043304
r-786 24 0.235507 24 0.663043 259792 198001 198001 301858 141494 391375 293472 293472 433281 314224 314224
r-897 24 0.786232 24 0.257246 146043 108313 108313 152591 75579 222861 159223 159223 208506 177254 177254
r-960 24 0.561594 24 0.347826 1450668 1240292 1450668 1647677 1129535 2325274 1841349 2325274 2153703 2965540 2153703
r-236 24 0.119565 24 0.528986 364704 88692 88692 393345 57402 310451 129418 129418 403431 180770 180770
r-213 24 0.405797 24 0.717391 576199 895307 576199 937776 700934 864452 1379993 864452 825018 1212048 825018
r-421 24 0.626812 24 0.373188 757507 807526 757507 862349 639688 1164778 1232574 1164778 1530569 1471571 1530569
r-318 24 0.271739 24 0.467391 2350133 735371 735371 1979866 889489 4410288 1156428 1156428 1448030 1026507 1026507
r-378 24 0.992754 24 0.626812 114948216 11388493 11388493 108640004 11382695 134703096 13112940 13112940 117334972 1057604 1057604
r-607 24 0.315217 24 0.217391 494267 1485840 494267 966767 1186292 721683 2308584 721683 1398181 1528222 1398181
r-403 24 0.514493 24 0.601449 2506564 1973292 2506564 1982814 1605925 4318384 3665454 4318384 1693846 3264372 1693846
r-139 24 0.0652174 24 0.615942 304341 13624 13624 248081 8927 457102 20173 20173 302892 21477 21477
r-533 24 0.76087 24 0.268116 92759 118644 118644 175750 78274 142211 191047 191047 208746 173212 173212
r-847 24 0.692029 24 0.797101 551968 1668022 551968 1224192 1308605 705632 2475262 705632 603910 1310688 603910
r-364 24 0.753623 24 0.101449 17848 29461 17848 22234 17064 26123 54665 26123 26631 47492 26631
r-643 24 0.822464 24 0.438406 139689 101129 101129 160860 58457 202058 116565 116565 307713 194916 194916
r-217 24 0.445652 24 0.474638 5456774 4666737 4666737 5790630 4338128 10351865 8676094 8676094 5286393 5025218 5025218
r-479 24 0.789855 24 0.108696 10965 26930 10965 22242 13815 19042 42944 19042 26558 51254 26558
r-116 24 0.623188 24 0.847826 124581 771480 124581 454717 517665 165571 1173927 165571 255416 744226 255416
r-685 24 1 24 0.902174 -1 8035707 8035707 -1 8035707 -1 7294659 7294659 -1 -1 -1
r-353 24 0.0978261 24 0.0217391 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-13 24 0.0978261 24 0.195652 1765149 114580 114580 1323673 114674 2117375 131071 131071 4102511 470157 470157
r-485 24 0.902174 24 0.0326087 2809 5339 2809 5549 2661 8455 10437 8455 4670 9212 4670
r-56 24 0.634058 24 0.851449 193422 1130206 193422 689929 836887 276418 1918026 276418 683354 1157676 683354
r-650 24 0.521739 24 0.858696 52674 245193 52674 131273 187205 71080 412475 71080 160358 600202 160358
r-850 24 0.0253623 24 0.833333 18958 2713 2713 16698 1945 39597 7479 7479 13422 8709 8709
r-591 24 0.438406 24 0.913043 33219 197053 33219 117717 63936 51457 239147 51457 48049 190640 48049
r-417 24 0.695652 24 0.40942 1304190 660318 660318 1179860 509387 2003883 1008501 1008501 1228332 1523413 1523413
r-869 24 0.25 24 0.293478 3078308 2339125 2339125 3208886 2572677 4960061 3591204 3591204 3590407 2769665 2769665
r-529 24 0.0507246 24 0.336957 2910746 64271 64271 1941010 58181 3428928 72873 72873 4753484 121868 121868
r-810 24 0.195652 24 0.90942 12150 24865 12150 22608 13652 17707 40170 17707 12480 15037 12480
r-571 24 0.804348 24 0.434783 516214 197757 197757 505686 141941 733433 310187 310187 407592 214532 214532
r-124 24 0.521739 24 0.746377 318409 1024209 318409 560762 751075 512866 1855174 512866 764975 1419113 764975
r-744 24 0.144928 24 0.481884 375875 98822 98822 294046 122639 626986 92927 92927 369081 152315 152315
r-592 24 0.134058 24 0.438406 927616 207281 207281 813778 301380 1514920 298694 298694 845227 362527 362527
r-805 24 0.177536 24 0.177536 760097 665707 760097 914799 586412 981550 881375 981550 2303009 1769066 2303009
r-170 24 0.927536 24 0.688406 2777205 45237 45237 2045950 51693 3544231 59297 59297 5055857 125903 125903
r-633 24 0.855072 24 0.695652 1094333 142809 142809 981596 188662 1494528 170786 170786 488898 269339 269339
r-420 24 0.938406 24 0.880435 1831658 111842 111842 1533072 111758 1466556 102758 102758 12849185 659333 659333
r-450 24 0.978261 24 0.539855 4527951 55484 55484 3822721 53697 6097702 72549 72549 4187314 341543 341543
r-781 24 0.778986 24 0.547101 947203 295594 295594 826980 320544 1752654 455974 455974 573478 580784 580784
r-66 24 0.40942 24 0.568841 1206603 1353369 1353369 1624280 1137249 1852648 2208621 2208621 1752899 1749452 1749452
r-939 24 0.275362 24 0.677536 215279 265209 265209 360062 196325 316476 396252 396252 375569 329116 329116
r-662 24 0.717391 24 0.0543478 9115 32291 9115 22240 14361 8890 58641 8890 12484 41187 12484
r-986 24 0.572464 24 0.757246 535144 1591484 535144 1042691 1230232 835707 2939495 835707 738043 897584 738043
r-977 24 0.67029 24 0.974638 80170 13440703 80170 8539293 591849 88777 15958452 88777 695527 13279442 695527
r-648 24 0.76087 24 0.655797 2215928 573582 573582 2076899 667331 3724609 897038 897038 1766466 813934 813934
r-875 24 0.188406 24 0.786232 43932 61959 61959 49681 38857 63327 89863 89863 91858 57143 57143
r-210 24 0.92029 24 0.0652174 4979 7187 4979 8144 5168 10540 16201 10540 14017 13524 14017
r-649 24 0.318841 24 0.362319 3322303 2324923 2324923 3333050 2151218 5236596 3791104 3791104 3227530 2951275 2951275
r-274 24 0.688406 24 0.521739 3148589 1327930 1327930 2883690 1380101 6058061 2212290 2212290 1745409 2237804 2237804
r-234 24 0.608696 24 0.869565 69643 342626 69643 202710 186092 94706 517636 94706 106446 350303 106446
r-424 24 0.518116 24 0.181159 301400 173469 301400 239646 136830 457509 256248 457509 301264 506595 301264
r-698 24 0.652174 24 0.663043 1945844 2500277 1945844 2351775 1962915 3316163 4318581 3316163 2336768 2628087 2336768
r-108 24 0.42029 24 0.311594 949830 2087580 949830 1502481 1580095 1530719 3753226 1530719 2282546 1794127 2282546
r-867 24 1 24 0.166667 103237 45597 45597 103020 45597 160584 51373 51373 103169 23037 23037
r-598 24 0.663043 24 0.583333 2404945 2630528 2630528 2305001 2592553 4340514 4476475 4476475 1678461 2580234 2580234
r-963 24 0.721014 24 0.434783 386714 550411 550411 531627 384971 562843 867744 867744 691715 662664 662664
r-993 24 0.804348 24 0.358696 136064 104617 104617 150330 63642 185589 145781 145781 304890 142786 142786
r-229 24 0.735507 24 0.108696 30265 53796 30265 55675 38717 47067 88375 47067 42573 69299 42573
r-989 24 0.318841 24 0.561594 1001758 1134580 1134580 1318778 824673 1524365 1876692 1876692 1466913 1504836 1504836
r-694 24 0.742754 24 0.626812 2465966 955999 955999 2224758 1060321 4136316 1437466 1437466 2228242 1592558 1592558
r-17 24 0.67029 24 0.0833333 23350 77727 23350 53759 28543 34036 94332 34036 54538 55160 54538
r-142 24 0.583333 24 0.51087 4134868 2778450 2778450 3858873 2516832 7553696 4713362 4713362 3630315 3865264 3865264
r-191 24 0.608696 24 0.134058 39282 88013 39282 100761 47725 38571 119915 38571 105669 84058 105669
r-814 24 0.431159 24 0.431159 3721759 3839590 3721759 3921893 3201393 6758693 6898543 6758693 4236032 3914178 4236032
r-453 24 0.764493 24 0.942029 224343 20002259 224343 12742739 2488174 275032 22750150 275032 1552880 31476399 1552880
r-482 24 0.862319 24 0.344203 129018 79410 79410 138126 54109 202132 113730 113730 240591 126285 126285
r-1 24 0.242754 24 0.286232 1991723 1150161 1150161 2017411 1213325 3115875 1723932 1723932 2375867 2940527 2940527
r-294 24 0.98913 24 0.0326087 653 1001 1001 684 818 5866 6595 6595 941 1056 1056
r-563 24 0.0905797 24 0.442029 949188 153434 153434 794028 194584 1461796 182349 182349 1277301 529498 529498
r-427 24 0.623188 24 0.503623 4621697 2701365 2701365 4696964 2775461 8976698 4636552 4636552 3807164 3585961 3585961
r-683 24 0.612319 24 0.221014 422550 363414 422550 531811 267892 641942 502455 641942 293764 324950 293764
r-18 24 0.213768 24 0.438406 1248798 321227 321227 1056302 435013 2219466 502403 502403 1110144 624447 624447
r-671 24 0.463768 24 0.0108696 52781 9679040 52781 7736536 254283 73180 12080408 73180 179574 9603503 179574
r-336 24 0.539855 24 0.152174 81374 81010 81374 126018 63990 94454 115922 94454 174472 140504 174472
r-372 24 0.231884 24 0.0833333 263682 7586971 263682 2770375 2420228 339875 9357118 339875 7031626 10788131 7031626
r-396 24 0.630435 24 0.706522 1645661 2973402 1645661 2424885 2286478 2661867 5087629 2661867 2203895 2854703 2203895
r-147 24 0.184783 24 0.0905797 131615 606517 131615 330470 379569 127148 583017 127148 244442 1928147 244442
r-481 24 0.445652 24 0.105072 182602 796807 182602 548095 456703 276841 1296459 276841 373004 767119 373004
r-502 24 0.300725 24 0.126812 305968 1264562 305968 909116 783021 433381 1796007 433381 642943 1928240 642943
r-165 24 0.92029 24 0.673913 3251717 153381 153381 2559438 168005 4438477 190600 190600 3541837 281113 281113
r-692 24 0.463768 24 0.0833333 41921 531754 41921 341788 180385 62279 798172 62279 204540 530798 204540
r-327 24 0.789855 24 0.927536 52504 4544825 52504 1143958 2224511 55692 5102352 55692 992916 11059858 992916
r-749 24 0.898551 24 0.721014 516124 50130 50130 356364 73479 695439 62953 62953 2624005 978858 978858
r-462 24 0.710145 24 0.641304 1437910 1554258 1554258 1448688 1496592 2413065 2235492 2235492 2503413 1729343 1729343
r-289 24 0.894928 24 0.246377 64398 23181 23181 65100 15327 103303 32895 32895 82542 27012 27012
r-938 24 0.833333 24 0.76087 1735980 565908 565908 1596968 636001 2479999 748002 748002 1833720 1001012 1001012
r-261 24 0.0108696 24 0.242754 -1 6454630 6454630 -1 6430659 -1 7088792 7088792 -1 20747474 20747474
r-63 24 0.851449 24 0.543478 533461 119955 119955 439570 173396 843026 130181 130181 315555 274057 274057
r-615 24 0.286232 24 0.0978261 168668 1011872 168668 523535 535579 202012 1416129 202012 1020991 2146489 1020991
r-136 24 0.865942 24 0.57971 611522 95217 95217 465108 141062 1003748 134543 134543 761175 182965 182965
r-222 24 0.710145 24 0.268116 234049 193096 234049 273047 156263 366874 291758 366874 365587 388866 365587
r-765 24 0.445652 24 0.514493 3435235 3097190 3097190 4091704 2846496 5951801 5348683 5348683 3687536 3604861 3604861
r-682 24 0.224638 24 0.862319 35507 35643 35507 46084 25554 51338 57127 51338 43986 55694 43986
r-157 24 0.275362 24 0.844203 71834 53194 71834 94925 41185 108428 78687 108428 112597 76301 112597
r-199 24 0.336957 24 0.655797 580484 336871 336871 662470 295733 876018 479000 479000 644803 708331 708331
r-141 24 0.963768 24 0.195652 14743 2153 2153 13395 1484 31745 5971 5971 16939 4906 4906
r-990 24 0.724638 24 0.876812 325243 1765950 325243 1214994 1028127 443767 2350778 443767 1423245 3742082 1423245
r-62 24 0.431159 24 0.974638 15162 618559 15162 394201 66376 23741 850516 23741 51354 599002 51354
r-200 24 0.224638 24 0.115942 61224 591818 61224 264338 452124 75939 775197 75939 793898 960935 793898
r-429 24 0.931159 24 0.648551 1051427 25056 25056 772292 24305 1437257 33604 33604 998039 280116 280116
r-906 24 0.942029 24 0.0289855 654 1169 654 834 817 5327 5924 5327 1548 1869 1548
r-526 24 0.644928 24 0.605072 1795055 1504714 1504714 1740301 1286391 3094797 2438146 2438146 2464041 2734297 2734297
r-67 24 0.177536 24 0.681159 182856 141747 141747 188786 92684 270124 219692 219692 227592 198557 198557
r-218 24 0.181159 24 0.5 831684 197534 197534 681496 243167 1541483 300047 300047 445656 358131 358131
r-807 24 0.0724638 24 0.235507 5096633 128668 128668 4278110 146623 5863343 129881 129881 5308985 325276 325276
r-73 24 0.601449 24 0.543478 4077915 2738432 2738432 4460582 2664553 7659313 4975773 4975773 4464463 3544141 3544141
r-223 24 0.0507246 24 0.891304 5608 1496 1496 3004 1182 11694 5795 5795 7021 4066 4066
r-519 24 0.666667 24 0.0398551 7096 141175 7096 106994 22921 11232 196747 11232 17819 85779 17819
r-270 24 0.963768 24 0.141304 6172 1984 1984 5447 1249 12089 5873 5873 4064 2804 2804
r-787 24 0.144928 24 0.742754 39993 11067 11067 39104 7387 64907 15404 15404 42038 24461 24461
r-312 24 0.536232 24 0.0108696 17017 1393302 17017 943309 126839 25583 2197396 25583 37632 1707599 37632
r-311 24 0.351449 24 0.775362 150729 155544 150729 181865 108386 162190 222188 162190 200624 266370 200624
r-946 24 0.130435 24 0.481884 249091 141648 141648 281540 175538 409466 197938 197938 211606 212780 212780
r-82 24 0.130435 24 0.275362 2827150 246967 246967 2303769 361679 3683511 287035 287035 4803083 5762917 5762917
r-196 24 0.231884 24 0.786232 68313 113159 68313 106335 71797 102308 167672 102308 86262 128752 86262
r-207 24 0.507246 24 0.427536 3611068 3353018 3611068 3961676 3024858 6335463 5878278 6335463 4139818 4923198 4139818
r-639 24 0.474638 24 0.00724638 424719 14456675 424719 12523704 471987 497010 19463849 497010 2603760 13863322 2603760
r-659 24 0.115942 24 0.384058 609959 50889 50889 489583 65220 875977 61803 61803 588255 126958 126958
r-24 24 0.949275 24 0.992754 4796909 -1 4796909 -1 -1 4756888 -1 4756888 -1 -1 -1
r-365 24 0.51087 24 0.369565 1769660 1839929 1769660 2105194 1580954 2808804 2958720 2808804 2320708 2744741 2320708
r-181 24 0.753623 24 0.137681 10335 35737 10335 23865 15937 13170 52850 13170 21963 43188 21963
r-130 24 0.152174 24 0.717391 54175 56755 56755 76123 28756 82317 86271 86271 83913 64426 64426
r-923 24 0.474638 24 0.804348 418265 642146 418265 647063 517228 574779 921584 574779 534452 1000567 534452
r-894 24 0.949275 24 0.293478 38791 8994 8994 32961 4876 80201 11237 11237 39226 22174 22174
r-371 24 0.677536 24 0.956522 72421 26735100 72421 14552619 1369117 102662 31217935 102662 2583024 41778016 2583024
r-808 24 0.532609 24 0.583333 4137036 5039995 4137036 4917278 4227117 7245496 9304893 7245496 4382453 4861636 4382453
r-663 24 0.797101 24 0.336957 235728 83439 83439 201462 55290 351774 103880 103880 275967 210391 210391
r-438 24 0.615942 24 0.663043 2791608 4180534 2791608 4368451 3355840 4832945 7543865 4832945 2572144 2929170 2572144
r-93 24 0.815217 24 0.264493 128996 100885 100885 161529 70867 185101 151166 151166 117722 120056 120056
r-369 24 0.344203 24 0.945652 10831 91799 10831 66822 30663 17997 151304 17997 29016 96387 29016
r-680 24 0.449275 24 0.235507 461778 1670676 461778 1121493 1276915 706921 2960307 706921 927791 1315316 927791
r-470 24 0.963768 24 0.0942029 7168 748 748 5931 644 13543 5127 5127 7608 2315 2315
r-464 24 0.572464 24 0.246377 649500 623516 649500 767074 530243 1005933 890455 1005933 943313 1023605 943313
r-701 24 0.0942029 24 0.76087 55509 30079 30079 53469 18853 89391 45999 45999 93308 40892 40892
r-326 24 0.235507 24 0.699275 143169 160342 160342 174625 94960 205177 242208 242208 313422 296669 296669
r-400 24 0.282609 24 0.811594 95594 101217 95594 145602 66666 112697 150054 112697 59717 108893 59717
r-826 24 0.141304 24 0.851449 11631 14955 14955 17212 10750 19858 26434 26434 22343 24978 24978
r-443 24 0.0543478 24 0.380435 2172339 45906 45906 1435292 54227 2856607 68961 68961 4414111 106182 106182
r-697 24 0.902174 24 0.391304 54176 26341 26341 46302 11227 93192 39291 39291 58089 49288 49288
r-446 24 0.199275 24 0.706522 130690 90453 90453 138713 49749 187705 136460 136460 160382 110434 110434
r-854 24 0.931159 24 0.485507 553940 51273 51273 221238 30999 772501 75521 75521 236767 158426 158426
r-556 24 0.554348 24 0.297101 900168 899611 900168 1246449 793426 1369781 1351488 1369781 1267354 1679374 1267354
r-337 24 0.927536 24 0.17029 21776 4836 4836 17700 2830 35347 8380 8380 14223 8239 8239
r-478 24 0.0833333 24 0.416667 582081 55032 55032 510823 64597 841560 59956 59956 659645 70672 70672
r-817 24 0.536232 24 0.952899 24387 2773551 24387 1873654 247985 36214 3700701 36214 333629 2794428 333629
r-673 24 0.0615942 24 0.561594 237690 22447 22447 191588 14836 315224 24163 24163 210467 32290 32290
r-121 24 0.0217391 24 0.126812 -1 4507232 4507232 -1 4244812 -1 1770868 1770868 -1 -1 -1
r-113 24 0.0543478 24 0.514493 814464 58575 58575 606530 45998 1108786 84225 84225 855551 162966 162966
r-416 24 0.15942 24 0.26087 888172 211626 211626 749068 226196 1242662 300918 300918 1170180 744738 744738
r-530 24 0.173913 24 0.452899 530057 109006 109006 406661 121544 869246 155976 155976 593977 503942 503942
r-84 24 0.981884 24 0.619565 10113866 73774 73774 7667998 68427 12222284 87627 87627 9735878 1349294 1349294
r-943 24 0.155797 24 0.884058 17424 27650 17424 19695 17477 24914 35243 24914 29383 29853 29383
