instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped-D mcsplit-smart-swapped-O mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped-D mcsplit-b-smart-swapped-O mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped-D mcsplit-nosort-smart-swapped-O
r-120 24 0.844203 14 0.263736 3 1 1 1 3 1 5 1 1 1 3 2 2 2
r-362 30 0.416092 29 0.1133 246 1977 249 1984 1079 1087 376 3518 369 3526 595 2089 594 2038
r-556 44 0.168076 18 0.686275 72 46 45 44 82 48 108 69 72 69 117 74 74 73
r-954 42 0.893148 40 0.874359 100007 100009 100000 100003 100000 100003 100003 100000 100004 100000 100007 100009 100002 100006
r-641 39 0.504723 22 0.748918 4252 9025 4284 9048 5798 7799 7665 16930 7285 17069 6317 7252 6323 7241
r-895 22 0.887446 48 0.460106 1963 1151 1176 1913 2456 1471 3152 1848 1890 3024 2226 1407 1482 2204
r-658 23 0.573123 32 0.183468 110 263 109 109 290 91 167 400 166 172 236 204 242 242
r-479 29 0.123153 20 0.731579 18 7 7 9 19 5 27 9 8 8 15 8 8 8
r-740 14 0.934066 24 0.0978261 0 0 0 0 0 0 1 1 1 1 0 0 0 0
r-390 15 0.914286 40 0.512821 323 91 90 324 183 249 444 137 136 452 226 220 228 220
r-15 39 0.425101 14 0.428571 224 37 36 36 232 36 298 43 43 43 136 59 59 57
r-473 41 0.830488 10 0.444444 2 1 1 1 2 1 3 1 1 1 4 1 1 1
r-613 35 0.166387 25 0.8 49 39 41 41 64 33 83 69 68 69 94 83 84 84
r-20 10 0.0444444 42 0.912892 0 0 0 0 0 0 1 1 1 1 0 0 0 0
r-427 11 0.672727 24 0.40942 2 3 3 2 3 2 2 4 3 2 2 4 5 2
r-455 15 0.914286 30 0.645977 210 95 95 211 183 168 253 133 137 264 411 315 325 410
r-307 20 0.873684 17 0.867647 1 0 0 0 1 0 1 0 0 0 2 1 1 1
r-63 48 0.475177 25 0.543333 100007 100006 100001 100002 100005 100003 100008 100002 100003 100001 100003 100002 100002 100005
r-523 27 0.826211 24 0.768116 959 285 284 287 905 351 1415 393 394 395 1154 206 209 209
r-213 40 0.0782051 37 0.0405405 100008 100008 100002 100005 100000 100002 100000 100001 100003 100002 100002 100002 100006 100001
r-28 44 0.542283 30 0.6 100007 100008 100000 100007 100004 100004 100003 100003 100009 100004 100009 100003 100005 100003
r-699 45 0.156566 14 0.230769 2 0 0 0 2 0 2 0 0 0 10 2 2 2
r-30 12 0.909091 26 0.507692 23 5 5 23 14 18 32 8 8 32 24 11 12 23
r-64 24 0.938406 38 0.00284495 0 0 0 0 0 0 2 3 2 2 0 0 0 0
r-188 25 0.356667 36 0.638095 4618 4170 4114 4583 5001 3599 8265 7373 7353 8237 5385 5547 5621 5344
r-423 39 0.597841 27 0.213675 1808 4691 1817 4717 3094 3142 3028 7912 2940 8112 4292 7585 4247 7640
r-677 33 0.86553 48 0.879433 52753 100002 52811 53030 100001 72086 59212 100010 59679 59548 100005 100004 100001 100005
r-14 14 0.406593 46 0.323671 34 335 34 34 306 33 38 423 38 38 38 218 38 40
r-907 36 0.649206 10 0.955556 61 15 62 15 90 13 9 1 10 1 5 4 5 4
r-16 32 0.40121 46 0.616425 100009 100002 100001 100007 100003 100004 100007 100004 100002 100007 100002 100004 100002 100005
r-722 45 0.308081 29 0.689655 14324 14870 14871 14859 17575 11999 26449 26944 26461 27097 24996 21380 21516 21387
r-701 15 0.390476 19 0.666667 5 2 5 5 4 3 7 4 8 7 7 8 7 7
r-210 46 0.0386473 48 0.820035 257 74 73 260 178 128 648 124 128 642 295 117 116 295
r-235 21 0.361905 23 0.328063 218 258 218 225 215 240 370 450 361 368 148 162 148 151
r-865 48 0.449468 34 0.0695187 2964 100003 2990 100007 18911 20992 5089 100000 5117 100007 10180 100007 10101 100003
r-499 39 0.187584 17 0.838235 24 10 25 10 30 11 37 20 36 20 27 14 28 14
r-446 21 0.971429 11 0.109091 0 0 0 0 0 0 0 0 0 0 0 0 0 0
r-290 48 0.719858 31 0.666667 100006 100009 100003 100009 100005 100005 100009 100004 100002 100000 100008 100001 100009 100010
r-680 28 0.716931 11 0.509091 3 1 1 1 3 1 3 1 1 1 3 1 1 1
r-445 23 0.802372 50 0.982857 2 100004 2 2 100007 2 1 100003 2 2 100007 100000 100007 100000
r-504 34 0.700535 33 0.82197 25351 47158 25071 47615 32252 37925 37339 80495 37238 81081 30828 47127 30512 47506
r-459 28 0.410053 14 0.362637 58 25 59 24 62 24 81 31 80 31 52 37 53 37
r-204 20 0.736842 14 0.78022 3 1 3 1 3 1 3 1 3 1 2 1 2 1
r-228 28 0.402116 27 0.282051 3202 7120 3244 7087 4355 5419 6062 14410 6010 14293 3563 4863 3573 4844
r-391 14 0.835165 24 0.199275 2 1 1 2 1 1 3 2 2 3 3 2 2 3
r-281 34 0.650624 31 0.0817204 65 421 65 421 177 121 99 775 95 772 76 436 78 428
r-592 15 0.514286 21 0.690476 3 14 3 3 11 3 3 22 3 3 3 6 3 3
r-49 45 0.0434343 41 0.717073 1021 132 127 128 750 97 1949 237 239 232 814 261 261 259
r-657 18 0.764706 30 0.616092 429 352 344 427 451 410 646 539 537 667 397 478 479 404
r-520 10 0.266667 34 0.139037 0 0 0 0 0 0 0 0 0 0 0 0 0 0
r-99 32 0.820565 43 0.378738 7823 6736 6618 7770 9194 5881 12869 11765 11956 12860 14464 8958 8962 14411
r-622 28 0.298942 46 0.689855 13338 9625 9679 13393 12084 10667 24782 17292 17354 24494 14187 19664 19739 14107
r-381 27 0.011396 29 0.763547 36 3 3 34 25 9 71 7 7 69 35 6 7 36
r-436 23 0.173913 23 0.581028 58 34 33 60 49 16 86 49 50 86 75 47 48 78
r-536 49 0.855442 21 0.495238 729 263 250 257 789 302 1081 308 315 320 789 691 705 693
r-127 43 0.821705 16 0 4 28 5 29 28 12 9 50 9 50 5 29 5 29
r-822 48 0.546099 22 0.982684 1325 86270 1304 86516 23937 19164 2173 100008 2191 100009 9733 99501 9486 100006
r-788 47 0.276596 14 0.043956 9848 1570 9958 1567 12742 1496 6012 497 6066 515 602 966 587 955
r-159 39 0.31444 35 0.897479 434 845 436 820 719 479 784 1400 789 1421 532 937 526 937
r-274 39 0.840756 12 0.363636 4 4 4 4 5 3 6 5 5 5 8 5 5 5
r-675 41 0.59878 43 0.0564784 510 7223 509 504 5821 325 789 11615 791 840 458 3817 454 455
r-549 23 0.458498 45 0.607071 22938 24839 23124 23346 26098 22610 41669 43903 41239 41236 21725 39124 21930 21761
r-207 21 0.966667 50 0.281633 119 25 22 122 90 44 217 49 49 223 144 38 39 141
r-160 18 0.0588235 21 0.047619 0 1889 0 0 388 6 0 1834 0 0 125 7687 126 127
r-552 37 0.403904 33 0.481061 100006 100003 100006 100006 100003 100006 100005 100007 100007 100002 100009 100005 100002 100005
r-672 35 0.0705882 38 0.920341 12 7 8 12 9 6 25 19 19 26 16 14 14 16
r-300 16 0.05 22 0.186147 1002 64 65 1001 1050 299 1009 72 71 1021 1079 157 158 1075
r-288 35 0.00168067 14 0.417582 348 33 33 32 351 32 411 33 34 34 894 335 347 346
