instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped-D mcsplit-smart-swapped-O mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped-D mcsplit-b-smart-swapped-O mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped-D mcsplit-nosort-smart-swapped-O
r-878 40 0.453846 30 0.314943 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-650 22 0.220779 10 0.333333 1411 147 147 147 1411 145 1453 187 187 187 84 454 454 454
r-42 11 0.109091 39 0.153846 103 46 46 103 46 103 103 74 74 103 220 98 98 220
r-321 40 0.396154 39 0.0148448 115415 -1 115415 -1 -1 4094333 141358 -1 141358 -1 120559546 -1 120559546 -1
r-567 12 0.909091 37 0.16967 2142 267 267 2142 325 1602 4262 221 221 4262 1857 742 742 1857
r-382 35 0.830252 32 0.354839 387506 179611 179611 179611 465021 128923 422368 108531 108531 108531 656171 991291 991291 991291
r-187 24 0.855072 17 0.669118 80487 12515 12515 12515 79165 16196 96207 16423 16423 16423 45764 122783 122783 122783
r-126 28 0.0846561 31 0.301075 12015472 272229 272229 12015472 3299073 1858352 15897544 386548 386548 15897544 40272438 1787319 1787319 40272438
r-848 19 0.409357 17 0.183824 1567 27816 1567 27816 6283 20053 1728 43522 1728 43522 29532 18942 29532 18942
r-56 33 0.032197 38 0.0113798 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-546 13 0.564103 38 0.237553 13843 2127 13843 13843 2458 14539 15425 2211 15425 15425 65929 7195 65929 65929
r-428 28 0.388889 24 0.155797 93604 1899507 93604 1899507 169798 1379579 126121 3202597 126121 3202597 145073 1372379 145073 1372379
r-143 27 0.652422 20 0.378947 38911 113631 113631 113631 46687 78651 45229 143650 143650 143650 207376 440903 440903 440903
r-831 26 0.104615 11 0.509091 937 378 378 378 936 323 575 141 141 141 826 651 651 651
