instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped
r-827 24 0.373188 24 0.297101 1544955 2403208 1544955 2392466 2015771 2450450 4154148 2450450 1874427 1953110 1874427
r-786 24 0.235507 24 0.663043 233754 178306 178306 266249 129722 355775 275966 275966 260066 237357 237357
r-897 24 0.786232 24 0.257246 135057 104765 104765 140737 72563 208201 156808 156808 196197 145719 145719
r-960 24 0.561594 24 0.347826 1248693 1019616 1248693 1388169 919397 2036322 1563131 2036322 1552922 1761523 1552922
r-236 24 0.119565 24 0.528986 216545 74486 74486 220075 49786 275302 116522 116522 328631 157766 157766
r-213 24 0.405797 24 0.717391 525493 699898 525493 876327 524793 809540 1071702 809540 587339 964457 587339
r-421 24 0.626812 24 0.373188 672935 711012 672935 745576 556725 1055798 1115120 1055798 1049660 1057460 1049660
r-318 24 0.271739 24 0.467391 1337449 525566 525566 962222 646713 2460281 812513 812513 1103293 671888 671888
r-378 24 0.992754 24 0.626812 77974674 11357925 11357925 71070618 11353505 91219587 13069695 13069695 80529934 606264 606264
r-607 24 0.315217 24 0.217391 351050 944691 351050 794381 798184 503440 1434195 503440 529221 878324 529221
r-403 24 0.514493 24 0.601449 1968274 1242300 1968274 1359111 977922 3454101 2362495 3454101 864824 2314977 864824
r-139 24 0.0652174 24 0.615942 222073 12402 12402 159806 8453 343784 18729 18729 249110 19272 19272
r-533 24 0.76087 24 0.268116 79916 104841 104841 153870 65711 123004 170695 170695 178075 124549 124549
r-847 24 0.692029 24 0.797101 380348 894519 380348 1019505 714740 533044 1370805 533044 322044 566555 322044
r-364 24 0.753623 24 0.101449 16709 26688 16709 20935 15551 24607 49270 24607 21946 43736 21946
r-643 24 0.822464 24 0.438406 112140 61370 61370 127435 32624 173067 98553 98553 76354 67424 67424
r-217 24 0.445652 24 0.474638 3832819 3344364 3344364 4118386 3127918 7238910 6265922 6265922 3049945 3119615 3119615
r-479 24 0.789855 24 0.108696 9526 23293 9526 19706 12470 16879 38607 16879 22724 43490 22724
r-116 24 0.623188 24 0.847826 101637 450723 101637 425296 295758 138524 677820 138524 176710 501256 176710
r-685 24 1 24 0.902174 -1 6692146 6692146 -1 6692146 -1 6827480 6827480 -1 -1 -1
r-353 24 0.0978261 24 0.0217391 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-13 24 0.0978261 24 0.195652 1051618 74907 74907 597596 81764 1232552 95621 95621 1788048 264438 264438
r-485 24 0.902174 24 0.0326087 2606 4922 2606 5324 2470 7838 9636 7838 3553 8808 3553
r-56 24 0.634058 24 0.851449 139173 425865 139173 614377 321979 201775 692368 201775 405161 713796 405161
r-650 24 0.521739 24 0.858696 39313 120835 39313 114407 96824 58045 216415 58045 121220 351270 121220
r-850 24 0.0253623 24 0.833333 17136 2539 2539 14744 1805 35714 6915 6915 11077 6942 6942
r-591 24 0.438406 24 0.913043 27337 110864 27337 110673 52943 44206 169362 44206 42144 151968 42144
r-417 24 0.695652 24 0.40942 989801 456506 456506 770633 338408 1497746 729757 729757 884081 1107744 1107744
r-869 24 0.25 24 0.293478 1826815 1336223 1336223 1852807 1407760 2896972 2036563 2036563 1784503 1731265 1731265
r-529 24 0.0507246 24 0.336957 2058502 53304 53304 1136269 48454 2531436 70049 70049 2236998 85614 85614
r-810 24 0.195652 24 0.90942 11259 21588 11259 21757 12142 17003 37422 17003 7421 12247 7421
r-571 24 0.804348 24 0.434783 445391 136111 136111 413733 95858 643908 214167 214167 314842 152302 152302
r-124 24 0.521739 24 0.746377 234537 602552 234537 462651 419623 378411 1077867 378411 225872 630066 225872
r-744 24 0.144928 24 0.481884 216348 82570 82570 154772 104388 360920 86199 86199 280209 82107 82107
r-592 24 0.134058 24 0.438406 538454 187870 187870 432242 278504 888125 272404 272404 665710 188089 188089
r-805 24 0.177536 24 0.177536 511071 463777 511071 608298 415402 649581 602566 649581 837891 1475646 837891
r-170 24 0.927536 24 0.688406 1935358 40518 40518 1235314 46039 2484845 53965 53965 3478437 80902 80902
r-633 24 0.855072 24 0.695652 402352 124658 124658 309320 167095 557801 161792 161792 296089 66032 66032
r-420 24 0.938406 24 0.880435 355736 18047 18047 66621 17797 369529 19918 19918 578181 80066 80066
r-450 24 0.978261 24 0.539855 2830389 49425 49425 2143149 48189 3888975 69229 69229 3427363 327844 327844
r-781 24 0.778986 24 0.547101 536903 239985 239985 441652 258290 970718 365421 365421 443160 316493 316493
r-66 24 0.40942 24 0.568841 818149 918284 918284 1124294 754886 1304697 1510317 1510317 890813 1090764 1090764
r-939 24 0.275362 24 0.677536 166209 204909 204909 288843 144354 243042 306719 306719 339969 239763 239763
r-662 24 0.717391 24 0.0543478 8708 26400 8708 21757 12618 8440 50216 8440 9810 33554 9810
r-986 24 0.572464 24 0.757246 440198 694246 440198 917603 545461 698666 1258545 698666 436195 538122 436195
r-977 24 0.67029 24 0.974638 65017 8461600 65017 8471446 510881 84229 10313319 84229 269932 9256723 269932
r-648 24 0.76087 24 0.655797 1253803 311893 311893 1090420 326739 2125383 495633 495633 728467 384548 384548
r-875 24 0.188406 24 0.786232 39981 59797 59797 45136 36531 59545 87140 87140 46828 46531 46531
r-210 24 0.92029 24 0.0652174 4747 6683 4747 7912 4776 9939 15091 9939 13772 12032 13772
r-649 24 0.318841 24 0.362319 2080876 1825704 1825704 2005413 1739066 3546089 2977590 2977590 1924867 1733996 1733996
r-274 24 0.688406 24 0.521739 1976738 1012067 1012067 1699365 1077348 3744322 1700656 1700656 1278202 1000286 1000286
r-234 24 0.608696 24 0.869565 55702 218939 55702 186934 131136 77505 339073 77505 83081 249301 83081
r-424 24 0.518116 24 0.181159 247751 150411 247751 175993 122646 391187 231387 391187 127644 311787 127644
r-698 24 0.652174 24 0.663043 1317526 1707045 1317526 1650797 1401756 2208921 2917797 2208921 1318978 1803398 1318978
r-108 24 0.42029 24 0.311594 682288 1321781 682288 1160258 1005541 1095821 2358182 1095821 1418529 1176007 1418529
r-867 24 1 24 0.166667 90731 45572 45572 90359 45572 141997 50847 50847 90731 7989 7989
r-598 24 0.663043 24 0.583333 1461476 1845143 1845143 1327506 1830963 2629498 3121400 3121400 1040022 1431703 1431703
r-963 24 0.721014 24 0.434783 335606 344733 344733 463549 226538 495981 546797 546797 573979 392912 392912
r-993 24 0.804348 24 0.358696 109394 94005 94005 119538 56323 156038 138898 138898 116291 97610 97610
r-229 24 0.735507 24 0.108696 27340 47927 27340 51958 34911 43189 79214 43189 32548 35894 32548
r-989 24 0.318841 24 0.561594 840351 835188 835188 1111514 556489 1299083 1403003 1403003 1238540 870514 870514
r-694 24 0.742754 24 0.626812 1482801 731720 731720 1244486 825537 2467288 1087928 1087928 1316548 828362 828362
r-17 24 0.67029 24 0.0833333 18228 47551 18228 47061 22935 28739 77770 28739 43271 38488 43271
r-142 24 0.583333 24 0.51087 2782210 2306573 2306573 2486656 2095028 5099968 3950123 3950123 2444490 2356988 2356988
r-191 24 0.608696 24 0.134058 29899 64345 29899 87573 39283 37045 101060 37045 30705 66156 30705
r-814 24 0.431159 24 0.431159 2471979 2960734 2471979 2529518 2482773 4460986 5347301 4460986 2767988 2472417 2767988
r-453 24 0.764493 24 0.942029 215262 9908351 215262 12583042 1713136 270432 11423869 270432 266439 15980785 266439
r-482 24 0.862319 24 0.344203 118217 67550 67550 124833 45780 190204 98820 98820 218776 73463 73463
r-1 24 0.242754 24 0.286232 1365623 876419 876419 1328132 903285 2096702 1306733 1306733 1250287 777170 777170
r-294 24 0.98913 24 0.0326087 570 974 974 601 769 5340 6045 6045 903 743 743
r-563 24 0.0905797 24 0.442029 552701 130779 130779 424271 166825 850384 173569 173569 976955 463158 463158
r-427 24 0.623188 24 0.503623 2855778 2103001 2103001 2859047 2182785 5437974 3614665 3614665 2482203 2644405 2644405
r-683 24 0.612319 24 0.221014 358936 325539 358936 441863 248433 553149 479966 553149 208511 235552 208511
r-18 24 0.213768 24 0.438406 612290 243220 243220 447071 348947 1058881 376441 376441 763073 298963 298963
r-671 24 0.463768 24 0.0108696 50187 6687945 50187 7609096 219295 71525 8502178 71525 99829 7484141 99829
r-336 24 0.539855 24 0.152174 46624 59167 46624 82481 48139 73742 90048 73742 45152 114165 45152
r-372 24 0.231884 24 0.0833333 204230 5310528 204230 2386413 1299793 258767 6426671 258767 638039 6324361 638039
r-396 24 0.630435 24 0.706522 1189024 1951923 1189024 1859738 1557840 1898326 3289121 1898326 1122509 1545278 1122509
r-147 24 0.184783 24 0.0905797 78278 293704 78278 208225 193669 94279 351355 94279 21140 1129368 21140
r-481 24 0.445652 24 0.105072 156235 487582 156235 517229 244206 235671 779244 235671 206775 611452 206775
r-502 24 0.300725 24 0.126812 278200 586207 278200 872141 363034 397357 792717 397357 469620 1000098 469620
r-165 24 0.92029 24 0.673913 2105575 126939 126939 1370110 136947 2854305 169724 169724 2693149 193479 193479
r-692 24 0.463768 24 0.0833333 36278 361656 36278 335533 91135 52980 533554 52980 148693 411500 148693
r-327 24 0.789855 24 0.927536 44426 2641762 44426 1128304 1443064 53923 3017537 53923 947626 4315078 947626
r-749 24 0.898551 24 0.721014 323061 36174 36174 179129 51749 425856 50426 50426 588471 77380 77380
r-462 24 0.710145 24 0.641304 714849 1276536 1276536 663113 1269633 1195900 2023846 2023846 1437247 436729 436729
r-289 24 0.894928 24 0.246377 58992 21123 21123 58988 13490 96510 31745 31745 72974 19145 19145
r-938 24 0.833333 24 0.76087 930925 406086 406086 760422 458152 1312634 531812 531812 1070333 741602 741602
r-261 24 0.0108696 24 0.242754 -1 6358394 6358394 -1 6343697 -1 6963114 6963114 -1 5719909 5719909
r-63 24 0.851449 24 0.543478 173980 88876 88876 119053 127586 282966 118299 118299 173867 229678 229678
r-615 24 0.286232 24 0.0978261 103545 575556 103545 385961 241795 145259 788119 145259 803577 835157 803577
r-136 24 0.865942 24 0.57971 310547 71663 71663 200878 109015 500514 101663 101663 513165 151612 151612
r-222 24 0.710145 24 0.268116 205635 180450 205635 233819 146100 329356 276244 329356 285887 192660 285887
r-765 24 0.445652 24 0.514493 2086170 2215351 2215351 2513853 2034253 3582996 3810097 3810097 2331143 2391233 2391233
r-682 24 0.224638 24 0.862319 31445 32282 31445 41345 22447 47270 52503 47270 38271 45680 38271
r-157 24 0.275362 24 0.844203 64326 42617 64326 84167 31941 97743 66510 97743 82951 30573 82951
r-199 24 0.336957 24 0.655797 404990 324901 324901 426728 283824 617806 470494 470494 368919 391104 391104
r-141 24 0.963768 24 0.195652 10972 1845 1845 9468 1171 25723 5520 5520 14964 4512 4512
r-990 24 0.724638 24 0.876812 95286 1149478 95286 618341 659642 129302 1491271 129302 161157 2179297 161157
r-62 24 0.431159 24 0.974638 12399 517701 12399 360716 62658 21598 718628 21598 20114 500802 20114
r-200 24 0.224638 24 0.115942 35859 371432 35859 233843 286943 45341 485005 45341 44386 382748 44386
r-429 24 0.931159 24 0.648551 609317 19542 19542 324239 18704 863268 27643 27643 686451 68593 68593
r-906 24 0.942029 24 0.0289855 610 1044 610 790 712 4826 5339 4826 1032 1819 1032
r-526 24 0.644928 24 0.605072 1262725 1179561 1179561 1159016 1024539 2200026 1944304 1944304 1267657 1124406 1124406
r-67 24 0.177536 24 0.681159 168127 123613 123613 170972 78160 255436 194863 194863 151866 179379 179379
r-218 24 0.181159 24 0.5 366091 167938 167938 278537 213984 657728 258958 258958 331324 229487 229487
r-807 24 0.0724638 24 0.235507 1359484 106717 106717 752123 117848 1651425 122355 122355 1178360 266389 266389
r-73 24 0.601449 24 0.543478 2487540 1483502 1483502 2789954 1392730 4675044 2645288 2645288 3220501 1732695 1732695
r-223 24 0.0507246 24 0.891304 5001 1330 1330 2390 992 10747 5247 5247 5684 3038 3038
r-519 24 0.666667 24 0.0398551 5427 72371 5427 104481 19816 10012 113303 10012 11805 70881 11805
r-270 24 0.963768 24 0.141304 4915 1789 1789 4180 1036 10834 5398 5398 3725 2503 2503
r-787 24 0.144928 24 0.742754 36294 9794 9794 34495 6494 59621 15004 15004 28346 19221 19221
r-312 24 0.536232 24 0.0108696 14773 1091665 14773 884041 119441 23741 1750268 23741 16391 1281519 16391
r-311 24 0.351449 24 0.775362 121498 139042 121498 136937 96407 151557 206814 151557 156713 194907 156713
r-946 24 0.130435 24 0.481884 110799 102165 102165 84067 133604 193886 154262 154262 168221 59537 59537
r-82 24 0.130435 24 0.275362 1790915 194371 194371 1288901 289829 2301651 248012 248012 2863518 840262 840262
r-196 24 0.231884 24 0.786232 61719 100612 61719 96237 62027 94263 155015 94263 80723 106203 80723
r-207 24 0.507246 24 0.427536 3303404 2349178 3303404 3628087 2092271 5965886 4113973 5965886 2527033 3049795 2527033
r-639 24 0.474638 24 0.00724638 421840 9531431 421840 12515690 334891 493800 13347977 493800 2212816 10891171 2212816
r-659 24 0.115942 24 0.384058 251058 39277 39277 147848 53544 374108 55220 55220 232115 38834 38834
r-24 24 0.949275 24 0.992754 4580589 -1 4580589 -1 -1 4586334 -1 4586334 -1 -1 -1
r-365 24 0.51087 24 0.369565 1498736 1372275 1498736 1793374 1170297 2449707 2246024 2449707 1255406 1724211 1255406
r-181 24 0.753623 24 0.137681 7756 29236 7756 19256 13784 11996 49294 11996 15397 36307 15397
r-130 24 0.152174 24 0.717391 49766 50840 50840 71081 25398 77082 79063 79063 41101 35500 35500
r-923 24 0.474638 24 0.804348 309277 585143 309277 519868 481744 466270 868045 466270 300344 889328 300344
