instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped
r-494 24 0.82971 24 0.952899 27 24395 27 9532 4364 26 26330 27 8101 80250 8127
r-635 24 0.297101 24 0.855072 23 36 23 35 28 38 61 37 25 48 26
r-189 24 0.956522 24 0.0543478 1 0 0 1 0 3 2 2 1 0 0
r-622 24 0.608696 24 0.572464 988 730 740 970 681 1775 1371 1380 1053 914 916
r-473 24 0.967391 24 0.710145 4179 5 4 2504 5 4869 5 4 5418 194 188
r-45 24 0.90942 24 0.34058 20 7 6 17 4 38 13 12 16 8 7
r-22 24 0.568841 24 0.289855 206 260 207 291 240 325 409 278 354 457 344
r-6 24 0.0942029 24 0.82971 5 4 4 5 3 9 8 7 6 7 7
r-959 24 0.427536 24 0.0398551 5 802 6 420 70 6 1167 6 36 994 35
r-424 24 0.434783 24 0.449275 1632 1438 1439 1543 1353 3093 2820 2752 1905 1380 1412
r-647 24 0.561594 24 0.884058 35 171 35 106 101 57 301 56 54 173 53
r-70 24 0.438406 24 0.985507 2 169 2 110 17 3 311 2 9 174 9
r-896 24 0.17029 24 0.057971 17 4238 17 1065 1144 21 4816 21 1232 7830 1200
r-307 24 0.0615942 24 0.51087 167 5 6 124 6 238 7 7 145 15 15
r-97 24 0.807971 24 0.105072 4 4 4 4 2 5 8 5 5 7 6
r-659 24 0.344203 24 0.224638 175 560 177 384 457 245 973 251 293 438 300
r-825 24 0.768116 24 0.434783 108 89 89 109 65 149 122 124 232 119 122
r-523 24 0.376812 24 0.141304 43 208 49 125 164 57 349 55 57 287 58
r-948 24 0.192029 24 0.612319 53 52 52 57 28 77 80 79 93 65 65
r-770 24 0.380435 24 0.67029 245 187 244 286 164 410 294 413 301 346 309
r-82 24 0.148551 24 0.336957 265 32 31 214 42 434 41 33 273 168 169
r-302 24 0.521739 24 0.858696 26 160 33 91 112 54 246 49 63 126 63
r-961 24 0.148551 24 0.869565 6 5 6 6 3 10 8 10 8 8 8
r-957 24 0.0688406 24 0.460145 124 8 8 90 9 191 12 12 143 21 21
r-654 24 0.286232 24 0.326087 689 435 450 685 406 1130 704 696 512 371 425
r-863 24 0.913043 24 1 100000 100003 100001 100008 100000 100008 100004 100004 100007 100006 100007
r-343 24 0.605072 24 0.887681 21 193 21 97 102 30 300 30 75 150 75
r-493 24 0.0797101 24 0.173913 2138 76 74 1531 91 2431 93 94 6555 311 311
r-971 24 0.572464 24 0.0144928 5 128 5 77 27 9 204 10 6 56 6
r-326 24 0.0144928 24 0.297101 41602 157 152 36621 149 52985 194 193 66515 1111 1169
r-879 24 0.380435 24 0.057971 11 391 11 146 84 16 565 16 30 431 29
r-548 24 0.913043 24 0.597826 180 12 12 108 14 269 17 18 263 95 96
r-120 24 0.474638 24 0.931159 5 119 5 47 24 9 149 8 16 101 16
r-736 24 0.804348 24 0.0471014 2 5 2 4 3 5 10 5 4 5 3
r-246 24 0.00362319 24 0.326087 100002 3477 3469 100003 3380 100003 3541 3447 100009 100005 100005
r-644 24 0.0144928 24 0.0942029 100008 33 33 100006 31 100009 28 25 100000 100004 100000
r-168 24 0.387681 24 0.076087 22 342 22 204 95 23 510 24 64 304 68
r-511 24 0.717391 24 0.181159 20 17 21 23 11 30 29 29 27 37 27
r-300 24 0.148551 24 0.496377 217 66 65 175 90 410 111 100 150 91 92
r-990 24 0.688406 24 0.5 341 633 664 396 569 525 1137 1161 728 533 534
r-974 24 0.594203 24 0.373188 256 346 262 338 308 380 548 360 385 507 381
r-33 24 0.826087 24 0.463768 79 36 36 91 23 121 55 55 88 59 57
r-510 24 0.166667 24 0.996377 1 3 1 2 2 3 9 3 3 3 3
r-514 24 0.355072 24 0.865942 13 20 17 26 17 26 35 27 31 35 31
r-367 24 0.757246 24 0 3 16 2 14 4 4 40 5 5 16 5
r-226 24 0.210145 24 0.206522 189 301 204 302 220 287 428 284 718 427 719
r-774 24 0.887681 24 0.789855 251 23 23 185 33 352 32 31 707 2239 2246
r-724 24 0.735507 24 0.626812 990 452 464 839 520 1799 743 738 837 705 711
r-842 24 0.572464 24 0.597826 1843 2031 1849 2094 1838 3498 4008 3505 1978 2022 2036
r-69 24 0.00362319 24 0.434783 16998 166 166 14853 162 25960 252 244 19723 62 62
r-651 24 0.126812 24 0.568841 77 45 44 60 25 119 69 73 124 76 76
r-803 24 0.963768 24 0.923913 100007 771 767 100002 777 100000 764 760 100002 100007 100009
r-584 24 0.333333 24 0.742754 69 75 70 69 61 109 116 110 130 154 132
r-626 24 0.0181159 24 0.467391 2328 14 16 2118 15 2946 16 22 2214 347 409
r-748 24 0.782609 24 0 2 46 2 42 3 4 65 4 4 46 5
r-383 24 0.757246 24 0.862319 46 144 47 94 116 52 211 55 160 208 158
r-252 24 0.735507 24 0.0797101 4 16 4 9 8 7 31 7 6 14 6
r-983 24 0.434783 24 0.514493 1284 1018 1022 1334 966 2395 1808 1629 1511 1540 1533
r-28 24 0.362319 24 0.221014 518 1024 518 746 740 836 1633 813 555 622 554
r-859 24 0.416667 24 0.17029 111 328 112 197 285 168 563 180 232 289 222
r-403 24 0.521739 24 0.623188 1039 1641 1036 1262 1352 1864 3300 1889 1394 1365 1371
r-711 24 0.398551 24 0.344203 976 1139 981 1136 1039 1822 2232 1628 826 959 847
r-475 24 0.746377 24 0.721014 505 422 374 593 383 717 619 623 623 546 546
r-942 24 0.307971 24 0.452899 1347 676 672 1111 740 2569 1157 1139 1116 790 791
r-108 24 0.648551 24 0.503623 1340 652 663 1143 673 2783 1152 1139 1136 945 919
r-282 24 0.847826 24 0.181159 15 16 15 18 10 26 26 26 23 25 24
r-911 24 0.721014 24 0.336957 115 115 115 153 87 181 176 184 202 128 127
r-853 24 0.543478 24 0.855072 40 199 39 113 146 58 344 59 156 214 157
r-692 24 0.807971 24 0.655797 663 160 155 534 221 1061 230 240 622 338 337
r-844 24 0.666667 24 0.518116 1063 477 475 852 507 2149 845 820 634 666 649
r-562 24 0.423913 24 0.873188 12 72 12 47 26 14 101 14 16 38 16
r-733 24 0.0434783 24 0.98913 0 0 0 0 0 1 2 1 0 0 0
r-105 24 0.17029 24 0.923913 4 6 4 6 5 5 13 5 5 8 5
r-257 24 0.84058 24 0.681159 416 98 99 369 157 675 140 139 303 349 367
r-747 24 0.913043 24 0.0362319 0 1 0 0 0 1 3 1 0 1 0
r-467 24 0.434783 24 0.224638 245 750 246 405 614 393 1416 397 387 630 376
r-870 24 0.416667 24 0.942029 5 69 5 42 20 6 106 6 10 69 11
r-260 24 0.807971 24 0.981884 336 100007 335 100000 100005 378 100000 356 40183 100002 40213
r-757 24 0.166667 24 0.858696 8 12 8 9 7 13 20 13 13 16 9
