mcsplit mcsplit-h mcsplit+f mcsplit+fmm mcsplit+bigf mcsplit+r mcsplit+S mcsplit+O mcsplitb mcsplitb+f mcsplitb+bigf mcsplitb+S mcsplitb+O
458 500 1339 1481 622 1676 471 461 752 2374 1029 777 745
10 11 10 9 1 1 1 1 12 13 1 1 1
2 5 2 2 0 0 0 0 2 2 0 0 0
863 906 1139 1204 853 1091 1059 840 1135 1547 1129 1527 1100
2 2 15 15 2 16 2 2 2 15 2 2 2
5831 6465 22457 24047 6098 22158 5691 5754 5175 16525 5808 5119 5195
2659 3131 2649 2596 280 225 156 147 3276 3249 333 172 168
100009 100007 100008 100007 3598 3265 3141 3161 100009 100005 3876 3322 3393
0 0 5 6 1 6 0 0 0 6 1 0 0
100005 100001 100008 100005 100000 100003 100002 100007 100001 100006 100004 100009 100006
23384 24286 100001 100008 30764 100004 23260 23379 33608 100008 46385 33390 33073
76 110 70 71 58 61 58 76 140 105 92 96 140
153 167 781 1079 224 807 157 157 249 1188 343 248 243
100002 100005 100005 100002 100003 100007 100003 100006 100001 100001 100001 100008 100007
8754 8791 60233 74393 8839 60493 62203 8773 9957 69404 10085 71187 10016
100003 100000 100000 100005 100001 100003 100000 100003 100004 100008 100008 100001 100000
652 1011 652 655 26 16 13 13 818 816 35 18 18
475 488 1544 2337 545 1668 473 467 742 2804 905 750 742
16 21 17 15 1 1 1 1 24 25 1 1 1
1 1 5 7 1 6 1 1 1 6 1 1 1
36 51 36 40 9 9 37 8 43 45 9 44 9
1 1 14 12 1 15 1 1 1 20 1 1 1
93629 93631 100000 100000 100000 100006 92422 100006 100003 100005 100001 100009 100009
100006 100001 100000 100003 100006 100001 100008 100007 100007 100009 100009 100009 100002
94265 100009 100010 100009 100007 100005 95847 100008 100003 100009 100001 100003 100009
100007 100006 100003 100003 100002 100010 100000 100006 100002 100003 100005 100003 100009
100004 100008 100007 100001 9107 5620 4437 4418 100001 100001 12271 5867 5777
15 34 16 19 1 1 1 1 20 21 2 1 1
0 0 0 0 0 0 0 0 0 0 0 0 0
40758 43521 97717 100001 100004 100009 41038 100005 58465 100009 100005 58186 100000
1 1 2 4 1 2 1 1 1 3 1 1 1
17981 18763 98438 100009 19026 100007 100000 18126 22954 100004 25537 100004 22556
0 0 1 2 0 2 0 0 0 1 0 0 0
0 0 0 1 0 0 0 0 0 1 0 1 0
0 0 1 2 0 1 0 0 0 1 0 0 0
100000 100009 100007 100000 100005 100000 100009 100004 100002 100002 100000 100004 100005
17 18 22 24 25 28 16 17 23 31 30 23 23
100003 100006 100009 100009 69807 65343 60019 60535 100001 100008 92442 78127 78744
3929 4211 12245 13306 3943 11711 11981 4034 5915 18864 5779 18349 5932
13 15 624 631 28 718 13 13 16 762 36 15 16
10 10 1342 1376 12 1505 10 10 11 1554 15 11 11
100009 100004 100002 100005 51031 49733 46300 46066 100011 100004 58451 52904 53279
5103 5735 1995 1887 3521 768 692 5082 7638 2886 5654 1024 7741
100002 100004 100005 100004 19632 13111 11203 11144 100008 100002 22867 12152 11927
19 26 31 33 37 40 23 23 31 42 50 30 30
2 9 2 5 0 0 0 0 2 2 0 0 0
104 103 159 171 129 182 103 106 0 26 0 0 0
114 273 114 142 6 6 4 4 104 105 4 3 3
21036 23621 25890 28229 25174 27464 21201 28019 32411 39360 38446 32462 43737
138 142 1224 1407 252 1432 139 136 98 1105 207 98 101
100002 100008 100001 100005 100005 100000 100000 100007 100000 100007 100000 100004 100001
1 1 21 26 1 23 1 1 1 23 1 1 1
100006 100008 100007 100004 100002 100009 100003 100004 100009 100002 100008 100000 100007
14 32 14 14 5 5 5 5 22 23 6 6 6
5 5 62 111 8 70 5 5 5 70 7 5 5
100009 100004 100003 100001 100002 100005 100001 100000 100005 100001 100007 100004 100005
3344 9614 3017 3506 683 443 402 392 5514 4812 964 547 546
100006 100005 100008 100001 100002 100008 100003 100004 100008 100009 100009 100006 100006
0 0 0 0 0 0 0 0 0 0 0 0 0
97773 100007 72854 68481 88596 52004 48497 99135 100000 100009 100008 83480 100007
0 0 11 11 0 13 0 0 0 12 0 0 0
19536 20404 17022 17293 1002 1061 958 960 22190 19265 1105 1051 1034
7048 7720 7213 7227 901 898 7059 736 8560 8657 1022 8400 823
17333 17373 100007 100004 18792 100009 17257 17326 21629 100004 23534 21796 21689
48 49 269 290 50 217 235 48 60 351 65 320 62
307 320 1187 1249 1236 1697 298 301 121 1037 1462 123 123
6 6 28 37 10 34 6 6 8 39 14 8 8
55838 59336 56869 56341 25 18 15 14 57559 57622 23 13 14
100001 100002 100004 100005 7526 4349 3442 3403 100009 100003 10671 4723 4771
74 78 843 950 80 827 841 77 90 1029 98 1051 92
0 0 0 0 0 0 0 0 0 0 0 0 0
51 56 67 66 45 50 47 52 70 87 54 66 63
0 0 4 4 0 5 0 0 1 6 0 0 1
1 3 2 3 3 4 1 4 2 3 5 2 6
8444 8658 7824 7860 545 520 502 500 10360 9538 684 583 594
5 8 5 6 1 1 5 1 5 5 1 5 0
100000 100003 100009 100001 100007 100004 100007 100007 100003 100005 100008 100002 100008
100006 100005 100004 100001 100007 100005 100007 100008 100000 100004 100002 100001 100008
100010 100001 100009 100008 100007 100000 100002 100008 100005 100001 100006 100005 100006
552 771 574 613 170 168 563 155 710 727 192 719 189
34529 47620 32636 37277 1765 1802 1569 1519 35600 35411 1716 1450 1491
0 0 0 0 0 0 0 0 0 0 0 0 0
100000 100006 100009 100001 100002 100007 100003 100006 100004 100004 100006 100009 100007
0 0 0 0 0 0 0 0 0 0 0 0 0
65102 69581 100000 100001 79912 100002 64352 64513 84975 100008 100000 85028 85246
0 0 0 0 0 0 0 0 0 0 0 0 0
799 1079 818 869 20 20 17 17 859 862 17 16 16
100004 100000 100007 100001 5368 5031 4137 4104 100009 100008 6110 4662 4613
48 48 542 590 59 596 47 46 57 719 72 57 56
90 124 76 82 17 13 12 90 148 114 26 19 144
17 23 17 18 2 2 1 1 21 21 2 1 1
93 94 201 216 91 181 181 93 114 258 109 246 113
2888 3435 12870 14576 3588 14636 2896 2964 3648 20739 4482 3610 3649
4337 4630 17203 17513 13622 19520 4428 4353 4223 18647 15666 4128 4131
100005 100005 100005 100001 7164 4190 3773 3739 100008 100006 8859 4515 4630
9449 10139 7906 8117 2865 2641 2544 9515 11337 9299 3280 2885 11437
15735 18084 10271 9248 13383 5719 5251 15729 25772 15884 21920 8401 26318
348 363 1194 1238 1380 2477 368 348 362 1308 1514 360 359
100002 100000 100004 100003 100008 100005 100001 100002 100008 100003 100005 100006 100007
55077 60011 49814 52043 51765 42239 40994 54641 80856 72291 77363 57903 81380
100004 100000 100006 100005 100008 100008 100007 100003 100003 100001 100001 100005 100001
3 8 3 4 0 0 0 0 3 3 0 0 0
10 11 10 9 0 0 0 0 10 10 0 0 0
100008 100004 100009 100006 14123 13104 10647 10819 100001 100005 15450 11405 11247
1560 1862 1678 1757 1376 1352 1378 1597 3001 3152 2478 2514 2956
3 3 20 22 3 21 3 3 3 22 4 3 4
12768 12968 100006 100008 15096 100004 12890 12898 17618 100000 21163 17917 17789
17 23 16 17 7 8 17 8 26 25 11 26 11
230 327 238 279 31 30 227 28 203 205 26 203 24
0 0 10 11 1 11 0 0 0 11 1 0 0
5706 6088 15303 15639 4441 12207 12213 5620 6552 18698 5202 15114 6671
407 461 4490 4518 5271 11946 420 409 554 5848 7455 540 534
775 794 1663 1749 848 1761 781 775 564 1310 612 577 575
100001 100007 100006 100003 100002 100003 100008 100006 100006 100001 100008 100008 100006
100009 100007 100009 100009 100006 100007 100002 100009 100004 100000 100003 100005 100004
4 4 14 16 5 16 4 4 6 24 7 6 6
2 2 2 2 1 2 2 2 3 3 2 2 3
9 10 44 77 10 48 9 9 12 64 14 12 12
3 3 35 40 5 41 3 3 4 46 6 4 4
882 875 4122 4678 907 4397 886 884 709 4361 736 722 702
848 915 2783 2880 3379 4840 818 4862 604 1890 4734 601 6249
23 24 107 114 28 143 23 23 20 127 28 21 20
2 2 2 2 0 0 0 1 2 2 0 0 0
13 13 46 65 13 47 13 13 17 62 17 17 16
100004 100009 100001 100006 100008 100009 100007 99991 100002 100006 100006 100004 100004
100001 100000 100004 100001 100001 100007 100003 100009 100003 100007 100005 100008 100005
62 66 4079 4417 63 4230 61 62 70 4424 70 69 67
5016 6347 3929 3713 773 599 559 4993 8433 6571 1212 859 8488
84618 88556 83155 82920 1092 887 703 723 97999 96087 1359 855 870
473 539 670 744 535 599 481 488 559 781 651 556 559
53 60 69 71 71 76 54 81 69 85 93 67 102
24236 25235 23398 23541 293 170 122 122 28618 27769 339 121 120
10053 10914 6502 6697 7906 3459 3158 9946 15683 8415 12675 4236 15538
25 26 94 133 36 104 26 26 33 134 50 34 33
55640 62721 100001 100004 100004 100008 55442 55564 80363 100003 100000 80822 80230
154 156 1213 1320 175 1320 154 154 173 1361 212 179 178
266 270 6835 7013 354 7468 260 259 322 8563 462 325 330
18 21 18 30 3 3 3 18 22 19 4 3 22
31 59 26 33 3 4 3 3 56 50 4 4 4
100008 100009 100001 100008 100001 100005 100009 100002 100009 100004 100005 100006 100008
645 861 631 670 95 73 54 68 967 922 130 93 98
100008 100010 100003 100006 100008 100009 100005 100009 100009 100005 100004 100003 100004
1 2 1 2 0 0 0 0 1 1 0 0 0
29 34 65 68 35 72 29 31 35 94 41 36 36
100000 100003 100000 100006 100008 100007 100009 100001 100002 100000 100001 100006 100007
100003 100006 100002 100002 100000 100000 100001 100004 100008 100000 100001 100007 100003
39 39 115 232 47 133 39 40 36 139 44 35 36
67596 70024 100007 100007 73519 100000 67874 68516 49532 100008 55642 49216 49534
14 15 23 25 14 25 13 13 19 37 20 19 19
4 4 12 13 22 23 4 4 6 19 34 5 5
34 37 65 74 43 75 34 35 42 94 50 40 40
187 176 141 143 36 31 29 187 263 196 51 40 254
18419 20728 21398 21983 15541 16013 18538 16446 22025 25261 17704 22095 18707
7 7 599 661 15 718 7 7 8 673 18 7 9
1 1 4 4 2 5 1 1 1 4 2 2 1
0 0 1 1 0 1 0 0 0 1 0 0 0
1906 2810 1744 1772 779 579 539 554 3212 2942 1218 839 856
5623 7701 5733 6284 880 879 5590 762 6575 6735 954 6523 843
100000 100006 100008 100000 49272 49410 46370 46493 100003 100007 67235 61666 62215
880 1263 866 895 11 6 5 5 1045 1071 13 7 7
100000 100006 100004 100009 100004 100008 100004 100007 100006 100009 100006 100004 100006
2363 2506 2230 2233 311 257 227 233 2965 2778 334 244 251
48 50 235 380 76 279 48 48 68 410 110 69 70
8242 8616 100000 100000 11151 100007 8256 8205 11036 100004 15303 11063 10917
1 2 16 17 3 20 2 2 2 19 4 2 2
13 14 120 196 13 130 13 13 17 164 16 14 16
54120 58137 53587 54222 2937 2756 2642 2616 60992 60093 2685 2577 2478
0 0 0 0 0 0 0 0 0 0 0 0 0
100000 100002 100007 100006 100006 100008 100008 100001 100007 100002 100001 100008 100008
76105 82779 73227 73467 1402 1312 1136 1112 88676 84945 1659 1286 1327
101 108 177 176 96 134 135 103 57 174 55 117 59
3 12 3 7 0 0 0 0 3 3 1 0 0
0 0 0 1 0 0 0 0 0 1 0 0 0
11 11 563 579 19 661 11 11 10 643 21 11 10
16473 25102 13655 13857 2622 2000 1793 1816 25972 21089 3631 2307 2292
674 697 1111 1001 1397 1468 681 1565 988 1543 2059 993 2288
100004 100005 100002 100005 100005 12944 11350 100008 100003 100000 100006 16158 100005
0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0
3499 4838 3526 3884 462 456 3538 402 3490 3437 461 3457 382
23 24 183 207 43 224 24 23 34 302 71 35 34
63110 61671 100005 100006 86755 100003 63001 62764 66022 100006 93167 66481 65904
0 0 4 5 0 5 0 0 0 4 0 0 0
110 149 106 110 78 87 83 97 205 188 131 144 203
1 1 2 3 1 3 1 1 0 3 0 0 0
100008 100000 100000 100006 100009 100008 100000 100007 100002 100009 100003 100003 100002
100007 100001 100009 100004 8955 8111 7326 7234 100001 100008 10771 8846 8896
27806 33406 28371 28320 10 10 8 8 29687 29979 10 8 8
418 4672 410 1198 195 169 159 156 785 775 341 273 304
496 713 494 513 83 79 58 57 514 510 37 27 26
100005 100007 100000 100009 100000 100003 100004 100007 100005 100003 100006 100003 100007
2608 3063 2634 2810 540 526 2527 493 3272 3372 637 3277 584
22064 23896 22145 22068 72 62 51 53 24011 23222 80 57 59
29416 31434 100002 100003 44575 100001 29302 29456 41195 100008 64900 41290 41061
189 199 67655 68546 232 100003 191 189 225 76723 278 225 234
100002 100004 100004 100005 100006 100009 100000 100006 100007 100004 100003 100008 100005
0 0 3 7 0 3 0 0 0 4 0 0 0
28 83 30 42 16 17 18 17 36 39 21 24 24
248 306 247 262 151 151 251 136 321 327 173 323 167
0 0 2 2 0 2 0 0 0 2 0 0 0
100008 100008 100000 100001 100005 100003 100000 100009 100002 100007 100001 100001 100006
4 5 48 70 4 37 4 4 7 97 7 7 8
9159 10266 9549 10060 2137 2261 9200 2082 9265 9581 2220 9218 2152
82 88 2539 2580 137 3040 83 83 114 3555 200 114 112
2 6 2 3 1 1 1 1 3 3 1 1 1
