mcsplit mcsplit-h mcsplit+f mcsplit+fmm mcsplit+bigf mcsplit+r mcsplit+S mcsplit+O mcsplitb mcsplitb+f mcsplitb+bigf mcsplitb+S mcsplitb+O
99 101 520 585 114 550 100 101 111 717 133 114 113
1938 2002 2839 3209 1875 2620 2617 1971 2838 4437 2714 4082 2766
358 365 573 593 343 507 517 355 360 576 345 588 362
1 1 7 10 2 9 1 1 1 6 2 1 1
0 0 1 1 0 1 0 0 0 1 0 0 0
100008 100009 100003 100006 100002 100010 100004 100009 100005 100002 100008 100008 100006
100001 100006 100008 100009 100007 100009 100008 100002 100008 100005 100003 100001 100002
0 0 613 608 3 723 0 0 0 610 3 0 0
9 10 212 224 19 257 10 9 11 248 23 11 11
100007 100008 100009 100000 100004 100009 100001 100003 100004 100000 100009 100007 100002
0 0 0 0 0 0 0 0 0 0 0 0 0
100000 100003 100003 100000 100008 100007 100000 100007 100008 100001 100000 100003 100008
67 67 1606 1630 74 1783 68 66 67 1622 73 65 67
0 0 0 0 0 0 0 0 0 0 0 0 0
1340 1436 31394 31892 1808 40892 1322 1340 1921 44441 2760 1862 1929
100001 100007 100009 100003 14376 14467 100005 13214 100003 100004 17420 100000 15832
1 1 1 1 0 0 0 0 1 1 0 0 0
226 236 993 1080 217 1061 228 226 312 1296 329 305 319
41108 43438 40621 41942 556 450 363 363 50620 49123 680 440 435
1 1 24 25 2 29 1 1 1 28 2 1 1
18 31 17 26 1 1 0 0 18 17 1 0 0
1429 1605 1453 1419 66 66 56 56 1692 1712 82 69 66
9 8 43 45 11 50 9 9 6 49 7 6 6
100006 100002 100005 100004 100005 100004 100009 100003 100000 100001 100007 100007 100006
180 211 175 183 79 73 69 69 228 219 90 77 76
412 410 13292 13379 505 16147 401 407 460 15538 545 462 459
0 0 0 0 0 0 0 0 0 0 0 0 0
139 142 11330 11995 191 12868 137 141 162 14459 234 166 164
34 64 34 32 3 2 2 2 39 39 3 3 3
2 2 37 51 4 42 2 2 3 51 6 3 3
103 320 108 163 10 11 10 10 113 121 10 10 10
240 239 1181 1240 241 1526 221 228 301 1657 329 299 298
6836 8143 7369 8049 2556 2615 6776 2634 10848 11856 3852 11060 3944
0 0 0 0 0 0 0 0 0 0 0 0 0
100003 100003 100007 100008 93917 61047 57818 100006 100001 100003 100002 74125 100000
22 78 20 29 3 3 2 3 33 32 4 3 3
100 100 83 84 35 35 30 100 146 118 48 41 143
20 20 508 565 25 570 20 20 23 582 29 23 23
34008 37483 26986 28139 11980 12181 11538 34300 48084 37589 16281 15696 47976
13 19 13 13 0 0 0 0 15 15 0 0 0
100009 100006 100002 100005 735 622 513 505 100009 100007 811 556 567
0 0 0 1 0 1 0 0 0 1 0 0 0
0 0 1 1 0 1 0 0 0 1 0 0 0
899 951 100004 100008 1593 100010 906 916 1083 100001 2040 1118 1109
100001 100006 100004 100003 100008 100004 100003 100009 100007 100005 100000 100009 100002
0 0 0 0 0 0 0 0 0 0 0 0 0
5718 6459 7185 7893 4652 5127 5161 5765 7935 9931 6410 7343 7991
27519 33448 27894 29601 21064 20037 18999 19225 40035 40603 29639 26675 27001
4526 5884 4697 4703 106 53 47 48 7140 7236 108 53 52
2 2 15 13 2 17 2 2 2 15 2 2 2
960 1460 985 1197 285 281 222 228 1285 1302 389 285 293
31788 32170 100005 100003 33751 100005 31145 31555 40079 100004 44668 40430 40987
900 930 10728 14642 1469 11884 889 878 1320 16102 2148 1346 1316
500 537 3871 4307 657 4461 497 497 479 5319 589 465 473
13 17 13 14 0 0 0 0 18 18 1 0 0
6 8 18 27 5 18 6 6 9 23 7 8 8
5221 10588 4749 5174 677 461 441 429 8173 7310 941 616 607
100006 100009 100008 100005 100005 100004 100009 100007 100002 100007 100002 100007 100001
864 893 19720 20367 900 21994 894 893 973 22368 971 941 943
100000 100005 100005 100000 100005 100002 100001 100003 100010 100001 100000 100007 100005
413 2508 423 425 10 5 5 6 691 673 14 8 8
45 43 12439 12523 80 14042 46 46 48 12958 61 47 48
24 28 24 26 4 4 24 4 19 20 2 19 2
2 2 13 17 4 17 2 2 3 22 5 3 3
100005 100003 100007 100000 100005 100000 100000 100009 100007 100000 100007 100001 100005
18055 19784 17769 18037 248 205 165 167 21360 21038 295 186 193
1 1 172 171 2 185 1 1 1 186 3 1 1
1 1 1 2 0 0 0 1 2 3 1 1 2
3 3 29 28 5 31 3 3 4 32 5 3 3
349 380 566 609 346 578 579 338 518 910 490 975 518
19952 24116 20243 21244 566 508 451 452 25520 25411 606 493 500
100005 100008 100001 100003 5025 3065 2674 2691 100011 100010 6983 3517 3516
6817 9536 7025 7444 203 201 193 187 7549 7697 174 164 164
4459 8876 4054 4573 698 450 404 419 6989 6495 1004 583 579
100004 100003 100013 100001 100006 100008 100005 100005 100001 100000 100002 100007 100003
31 35 21342 21527 65 23564 31 30 28 24419 57 27 30
60951 63370 34451 34287 41880 10961 9908 60493 78600 43959 58244 13839 77568
100005 100001 100000 100006 45988 46355 41142 40866 100008 100009 52979 47841 47517
165 205 281 305 336 390 166 164 263 423 566 260 258
14 26 15 18 13 13 14 14 21 22 19 21 22
100005 100009 100001 100005 2853 2510 1812 1871 100009 100007 2941 1873 1852
100006 100008 100002 100009 47779 48164 100006 45576 100008 100009 71081 100007 68560
5522 5668 100005 100008 8271 100003 5625 5563 5518 100006 6689 5473 5694
9 9 12 12 21 22 9 23 15 19 36 15 38
100007 100004 100000 100001 100009 100000 100007 100004 100001 100007 100009 100001 100006
305 404 298 312 30 31 28 29 347 340 22 20 20
457 462 363 363 78 58 49 441 544 443 95 61 546
2391 4661 2480 2701 172 169 2478 153 2866 2895 149 2841 138
67335 68247 100009 100002 79099 100000 67125 66532 73600 100003 86278 73551 73270
1834 2951 1827 1834 189 193 170 175 2598 2577 239 212 207
100001 100000 100000 100003 69218 69249 60802 60808 100003 100005 90648 79487 80831
539 568 1736 1739 453 528 539 521 625 1837 572 616 636
41 49 549 600 62 670 716 42 37 598 60 750 41
49812 50312 100000 100008 66661 100005 50149 49693 15484 100002 20864 15472 15333
1458 1609 2539 2688 1458 2398 2405 1460 2307 4345 2255 4016 2313
86838 89406 75522 74474 3737 2726 2231 2234 100008 91616 4775 2855 2880
24 24 23 23 11 11 11 23 27 26 13 13 27
9 12 9 9 1 1 1 1 13 13 2 2 2
4109 4306 23863 27691 4264 23215 24057 4150 5234 33077 5310 34216 5227
61284 79881 57640 57798 8370 7041 6182 6212 91804 84835 11183 8218 8256
812 884 1384 1409 697 1116 1123 837 945 1726 809 1460 953
1018 1053 7462 7639 13966 26236 1051 1015 1198 8864 17378 1185 1194
0 0 0 0 0 0 0 0 0 1 0 1 0
2 19 2 7 1 1 1 1 14 3 1 1 1
56 99 55 57 1 1 1 1 65 67 2 1 1
1 0 14 26 1 14 1 1 1 16 1 1 1
3 13 3 5 1 2 2 2 4 5 2 3 3
100004 100008 100008 100009 52605 53566 100000 54010 100006 100001 60291 100002 62978
12 15 27 53 11 25 12 12 17 37 16 17 17
1 1 1 2 0 1 1 1 0 1 0 0 0
2998 3161 2888 2993 2194 2094 1905 1858 2699 2461 294 253 250
48 69 36 38 13 13 13 50 81 63 19 18 84
20038 19854 100005 100007 22541 100005 19965 20210 29797 100009 33588 29426 29503
1 1 743 758 3 879 0 0 1 752 3 1 1
35 59 35 38 6 6 6 6 51 48 8 8 8
1693 1818 4408 4668 5922 6444 1722 1714 2128 5939 8398 2127 2141
100005 100000 100008 100000 39276 40729 100007 39611 100009 100000 43648 100001 44381
8 9 84 169 13 88 8 8 3 115 5 3 3
50 58 63 69 65 70 50 50 78 98 101 81 79
100003 100004 100008 100004 100001 100005 100006 100002 100001 100009 100006 100009 100005
51 50 1876 2366 83 1952 51 51 36 1930 57 35 36
100007 100004 100005 100007 100006 100000 100004 100009 100002 100007 100005 100003 100009
14095 14556 38737 47123 14070 38465 40325 14194 21015 65383 20959 68724 20964
68 69 151 207 65 140 142 66 80 198 77 183 83
174 576 175 339 24 24 21 23 266 249 31 28 28
86152 61085 100000 100005 80803 100002 100006 87187 100002 100004 91844 100007 99492
0 0 0 0 0 0 0 0 1 1 0 0 0
2001 2125 12116 12850 2931 16595 2046 2045 2299 14783 3187 2277 2300
62536 64132 100008 100008 100004 100001 62962 100005 84735 100000 100004 86119 100000
44488 66752 39747 41340 14094 11059 10094 9881 80886 70852 23331 16273 16077
4 5 146 143 7 168 4 4 3 220 5 3 3
834 1193 801 801 115 99 88 87 1308 1240 93 72 75
0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 3 7 0 3 0 0 1 4 1 1 1
18 21 894 1062 20 947 18 18 24 1382 28 25 25
15079 16021 48740 52160 42818 62457 14975 14855 19529 63171 59960 19708 19571
5739 5780 17724 17797 5062 11423 11330 5705 5892 13183 5561 10930 5834
2401 2476 2193 2251 85 31 28 28 3294 3028 112 34 34
87 88 407 560 170 506 88 86 54 592 187 54 54
100002 100000 100001 100009 48890 50623 100003 46428 100004 100002 55041 100003 51939
77 87 102 109 141 146 74 142 116 157 223 115 237
444 743 447 525 78 77 449 80 517 525 70 516 70
707 1041 664 741 404 401 383 392 1381 1333 700 696 669
100001 100004 100007 100001 60545 55344 48234 48330 100007 100005 80298 61763 62362
100000 100008 100001 100008 100001 100000 100001 100008 100006 100002 100002 100005 100006
35 35 521 582 48 626 658 34 35 619 49 798 36
2023 2534 2115 2268 1540 1654 1953 2010 3633 3970 2734 3699 3626
87436 97865 33268 33650 35377 8111 7348 88522 100010 49617 63424 11895 100006
72 79 8907 8882 133 11780 72 72 67 10164 138 68 67
1938 1956 8434 8841 1935 7937 8281 1941 2227 10157 2252 9706 2251
100001 100002 100009 100000 83192 77053 61513 62243 100002 100006 92241 67094 66179
414 442 1950 5341 504 2125 419 415 684 3288 844 671 690
2 3 2 3 1 1 2 1 2 3 1 2 1
100005 100001 100003 100008 36200 21947 19759 19584 100008 100003 51784 27156 27330
100005 100000 100006 100001 100008 100002 100005 100008 100004 100006 100009 100005 100005
100006 100008 100002 100009 100007 100005 100008 100008 100004 100005 100008 100001 100008
496 514 1826 1914 560 2338 497 505 598 2361 657 612 595
62816 67863 59068 56730 54243 28640 25785 62628 98643 89764 86806 41162 97997
10937 73621 11183 11360 62 57 41 41 11167 11162 52 32 33
0 0 0 0 0 0 0 0 0 0 0 0 0
20 22 318 323 26 435 20 20 25 386 33 25 24
34149 36668 32431 32527 464 410 373 380 46887 44301 696 568 556
90157 100004 92408 94751 7945 4130 3431 3510 100004 100008 12045 4875 4935
2612 2707 92377 96493 3828 100005 2577 2579 3165 100005 4700 3136 3073
72234 91347 68302 73198 5127 3993 3401 3363 100000 94983 6537 4315 4341
1 1 13 16 1 15 1 1 1 12 1 1 1
100003 100009 100003 100006 100004 100000 100000 100004 100004 100001 100005 100000 100006
33 34 569 622 60 689 35 34 37 700 65 36 38
100004 100008 100005 100004 37652 24777 22397 21997 100001 100009 59682 35326 35177
9580 10350 14306 15080 29338 32562 9445 35545 12732 18895 38511 12859 45663
0 0 0 0 0 0 0 0 0 0 0 0 0
100003 100002 100009 100001 1461 1447 1370 1375 100000 100001 1648 1552 1538
4 4 4 4 0 1 1 1 5 5 1 1 1
28765 29097 28859 29062 94 86 85 81 31820 31853 103 88 84
43 45 133 133 49 137 143 44 53 194 57 206 53
540 569 23992 24402 942 48149 538 540 523 30906 976 524 518
146 152 480 2594 129 425 145 146 198 711 179 202 202
40672 47342 40925 42272 3510 2941 2514 2448 51005 51193 4246 3068 2946
192 202 100001 100009 326 100004 193 193 226 100001 384 224 222
129 317 115 135 22 13 12 13 209 187 28 18 18
233 256 62637 67543 261 63808 234 231 316 81390 366 315 318
0 0 1 1 0 1 0 0 0 1 0 0 0
100005 100010 100008 100009 100007 100006 100002 100002 100006 100007 100005 100004 100010
2 7 2 5 2 2 2 2 2 2 3 3 3
100009 100005 100008 100002 100008 100000 100001 100008 100008 100008 100006 100000 100003
45 57 43 45 4 2 2 2 50 52 5 3 3
135 158 134 142 40 40 131 39 143 146 42 146 42
0 0 0 0 0 0 0 0 0 0 0 0 0
7433 8405 100006 100003 10554 100004 7478 7457 12323 100009 16813 12347 12314
1372 1471 3610 4040 1377 3885 1391 1391 1832 5326 1848 1849 1853
8624 9835 8099 8386 4072 3823 3565 8655 12318 11123 5515 4711 12358
6435 7126 5890 6101 765 700 601 595 8025 7443 768 636 626
4 5 84 103 6 88 4 4 5 104 7 5 5
100003 100005 100008 100006 100001 100001 100003 100005 100005 100003 100007 100006 100002
100001 100003 100007 100004 93096 52060 39846 40029 100000 100000 100002 41193 40526
100007 100005 100003 100003 100003 100001 100005 100003 100002 100005 100004 100006 100003
65 69 402 431 85 462 66 66 71 475 98 74 72
55 67 170 203 76 209 55 56 82 290 117 83 85
27 27 83 88 33 97 26 26 31 115 42 31 32
37 91 38 38 3 3 3 3 42 43 4 3 3
2 2 13 14 2 13 2 2 2 16 3 2 2
35543 36515 15983 16171 21144 2661 2405 35788 48200 20213 29548 3137 47287
19 19 787 799 22 896 18 18 18 790 21 17 17
100004 100006 100002 100004 60383 47468 41231 41205 100009 100002 90890 60363 59648
5 6 19 29 5 19 5 5 7 31 6 7 7
100007 100008 100002 100001 735 594 528 528 100005 100008 916 657 678
3046 3222 3107 3231 44 44 31 31 3077 3015 42 30 29
571 655 995 1204 603 1074 573 581 1016 1976 1031 1038 1028
100002 100004 100005 100007 100009 100002 100007 100001 100009 100008 100001 100004 100007
99122 100005 100002 100004 39586 39916 36301 36346 100002 100001 57927 49913 50571
1 1 5 5 1 4 1 1 1 8 1 1 1
88 161 93 103 11 11 91 10 104 107 12 107 11
49313 50367 100005 100004 100007 100003 48737 49028 61173 100010 100000 60865 61210
2 4 2 2 0 0 0 0 2 2 0 0 0
6521 11158 6392 6678 656 250 191 186 9744 9470 900 263 263
100001 100004 100003 100000 100000 100002 100007 100008 100005 100008 100009 100005 100007
100001 100004 100009 100009 100007 100000 100007 100005 100000 100005 100003 100000 100006
100008 100003 100004 100006 12321 6797 5443 5333 100009 100001 18637 7408 7382
10210 10435 100003 100000 14472 100008 10330 10195 11497 100003 17019 11427 11544
100009 100005 100001 100004 780 701 588 607 100002 100006 882 657 676
103 105 763 1138 191 955 108 106 143 1189 281 144 146
129 688 151 407 81 89 88 89 181 202 113 125 126
21712 23365 100007 100001 100004 100001 21791 21793 28111 100003 100005 27667 27680
32 35 28 29 20 17 16 32 43 37 24 19 42
100007 100008 100004 100006 37559 37338 100006 36013 100006 100004 41989 100000 39788
85 102 575 2305 111 648 82 85 127 818 175 126 125
4 9 4 5 0 0 0 0 4 4 0 0 0
2523 2711 15774 15886 8739 27930 2509 2512 3987 24033 15506 4021 3985
29446 30596 100004 100002 44098 100008 29230 29106 34355 100006 52047 34107 33975
170 995 151 160 13 7 7 7 257 257 17 9 9
233 238 283 290 219 242 235 226 393 483 362 418 393
3 4 3 4 1 1 3 1 5 5 1 5 1
100008 100005 100001 100006 100001 100003 100001 100006 100002 100004 100000 100005 100003
4 5 53 69 5 57 4 4 5 71 6 6 5
2379 4878 2366 2252 320 322 2379 277 2643 2703 331 2610 301
304 321 3745 3912 369 5479 304 304 387 4814 465 381 385
15546 16237 29042 30284 12582 14851 13974 15633 19110 36679 15703 17274 18823
14 39 15 12 1 1 1 1 16 14 2 1 1
16 31 17 22 11 11 10 10 24 25 14 12 12
100005 100001 100000 100006 100006 100003 89038 89267 100000 100008 100000 92073 91955
64 79 364 799 84 425 61 66 97 580 144 97 100
942 991 10581 11504 1135 12283 945 967 1070 11936 1273 1066 1057
1 1 13 15 1 15 1 1 1 16 1 1 1
164 238 151 157 50 35 30 31 265 250 73 45 45
1252 1400 17673 19344 2323 20491 1304 1300 1997 29431 3642 2019 2005
1 1 4 4 1 5 1 1 1 5 1 1 1
1 1 7 21 2 6 1 1 2 8 2 2 2
0 0 0 0 0 0 0 0 0 0 0 0 0
764 1051 765 831 18 20 17 17 835 825 23 20 20
2 6 3 5 0 0 0 0 3 4 1 1 1
12 13 271 269 23 311 12 13 15 312 29 16 15
539 594 10210 12379 988 11862 555 537 800 14309 1541 806 826
1 1 6 6 1 7 1 1 0 7 1 0 0
100002 100006 100005 100000 100002 100001 100008 100000 100004 100005 100004 100004 100003
30912 32713 100005 100001 100009 100008 30451 30323 36549 100006 100001 36793 36844
20212 21513 100008 100005 100003 100009 20073 20229 23628 100005 100007 23815 23550
131 134 1373 1727 293 1677 126 127 188 2126 429 187 183
4 4 4 3 2 2 2 2 4 4 2 2 2
24 25 25 24 1 1 1 1 27 27 1 1 1
100006 100008 100006 100006 12126 9925 8713 8815 100003 100005 16370 11102 11317
100013 100006 100001 100005 100005 100005 100009 100006 100004 100005 100001 100007 100001
1 1 22 35 1 24 1 1 0 20 0 0 0
7 7 35 35 7 37 40 7 7 38 7 43 7
14029 15113 23073 24029 33837 44146 14057 14231 16970 26701 40050 16889 17023
904 975 925 903 16 16 16 15 965 978 16 15 15
47010 50708 100005 100008 100006 100000 46612 100001 45839 100009 100000 46399 100008
36 118 40 68 15 16 15 15 55 61 20 21 21
3617 4042 4420 4645 1946 2049 3577 2168 5213 6356 2658 5260 2958
100002 100009 100007 100005 83405 86409 100006 81128 100001 100000 100005 100001 100009
100002 100000 100003 100004 100006 100001 100009 100008 100007 100000 100001 100000 100003
100002 100002 100001 100000 100005 100003 100000 100006 100002 100007 100008 100009 100007
100002 100004 100002 100005 100003 100006 100009 100004 100009 100008 100003 100008 100008
61 61 1053 1376 62 1144 1359 62 65 1154 66 1437 65
0 0 0 0 0 0 0 0 0 0 0 0 0
9 16 14 15 4 4 13 4 18 19 6 17 7
0 0 5 6 1 6 0 0 0 5 0 0 0
26 49 28 30 2 2 27 2 27 27 2 27 2
25 27 26 28 20 22 23 25 35 36 27 31 35
0 0 1 1 0 1 0 0 0 1 0 0 0
69748 100005 70451 85664 765 357 317 315 100008 100004 1016 429 417
9 10 38 50 10 41 9 9 12 59 14 12 12
11615 12128 68470 73632 13026 75591 11672 11624 17295 99539 20239 17416 17470
356 478 358 391 148 156 358 162 630 636 222 631 250
312 360 295 297 47 29 22 22 370 363 53 25 24
203 219 911 1046 316 1251 194 197 298 1540 501 303 298
578 575 100000 100005 681 100009 576 574 609 100002 692 597 616
14 14 44 46 42 74 14 14 17 53 60 17 17
65 73 173 224 72 174 74 71 97 251 97 101 97
68 70 513 554 80 606 68 67 87 665 101 84 86
100001 100002 100001 100002 79877 79450 73702 100001 100009 100005 94242 86186 100001
286 410 250 261 44 42 37 294 490 423 63 53 492
100007 100007 100002 100001 100004 100004 100000 100008 100008 100006 100000 100002 100006
203 206 288 299 195 218 209 204 257 362 236 267 261
1 3 1 2 0 0 0 0 1 1 0 0 0
1 1 3 5 1 4 1 1 1 5 1 1 1
9 29 9 17 5 6 5 5 7 7 2 1 1
100002 100006 100008 100004 100002 100006 100010 100003 100001 100008 100006 100008 100005
100004 100003 100003 100003 100001 100008 100003 100003 100002 100003 100000 100007 100009
100008 100009 100007 100004 100000 100009 100001 100008 100008 100008 100007 100003 100004
20 20 30270 31570 22 31720 20 20 23 30870 24 23 22
20897 24986 21461 22374 5089 5192 4768 4706 31941 31765 8105 7185 7154
16 17 375 528 24 414 16 17 12 412 20 12 12
100004 100006 100003 100008 100009 100006 100008 100004 100004 100006 100009 100001 100002
2 2 151 258 5 145 2 2 4 214 6 4 4
100003 100007 100005 100008 100010 100002 100007 100003 100002 100004 100002 100007 100009
564 645 381 376 76 67 61 558 883 553 108 84 869
7 8 354 352 12 392 7 7 8 395 13 8 8
5 5 13 13 5 15 5 5 6 19 6 6 6
113 137 65 67 92 47 45 112 171 98 141 70 176
46427 48376 100002 100008 63398 100005 46274 46156 60132 100003 84397 59874 59749
59 60 119 131 73 134 59 59 73 159 88 75 73
1 1 1 1 0 0 0 0 1 1 0 0 0
5375 5906 4962 5079 761 592 470 470 7347 6921 1070 644 642
100009 100004 99335 100002 503 258 205 206 100008 100004 448 187 187
929 985 7316 8095 1055 8245 928 902 1197 10239 1429 1164 1175
81 399 91 213 2 2 2 2 113 122 3 4 4
100009 100005 100003 100001 100005 100002 100009 100005 100007 100004 100002 100004 100010
0 0 0 0 0 0 0 0 0 0 0 0 0
5 5 54 68 6 59 5 5 1 44 1 1 1
3409 3492 32219 36101 3920 35932 3445 3468 4448 45328 5250 4474 4445
6041 7551 5739 6086 1583 1597 1495 1483 9029 8619 2185 2125 2079
