instance n1 density1 n2 density2 mcsplit mcsplit+f mcsplit+bigf
r-174 32 0.120968 32 0.120968 532 532 532
r-136 44 0.0454545 44 0.0454545 1035 1035 1035
r-137 35 0.443697 35 0.443697 -1 -1 -1
r-199 20 0.478947 20 0.478947 93605 78619 68528
r-935 43 0.389812 43 0.389812 107593 99127 115661
r-874 35 0.329412 35 0.329412 -1 -1 95221402
r-268 37 0.348348 37 0.348348 -1 -1 109387273
r-84 22 0.454545 22 0.454545 381298 353023 290830
r-408 42 0.507549 42 0.507549 -1 -1 -1
r-705 32 0.225806 32 0.225806 10431742 13431977 7041579
r-80 35 0.208403 35 0.208403 68607173 42485938 21600827
r-973 33 0.492424 33 0.492424 24427810 22137215 17264391
r-647 26 0.443077 26 0.443077 4497 4340 4497
r-840 34 0.258467 34 0.258467 30662292 44649311 34176358
r-602 20 0.268421 20 0.268421 170 170 170
r-192 36 0.512698 36 0.512698 24046124 29279021 17012119
r-817 43 0.504983 43 0.504983 -1 -1 -1
r-413 27 0.358974 27 0.358974 1520426 1447693 1084778
r-721 38 0.422475 38 0.422475 357204 465684 329139
r-775 33 0.477273 33 0.477273 31318017 28426724 18079079
r-442 44 0.273784 44 0.273784 2805 2935 2399
r-564 25 0.5 25 0.5 386277 326070 291975
r-667 45 0.509091 45 0.509091 85304923 -1 63010248
r-439 34 0.470588 34 0.470588 768060 620033 553733
r-402 45 0.0868687 45 0.0868687 -1 -1 -1
r-87 28 0.349206 28 0.349206 507 545 477
r-280 39 0.364372 39 0.364372 7941 8245 6614
r-432 41 0.497561 41 0.497561 20348619 19729979 14952007
r-588 33 0.503788 33 0.503788 8034693 8212878 6836626
r-565 39 0.145749 39 0.145749 112979271 139496915 65317041
r-970 43 0.504983 43 0.504983 33455498 38909122 20073828
r-703 34 0.258467 34 0.258467 27835521 31838669 17536378
r-648 21 0.257143 21 0.257143 122869 117372 69202
r-552 34 0.427807 34 0.427807 63212751 62212499 49031127
r-938 25 0.38 25 0.38 494 535 465
r-129 32 0.314516 32 0.314516 1723 1668 1328
r-194 38 0.422475 38 0.422475 -1 -1 -1
r-902 45 0.511111 45 0.511111 -1 -1 -1
r-296 23 0.355731 23 0.355731 255 244 258
r-108 28 0.388889 28 0.388889 6547 6873 4547
r-690 45 0.4 45 0.4 454388 411896 383831
r-107 32 0.387097 32 0.387097 7461 7094 4973
r-468 30 0.514943 30 0.514943 1323636 2126747 1634423
r-809 30 0.23908 30 0.23908 6153527 6500913 3899986
r-17 31 0.451613 31 0.451613 10848663 10678071 8305461
r-213 23 0.300395 23 0.300395 163030 182291 153606
r-419 33 0.117424 33 0.117424 565 565 565
r-95 44 0.443975 44 0.443975 3094837 2683532 2531816
r-221 26 0.470769 26 0.470769 1250049 1099302 951993
r-758 30 0.370115 30 0.370115 12238390 14480428 10993067
r-621 25 0.52 25 0.52 118425 129590 116878
r-171 21 0.0952381 21 0.0952381 253 253 253
r-593 22 0.311688 22 0.311688 176 176 177
r-315 45 0.511111 45 0.511111 -1 -1 -1
r-833 42 0.344948 42 0.344948 38823 30138 40376
r-824 34 0.508021 34 0.508021 6916642 7585088 3819317
r-114 35 0.420168 35 0.420168 -1 -1 -1
r-538 30 0.404598 30 0.404598 5041040 4798972 3845354
r-267 39 0.472335 39 0.472335 -1 -1 -1
r-615 36 0.107937 36 0.107937 670 670 670
r-447 30 0.331034 30 0.331034 7640688 8042123 5907298
r-498 32 0.497984 32 0.497984 17285940 16034567 11866183
r-205 28 0.494709 28 0.494709 89743 79695 68845
r-150 22 0.311688 22 0.311688 453 445 413
r-771 39 0.0512821 39 0.0512821 820 820 820
r-76 43 0.48948 43 0.48948 12469836 10249014 6329132
r-893 44 0.383721 44 0.383721 103737 97884 86650
r-936 42 0.214866 42 0.214866 921 980 877
r-445 42 0.501742 42 0.501742 -1 -1 -1
r-596 33 0.378788 33 0.378788 6430 6018 4342
r-351 20 0.505263 20 0.505263 12034 11940 9892
r-616 43 0.0908084 43 0.0908084 -1 -1 86098105
r-466 25 0.22 25 0.22 90720 119512 141746
r-44 31 0.451613 31 0.451613 22944978 20330055 16627779
r-989 30 0.404598 30 0.404598 6541601 7443977 5519927
r-806 22 0.519481 22 0.519481 30056 29282 24096
r-224 39 0.267206 39 0.267206 811 870 714
r-357 27 0.262108 27 0.262108 2106307 2725885 2150528
r-429 34 0.258467 34 0.258467 715 769 672
r-714 26 0.492308 26 0.492308 52185 49844 39276
r-198 35 0.463866 35 0.463866 1144287 939361 907858
r-154 28 0.349206 28 0.349206 5709693 6036136 3573003
r-85 42 0.511034 42 0.511034 75824153 87825118 47433628
r-811 28 0.388889 28 0.388889 7564945 8304705 6280037
r-352 29 0.133005 29 0.133005 439 439 439
r-832 28 0.518519 28 0.518519 434646 455426 373115
r-123 37 0.198198 37 0.198198 106949838 140411990 102012166
r-988 30 0.514943 30 0.514943 1421735 1625910 1055492
r-147 27 0.48433 27 0.48433 47839 43101 41138
r-118 24 0.431159 24 0.431159 184347 185820 146380
r-415 24 0.15942 24 0.15942 304 304 304
r-746 35 0.329412 35 0.329412 -1 -1 -1
r-666 39 0.415655 39 0.415655 -1 -1 -1
r-881 33 0.458333 33 0.458333 193030 186741 215554
r-265 25 0.453333 25 0.453333 850754 773211 656838
r-790 27 0.433048 27 0.433048 1508059 1355251 1148619
r-752 41 0.139024 41 0.139024 901 866 864
r-531 20 0.268421 20 0.268421 44654 47493 38616
r-679 45 0.4 45 0.4 603799 515297 430854
r-207 28 0.42328 28 0.42328 7484101 7501385 5718096
r-158 30 0.496552 30 0.496552 241302 199057 218847
r-597 43 0.504983 43 0.504983 -1 -1 -1
r-204 33 0.378788 33 0.378788 10387 9164 10453
r-719 33 0.219697 33 0.219697 388 388 388
r-83 30 0.370115 30 0.370115 15504447 15152725 11040500
r-451 44 0.485201 44 0.485201 45641273 39631629 29163527
r-452 26 0.492308 26 0.492308 591434 635429 466727
r-685 40 0.466667 40 0.466667 1943689 1732222 1892199
r-200 37 0.429429 37 0.429429 -1 -1 -1
r-126 45 0.490909 45 0.490909 97786966 82779684 63028617
r-657 25 0.22 25 0.22 242764 300848 282515
r-953 23 0.355731 23 0.355731 513173 547300 464569
r-607 41 0.497561 41 0.497561 28360639 32120122 22905283
r-191 23 0.513834 23 0.513834 300454 266635 208727
r-293 35 0.463866 35 0.463866 34201573 31834415 27342607
r-915 27 0.205128 27 0.205128 1576692 950556 258749
r-179 42 0.214866 42 0.214866 -1 -1 -1
