instance n1 density1 n2 density2 mcsplit mcsplit+f mcsplit+bigf
r-374 44 0.130021 44 0.130021 444285663 814564164 412076612
r-410 17 0.529412 17 0.529412 2452 1479 2193
r-318 38 0.513514 38 0.513514 9670985 13723374 7504628
r-64 28 0.518519 28 0.518519 159400 111488 131267
r-856 36 0.412698 36 0.412698 37593 20336 29338
r-973 28 0.388889 28 0.388889 323 268 312
r-208 13 0.384615 13 0.384615 2162 2402 1775
r-710 11 0.509091 11 0.509091 47 27 47
r-878 23 0.498024 23 0.498024 79283 79510 63949
r-177 27 0.0740741 27 0.0740741 1 1 1
r-942 12 0.30303 12 0.30303 1 1 1
r-674 47 0.510638 47 0.510638 187892116 299483816 154892414
r-685 46 0.198068 46 0.198068 -1 -1 -1
r-19 24 0.463768 24 0.463768 557507 341689 439615
r-24 46 0.511111 46 0.511111 160982937 126806189 109248694
r-771 21 0.428571 21 0.428571 121430 81605 92603
r-846 47 0.408881 47 0.408881 2939988 1305593 2239704
r-285 20 0.268421 20 0.268421 1 1 1
r-631 11 0.181818 11 0.181818 1 1 1
r-824 50 0.470204 50 0.470204 -1 -1 -1
r-295 14 0.362637 14 0.362637 338 325 322
r-514 28 0.349206 28 0.349206 3152770 2787215 2439768
r-587 13 0.153846 13 0.153846 1 1 1
r-954 43 0.431894 43 0.431894 934826405 814331114 740841017
r-852 39 0.0512821 39 0.0512821 1 1 1
r-910 33 0.503788 33 0.503788 5600769 6483513 4772398
r-342 32 0.120968 32 0.120968 497960 1580079 513844
r-433 47 0.227567 47 0.227567 1 1 1
r-80 28 0.198413 28 0.198413 2220718 753912 1589619
r-365 24 0.289855 24 0.289855 562962 603416 476098
r-97 29 0.517241 29 0.517241 290494 311848 251351
r-772 31 0.503226 31 0.503226 143868 192254 122671
r-252 20 0.268421 20 0.268421 1 1 1
r-422 28 0.349206 28 0.349206 3938491 4996507 3513681
r-606 14 0.527473 14 0.527473 316 315 294
r-162 35 0.161345 35 0.161345 10551023 14724209 7136157
r-919 49 0.462585 49 0.462585 18834375 16528587 15620876
r-554 47 0.444033 47 0.444033 3561079 2935304 2425147
r-408 18 0.522876 18 0.522876 7307 1765 5610
r-512 35 0.393277 35 0.393277 4844 4006 4415
r-585 20 0.1 20 0.1 1 1 1
r-656 16 0.525 16 0.525 5212 3059 3359
r-848 48 0.478723 48 0.478723 -1 1459073204 1142695648
r-265 20 0.442105 20 0.442105 41693 37550 30379
r-386 18 0.111111 18 0.111111 1 1 1
r-282 21 0.380952 21 0.380952 140 174 140
r-236 49 0.079932 49 0.079932 -1 -1 648350528
r-165 23 0.498024 23 0.498024 62041 67176 50597
r-972 33 0.344697 33 0.344697 913 861 878
r-159 14 0.494505 14 0.494505 21 31 21
r-213 12 0.530303 12 0.530303 1 1 1
r-949 14 0.263736 14 0.263736 84 113 68
r-906 48 0.509752 48 0.509752 300712594 355015957 233513009
r-614 19 0.491228 19 0.491228 164 200 164
r-468 21 0.428571 21 0.428571 204 203 204
r-411 20 0.268421 20 0.268421 36349 25205 30807
r-610 45 0.511111 45 0.511111 98184301 131136406 73151697
r-746 47 0.227567 47 0.227567 320 433 318
r-524 40 0.507692 40 0.507692 27653556 41019619 22078528
r-632 29 0.133005 29 0.133005 1 1 1
r-367 25 0.5 25 0.5 17288 9022 14315
r-801 20 0.394737 20 0.394737 29103 25512 22703
r-290 15 0.419048 15 0.419048 1566 1424 1386
r-37 31 0.490323 31 0.490323 3667178 2951619 2553964
r-494 20 0.336842 20 0.336842 1 1 1
r-840 30 0.45977 30 0.45977 15932 10037 14318
r-458 24 0.344203 24 0.344203 1 1 1
r-68 26 0.507692 26 0.507692 73523 34374 61375
r-90 46 0.495652 46 0.495652 283966991 262960431 188238188
r-478 15 0.419048 15 0.419048 1 1 1
r-190 45 0.327273 45 0.327273 1668 1422 1519
r-709 24 0.507246 24 0.507246 92010 75162 76787
r-845 22 0.0909091 22 0.0909091 1 1 1
r-307 44 0.30444 44 0.30444 2227504435 -1 1886111632
r-402 15 0.533333 15 0.533333 972 717 921
r-666 25 0.52 25 0.52 149810 132040 124068
r-220 40 0.296154 40 0.296154 965255000 1171147186 743629489
r-498 30 0.496552 30 0.496552 5125539 3646044 3751018
r-457 49 0.416667 49 0.416667 749922 911802 615810
r-42 14 0.494505 14 0.494505 2086 1381 1995
r-648 13 0.512821 13 0.512821 847 486 779
r-17 22 0.52381 22 0.52381 27954 27462 25910
r-193 10 0.355556 10 0.355556 1 1 1
r-328 29 0.512315 29 0.512315 107794 122559 92673
r-855 44 0.359408 44 0.359408 51939 23199 41951
r-425 50 0.0783673 50 0.0783673 1 1 1
r-651 15 0.342857 15 0.342857 3352 1696 2546
r-125 31 0.0645161 31 0.0645161 1 1 1
r-907 25 0.22 25 0.22 300168 133011 196369
r-788 27 0.48433 27 0.48433 1979 2232 1897
r-792 33 0.265152 33 0.265152 8089204 12738317 6433316
r-997 21 0.32381 21 0.32381 1 1 1
r-104 46 0.321739 46 0.321739 -1 -1 -1
r-523 32 0.514113 32 0.514113 513662 714531 453410
r-181 49 0.484694 49 0.484694 30802038 42243579 23216005
r-881 31 0.473118 31 0.473118 7231377 7254823 5636762
r-646 46 0.263768 46 0.263768 -1 -1 -1
r-625 13 0.512821 13 0.512821 159 82 158
r-226 43 0.365449 43 0.365449 7254 4217 6549
r-438 32 0.497984 32 0.497984 334531 427563 275924
r-823 34 0.499109 34 0.499109 1305697 937166 854263
r-733 50 0.372245 50 0.372245 -1 -1 -1
r-9 13 0.384615 13 0.384615 101 99 97
r-569 17 0.117647 17 0.117647 1 1 1
r-818 35 0.393277 35 0.393277 5014 4146 4620
r-745 36 0.157143 36 0.157143 1 1 1
r-711 22 0.519481 22 0.519481 15013 25286 13155
r-338 19 0.51462 19 0.51462 20348 22019 17616
r-522 34 0.165775 34 0.165775 7173155 9243959 5490483
r-187 38 0.234708 38 0.234708 252295099 229746323 217629946
r-672 27 0.14245 27 0.14245 1 1 1
r-444 32 0.352823 32 0.352823 19540807 22821465 16060924
r-778 49 0.433673 49 0.433673 1894365 1226769 1379550
r-33 12 0.166667 12 0.166667 1 1 1
r-496 44 0.502114 44 0.502114 349467358 249100769 283966334
r-900 49 0.416667 49 0.416667 1301467 845799 1079044
r-502 39 0.099865 39 0.099865 124696914 42166445 95808024
r-240 43 0.41196 43 0.41196 99083 67746 80607
r-808 49 0.510204 49 0.510204 460997278 561488323 353401382
r-773 30 0.508046 30 0.508046 1468146 1673643 1244652
r-118 19 0.51462 19 0.51462 1201 1471 1179
r-769 22 0.484848 22 0.484848 2657 1947 2485
r-816 33 0.492424 33 0.492424 687564 487610 530742
r-841 48 0.254433 48 0.254433 75 110 75
r-586 36 0.512698 36 0.512698 6623874 10203496 5535500
r-34 19 0.51462 19 0.51462 5385 2217 4704
r-880 21 0.514286 21 0.514286 13157 15107 12386
r-214 29 0.44335 29 0.44335 3454406 3044387 2610194
r-654 13 0.512821 13 0.512821 870 622 827
r-661 33 0.170455 33 0.170455 8805425 10378468 7310849
r-680 36 0.322222 36 0.322222 164666114 162878718 129292411
r-443 34 0.0588235 34 0.0588235 1 1 1
r-623 43 0.27907 43 0.27907 371 394 370
r-334 40 0.328205 40 0.328205 682560997 915801431 561170972
r-990 47 0.194265 47 0.194265 -1 -1 -1
r-221 19 0.19883 19 0.19883 1 1 1
r-752 18 0.20915 18 0.20915 1 1 1
r-421 43 0.431894 43 0.431894 1085135761 1018917270 878497177
r-791 50 0.392653 50 0.392653 460481 350025 327392
r-371 44 0.473573 44 0.473573 296188253 309616272 221163267
r-459 37 0.348348 37 0.348348 1350 1225 1265
r-883 32 0.225806 32 0.225806 10757680 13807652 9059189
r-591 37 0.24024 37 0.24024 95742932 139029250 80002861
r-108 37 0.495495 37 0.495495 16042961 12456624 11603716
r-638 25 0.453333 25 0.453333 1059448 736611 807354
r-95 19 0.409357 19 0.409357 1 1 1
r-804 49 0.079932 49 0.079932 1 1 1
r-326 35 0.292437 35 0.292437 1 1 1
r-861 34 0.427807 34 0.427807 21643 20576 18555
r-428 36 0.512698 36 0.512698 9421435 16866397 7912156
r-499 26 0.270769 26 0.270769 367234 536843 295305
r-748 37 0.153153 37 0.153153 24999920 21482871 22501685
r-943 10 0.355556 10 0.355556 1 1 1
r-561 46 0.476329 46 0.476329 1180478450 1124804274 868962727
r-858 38 0.14936 38 0.14936 1 1 1
r-715 16 0.458333 16 0.458333 9234 4669 7957
r-474 21 0.380952 21 0.380952 28 45 28
r-172 50 0.470204 50 0.470204 48508067 30760891 28986943
r-269 14 0.43956 14 0.43956 2019 1657 1737
r-79 17 0.514706 17 0.514706 1873 1030 1783
r-820 14 0.263736 14 0.263736 667 662 584
r-813 16 0.325 16 0.325 1 1 1
r-100 39 0.504723 39 0.504723 18560862 17476460 13643471
r-580 31 0.425806 31 0.425806 4123 3106 3765
r-619 39 0.437247 39 0.437247 412001333 441874783 340458518
r-652 45 0.454545 45 0.454545 -1 1500061927 1499859656
r-626 26 0.516923 26 0.516923 113977 99068 94898
r-557 11 0.436364 11 0.436364 1 1 1
r-234 14 0.362637 14 0.362637 794 651 487
r-163 23 0.498024 23 0.498024 375 770 365
r-183 24 0.228261 24 0.228261 1 1 1
r-171 49 0.462585 49 0.462585 12796403 14923698 9475414
r-360 10 0.2 10 0.2 1 1 1
r-525 44 0.241015 44 0.241015 -1 -1 -1
r-665 39 0.510121 39 0.510121 6447255 7806762 5269018
r-224 23 0.474308 23 0.474308 850 964 793
r-795 37 0.513514 37 0.513514 7782750 7995567 6431760
r-362 28 0.253968 28 0.253968 332194 283232 297649
r-272 39 0.48583 39 0.48583 32543631 30613597 24452064
r-541 31 0.425806 31 0.425806 1305 1268 1211
r-904 17 0.529412 17 0.529412 993 1611 903
r-481 16 0.458333 16 0.458333 9283 11487 7708
r-364 32 0.175403 32 0.175403 1 1 1
r-28 17 0.485294 17 0.485294 155 163 154
r-789 29 0.295567 29 0.295567 4924275 4679789 3889374
r-164 18 0.522876 18 0.522876 5349 6560 4689
r-462 27 0.501425 27 0.501425 1112376 796493 867893
r-549 28 0.42328 28 0.42328 4875820 4469118 4036545
r-394 50 0.489796 50 0.489796 -1 -1 -1
r-566 22 0.519481 22 0.519481 12774 12423 10702
r-263 15 0.533333 15 0.533333 620 627 584
r-955 14 0.263736 14 0.263736 1 1 1
r-639 14 0.263736 14 0.263736 1 1 1
r-27 17 0.382353 17 0.382353 1 1 1
r-78 30 0.45977 30 0.45977 26967 10021 22565
r-121 16 0.4 16 0.4 4763 3735 4039
r-73 41 0.290244 41 0.290244 347 345 302
r-10 13 0.538462 13 0.538462 193 168 188
r-58 39 0.391363 39 0.391363 6889 5019 6161
r-74 10 0.355556 10 0.355556 34 62 34
r-741 22 0.519481 22 0.519481 53798 34297 45632
r-450 13 0.538462 13 0.538462 62 27 62
r-781 44 0.510571 44 0.510571 97052928 136528168 71526378
r-859 49 0.355442 49 0.355442 96204 61079 83527
r-730 23 0.237154 23 0.237154 1 1 1
r-344 27 0.461538 27 0.461538 5584 3682 4964
r-865 42 0.501742 42 0.501742 161334631 144289409 125678131
r-634 15 0.133333 15 0.133333 1 1 1
r-407 20 0.189474 20 0.189474 1 1 1
r-156 45 0.438384 45 0.438384 -1 2172865894 1461709214
r-649 23 0.474308 23 0.474308 1101 830 965
r-50 23 0.498024 23 0.498024 227446 177066 179183
r-838 30 0.45977 30 0.45977 8869265 6020182 6772368
r-628 19 0.409357 19 0.409357 17201 10856 13579
r-630 41 0.256098 41 0.256098 58 85 58
r-317 27 0.433048 27 0.433048 2202356 1978858 1859100
r-956 25 0.453333 25 0.453333 1009 1037 887
r-350 29 0.246305 29 0.246305 1827399 977633 1437196
r-694 24 0.463768 24 0.463768 533696 451091 391044
r-111 20 0.268421 20 0.268421 1 1 1
r-174 14 0.142857 14 0.142857 1 1 1
r-888 31 0.232258 31 0.232258 1 1 1
r-572 24 0.228261 24 0.228261 82561 59847 59075
r-555 44 0.332981 44 0.332981 859014211 1205708771 768978711
r-260 17 0.485294 17 0.485294 4175 3126 3812
r-768 25 0.28 25 0.28 172125 179223 128918
r-712 20 0.394737 20 0.394737 50216 47898 42083
r-29 15 0.47619 15 0.47619 1786 1271 1507
r-55 49 0.44898 49 0.44898 8709888 8284748 7475074
r-359 21 0.257143 21 0.257143 10998 8549 8516
r-863 24 0.15942 24 0.15942 49362 247654 46872
r-184 34 0.513369 34 0.513369 1424211 1246640 1158145
r-414 42 0.214866 42 0.214866 161873697 452293458 142675682
r-256 15 0.247619 15 0.247619 599 1315 549
r-406 38 0.273115 38 0.273115 251 326 251
r-537 27 0.14245 27 0.14245 122978 162810 107238
r-571 23 0.403162 23 0.403162 227 216 227
r-54 26 0.323077 26 0.323077 845600 839130 665329
r-200 34 0.513369 34 0.513369 11303025 11959172 9787449
r-612 37 0.315315 37 0.315315 304 337 304
r-987 32 0.508065 32 0.508065 442226 321755 356872
r-127 35 0.420168 35 0.420168 30678 19871 27391
r-573 25 0.28 25 0.28 1 1 1
r-952 48 0.467199 48 0.467199 -1 -1 -1
