instance n1 density1 n2 density2 mcsplit mcsplit+f mcsplit+bigf mcsplit+randombigf
r-430 34 0.513369 34 0.513369 79157965 91975866 75969523 77186975
r-958 16 0.458333 16 0.458333 3453 4194 2559 2565
r-698 17 0.308824 17 0.308824 6257805 2170471 1086494 817674
r-869 21 0.514286 21 0.514286 150972 105988 134625 131917
r-265 42 0.396051 42 0.396051 -1 -1 -1 -1
r-198 40 0.466667 40 0.466667 2128317033 1597897828 1831672273 1785547420
r-597 19 0.19883 19 0.19883 4829 5473 3517 3333
r-182 35 0.329412 35 0.329412 161060146 126510493 151804802 153778770
r-797 22 0.367965 22 0.367965 347982 530471 293680 292485
r-548 27 0.262108 27 0.262108 18501278 -1 18485511 18485511
r-399 36 0.246032 36 0.246032 907625453 679805809 731157007 708072106
r-94 22 0.506494 22 0.506494 489121 423407 419730 410185
r-605 23 0.237154 23 0.237154 166143 446950 151830 153028
r-914 26 0.212308 26 0.212308 227432 725248 203552 208190
r-733 37 0.405405 37 0.405405 931311767 1135769835 860908874 863951872
r-831 26 0.470769 26 0.470769 1849686 744163 1259331 1224225
r-402 20 0.336842 20 0.336842 86868 63907 67452 65202
r-5 27 0.358974 27 0.358974 4645989 1327770 911375 786975
r-805 18 0.294118 18 0.294118 23308565 7350982 1844654 1142824
r-901 23 0.521739 23 0.521739 417660 721910 411317 439464
r-295 37 0.483483 37 0.483483 694800108 860480756 615822395 617167129
r-434 36 0.474603 36 0.474603 554793579 434135875 467717457 455883126
r-746 39 0.510121 39 0.510121 408563816 680464719 422940160 433241723
r-285 28 0.47619 28 0.47619 4883026 3112843 3414449 3264526
r-78 38 0.14936 38 0.14936 -1 -1 -1 -1
r-949 20 0.521053 20 0.521053 61163 44112 53528 52169
r-279 37 0.198198 37 0.198198 -1 -1 -1 -1
r-855 24 0.391304 24 0.391304 1293786 1085256 1083871 1049178
r-688 26 0.270769 26 0.270769 387569 797667 343661 346832
r-269 27 0.501425 27 0.501425 3088861 3853322 2637753 2639414
r-17 42 0.511034 42 0.511034 2031705141 1418867542 1724955804 1687106078
r-35 44 0.494715 44 0.494715 -1 -1 -1 -1
r-948 16 0.233333 16 0.233333 2109 1629 2030 1989
r-741 25 0.153333 25 0.153333 74974 142551 72093 77064
