instance n1 density1 n2 density2 mcsplit mcsplit+f mcsplit+bigf mcsplit+randombigf
r-223 30 0.128736 30 0.128736 8182611 5094721 5835334 5155733
r-930 26 0.52 26 0.52 2342298 2572984 2033662 2087773
r-847 19 0.280702 19 0.280702 3124542631 2417527162 307878865 222654332
r-333 26 0.0769231 26 0.0769231 -1 -1 -1 -1
r-182 35 0.329412 35 0.329412 213213841 168722986 200403448 203135844
r-365 44 0.426004 44 0.426004 244356404 359871342 267397784 273693324
r-947 20 0.189474 20 0.189474 16624179116 16239847805 1119521178 768327503
r-720 32 0.465726 32 0.465726 8088860 8063137 5439845 5270025
r-267 45 0.4 45 0.4 3353972246 1068683097 550323561 497616515
r-989 34 0.40107 34 0.40107 12475984 2526118399 12443562 12992177
r-172 34 0.45098 34 0.45098 18275812 16048941 12751029 12424290
r-184 40 0.492308 40 0.492308 2238794350 2242674357 1891829845 1852186981
r-708 25 0.08 25 0.08 -1 -1 -1 -1
r-447 42 0.511034 42 0.511034 1829606267 1718925894 1725872260 1742030876
r-153 29 0.246305 29 0.246305 66315351 -1 65798846 65798836
r-7 16 0.5 16 0.5 12693 13106 10501 10629
r-317 31 0.511828 31 0.511828 31085063 32218042 27490324 27089999
r-528 35 0.443697 35 0.443697 339733630 379849382 302886003 303784356
r-331 43 0.511628 43 0.511628 2750945205 2835000683 2409103964 2354851301
r-237 31 0.27957 31 0.27957 51452753 71499342 46466601 47102528
r-437 27 0.461538 27 0.461538 6379754 6233570 5224414 5226360
r-140 25 0.153333 25 0.153333 -1 -1 -1 -1
r-491 36 0.488889 36 0.488889 77188249 79301372 55360081 54190860
r-676 26 0.409231 26 0.409231 3478555 1752362 1092532 1031015
r-733 37 0.405405 37 0.405405 1199538497 1347324108 1106879336 1110515274
r-468 39 0.145749 39 0.145749 5063322437 2389542155 3247343063 2837716168
r-991 21 0.32381 21 0.32381 265356 161962 200057 187150
r-296 20 0.478947 20 0.478947 123145 147965 90988 86801
r-370 37 0.405405 37 0.405405 37653789 106486485 35491699 36182206
r-644 42 0.214866 42 0.214866 -1 -1 -1 -1
r-826 33 0.503788 33 0.503788 97898190 94320434 86241446 84730819
r-211 34 0.508021 34 0.508021 86102610 102395878 82263798 83839102
r-47 26 0.492308 26 0.492308 3476930 4708201 2883133 2842320
r-110 42 0.214866 42 0.214866 2922777931 2292242535 1921513792 1820003431
r-782 25 0.333333 25 0.333333 107458 46833116 90079 90560
r-420 35 0.329412 35 0.329412 -1 -1 2880795890 2047908405
r-885 28 0.452381 28 0.452381 12763684 13378115 11036810 10792871
r-348 36 0.512698 36 0.512698 446030129 426388194 397368074 392247945
r-24 36 0.512698 36 0.512698 234444426 261153989 229483490 235637527
r-900 22 0.52381 22 0.52381 502804 478902 435801 447021
r-289 38 0.398293 38 0.398293 1099408587 1274016734 1038046365 1054034006
r-412 23 0.442688 23 0.442688 900364 827084 770753 768416
r-879 26 0.323077 26 0.323077 1586143 1920390 1259246 1226148
r-500 43 0.310078 43 0.310078 416853589 -1 409154448 410046532
r-540 35 0.504202 35 0.504202 248594416 241126382 219853650 218742505
r-979 21 0.495238 21 0.495238 255210 262231 181974 174791
r-254 27 0.501425 27 0.501425 3766812 5167506 3918859 4049649
r-20 26 0.470769 26 0.470769 1948557 2039766 1548532 1536819
r-1000 44 0.30444 44 0.30444 -1 -1 -1 -1
r-79 29 0.339901 29 0.339901 21273688 26087701 18336631 18013362
r-440 22 0.506494 22 0.506494 336794 283671 294112 295401
r-188 28 0.349206 28 0.349206 15202781 17863731 13209624 13299007
r-867 24 0.507246 24 0.507246 687983 604647 651047 660094
r-681 17 0.529412 17 0.529412 18202 19244 15317 14662
r-396 22 0.519481 22 0.519481 569698 580134 505096 503005
r-906 39 0.472335 39 0.472335 243801004 189590109 158644108 152878150
r-113 16 0.325 16 0.325 9779 308609 8920 8920
r-759 35 0.420168 35 0.420168 63927538 31817355 22530813 21312031
r-29 41 0.139024 41 0.139024 771682407 1863472903 731251260 752051964
r-773 44 0.426004 44 0.426004 518583886 817631598 553100318 566979779
