instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped
r-169 24 0.26087 24 0.786232 103329 48101 103329 143333 108824 164220 69731 164220 130315 137264 130315
r-565 24 0.358696 24 0.449275 4986741 2896738 2896738 4308579 4119573 9328869 5035436 5035436 4014569 3294472 3294472
r-332 24 0.268116 24 0.34058 1636930 912312 912312 1399120 1368688 2728126 1325841 1325841 1779975 2442814 2442814
r-2 24 0.782609 24 0.293478 210691 134612 134612 245716 227446 296953 203158 203158 180152 150506 150506
r-590 24 0.257246 24 0.728261 185460 115999 115999 334861 212864 287551 164881 164881 243453 171888 171888
r-92 24 0.00724638 24 0.318841 7040332253 472732 472732 5666366961 56096802 7752859624 546818 546818 7043580977 155905657 155905657
r-974 24 0.75 24 0.492754 366619 446091 446091 1382175 396449 532367 673658 673658 801901 598839 598839
r-603 24 0.594203 24 0.51087 4101109 3012859 3012859 3733386 3492264 7628852 5093177 5093177 3981979 3706941 3706941
r-170 24 0.315217 24 0.644928 277284 315653 315653 681353 301025 420211 476717 476717 556858 721166 721166
r-265 24 0.985507 24 0.677536 696544591 1583627 1583627 564085836 6485179 787753753 1741919 1741919 306699344 37592634 37592634
r-610 24 0.134058 24 0.15942 313986 177548 177548 282986 258057 381147 205225 205225 713430 544105 544105
r-997 24 0.257246 24 0.057971 126303 12473352 126303 8111702 130364 170703 15039917 170703 448278 16106735 448278
r-915 24 0.231884 24 0.688406 175943 226493 226493 448429 204104 258876 349080 349080 362089 340371 340371
r-736 24 0.942029 24 0.619565 4098879 34736 34736 2557090 357065 5026516 42535 42535 4109411 255905 255905
r-202 24 0.362319 24 0.0978261 63803 560261 63803 446675 69554 88173 822203 88173 160791 911630 160791
r-495 24 0.702899 24 0.807971 721875 1840991 721875 1658164 767838 979551 2742907 979551 1084126 1346539 1084126
r-243 24 0.0507246 24 0.235507 3234852 87398 87398 1314781 872986 3735266 81314 81314 11176053 272262 272262
r-291 24 0.15942 24 0.608696 206571 114708 114708 410854 230302 307080 167268 167268 290349 212466 212466
r-921 24 0.655797 24 0.525362 3407908 1696597 1696597 2638207 2706084 6353833 2787983 2787983 2730318 2199052 2199052
r-897 24 0.311594 24 0.25 736605 1486580 736605 1346396 696761 1055834 2280739 1055834 1302190 1719427 1302190
r-83 24 0.235507 24 0.177536 229301 706239 229301 676005 238704 302996 1024049 302996 672468 869935 672468
r-697 24 0.800725 24 0.974638 364054 3073634491 364054 1880292695 360586 235048 3133105666 235048 19368793 2832650850 19368793
r-716 24 0.525362 24 0.942029 19912 1522842 19912 1127953 18354 24382 1948585 24382 184543 1767944 184543
r-750 24 0.413043 24 0.710145 946616 839443 946616 1523211 1033618 1495548 1246339 1495548 887550 1342790 887550
r-299 24 0.257246 24 0.884058 10424 56621 10424 43177 12001 16795 90448 16795 25538 73084 25538
r-358 24 0.0471014 24 0.40942 2626913 30476 30476 1816565 254043 3601326 47239 47239 2919047 422444 422444
r-173 24 0.449275 24 0.286232 725557 2079634 725557 1814942 805723 1142002 3771731 1142002 1154608 1675017 1154608
r-597 24 0.0507246 24 0.514493 434985 9388 9388 465823 146971 616377 15042 15042 333690 22124 22124
r-440 24 0.15942 24 0.416667 788359 224297 224297 488515 690885 1380486 354378 354378 924156 409414 409414
r-599 24 0.528986 24 0.518116 4224900 3859927 3859927 4172825 3772728 7713655 6990575 6990575 4415573 4946806 4946806
r-388 24 0.358696 24 0.634058 759177 483907 483907 1215845 765962 1205598 726785 726785 1169782 944135 944135
r-546 24 0.655797 24 0.0471014 10842 166145 10842 98795 8621 17640 268288 17640 23446 129861 23446
r-80 24 0.449275 24 0.905797 44505 179618 44505 186004 51927 70340 265067 70340 73491 180642 73491
r-335 24 0.336957 24 0.40942 3342639 1573263 1573263 2268585 2840731 5940273 2559751 2559751 2421091 2231019 2231019
r-941 24 0.706522 24 0.333333 173919 256772 256772 352893 202793 243398 392034 392034 243945 342031 342031
r-803 24 0.15942 24 0.195652 877969 394815 394815 692120 716696 1173702 509551 509551 1634252 1464427 1464427
r-186 24 0.728261 24 0.699275 1544004 1688560 1688560 1911479 1309411 2427504 2543302 2543302 2037219 2107570 2107570
r-568 24 0.0869565 24 0.644928 60857 17775 17775 52406 52518 88977 26172 26172 44787 27151 27151
r-933 24 0.597826 24 0.65942 1919731 2774132 1919731 2722479 1836740 3279755 4946642 3279755 3247558 3037603 3247558
r-545 24 0.163043 24 0.23913 373906 79849 79849 207924 299488 493339 102730 102730 929240 406191 406191
r-101 24 0.503623 24 0.923913 37122 217540 37122 179276 37914 51660 344197 51660 95831 206212 95831
r-981 24 0.641304 24 0.333333 275088 417875 275088 664891 283251 392295 653100 392295 848840 663084 848840
r-552 24 0.246377 24 0.202899 675494 1771270 675494 1661958 735824 947980 2580057 947980 2505924 1488701 2505924
r-633 24 0.452899 24 0.847826 69964 76962 69964 107613 74870 78047 113959 78047 129176 106464 129176
r-585 24 0.637681 24 0.597826 3096224 2785518 2785518 3557996 2547697 5398678 4592141 4592141 1904301 1627401 1627401
r-212 24 0.583333 24 0.608696 4251858 4968431 4251858 5016046 3799220 7417516 8810224 7417516 4810881 4965724 4810881
r-978 24 0.257246 24 0.485507 1758132 571557 571557 1251730 1334045 3197686 866532 866532 1326940 1004818 1004818
r-715 24 0.539855 24 0.228261 245176 353198 245176 772052 257054 374607 526193 374607 531979 678853 531979
r-164 24 0.507246 24 0.315217 853402 1118211 853402 1893689 888994 1367747 1726020 1367747 1041064 1518333 1041064
r-730 24 0.811594 24 0.894928 126437 394496 126437 299929 141405 151005 497732 151005 255810 1336371 255810
r-980 24 0.0869565 24 0.184783 6432453 292058 292058 3302131 3036088 7605047 328659 328659 6591075 280524 280524
r-746 24 0.402174 24 0.684783 427124 664646 427124 1219537 469311 632029 1033648 632029 765394 967128 765394
r-537 24 0.130435 24 0.59058 151885 124124 124124 280693 165411 231358 196479 196479 197640 108107 108107
r-49 24 0.90942 24 0.336957 83236 26926 26926 131591 92809 125944 41889 41889 68869 50012 50012
r-609 24 0.873188 24 1 174901518 -1 174901518 -1 174901518 194474371 -1 194474371 -1 -1 -1
r-898 24 0.644928 24 0.51087 2331252 1235196 1235196 1811312 1858050 4304873 2027497 2027497 2129136 1991244 1991244
r-463 24 0.952899 24 0.586957 1216647 36602 36602 874288 161610 1654088 51293 51293 1024054 56317 56317
r-559 24 0.681159 24 0.891304 335454 1553714 335454 1293357 383551 474516 2292831 474516 876939 1522915 876939
r-437 24 0.333333 24 0.576087 1055102 1066972 1066972 1827475 1018498 1637927 1742675 1742675 1516327 1297113 1297113
r-531 24 0.210145 24 0.471014 1001552 339498 339498 786753 823828 1804890 521371 521371 734662 483949 483949
r-793 24 0.815217 24 0.952899 213838 66683926 213838 33694489 135335 236997 73722824 236997 1978659 96766200 1978659
r-55 24 0.210145 24 0.884058 42623 52823 42623 113214 41104 55556 83121 55556 55845 73076 55845
r-932 24 0.663043 24 0.811594 307936 1238385 307936 1101011 333172 408612 1862284 408612 641321 1418066 641321
r-582 24 0.471014 24 0.996377 97888 3189418 97888 2821727 97428 121220 4220464 121220 479574 3510879 479574
r-359 24 0.996377 24 0.576087 240030585 37508068 37508068 217163734 38055737 262540861 36805573 36805573 129365262 5181231 5181231
r-570 24 0.134058 24 0.521739 331976 70784 70784 621107 325527 467147 99134 99134 425041 160687 160687
r-601 24 0.362319 24 0.0869565 59617 1045475 59617 769053 54250 81775 1442310 81775 173938 995723 173938
r-973 24 0.634058 24 0.231884 203712 214020 203712 632126 241593 312103 316891 312103 328338 373889 328338
r-453 24 0.278986 24 0.757246 139155 95852 139155 293194 158312 218517 142759 218517 169348 180843 169348
r-508 24 0.315217 24 0.438406 1794712 1198388 1198388 1598099 1456082 3334957 2094202 2094202 1359682 1221264 1221264
