instance n1 density1 n2 density2 mcsplit mcsplit+f mcsplit+bigf
r-107 38 0.308677 38 0.308677 1 1 0
r-634 15 0.133333 15 0.133333 0 0 0
r-110 18 0.366013 18 0.366013 13 14 7
r-553 13 0.512821 13 0.512821 0 0 0
r-911 38 0.507824 38 0.507824 9741 10605 8872
r-24 46 0.511111 46 0.511111 105350 96753 73545
r-938 13 0.282051 13 0.282051 0 0 0
r-781 44 0.510571 44 0.510571 81422 94198 51175
r-554 47 0.444033 47 0.444033 4157 4382 4058
r-258 27 0.205128 27 0.205128 176 225 225
r-76 23 0.513834 23 0.513834 20 11 14
r-955 14 0.263736 14 0.263736 0 0 0
r-12 25 0.42 25 0.42 338 241 257
r-268 46 0.507246 46 0.507246 188240 189686 145937
r-477 31 0.27957 31 0.27957 2924 3430 2498
r-790 29 0.192118 29 0.192118 0 0 0
r-837 35 0.510924 35 0.510924 4179 3826 3626
r-284 27 0.461538 27 0.461538 4 4 3
r-387 37 0.504505 37 0.504505 3306 3635 2596
r-608 22 0.311688 22 0.311688 92 86 51
r-973 28 0.388889 28 0.388889 0 0 0
r-34 19 0.51462 19 0.51462 1 1 1
r-830 41 0.0487805 41 0.0487805 0 0 0
r-260 17 0.485294 17 0.485294 3 1 2
r-77 50 0.470204 50 0.470204 1000000 1000000 1000000
r-881 31 0.473118 31 0.473118 4045 3663 3247
r-754 32 0.314516 32 0.314516 9308 10400 7678
r-321 11 0.327273 11 0.327273 0 0 0
r-868 19 0.409357 19 0.409357 15 12 13
r-164 18 0.522876 18 0.522876 2 3 2
r-200 34 0.513369 34 0.513369 4657 4878 4239
r-448 40 0.224359 40 0.224359 46685 51549 39768
r-273 11 0.509091 11 0.509091 0 0 0
r-541 31 0.425806 31 0.425806 2 3 2
r-239 30 0.45977 30 0.45977 3030 2305 2206
r-864 41 0.487805 41 0.487805 75829 66737 60968
r-760 24 0.463768 24 0.463768 92 127 118
r-817 34 0.499109 34 0.499109 4404 3592 3074
r-537 27 0.14245 27 0.14245 43 85 73
