instance n1 density1 n2 density2 mcsplit mcsplit+f mcsplit+bigf
r-637 48 0.507092 48 0.507092 464281234 698076806 245170119
r-548 31 0.473118 31 0.473118 67954 79935 54160
r-374 44 0.130021 44 0.130021 129151422 217861346 125530212
r-410 17 0.529412 17 0.529412 2626 2126 1766
r-318 38 0.513514 38 0.513514 4468039 3772987 3469430
r-64 28 0.518519 28 0.518519 186211 329728 129684
r-856 36 0.412698 36 0.412698 110241 76558 73354
r-973 28 0.388889 28 0.388889 1166 1120 891
r-208 13 0.384615 13 0.384615 1569 1066 1157
r-710 11 0.509091 11 0.509091 66 60 68
r-878 23 0.498024 23 0.498024 192761 162823 110185
r-177 27 0.0740741 27 0.0740741 405 405 405
r-942 12 0.30303 12 0.30303 81 81 81
r-674 47 0.510638 47 0.510638 114660295 91396202 78479268
r-685 46 0.198068 46 0.198068 -1 -1 -1
r-19 24 0.463768 24 0.463768 206998 260201 134707
r-24 46 0.511111 46 0.511111 164141393 204596615 105508024
r-771 21 0.428571 21 0.428571 53802 100788 42268
r-846 47 0.408881 47 0.408881 7782837 4971946 5172494
r-285 20 0.268421 20 0.268421 228 214 212
r-631 11 0.181818 11 0.181818 77 77 77
r-824 50 0.470204 50 0.470204 -1 -1 -1
r-295 14 0.362637 14 0.362637 1548 1018 1490
r-514 28 0.349206 28 0.349206 679920 838992 593741
r-587 13 0.153846 13 0.153846 104 104 104
r-954 43 0.431894 43 0.431894 364921799 425055114 267876398
r-852 39 0.0512821 39 0.0512821 819 819 819
r-910 33 0.503788 33 0.503788 6688260 13669110 5595009
r-342 32 0.120968 32 0.120968 134015 1203268 113355
r-433 47 0.227567 47 0.227567 692 688 692
r-80 28 0.198413 28 0.198413 335670 874612 207468
r-365 24 0.289855 24 0.289855 105064 135369 95800
r-97 29 0.517241 29 0.517241 380570 484344 330688
r-772 31 0.503226 31 0.503226 417079 323243 371030
r-252 20 0.268421 20 0.268421 169 169 169
r-422 28 0.349206 28 0.349206 1569994 1293239 1343167
r-606 14 0.527473 14 0.527473 494 433 443
r-162 35 0.161345 35 0.161345 3356098 6735127 3599815
r-919 49 0.462585 49 0.462585 55795526 69117794 46965345
r-554 47 0.444033 47 0.444033 10070218 11948274 7583067
r-408 18 0.522876 18 0.522876 4756 8285 2803
r-512 35 0.393277 35 0.393277 17316 16928 14847
r-585 20 0.1 20 0.1 230 230 230
r-656 16 0.525 16 0.525 7522 4261 2758
r-848 48 0.478723 48 0.478723 -1 1262388458 903150841
r-265 20 0.442105 20 0.442105 40272 50254 34563
r-386 18 0.111111 18 0.111111 189 189 189
r-282 21 0.380952 21 0.380952 729 988 622
r-236 49 0.079932 49 0.079932 -1 -1 4594848313
r-165 23 0.498024 23 0.498024 122478 84832 91958
r-972 33 0.344697 33 0.344697 4224 13679 4066
r-159 14 0.494505 14 0.494505 180 182 167
r-213 12 0.530303 12 0.530303 133 104 131
r-949 14 0.263736 14 0.263736 576 517 567
r-906 48 0.509752 48 0.509752 336192184 409927522 238271345
r-614 19 0.491228 19 0.491228 778 898 699
r-468 21 0.428571 21 0.428571 1250 1101 1012
r-411 20 0.268421 20 0.268421 13776 18318 9612
r-610 45 0.511111 45 0.511111 110314266 131967115 70154367
r-746 47 0.227567 47 0.227567 1884 2274 1738
r-524 40 0.507692 40 0.507692 36002700 26459729 27126738
r-632 29 0.133005 29 0.133005 438 438 438
r-367 25 0.5 25 0.5 26447 35713 19902
r-801 20 0.394737 20 0.394737 23073 16209 12847
r-290 15 0.419048 15 0.419048 1706 2168 1709
r-37 31 0.490323 31 0.490323 5209601 4792033 3200336
r-494 20 0.336842 20 0.336842 246 244 257
r-840 30 0.45977 30 0.45977 46898 52920 37116
r-458 24 0.344203 24 0.344203 230 226 236
r-68 26 0.507692 26 0.507692 75250 80331 44805
r-90 46 0.495652 46 0.495652 251844777 214655190 143233032
r-478 15 0.419048 15 0.419048 85 84 85
r-190 45 0.327273 45 0.327273 9010 8719 7451
r-709 24 0.507246 24 0.507246 118558 202751 91432
r-845 22 0.0909091 22 0.0909091 275 275 275
r-307 44 0.30444 44 0.30444 332528194 -1 290405964
r-402 15 0.533333 15 0.533333 2080 2645 1700
r-666 25 0.52 25 0.52 131811 127676 100877
r-220 40 0.296154 40 0.296154 115400405 173672703 100524837
r-498 30 0.496552 30 0.496552 4246511 5020270 2809977
r-457 49 0.416667 49 0.416667 3249611 3744657 2501944
r-42 14 0.494505 14 0.494505 1541 1738 1373
r-648 13 0.512821 13 0.512821 382 564 336
r-17 22 0.52381 22 0.52381 42202 42890 34164
r-193 10 0.355556 10 0.355556 58 58 58
r-328 29 0.512315 29 0.512315 181390 227468 126118
r-855 44 0.359408 44 0.359408 141110 117820 106632
r-425 50 0.0783673 50 0.0783673 1278 1278 1278
r-651 15 0.342857 15 0.342857 771 2268 746
r-125 31 0.0645161 31 0.0645161 527 527 527
r-907 25 0.22 25 0.22 16887 101128 15416
r-788 27 0.48433 27 0.48433 7031 9721 6135
r-792 33 0.265152 33 0.265152 4241048 2858388 3689859
r-997 21 0.32381 21 0.32381 261 258 272
r-104 46 0.321739 46 0.321739 -1 -1 -1
r-523 32 0.514113 32 0.514113 540900 405954 248059
r-181 49 0.484694 49 0.484694 110511607 132331725 82497453
r-881 31 0.473118 31 0.473118 4983377 6396137 4005973
r-646 46 0.263768 46 0.263768 -1 -1 -1
r-625 13 0.512821 13 0.512821 141 224 132
r-226 43 0.365449 43 0.365449 25396 24815 17849
r-438 32 0.497984 32 0.497984 1035853 722393 678514
r-823 34 0.499109 34 0.499109 3267031 2143103 1827432
r-733 50 0.372245 50 0.372245 -1 -1 -1
r-9 13 0.384615 13 0.384615 261 238 219
r-569 17 0.117647 17 0.117647 170 170 170
r-818 35 0.393277 35 0.393277 18689 19535 15189
r-745 36 0.157143 36 0.157143 577 577 577
r-711 22 0.519481 22 0.519481 37146 36852 33315
r-338 19 0.51462 19 0.51462 23892 39468 20270
r-522 34 0.165775 34 0.165775 4289927 6509887 4239477
r-187 38 0.234708 38 0.234708 12905539 51594445 10618314
r-672 27 0.14245 27 0.14245 381 381 381
r-444 32 0.352823 32 0.352823 5563357 4267309 4846683
r-778 49 0.433673 49 0.433673 5439655 4813345 3674873
r-33 12 0.166667 12 0.166667 90 90 90
r-496 44 0.502114 44 0.502114 139876438 222319591 75855960
r-900 49 0.416667 49 0.416667 3565566 3763525 2895546
r-502 39 0.099865 39 0.099865 74659456 62456016 7490947
r-240 43 0.41196 43 0.41196 309119 406047 269345
r-808 49 0.510204 49 0.510204 305449841 252019633 160242988
r-773 30 0.508046 30 0.508046 1801142 1547581 1202428
r-118 19 0.51462 19 0.51462 4224 4519 3675
r-769 22 0.484848 22 0.484848 8204 20091 6794
r-816 33 0.492424 33 0.492424 2422817 1328214 1449921
r-841 48 0.254433 48 0.254433 2398 2298 2377
r-586 36 0.512698 36 0.512698 6123638 3990866 4349258
r-34 19 0.51462 19 0.51462 4863 4815 2351
r-880 21 0.514286 21 0.514286 13694 9666 11250
r-214 29 0.44335 29 0.44335 1791224 1979725 1242918
r-654 13 0.512821 13 0.512821 648 945 630
r-661 33 0.170455 33 0.170455 989210 1283922 886393
r-680 36 0.322222 36 0.322222 24815422 70506343 20806097
