instance n1 density1 n2 density2 mcsplit mcsplit+f mcsplit+bigf mcsplit+randombigf
r-7 16 0.5 16 0.5 6443 3978 5246 5431
r-317 31 0.511828 31 0.511828 5817754 8863552 5187989 5185773
r-528 35 0.443697 35 0.443697 109298338 41637950 95973867 95521852
r-331 43 0.511628 43 0.511628 203081088 1176246979 183948252 181976467
r-237 31 0.27957 31 0.27957 14429692 5856307 12704952 12938406
r-437 27 0.461538 27 0.461538 2131144 1186012 1780857 1793065
r-140 25 0.153333 25 0.153333 -1 -1 -1 -1
r-491 36 0.488889 36 0.488889 8193471 33387669 4426911 4412149
r-676 26 0.409231 26 0.409231 452163 870037 99724 98327
r-733 37 0.405405 37 0.405405 268226730 211554273 245970462 246563402
r-468 39 0.145749 39 0.145749 1499023 171481612 1552021 1529799
r-991 21 0.32381 21 0.32381 13050 80728 11103 11046
r-296 20 0.478947 20 0.478947 28186 73319 17005 17003
r-370 37 0.405405 37 0.405405 9316931 9359999 8334737 8452679
r-644 42 0.214866 42 0.214866 -1 -1 -1 -1
r-826 33 0.503788 33 0.503788 19811988 37605396 18495793 18347903
r-211 34 0.508021 34 0.508021 28259069 14722843 23848436 23551796
r-47 26 0.492308 26 0.492308 1382471 2436270 1184217 1163508
r-110 42 0.214866 42 0.214866 98647271 746526309 50521522 49632511
r-782 25 0.333333 25 0.333333 37358 268680 30495 30659
r-420 35 0.329412 35 0.329412 -1 -1 466930 457700
r-885 28 0.452381 28 0.452381 1262619 4672744 1049835 1050218
r-348 36 0.512698 36 0.512698 39973377 85462279 38079822 38321692
r-24 36 0.512698 36 0.512698 65738435 23097611 52020721 50748810
r-900 22 0.52381 22 0.52381 227188 66488 179445 175244
r-289 38 0.398293 38 0.398293 226424470 58058785 210518608 215165671
r-412 23 0.442688 23 0.442688 265864 53647 224828 224225
r-879 26 0.323077 26 0.323077 520393 807872 408612 405329
r-500 43 0.310078 43 0.310078 15543730 -1 16181298 16441630
r-540 35 0.504202 35 0.504202 78513872 30234162 65829708 64559796
