instance last_unsat_time sat_time total_subproblem_time total_subproblem_time_minus_last_unsat run_time last_unsat_time sat_time total_subproblem_time total_subproblem_time_minus_last_unsat run_time
mcs10_r01_s40_AB08 332907 449370 999992 667085 1000000 332556 450411 999992 667436 1000000
mcs90_r02_s25_AB07 0 0 0 0 0 0 0 0 0 0
mcs70_r02_s10_AB05 0 0 0 0 0 0 0 0 0 0
mcs50_b03_s10_AB08 0 0 0 0 0 0 0 0 0 0
mcs90_b03_s20_AB03 0 0 0 0 0 0 0 0 0 0
mcs50_b06m_s25_AB07 364 0 635 271 639 537 0 826 289 830
mcs90_b03_s25_AB03 0 0 0 0 0 0 0 0 0 0
mcs50_r01_s10_AB07 0 0 0 0 0 0 0 0 0 0
mcs50_m2Dr2_s30_AB00 469 490 1072 603 1075 784 814 1786 1002 1790
mcs50_m2Dr6_s10_AB04 0 0 0 0 0 0 0 0 0 0
mcs30_b03m_s40_AB09 11676 7008 19435 7759 19439 11773 7057 19537 7764 19540
mcs70_r005_s25_AB00 1 5 6 5 6 2 9 11 9 11
mcs50_m2D_s40_AB02 3458 8950 13198 9740 13202 3382 8799 12946 9564 12950
mcs50_m4Dr6_s30_AB09 1046 479 1925 879 1929 1039 476 1909 870 1913
mcs50_r01_s30_AB08 1621 115 2558 937 2564 1620 115 2620 1000 2627
mcs90_r01_s50_AB04 8 0 10 2 12 5 0 6 1 7
mcs50_m2Dr4_s40_AB03 81085 70304 172955 91870 172962 81031 70080 172671 91640 172677
mcs90_r01_s40_AB09 0 0 0 0 2 0 0 0 0 2
mcs90_m3Dr2_s10_AB07 0 0 0 0 0 0 0 0 0 0
mcs70_b03_s40_AB08 5870 2197 8950 3080 8954 5864 2195 8748 2884 8749
mcs30_r02_s15_AB09 1 1 2 1 3 2 2 4 2 6
mcs50_b03m_s30_AB07 260 313 665 405 668 254 314 621 367 624
mcs50_b03_s35_AB01 2736 2997 6061 3325 6065 2694 2939 5960 3266 5963
mcs90_r01_s40_AB08 0 0 0 0 1 0 0 0 0 1
mcs90_m2Dr4_s20_AB06 0 0 0 0 1 0 0 0 0 0
mcs90_b06_s10_AB07 0 0 0 0 0 0 0 0 0 0
mcs90_m3D_s30_AB08 0 0 0 0 0 0 0 0 0 0
mcs50_m3D_s20_AB04 6 9 16 10 18 3 6 9 6 11
mcs70_b09m_s40_AB03 1742 105 3235 1493 3240 1740 105 3223 1483 3228
mcs90_b09_s35_AB07 13 0 18 5 19 20 0 27 7 30
mcs50_b06_s30_AB06 468 30 854 386 859 457 30 837 380 840
mcs30_r01_s10_AB04 0 0 0 0 0 0 0 0 0 0
mcs30_m3Dr2_s40_AB08 180022 13176 249690 69668 249697 178368 13097 247584 69216 247590
mcs90_m2Dr6_s30_AB07 13 1 17 4 19 13 1 17 4 19
mcs90_b09_s40_AB04 12 0 15 3 16 12 0 15 3 16
mcs90_m2D_s30_AB01 36 33 80 44 83 21 19 46 25 49
mcs90_m2Dr2_s50_AB01 0 0 0 0 0 0 0 0 0 0
mcs90_m2Dr6_s40_AB06 3 0 4 1 5 6 1 8 2 9
mcs70_b09_s25_AB08 211 0 384 173 387 138 0 250 112 254
mcs30_b03_s35_AB08 688 99 924 236 928 689 109 936 247 940
mcs50_b09m_s35_AB06 25034 1867 44081 19047 44088 25032 1864 43921 18889 43929
mcs70_m4Dr2_s25_AB02 50 0 62 12 63 50 1 63 13 65
mcs30_b03_s35_AB07 1696 194 2335 639 2339 1682 199 2335 653 2338
mcs10_m2Dr6_s50_AB08 558121 278039 999995 441874 1000000 559615 275732 999994 440379 1000000
mcs70_b03m_s20_AB04 2 0 2 0 3 2 0 2 0 3
mcs50_b03m_s30_AB02 414 6 499 85 503 297 3 380 83 384
mcs30_r005_s20_AB05 0 0 0 0 1 1 0 1 0 2
mcs50_m2Dr2_s50_AB03 282170 643749 999995 717825 1000000 289728 635411 999996 710268 1000000
mcs10_r01_s50_AB02 266542 522273 999993 733451 1000000 266778 521731 999993 733215 1000000
mcs90_r02_s30_AB09 0 0 0 0 0 0 0 0 0 0
mcs50_m2Dr6_s30_AB00 1207 299 1928 721 1932 1483 298 2462 979 2465
mcs50_r005_s35_AB08 2513 2312 5342 2829 5345 2487 2283 5343 2856 5346
mcs70_m4D_s25_AB02 19 1 23 4 24 11 0 12 1 14
mcs90_r01_s30_AB09 0 0 0 0 1 0 0 0 0 1
mcs10_r02_s35_AB00 318066 0 654674 336608 654683 316934 256 652817 335883 652825
mcs90_r02_s25_AB08 0 0 0 0 0 0 0 0 0 0
mcs30_b03_s50_AB02 413774 116709 584236 170462 584240 409861 115389 578441 168580 578445
mcs70_r01_s10_AB05 0 0 0 0 0 0 0 0 0 0
mcs90_m3Dr2_s30_AB05 1 0 1 0 2 0 0 0 0 1
mcs50_m3Dr2_s50_AB01 320490 550464 999992 679502 1000000 319244 552827 999993 680749 1000000
mcs70_b09_s30_AB00 179 26 391 212 394 159 26 307 148 308
mcs50_b03_s25_AB09 23 13 40 17 42 40 22 70 30 73
mcs30_b06m_s25_AB00 284 237 684 400 688 195 240 538 343 542
mcs50_r005_s40_AB05 4486 20088 25506 21020 25508 4454 20008 25423 20969 25427
mcs90_r01_s30_AB04 0 0 0 0 0 0 0 0 0 0
mcs90_b09m_s30_AB04 0 0 0 0 1 0 0 0 0 1
mcs50_r01_s25_AB08 98 120 256 158 259 98 119 255 157 258
mcs30_b06m_s30_AB01 7419 366 11024 3605 11028 7393 365 11172 3779 11177
mcs50_m4D_s35_AB05 2376 1313 4213 1837 4217 2315 1301 3917 1602 3921
mcs30_b03_s50_AB03 414979 0 465623 50644 465629 416085 148669 614799 198714 614804
mcs30_b06m_s25_AB01 182 305 598 416 601 217 307 635 418 637
mcs30_b06m_s35_AB01 87910 2007 121446 33536 121452 87998 2010 121382 33384 121387
mcs70_b03m_s10_AB09 0 0 0 0 0 0 0 0 0 0
mcs30_b06_s30_AB06 933 150 1532 599 1537 932 150 1694 762 1700
mcs50_m3Dr6_s50_AB07 576935 165001 999993 423058 1000000 577546 165504 999992 422446 1000000
mcs50_b06_s30_AB04 1617 0 2499 882 2504 1601 283 2736 1135 2741
mcs30_b09m_s35_AB06 145361 0 230098 84737 230108 146055 41 230909 84854 230918
mcs10_r01_s25_AB05 758 42 1079 321 1082 510 25 783 273 788
mcs50_m2Dr2_s20_AB09 2 2 4 2 6 4 4 8 4 10
mcs70_b09_s15_AB09 0 0 0 0 0 0 0 0 0 0
mcs90_m2Dr6_s40_AB04 2 0 2 0 3 3 0 3 0 5
mcs70_r005_s35_AB05 4480 111 5229 749 5232 4865 110 6027 1162 6032
mcs30_b06m_s50_AB05 227807 671236 999993 772186 1000000 228222 670753 999993 771771 1000000
mcs90_b03m_s40_AB01 0 0 0 0 0 0 0 0 0 1
mcs90_b03_s20_AB01 0 0 0 0 0 0 0 0 0 0
mcs50_m3D_s15_AB06 1 0 1 0 1 0 0 0 0 1
mcs70_b06_s25_AB03 12 2 19 7 21 12 2 19 7 21
mcs90_r02_s50_AB06 19 1 27 8 30 29 2 43 14 45
mcs50_b09m_s25_AB03 431 1 745 314 749 428 1 739 311 744
mcs90_m2Dr6_s40_AB07 5 0 6 1 6 5 0 6 1 6
mcs30_r01_s40_AB09 418305 324274 999992 581687 1000000 418680 323569 999992 581312 1000000
mcs10_b03_s40_AB08 15878 412 17515 1637 17520 15931 393 17436 1505 17440
mcs50_b06m_s15_AB04 1 0 1 0 2 1 0 1 0 2
mcs70_m2Dr4_s25_AB07 39 0 53 14 55 65 0 88 23 91
mcs50_m2D_s30_AB06 1348 103 1802 454 1806 1348 103 1742 394 1745
mcs50_r01_s30_AB09 2915 4006 8361 5446 8365 2926 4009 8473 5547 8477
mcs70_b03m_s25_AB06 66 45 125 59 128 66 45 125 59 127
mcs50_b09_s50_AB08 351273 373804 999990 648717 1000000 354426 369007 999991 645565 1000000
mcs70_m4Dr4_s25_AB08 17 0 22 5 24 10 0 12 2 14
mcs70_b03_s20_AB04 4 0 4 0 5 2 0 2 0 3
mcs70_m2Dr2_s25_AB02 98 82 207 109 210 98 83 208 110 210
mcs70_b03m_s20_AB09 1 0 1 0 3 1 0 1 0 3
mcs50_b03m_s35_AB09 2767 1038 4082 1315 4084 2772 980 4026 1254 4029
mcs90_r01_s50_AB01 4 0 5 1 7 4 0 5 1 7
mcs10_r01_s50_AB07 539652 25653 999992 460340 1000000 539507 26230 999992 460485 1000000
mcs70_b09_s15_AB02 0 0 0 0 0 0 0 0 0 0
mcs30_b03m_s50_AB06 527224 31970 626871 99647 626877 525474 32081 626772 101298 626777
mcs70_r01_s50_AB02 90218 76104 240023 149805 240031 90003 76116 239490 149487 239499
mcs90_r005_s25_AB05 0 0 0 0 0 0 0 0 0 0
mcs70_m2Dr6_s25_AB05 204 141 415 211 419 196 85 354 158 356
mcs70_b03m_s35_AB00 2587 147 3130 543 3133 2518 177 3089 571 3092
mcs70_b06m_s30_AB05 58 7 95 37 99 58 7 95 37 98
mcs30_m3Dr4_s40_AB08 633082 147405 999991 366909 1000000 629776 152396 999993 370217 1000000
mcs90_m2Dr2_s40_AB08 9 4 14 5 16 9 5 15 6 17
mcs30_r01_s10_AB02 0 0 0 0 0 0 0 0 0 0
mcs50_m2Dr4_s30_AB00 580 15 814 234 818 582 16 853 271 858
mcs70_b09_s20_AB04 14 0 21 7 23 14 0 21 7 23
mcs90_r02_s10_AB07 0 0 0 0 0 0 0 0 0 0
mcs70_r01_s15_AB02 0 0 0 0 0 0 1 1 1 1
mcs90_m2D_s20_AB02 0 0 0 0 1 0 0 0 0 1
mcs90_b03m_s25_AB07 0 0 0 0 0 0 0 0 0 0
mcs30_r02_s20_AB01 58 41 136 78 139 58 41 136 78 139
mcs70_b06m_s30_AB03 201 86 431 230 435 273 86 538 265 541
mcs90_m4D_s20_AB08 0 0 0 0 0 0 0 0 0 0
mcs90_m4Dr6_s20_AB06 1 0 1 0 1 1 0 1 0 1
mcs70_b09_s25_AB04 57 4 101 44 104 49 3 92 43 95
mcs10_m2D_s40_AB04 13423 1299 17463 4040 17467 13508 1342 17307 3799 17312
mcs30_m4D_s50_AB01 495317 443378 999996 504679 1000000 494145 444509 999995 505850 1000000
mcs30_b03_s20_AB09 3 0 3 0 5 3 0 3 0 5
mcs70_m2D_s15_AB01 0 0 0 0 0 0 0 0 0 1
mcs90_b09m_s25_AB06 0 0 0 0 1 0 0 0 0 0
mcs50_b09m_s25_AB07 400 11 721 321 724 399 11 806 407 812
mcs90_m2Dr6_s30_AB06 5 0 6 1 6 5 0 6 1 6
mcs70_r01_s20_AB02 3 8 11 8 12 5 13 19 14 21
mcs50_m2Dr4_s50_AB00 250287 676393 999994 749707 1000000 252505 673281 999992 747487 1000000
mcs90_m2Dr6_s50_AB09 0 0 0 0 0 0 0 0 0 0
mcs10_b03_s50_AB06 112008 879695 999996 887988 1000000 110778 881671 999995 889217 1000000
mcs90_r02_s40_AB01 3 2 6 3 8 3 2 6 3 8
mcs30_m3Dr6_s30_AB09 1740 6243 8692 6952 8697 1745 6255 8920 7175 8925
mcs50_m2Dr2_s20_AB00 4 0 5 1 6 4 0 5 1 6
mcs70_r005_s50_AB02 205594 415941 706849 501255 706854 205944 416949 707517 501573 707522
mcs50_b06_s35_AB08 16618 8461 32868 16250 32875 16642 8388 33326 16684 33333
mcs30_b06m_s30_AB03 6791 314 10467 3676 10473 6784 314 10656 3872 10660
mcs50_b09_s40_AB06 79285 372 138871 59586 138880 80184 372 140139 59955 140148
mcs70_b03_s35_AB07 1626 1054 2941 1315 2945 1611 1046 2897 1286 2898
mcs90_m2D_s50_AB00 0 0 0 0 0 0 0 0 0 0
mcs90_r005_s20_AB04 0 0 0 0 0 0 0 0 0 0
mcs50_m2Dr6_s40_AB06 287830 238201 613611 325781 613617 286327 237743 610761 324434 610769
mcs90_r005_s25_AB03 0 0 0 0 0 0 0 0 0 0
mcs70_b09_s15_AB03 0 0 0 0 1 0 0 0 0 0
mcs70_m3Dr4_s40_AB05 30150 4333 47449 17299 47454 29983 4313 46983 17000 46987
mcs30_r005_s35_AB05 10114 59 12017 1903 12021 10327 59 12255 1928 12258
mcs70_m2Dr4_s40_AB06 173384 84653 304321 130937 304327 174801 85743 307395 132594 307401
mcs70_m2Dr6_s25_AB09 235 0 315 80 316 144 28 219 75 223
mcs90_m2Dr6_s30_AB05 4 0 4 0 5 3 0 3 0 5
mcs90_r005_s35_AB04 2 0 2 0 3 1 0 1 0 2
mcs10_r005_s35_AB06 2035 4045 6537 4502 6540 2036 4055 6553 4517 6556
mcs50_m4D_s40_AB06 21839 17521 42349 20510 42353 21881 17567 42173 20292 42178
mcs50_b09m_s50_AB07 282738 511036 999991 717253 1000000 284638 508112 999992 715354 1000000
mcs50_m4Dr2_s35_AB07 5176 244 6591 1415 6594 5164 233 6224 1060 6227
mcs90_m4Dr4_s20_AB07 0 0 0 0 0 0 0 0 0 1
mcs50_b06m_s35_AB02 24669 2140 38682 14013 38687 24703 2141 38768 14065 38775
mcs90_r01_s35_AB06 0 0 0 0 1 1 0 1 0 2
mcs10_b03m_s50_AB03 625549 305036 999996 374447 1000000 621328 309902 999995 378667 1000000
mcs90_b09m_s25_AB01 0 0 0 0 1 0 0 0 0 0
mcs30_b03_s20_AB08 1 3 4 3 4 1 3 4 3 4
mcs90_m2D_s10_AB09 0 0 0 0 0 0 0 0 0 0
mcs70_m4Dr2_s25_AB06 116 2 145 29 146 201 4 250 49 253
mcs50_m2Dr2_s50_AB00 347653 573684 999994 652341 1000000 349266 572246 999994 650728 1000000
mcs70_m2Dr6_s40_AB09 262693 0 339845 77152 339850 263834 0 341321 77487 341327
mcs70_b06_s30_AB09 137 0 247 110 249 135 2 205 70 209
mcs90_m2Dr6_s30_AB01 3 0 3 0 4 5 0 6 1 7
mcs70_m4Dr6_s25_AB06 102 120 261 159 264 99 125 262 163 265
mcs70_b09m_s20_AB01 11 2 18 7 20 11 2 18 7 20
mcs30_b06_s25_AB07 215 0 335 120 339 169 0 243 74 247
mcs10_r01_s25_AB09 339 10 482 143 486 340 11 487 147 489
mcs90_b09m_s30_AB06 1 1 2 1 3 2 2 4 2 6
mcs30_m2D_s50_AB02 187078 781564 999995 812917 1000000 183935 785815 999995 816060 1000000
mcs70_b06_s10_AB04 0 0 0 0 0 0 0 0 0 0
mcs50_b06_s15_AB00 1 0 1 0 2 1 0 1 0 1
mcs70_b03_s35_AB09 135 159 314 179 316 238 268 542 304 545
mcs90_b06_s10_AB06 0 0 0 0 0 0 0 0 0 0
mcs30_m2Dr6_s30_AB04 1766 7 2443 677 2448 1750 7 2680 930 2685
mcs90_b09_s35_AB09 17 0 23 6 24 16 0 22 6 24
mcs30_b09_s40_AB00 295616 528488 999991 704375 1000000 297003 527140 999990 702987 1000000
mcs70_m2Dr4_s15_AB07 0 0 0 0 1 0 0 0 0 0
mcs70_m2Dr4_s15_AB06 0 1 1 1 1 0 2 2 2 2
mcs70_m2Dr2_s50_AB05 504277 0 629877 125600 629882 504262 159180 787214 282952 787221
mcs90_r01_s35_AB09 1 0 1 0 2 1 0 1 0 2
mcs50_r02_s40_AB01 213408 84 490018 276610 490029 213367 84 490231 276864 490242
mcs10_r005_s50_AB03 232054 671130 999993 767939 1000000 231826 671472 999992 768166 1000000
mcs70_b03m_s15_AB04 0 0 0 0 1 0 0 0 0 0
mcs90_b09_s40_AB07 6 0 8 2 9 11 0 14 3 15
mcs50_b03m_s25_AB07 9 35 46 37 48 10 36 48 38 49
mcs70_b06m_s20_AB06 15 10 31 16 34 9 6 19 10 21
mcs10_r01_s35_AB03 107315 12595 180103 72788 180109 107809 12643 179991 72182 179998
mcs50_m2Dr2_s50_AB06 389705 510016 999994 610289 1000000 388194 512109 999994 611800 1000000
mcs90_m2Dr2_s30_AB03 3 1 4 1 6 2 1 3 1 3
mcs10_r01_s20_AB04 2 9 11 9 12 4 15 20 16 21
mcs50_b09_s50_AB03 283723 485625 999992 716269 1000000 282548 487720 999992 717444 1000000
mcs30_m3D_s30_AB00 859 48 1206 347 1208 855 48 1160 305 1163
mcs90_b03m_s15_AB05 0 0 0 0 0 0 0 0 0 0
mcs70_b09_s50_AB06 57869 1783 102817 44948 102825 58025 1792 102770 44745 102778
mcs90_b03m_s25_AB02 0 0 0 0 1 0 0 0 0 1
