mcsplit mcsplit-h mcsplit+f mcsplit+fmm mcsplit+bigf mcsplit-swapped mcsplit+S mcsplit+O mcsplitb mcsplitb+f mcsplitb+bigf mcsplitb+S mcsplitb+O mcsplit+randombigf mcsplitb+randombigf
2104640521 2336301982 1816126712 1913989793 1394331394 647180941 647180941 2104640521 2689598201 2314202496 1791831836 838377194 2689598201 1293990054 1293990054
411868482 414227305 -1 -1 408878479 -1 411868482 411868482 523210061 -1 519826887 523210061 523210061 421391926 421391926
16770 36870 16548 19883 2454 2137 2137 2137 17057 16831 2589 2192 2192 2454 2454
424926 460210 50162331 51536592 531812 53227060 424926 424926 432063 57237013 503660 432063 432063 592472 592472
77103177 80704009 74432970 80729564 68348945 48479686 48479686 77103177 97891592 96142361 87196000 62511082 97891592 65267876 65267876
1803205 1950407 1488556 1527951 65252 41577 41577 41577 2007696 1647570 76765 47594 47594 60295 60295
230189 525873 183697 191790 20900 13439 13439 13439 323323 262552 26881 18782 18782 19628 19628
13103548 17315864 10507131 11239731 1907521 701061 701061 701061 16658380 13344820 2006474 701310 701310 1603746 1603746
562638190 789304760 540714286 588015411 39326600 31895230 31895230 31895230 805798289 762275108 59196611 47345824 47345824 37531502 37531502
1489500 1529388 6940601 7363081 1397206 5477249 5477249 1489500 1851593 8979539 1730511 7208273 1851593 1376728 1376728
7645 18935 7105 7485 2317 1667 1667 1667 9159 8392 2452 1658 1658 2190 2190
5472697 7501843 5332356 5489163 141227 113776 113776 113776 5681550 5571087 70281 62259 62259 135905 135905
-1 -1 -1 -1 3048997511 -1 -1 -1 -1 -1 -1 -1 -1 3057601904 3057601904
567444264 705548653 713195861 807784423 468691359 533542449 567444264 533542449 844102164 1052615587 666305475 844102164 755698126 470918280 470918280
2980845 5946368 2770413 3562269 595926 482349 482349 482349 4387580 4078916 801228 650653 650653 561899 561899
44675 55638 39509 40690 1439 1252 1252 1252 44724 39556 1523 1299 1299 1294 1294
165093163 171417213 114627646 115635869 5628779 3226351 3226351 3226351 200470858 139211022 5885342 3250449 3250449 5208852 5208852
57265 65804 122884 129930 58895 135535 57265 57265 77880 189297 79331 77880 77880 63898 63898
4008099189 4799208363 3134035662 3249024308 62588913 40459504 40459504 40459504 4232876092 3309834625 57686668 34708366 34708366 53914512 53914512
458 930 457 476 261 230 458 230 410 410 219 410 159 261 261
2483810 22775804 2077296 6802914 316633 159478 159478 159478 3874602 3228910 465064 228699 228699 294056 294056
5657313 12265272 5224601 7061096 596559 466369 466369 466369 6187999 5719610 657841 518964 518964 578573 578573
2657366 2959020 30631182 31638387 3425917 35551684 2657366 2657366 3772806 45526531 4896151 3772806 3772806 3649775 3649775
46732895 47155307 164737690 169559311 40929014 111902972 111902972 46732895 50984884 195899677 45587469 136907363 50984884 38548704 38548704
1166679 1196475 3087668 3595521 1151685 2910331 2910331 1166679 1445152 4052113 1424534 3813618 1445152 1155417 1155417
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
75 75 62 60 73 60 75 75 59 47 59 59 59 73 73
659654 769973 1996772 2582463 678614 2021009 659654 659654 1039330 3622322 1068720 1039330 1039330 716219 716219
4894288 4956124 104066939 128139051 4871259 105351145 105351145 4894288 5347171 116098363 5319025 117743228 5347171 4923576 4923576
418 436 1753 1874 382 1761 418 418 461 2120 425 461 461 420 420
11471229 12462482 208209961 216430693 15706581 210440956 11471229 11471229 15361441 290390381 21841895 15361441 15361441 16796203 16796203
686698611 728086361 585650025 589255011 271049 123531 123531 123531 690262440 588834602 240429 113722 113722 245624 245624
595651462 1372538538 527908410 663314369 92756231 59373373 59373373 59373373 682860863 602959465 96300967 59949522 59949522 87045688 87045688
1890 1935 17875 43372 1856 17850 1890 1890 2368 20625 2332 2368 2368 1881 1881
2669 18869 2958 9889 2653 1935 1935 1935 1426 1540 2525 2133 2133 2687 2687
13768 14757 1644646 1751052 14659 1717217 13768 13768 10101 1661292 11015 10101 10101 15826 15826
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
416342 474486 438235 453352 92713 102511 416342 102511 507519 526063 99634 507519 108533 96399 96399
167927 343697 138901 168445 6359 6072 6072 6072 167964 138935 6434 6121 6121 6223 6223
4507 4601 120726 144532 4667 135049 4507 4507 4439 133091 4597 4439 4439 5402 5402
