instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped
r-242 29 0.310345 37 0.309309 58626 122957 58622 121040 58667 105283 236117 104313 64323 79668 64720
r-407 26 0.304615 20 0.336842 315 258 185 383 190 758 244 389 422 343 345
r-356 50 0.306122 33 0.329545 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000
r-995 11 0.345455 47 0.287697 0 0 0 0 0 0 0 0 0 1 1
r-852 48 0.31117 25 0.31 150931 49350 49419 148517 50856 273466 78089 77710 131915 80806 80636
r-629 38 0.301565 27 0.276353 52653 31924 31957 53883 31787 95913 53417 53550 60869 39022 38961
r-19 20 0.331579 46 0.285024 469 3700 516 3450 465 644 5450 614 1332 3689 1559
r-669 49 0.309524 17 0.294118 2273 364 364 2340 370 2929 680 452 1740 546 672
r-956 39 0.291498 27 0.304843 50474 20191 20117 48931 21208 90537 32752 32520 46180 43005 43034
r-940 37 0.337838 48 0.29344 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000
r-783 17 0.308824 45 0.319192 296 1175 279 1142 192 278 1858 236 329 870 508
r-110 44 0.272727 21 0.352381 5375 2107 2072 5322 2207 8969 2834 2832 4245 1917 1988
r-736 43 0.310078 22 0.285714 24220 6604 6604 22783 6660 39340 10120 9847 10765 11528 11279
r-71 43 0.315615 28 0.312169 201617 97142 97458 198618 97984 386434 166817 167675 206706 133006 132266
r-789 25 0.27 21 0.295238 240 96 59 136 93 284 115 126 303 155 194
r-11 36 0.288889 50 0.302857 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000
r-782 35 0.292437 39 0.31309 429631 521149 429023 544386 412741 874479 998719 811838 486646 644495 487981
r-12 26 0.326154 30 0.291954 4680 5252 4696 5129 4814 8037 9888 8019 6492 4725 6403
r-494 22 0.311688 38 0.30441 1391 5307 1389 4831 1394 2124 8660 2164 2120 4677 2301
r-557 48 0.295213 12 0.257576 0 0 0 0 0 0 0 0 0 0 0
r-542 43 0.292359 40 0.276923 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000
r-372 36 0.339683 36 0.287302 324405 567142 324950 472504 340334 624180 1000000 627423 451279 541924 450363
r-637 21 0.328571 32 0.282258 564 1475 361 1187 368 618 2335 529 661 1157 751
r-279 29 0.280788 11 0.272727 0 0 0 0 0 0 0 0 0 0 0
r-496 49 0.289966 43 0.276855 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000
r-945 30 0.289655 10 0.377778 4 0 0 4 1 4 1 1 3 1 1
r-151 29 0.261084 37 0.312312 68053 65382 68050 75191 65728 121520 119969 121571 69830 77066 70235
r-91 20 0.294737 38 0.294452 360 1888 491 1894 355 632 2992 579 696 2064 578
r-954 12 0.363636 16 0.233333 0 1 0 1 0 0 1 0 0 0 0
r-684 29 0.305419 22 0.294372 1110 881 776 1093 882 2146 997 1186 1232 1341 2153
r-917 36 0.274603 20 0.305263 2329 601 403 1793 438 3178 690 561 2195 916 1002
r-467 21 0.342857 12 0.166667 3 0 1 3 1 3 1 1 1 0 1
r-417 24 0.32971 20 0.315789 158 116 116 171 168 184 186 223 203 166 166
r-69 44 0.298097 23 0.335968 24925 6670 6591 23872 7042 43633 9990 10100 22083 17282 17434
r-962 35 0.287395 15 0.304762 64 7 11 102 11 129 7 12 103 20 32
r-208 49 0.297619 12 0.318182 7 1 1 11 1 7 2 1 0 0 0
r-573 22 0.242424 37 0.312312 4381 7919 4256 8331 4887 6433 12828 6432 5763 7852 5759
r-432 13 0.307692 24 0.282609 1 10 1 10 1 1 8 1 2 3 1
r-38 20 0.310526 40 0.3 2019 6731 1907 6550 1952 2661 11182 2872 2660 5980 2654
