instance n1 density1 n2 density2 mcsplit mcsplit+f mcsplit+bigf mcsplit+randombigf
r-491 36 0.488889 36 0.488889 20211 19975 15972 15748
r-676 26 0.409231 26 0.409231 580 234 304 225
r-733 37 0.405405 37 0.405405 385183 391995 367442 377488
r-468 39 0.145749 39 0.145749 900960 400171 608560 556757
r-991 21 0.32381 21 0.32381 57 55 71 44
r-296 20 0.478947 20 0.478947 47 32 36 22
r-370 37 0.405405 37 0.405405 7211 15143 7262 7939
r-644 42 0.214866 42 0.214866 1000000 1000000 1000000 1000000
r-826 33 0.503788 33 0.503788 25772 21805 23710 23307
r-211 34 0.508021 34 0.508021 22623 25045 23178 24370
r-47 26 0.492308 26 0.492308 1000 1177 909 976
r-110 42 0.214866 42 0.214866 714218 519994 493425 479635
r-782 25 0.333333 25 0.333333 27 3928 24 25
r-420 35 0.329412 35 0.329412 1000000 1000000 354336 255347
r-885 28 0.452381 28 0.452381 3646 3609 3282 3297
r-348 36 0.512698 36 0.512698 135955 119533 126690 128775
r-24 36 0.512698 36 0.512698 66207 67734 68862 72606
r-900 22 0.52381 22 0.52381 176 98 162 156
r-289 38 0.398293 38 0.398293 345638 357417 336304 349295
r-412 23 0.442688 23 0.442688 384 202 249 279
r-879 26 0.323077 26 0.323077 426 639 458 484
r-500 43 0.310078 43 0.310078 65178 1000000 66967 68373
r-540 35 0.504202 35 0.504202 77135 68849 71791 73147
r-979 21 0.495238 21 0.495238 48 79 36 35
r-254 27 0.501425 27 0.501425 999 1317 1033 1124
r-20 26 0.470769 26 0.470769 481 523 323 497
r-1000 44 0.30444 44 0.30444 1000000 1000000 1000000 1000000
r-79 29 0.339901 29 0.339901 5917 6647 5078 5144
r-440 22 0.506494 22 0.506494 108 89 103 66
r-188 28 0.349206 28 0.349206 4386 4583 3823 4412
r-867 24 0.507246 24 0.507246 241 130 241 165
r-681 17 0.529412 17 0.529412 3 3 5 5
r-396 22 0.519481 22 0.519481 198 118 190 187
r-906 39 0.472335 39 0.472335 57927 44673 42191 41136
r-113 16 0.325 16 0.325 2 47 1 1
r-759 35 0.420168 35 0.420168 9973 5535 4415 4411
r-29 41 0.139024 41 0.139024 166126 362827 164156 175862
r-773 44 0.426004 44 0.426004 121550 161403 136604 143820
r-951 34 0.499109 34 0.499109 44837 34446 37880 38248
r-497 26 0.270769 26 0.270769 1000000 1000000 107400 78438
r-547 26 0.52 26 0.52 725 869 878 728
r-362 45 0.511111 45 0.511111 1000000 1000000 1000000 1000000
r-201 29 0.192118 29 0.192118 251 358 328 243
r-945 26 0.270769 26 0.270769 1144 871 757 719
r-819 22 0.367965 22 0.367965 221 114 58 29
r-1 36 0.285714 36 0.285714 1000000 1000000 1000000 1000000
r-549 26 0.212308 26 0.212308 1000000 1000000 1000000 1000000
r-817 35 0.252101 35 0.252101 55813 81019 53924 55329
r-77 17 0.382353 17 0.382353 10 8 14 14
r-619 38 0.234708 38 0.234708 267340 267302 196001 195603
r-765 44 0.273784 44 0.273784 50213 1000000 50455 50248
r-714 19 0.350877 19 0.350877 54 50 51 32
r-699 20 0.394737 20 0.394737 94 107 56 61
r-971 18 0.522876 18 0.522876 17 9 10 16
r-545 43 0.504983 43 0.504983 1000000 1000000 1000000 1000000
r-598 24 0.228261 24 0.228261 1000000 1000000 1000000 1000000
r-78 38 0.14936 38 0.14936 1000000 1000000 1000000 1000000
r-975 31 0.503226 31 0.503226 5351 4968 4779 5109
r-648 43 0.465116 43 0.465116 207143 170214 150073 145886
r-485 23 0.403162 23 0.403162 45 42 34 33
r-380 29 0.133005 29 0.133005 1000000 1000000 1000000 1000000
r-381 37 0.315315 37 0.315315 232019 306728 229053 241970
r-17 42 0.511034 42 0.511034 667700 571440 605201 602354
r-789 38 0.193457 38 0.193457 1000000 1000000 1000000 1000000
r-555 41 0.219512 41 0.219512 1000000 1000000 1000000 1000000
r-395 41 0.504878 41 0.504878 332295 366678 356014 371363
r-415 20 0.521053 20 0.521053 90 47 90 58
r-228 16 0.325 16 0.325 4 4 2 2
r-883 34 0.370766 34 0.370766 67026 10837 5113 4022
r-263 28 0.198413 28 0.198413 1000000 1000000 1000000 1000000
r-764 42 0.371661 42 0.371661 1000000 1000000 1000000 1000000
r-245 35 0.420168 35 0.420168 9618 6878 4613 4489
r-564 43 0.389812 43 0.389812 1000000 1000000 1000000 1000000
r-309 28 0.452381 28 0.452381 1376 671 751 602
r-611 22 0.246753 22 0.246753 859201 637165 280187 260930
r-12 39 0.364372 39 0.364372 487864 169318 35318 29538
r-344 36 0.474603 36 0.474603 19939 15056 16170 15947
r-927 36 0.436508 36 0.436508 5809 7170 5399 5770
r-410 31 0.180645 31 0.180645 3887 4660 3121 2990
r-737 17 0.485294 17 0.485294 3 2 5 5
r-557 31 0.503226 31 0.503226 15169 13479 14717 14982
r-874 28 0.507937 28 0.507937 5135 4394 4616 4755
r-290 18 0.366013 18 0.366013 24 17 6 5
r-98 35 0.208403 35 0.208403 68776 49973 56220 55172
r-749 17 0.514706 17 0.514706 8 12 8 13
r-729 15 0.419048 15 0.419048 4 2 3 3
r-760 17 0.220588 17 0.220588 1 1 1 2
r-488 15 0.47619 15 0.47619 1 2 1 0
r-525 39 0.364372 39 0.364372 937975 830421 819642 824155
r-590 42 0.437863 42 0.437863 110677 146593 116980 122223
r-936 31 0.511828 31 0.511828 5934 6251 5858 6167
r-51 17 0.441176 17 0.441176 7 5 6 9
r-226 24 0.431159 24 0.431159 130 145 103 102
r-292 43 0.511628 43 0.511628 994431 1000000 1000000 1000000
r-255 43 0.27907 43 0.27907 1000000 1000000 1000000 1000000
r-71 43 0.449612 43 0.449612 1000000 1000000 1000000 1000000
r-496 22 0.519481 22 0.519481 84 83 75 119
r-758 35 0.329412 35 0.329412 67826 88196 67868 70977
r-221 23 0.0869565 23 0.0869565 1000000 1000000 1000000 1000000
r-635 21 0.466667 21 0.466667 110 72 95 93
r-984 30 0.48046 30 0.48046 14420 11244 11997 12525
r-127 40 0.466667 40 0.466667 1000000 999438 949263 953877
r-533 44 0.332981 44 0.332981 1000000 1000000 1000000 1000000
r-624 32 0.514113 32 0.514113 15928 14263 14563 14707
r-711 34 0.515152 34 0.515152 27913 25500 26181 26362
r-125 39 0.512821 39 0.512821 249979 205201 246372 252661
r-53 45 0.509091 45 0.509091 1000000 1000000 1000000 1000000
r-668 17 0.441176 17 0.441176 6 2 5 5
r-404 27 0.518519 27 0.518519 2905 2142 2666 2386
r-403 17 0.441176 17 0.441176 1 2 1 1
r-306 38 0.490754 38 0.490754 278394 273090 239473 237788
r-793 32 0.483871 32 0.483871 25161 26248 22450 22675
r-845 38 0.341394 38 0.341394 296051 351008 284613 294530
r-976 42 0.483159 42 0.483159 256533 218478 191700 189164
r-924 42 0.315912 42 0.315912 1000000 1000000 1000000 1000000
r-206 42 0.512195 42 0.512195 922148 769849 858630 867063
r-526 45 0.4 45 0.4 490818 201829 82194 75702
r-933 44 0.332981 44 0.332981 17185 1000000 21168 22130
r-625 20 0.478947 20 0.478947 42 62 56 36
r-779 29 0.512315 29 0.512315 3467 3030 2520 2508
r-478 39 0.437247 39 0.437247 33525 21073 22192 21857
r-35 44 0.494715 44 0.494715 1000000 1000000 1000000 1000000
r-4 30 0.287356 30 0.287356 5097 4614 4322 4069
r-260 41 0.443902 41 0.443902 76339 57514 53308 52027
r-503 35 0.110924 35 0.110924 1000000 1000000 1000000 1000000
r-816 24 0.431159 24 0.431159 101 66 85 82
r-397 40 0.480769 40 0.480769 73578 78709 66657 68049
r-88 23 0.513834 23 0.513834 227 148 225 230
r-747 28 0.137566 28 0.137566 1000000 1000000 1000000 1000000
r-373 40 0.328205 40 0.328205 1000000 1000000 593144 450138
r-287 22 0.246753 22 0.246753 3302 285557 3268 3245
r-441 41 0.35122 41 0.35122 1000000 759762 159414 124731
r-268 37 0.348348 37 0.348348 1000000 420747 206087 143891
r-580 18 0.522876 18 0.522876 16 15 15 16
r-376 34 0.213904 34 0.213904 1000000 1000000 1000000 1000000
r-710 45 0.268687 45 0.268687 1000000 1000000 1000000 1000000
r-889 18 0.522876 18 0.522876 17 16 15 16
r-857 17 0.382353 17 0.382353 2 25 1 1
r-704 29 0.339901 29 0.339901 6909 7519 6313 6430
r-74 31 0.232258 31 0.232258 11840 8920 8956 8874
r-460 34 0.499109 34 0.499109 21565 20504 16589 16591
r-310 17 0.382353 17 0.382353 8 12 7 11
r-8 42 0.135889 42 0.135889 1000000 512593 1000000 1000000
r-148 38 0.422475 38 0.422475 278641 312954 246397 247655
r-848 43 0.172757 43 0.172757 1000000 1000000 1000000 1000000
r-230 26 0.492308 26 0.492308 1224 1243 954 944
r-123 25 0.513333 25 0.513333 403 401 402 576
r-656 16 0.233333 16 0.233333 1 1 1 0
r-63 25 0.453333 25 0.453333 1130 764 1361 996
r-738 18 0.111111 18 0.111111 283 1000000 283 142
r-713 26 0.212308 26 0.212308 3002 1000000 2415 2257
r-677 19 0.280702 19 0.280702 141 3606 144 144
r-312 29 0.512315 29 0.512315 4186 3548 3909 3774
r-37 19 0.526316 19 0.526316 9 17 9 9
r-539 15 0.47619 15 0.47619 3 4 2 2
r-30 41 0.42439 41 0.42439 1000000 1000000 1000000 1000000
r-603 39 0.267206 39 0.267206 611733 614559 508117 509198
r-21 32 0.272177 32 0.272177 40741 36701 34960 35121
r-523 44 0.511628 44 0.511628 1000000 1000000 1000000 1000000
r-999 29 0.37931 29 0.37931 4234 4562 3814 3980
r-909 29 0.46798 29 0.46798 7106 6134 6170 6187
r-913 15 0.533333 15 0.533333 2 1 2 2
r-910 36 0.285714 36 0.285714 1000000 1000000 1000000 1000000
r-896 39 0.504723 39 0.504723 300973 302943 284870 287838
r-705 18 0.503268 18 0.503268 18 23 14 23
r-334 36 0.507937 36 0.507937 44106 43476 39170 39050
r-217 34 0.499109 34 0.499109 30757 28669 25534 25107
r-150 35 0.252101 35 0.252101 134746 98594 107350 107291
r-360 43 0.498339 43 0.498339 289971 360016 272942 282166
r-623 42 0.284553 42 0.284553 1000000 1000000 1000000 1000000
r-701 36 0.488889 36 0.488889 180751 157159 163496 165024
r-343 45 0.511111 45 0.511111 1000000 1000000 1000000 1000000
r-992 33 0.378788 33 0.378788 891 20149 905 948
r-276 40 0.296154 40 0.296154 1000000 1000000 1000000 1000000
r-58 43 0.310078 43 0.310078 1000000 1000000 1000000 1000000
r-602 32 0.516129 32 0.516129 14166 13498 13669 13821
r-42 27 0.433048 27 0.433048 107 141 136 87
r-519 15 0.514286 15 0.514286 3 3 2 4
r-665 27 0.518519 27 0.518519 1072 935 985 1012
r-725 17 0.220588 17 0.220588 10168 14991 1970 1586
r-790 24 0.521739 24 0.521739 325 249 173 172
r-54 34 0.508021 34 0.508021 17891 13707 15634 15570
r-596 18 0.503268 18 0.503268 13 6 7 12
r-582 31 0.124731 31 0.124731 1000000 1000000 1000000 1000000
r-912 41 0.443902 41 0.443902 82488 63934 58492 57262
r-472 29 0.44335 29 0.44335 10008 9217 9150 9562
r-509 18 0.503268 18 0.503268 13 11 20 12
r-75 21 0.380952 21 0.380952 148 80 129 136
r-372 42 0.507549 42 0.507549 1000000 1000000 1000000 1000000
