instance n1 density1 n2 density2 mcsplit mcsplit+f mcsplit+bigf
r-648 33 0.293561 33 0.293561 122711674 152409800 109829184
r-870 40 0.344872 40 0.344872 -1 -1 -1
r-248 36 0.312698 36 0.312698 1028236207 1032149605 872793488
r-672 40 0.435897 40 0.435897 -1 -1 -1
r-435 39 0.407557 39 0.407557 -1 -1 -1
r-362 33 0.121212 33 0.121212 13955301 26607832 13058919
r-501 15 0.390476 15 0.390476 18557 10093 15726
r-361 34 0.101604 34 0.101604 10077961 8351487 8743986
r-41 40 0.347436 40 0.347436 -1 -1 -1
r-372 34 0.754011 34 0.754011 253912950 320180032 221367291
r-440 28 0.822751 28 0.822751 5512396 5858584 4871168
r-206 20 0.236842 20 0.236842 80943 54732 74332
r-682 24 0.0181159 24 0.0181159 1 1 1
r-20 38 0.682788 38 0.682788 -1 -1 2043128726
r-829 15 0.52381 15 0.52381 11571 11439 10454
r-843 37 0.6997 37 0.6997 2001396389 2015553853 1834148280
r-254 16 0.375 16 0.375 6343 11151 5503
r-947 17 0.0588235 17 0.0588235 1 1 1
r-142 33 0.543561 33 0.543561 258037473 272951436 231404750
r-599 27 0.0968661 27 0.0968661 304471 196409 263783
r-845 17 0.654412 17 0.654412 16233 11300 13994
r-835 32 0.395161 32 0.395161 232495700 247036483 205742081
r-554 21 0.414286 21 0.414286 389562 245537 339795
r-225 28 0.592593 28 0.592593 28384708 30981424 26458349
r-844 27 0.592593 27 0.592593 10534967 8681660 9566254
r-300 32 0.201613 32 0.201613 45825558 52085420 42571094
r-756 26 0.304615 26 0.304615 5323422 5580555 4641446
r-984 22 0.471861 22 0.471861 661927 649007 588360
r-9 35 0.396639 35 0.396639 536582145 589226004 475868473
r-817 23 0.213439 23 0.213439 64555 65561 56089
r-701 17 0.992647 17 0.992647 1 1 1
r-371 36 0.977778 36 0.977778 -1 -1 -1
r-910 24 0.503623 24 0.503623 1286489 1383857 1142808
r-522 15 0.533333 15 0.533333 7157 3888 6390
r-232 18 0.385621 18 0.385621 48112 48795 40941
r-101 25 0.806667 25 0.806667 457820 789166 427953
r-619 36 0.0238095 36 0.0238095 1 -1 1
r-391 16 0.283333 16 0.283333 4847 4047 4477
r-1000 28 0.21164 28 0.21164 5813057 7453104 5192655
r-22 21 0.609524 21 0.609524 245236 330894 213628
r-841 21 0.147619 21 0.147619 9220 8685 8926
r-826 28 0.441799 28 0.441799 25087194 30273128 22757162
r-455 27 0.666667 27 0.666667 15846950 13026796 13873098
r-754 30 0.806897 30 0.806897 18426237 24966174 16545059
r-303 38 0.766714 38 0.766714 -1 -1 3233629353
r-258 22 0.316017 22 0.316017 324403 427262 292901
r-1 30 0.783908 30 0.783908 36250370 50757005 33625318
r-465 35 0.163025 35 0.163025 236532612 448846336 214588438
r-375 33 0.943182 33 0.943182 564299 654277 432085
r-882 21 1 21 1 1 1 1
r-645 26 0.6 26 0.6 7148065 7508524 6333704
r-44 33 0.477273 33 0.477273 287905160 311254956 267168388
r-174 29 0.472906 29 0.472906 47991891 47274957 43643777
r-930 23 0.442688 23 0.442688 1079564 1375766 953615
r-429 33 0.0094697 33 0.0094697 -1 71 -1
r-466 39 0.696356 39 0.696356 -1 -1 -1
r-954 35 0.684034 35 0.684034 690252275 775145591 633474791
r-59 31 0.365591 31 0.365591 113261316 116164394 103861400
r-293 39 0.268556 39 0.268556 -1 -1 -1
r-565 33 0.299242 33 0.299242 259751667 304293543 237598187
r-561 29 0.381773 29 0.381773 29220158 31544149 25770813
r-406 17 0.588235 17 0.588235 29469 27202 23628
r-796 36 0.184127 36 0.184127 458090406 1018262381 416224157
r-143 18 0.0718954 18 0.0718954 55 207 55
r-658 18 0.640523 18 0.640523 42184 46436 37467
r-192 25 0.356667 25 0.356667 4321431 5429767 4012944
r-966 20 0.326316 20 0.326316 110026 103748 96177
r-452 39 0.0458839 39 0.0458839 6075704 774704 5141407
r-521 37 0.62012 37 0.62012 2139761979 2520466198 1980120654
r-890 29 0.657635 29 0.657635 30994696 18082816 27395100
r-365 23 0.505929 23 0.505929 1507482 1608259 1408199
r-986 17 0.382353 17 0.382353 48891 42502 44512
