instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped
r-404 48 0.307624 40 0.316667 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-131 49 0.294218 24 0.307971 70640897 18846720 18846720 71792420 19995401 117398199 28168369 28168369 52914646 138332024 138332024
r-445 12 0.393939 44 0.316068 11241 36374 11241 33832 11241 11312 36434 11312 31849 21135 31849
r-453 34 0.336898 13 0.294872 21549 11969 11969 21031 12567 21560 11846 11846 23405 27752 27752
r-487 45 0.30202 28 0.304233 244475910 178269625 178269625 252928861 183687762 454062425 307450897 307450897 232282941 268267410 268267410
r-862 27 0.347578 29 0.332512 7182755 7631118 7182755 8134710 6034719 13395976 14679174 13395976 9795013 8901464 9795013
r-269 44 0.308668 37 0.288288 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-959 50 0.306939 16 0.325 1131375 918429 918429 1137778 979315 1406814 1046742 1046742 1157145 725336 725336
r-242 29 0.310345 37 0.309309 77063080 99170334 77063080 106894017 79576980 135633684 182736814 135633684 111746440 92992999 111746440
r-407 26 0.304615 20 0.336842 428079 302559 302559 459043 292859 726554 455438 455438 356998 546655 546655
r-356 50 0.306122 33 0.329545 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-995 11 0.345455 47 0.287697 122 125 122 115 122 115 155 115 2556 3735 2556
r-852 48 0.31117 25 0.31 114213716 46607796 46607796 116912537 48828674 202613392 73286659 73286659 85710770 170049704 170049704
r-629 38 0.301565 27 0.276353 43613242 38679238 38679238 47667998 39357578 77908949 65038035 65038035 86773110 45039391 45039391
r-19 20 0.331579 46 0.285024 458392 2510869 458392 2465957 445963 621493 3729790 621493 2529943 3245904 2529943
r-669 49 0.309524 17 0.294118 1623961 796949 796949 1622229 823618 1752418 982503 982503 1356532 1495607 1495607
r-956 39 0.291498 27 0.304843 55570517 11377204 11377204 57337694 12704134 98120592 18492090 18492090 39306382 106550315 106550315
r-940 37 0.337838 48 0.29344 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-783 17 0.308824 45 0.319192 506708 1187263 506708 1163385 500435 618978 1608284 618978 860313 644048 860313
r-110 44 0.272727 21 0.352381 5045765 1681992 1681992 5023485 1944335 8185388 2416442 2416442 4148263 3927412 3927412
r-736 43 0.310078 22 0.285714 13268788 8902158 8902158 12954923 9145277 20694476 13075370 13075370 11685534 30891628 30891628
r-71 43 0.315615 28 0.312169 121215950 71479435 71479435 127903791 76620945 230673633 122879834 122879834 143072344 134971404 134971404
r-789 25 0.27 21 0.295238 264258 62397 62397 279521 63681 402964 68832 68832 450626 448615 448615
r-11 36 0.288889 50 0.302857 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-782 35 0.292437 39 0.31309 345010130 341854410 345010130 403278063 316466605 630270194 612799238 630270194 577218547 752807763 577218547
r-12 26 0.326154 30 0.291954 6343963 6372453 6343963 6636019 6465415 10494492 11247671 10494492 16987272 5988148 16987272
r-494 22 0.311688 38 0.30441 1907792 5351016 1907792 5317148 1891850 2933630 9268562 2933630 3642868 5075041 3642868
r-557 48 0.295213 12 0.257576 524 344 344 514 359 549 326 326 1278 844 844
r-542 43 0.292359 40 0.276923 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-372 36 0.339683 36 0.287302 221488324 482507212 221488324 490229831 224032263 424132648 -1 424132648 500848119 511255215 500848119
r-637 21 0.328571 32 0.282258 500447 1464024 500447 1465716 516183 754382 2475775 754382 1462181 2017380 1462181
r-279 29 0.280788 11 0.272727 960 428 428 910 461 927 380 380 357 255 255
r-496 49 0.289966 43 0.276855 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-945 30 0.289655 10 0.377778 7446 2936 2936 7188 3013 7408 3005 3005 420 5109 5109
r-151 29 0.261084 37 0.312312 69467515 49039220 69467515 57591541 65000839 120908638 87048011 120908638 86730128 61211794 86730128
r-91 20 0.294737 38 0.294452 777199 2627459 777199 2663003 753021 1076586 4133004 1076586 1374971 3035874 1374971
r-954 12 0.363636 16 0.233333 620 3216 620 3251 611 845 4962 845 2194 603 2194
r-684 29 0.305419 22 0.294372 1353398 885570 885570 1430269 914966 2292965 1359283 1359283 1280417 2038303 2038303
r-917 36 0.274603 20 0.305263 1808182 530825 530825 1755295 632227 2797770 754129 754129 1836008 1109057 1109057
r-467 21 0.342857 12 0.166667 2051 3986 3986 3263 4203 1576 4416 4416 4228 4381 4381
r-417 24 0.32971 20 0.315789 154430 290714 290714 168441 262579 236227 451178 451178 389514 252389 252389
r-69 44 0.298097 23 0.335968 19283786 7211274 7211274 19487704 7797152 33110666 11149593 11149593 16892259 44588653 44588653
r-962 35 0.287395 15 0.304762 75079 17679 17679 74296 17710 92888 20317 20317 124080 62209 62209
r-208 49 0.297619 12 0.318182 32731 6259 6259 29828 6465 32569 6034 6034 1811 675 675
r-573 22 0.242424 37 0.312312 6828551 4496068 6828551 5416199 6659920 9957945 7138868 9957945 12249046 8597157 12249046
r-432 13 0.307692 24 0.282609 3923 11506 3923 11083 3883 4525 14331 4525 6197 4533 6197
r-38 20 0.310526 40 0.3 2490439 5186028 2490439 5176105 2433916 3567722 8124381 3567722 3299113 4592391 3299113
r-34 36 0.274603 34 0.304813 335529909 83961026 83961026 367935641 75759442 604379900 141524560 141524560 277940494 263526286 263526286
r-500 43 0.30897 45 0.310101 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
