instance n1 density1 n2 density2 mcsplit mcsplit+f mcsplit+bigf
r-2 34 0.336898 34 0.336898 1752 1725 1531
r-187 38 0.234708 38 0.234708 265200638 281340768 228248260
r-408 18 0.522876 18 0.522876 12063 10050 8413
r-757 17 0.308824 17 0.308824 15883 17213 13805
r-752 18 0.20915 18 0.20915 175 175 175
r-549 28 0.42328 28 0.42328 6120820 6399826 5046944
r-855 44 0.359408 44 0.359408 193049 141019 148583
r-800 21 0.428571 21 0.428571 495 554 480
r-666 25 0.52 25 0.52 281621 259716 224945
r-992 39 0.391363 39 0.391363 802961953 915101044 676217003
r-266 28 0.518519 28 0.518519 461770 481375 377280
r-107 38 0.308677 38 0.308677 2102 2430 1950
r-634 15 0.133333 15 0.133333 136 136 136
r-110 18 0.366013 18 0.366013 38804 41844 30810
r-553 13 0.512821 13 0.512821 1332 1221 1270
r-911 38 0.507824 38 0.507824 30235459 37368225 25534519
r-24 46 0.511111 46 0.511111 325124330 331402804 214756718
r-938 13 0.282051 13 0.282051 1775 1990 1658
r-781 44 0.510571 44 0.510571 259011263 324700108 148286065
r-554 47 0.444033 47 0.444033 13631297 14883578 10008214
r-258 27 0.205128 27 0.205128 832200 694061 627847
r-76 23 0.513834 23 0.513834 57348 61909 38660
r-955 14 0.263736 14 0.263736 109 109 109
r-12 25 0.42 25 0.42 1161181 1057806 978033
r-268 46 0.507246 46 0.507246 552024717 621273565 401152543
r-477 31 0.27957 31 0.27957 11947578 14009814 9828753
r-790 29 0.192118 29 0.192118 368 368 368
r-837 35 0.510924 35 0.510924 13689280 14222615 11177906
r-284 27 0.461538 27 0.461538 17183 21631 13898
r-387 37 0.504505 37 0.504505 12587326 15113911 9243525
r-608 22 0.311688 22 0.311688 256367 245692 215079
r-973 28 0.388889 28 0.388889 1489 1388 1203
r-34 19 0.51462 19 0.51462 10248 7032 7055
r-830 41 0.0487805 41 0.0487805 903 903 903
r-260 17 0.485294 17 0.485294 8355 7272 6717
r-77 50 0.470204 50 0.470204 -1 -1 -1
r-881 31 0.473118 31 0.473118 12214754 13650960 9642735
r-754 32 0.314516 32 0.314516 30177879 43220254 26375848
r-321 11 0.327273 11 0.327273 70 70 70
r-868 19 0.409357 19 0.409357 67669 59453 57317
r-164 18 0.522876 18 0.522876 10965 16804 9900
r-200 34 0.513369 34 0.513369 16108725 18377600 13427265
r-448 40 0.224359 40 0.224359 190484942 228261847 157411348
r-273 11 0.509091 11 0.509091 88 82 88
r-541 31 0.425806 31 0.425806 6596 8486 5731
r-239 30 0.45977 30 0.45977 8692570 8820055 7072702
r-864 41 0.487805 41 0.487805 206780943 206126115 157076199
r-760 24 0.463768 24 0.463768 328256 325512 264779
r-817 34 0.499109 34 0.499109 11934692 12665666 8849794
r-537 27 0.14245 27 0.14245 296324 341711 270970
r-484 40 0.466667 40 0.466667 364689458 361638583 276062515
r-548 31 0.473118 31 0.473118 85129 94052 68637
r-890 13 0.512821 13 0.512821 1143 1014 992
r-304 41 0.497561 41 0.497561 30381731 40329982 25249132
r-424 35 0.329412 35 0.329412 3272 2954 3060
r-267 46 0.463768 46 0.463768 2203245128 2361204081 1736414604
r-490 38 0.462304 38 0.462304 2561886 2014731 1840605
r-44 14 0.538462 14 0.538462 801 737 684
r-72 26 0.409231 26 0.409231 1159547 1106006 947038
r-99 23 0.166008 23 0.166008 27710 56082 24879
r-693 37 0.279279 37 0.279279 1295 1295 1263
r-465 36 0.514286 36 0.514286 14834403 13934067 10235886
r-946 19 0.280702 19 0.280702 21862 31402 19685
r-31 44 0.426004 44 0.426004 1193345 892061 881255
r-745 36 0.157143 36 0.157143 578 578 578
r-776 28 0.0714286 28 0.0714286 435 435 435
r-139 28 0.388889 28 0.388889 3774 3475 2937
r-489 15 0.342857 15 0.342857 114 125 123
r-759 42 0.501742 42 0.501742 149996663 168567618 122862969
r-860 26 0.443077 26 0.443077 3643350 3291442 2769850
r-525 44 0.241015 44 0.241015 -1 -1 -1
r-18 19 0.491228 19 0.491228 25848 25375 21196
r-16 12 0.166667 12 0.166667 91 91 91
r-182 32 0.225806 32 0.225806 7884711 13160221 7349075
r-165 23 0.498024 23 0.498024 184519 152008 142555
r-368 28 0.518519 28 0.518519 1827506 1680437 1043980
r-314 10 0.533333 10 0.533333 257 229 204
r-355 41 0.509756 41 0.509756 27121709 55451751 21643906
r-667 16 0.525 16 0.525 7372 5919 6322
r-947 40 0.0974359 40 0.0974359 370908183 241451565 148634820
r-898 38 0.513514 38 0.513514 38694105 42133312 28772047
r-118 19 0.51462 19 0.51462 5425 5990 4854
r-641 10 0.555556 10 0.555556 126 116 127
r-748 37 0.153153 37 0.153153 70532438 60974565 39067199
r-255 21 0.495238 21 0.495238 209538 181907 148374
r-458 24 0.344203 24 0.344203 231 227 237
r-1 39 0.415655 39 0.415655 240456 130732 155741
r-112 33 0.170455 33 0.170455 12205996 23498803 10403536
r-517 20 0.526316 20 0.526316 19903 14691 16224
r-567 37 0.468468 37 0.468468 111726458 100005709 84436621
r-332 45 0.29899 45 0.29899 -1 -1 -1
r-344 27 0.461538 27 0.461538 25650 17627 18823
r-966 24 0.463768 24 0.463768 850232 777195 645305
r-640 48 0.0416667 48 0.0416667 1225 1225 1225
r-863 24 0.15942 24 0.15942 81408 262151 77324
r-298 11 0.436364 11 0.436364 68 65 73
r-803 35 0.514286 35 0.514286 7472971 8265754 5484978
r-871 48 0.382979 48 0.382979 363751 316630 285038
r-199 33 0.117424 33 0.117424 565 565 565
r-56 43 0.511628 43 0.511628 127577563 151578197 103933707
r-193 10 0.355556 10 0.355556 59 59 59
r-48 28 0.198413 28 0.198413 433 411 409
r-36 15 0.514286 15 0.514286 4638 3999 4044
r-587 13 0.153846 13 0.153846 105 105 105
r-796 37 0.513514 37 0.513514 29869374 32920919 19706541
r-339 24 0.463768 24 0.463768 17015 25492 16129
r-474 21 0.380952 21 0.380952 409 430 384
r-856 36 0.412698 36 0.412698 147834 96894 102692
r-831 27 0.205128 27 0.205128 648630 731915 444677
r-86 21 0.257143 21 0.257143 188 188 188
r-189 36 0.412698 36 0.412698 144055643 142667880 109235186
r-532 17 0.485294 17 0.485294 38404 34873 29983
r-526 21 0.180952 21 0.180952 96712 57308 42243
r-682 13 0.538462 13 0.538462 591 536 493
r-222 19 0.105263 19 0.105263 210 210 210
r-214 29 0.44335 29 0.44335 5245630 5024112 3853112
r-79 17 0.514706 17 0.514706 6554 5169 5584
r-538 18 0.522876 18 0.522876 11191 10126 9412
r-579 33 0.503788 33 0.503788 2158178 2592586 1720784
r-103 36 0.5 36 0.5 5077721 4769953 3615436
r-945 31 0.451613 31 0.451613 19618769 20277855 15611742
r-867 44 0.332981 44 0.332981 -1 -1 -1
r-719 45 0.509091 45 0.509091 227853162 253970474 172345027
r-325 11 0.436364 11 0.436364 53 53 53
r-196 50 0.480816 50 0.480816 -1 2441458379 1849279003
r-169 17 0.529412 17 0.529412 11766 10863 9464
r-404 19 0.491228 19 0.491228 2828 2449 2106
r-560 16 0.5 16 0.5 226 256 207
r-270 27 0.39886 27 0.39886 4409 6386 4103
r-635 20 0.505263 20 0.505263 1573 1382 1216
r-766 17 0.308824 17 0.308824 122 122 122
r-515 30 0.287356 30 0.287356 1769 1709 1575
r-75 23 0.300395 23 0.300395 196 196 196
r-700 29 0.295567 29 0.295567 5398575 6075804 4362784
r-333 42 0.493612 42 0.493612 409551184 353622263 263786510
r-206 15 0.247619 15 0.247619 1320 1439 1094
r-701 26 0.443077 26 0.443077 7998 5742 5798
r-544 26 0.516923 26 0.516923 318447 283893 195178
r-419 48 0.509752 48 0.509752 385647702 311748639 276816558
r-680 36 0.322222 36 0.322222 189481536 233385061 150098508
r-51 50 0.04 50 0.04 1326 1326 1326
r-186 19 0.280702 19 0.280702 153 153 153
r-33 12 0.166667 12 0.166667 91 91 91
r-835 43 0.498339 43 0.498339 255742275 223102618 185262358
r-293 22 0.484848 22 0.484848 184108 205399 137653
r-713 21 0.514286 21 0.514286 10857 9167 9325
r-657 41 0.512195 41 0.512195 50471751 52931395 29580680
r-318 38 0.513514 38 0.513514 14139024 17496361 10974058
r-772 31 0.503226 31 0.503226 560947 515497 493701
r-784 25 0.22 25 0.22 221953 496754 184062
r-728 25 0.5 25 0.5 411069 338085 288016
r-483 12 0.409091 12 0.409091 3165 4494 2786
r-746 47 0.227567 47 0.227567 2204 2707 2056
r-711 22 0.519481 22 0.519481 52159 62138 46470
r-862 14 0.527473 14 0.527473 4009 3936 3396
r-65 34 0.513369 34 0.513369 11080167 12723988 7744437
r-696 34 0.499109 34 0.499109 18743542 16797962 13780420
r-838 30 0.45977 30 0.45977 11530168 9976947 8558847
r-563 50 0.457959 50 0.457959 -1 -1 -1
r-518 34 0.299465 34 0.299465 35834889 42752875 29939418
r-330 50 0.326531 50 0.326531 -1 -1 -1
r-570 42 0.214866 42 0.214866 1975 1863 1824
r-174 14 0.142857 14 0.142857 120 120 120
r-905 23 0.498024 23 0.498024 427075 458083 336165
r-392 30 0.186207 30 0.186207 444 470 468
r-360 10 0.2 10 0.2 66 66 66
r-594 26 0.443077 26 0.443077 5040 5017 4013
r-775 26 0.212308 26 0.212308 737103 534126 569746
r-895 44 0.359408 44 0.359408 256836 101823 173184
r-441 17 0.117647 17 0.117647 171 171 171
r-604 29 0.512315 29 0.512315 182646 202794 150182
r-159 14 0.494505 14 0.494505 201 213 188
r-984 22 0.0909091 22 0.0909091 276 276 276
r-348 20 0.505263 20 0.505263 104874 127151 93587
r-601 26 0.212308 26 0.212308 376 356 354
r-669 16 0.325 16 0.325 151 141 139
r-749 32 0.352823 32 0.352823 1691 1654 1402
r-980 34 0.486631 34 0.486631 2271245 1937158 1430596
r-681 45 0.20202 45 0.20202 2274826658 2577493296 1682361585
r-564 29 0.487685 29 0.487685 2409113 2569547 1733159
r-954 43 0.431894 43 0.431894 1299748204 1239386228 1008717415
r-140 25 0.08 25 0.08 351 351 351
r-703 12 0.30303 12 0.30303 333 229 315
r-178 42 0.396051 42 0.396051 1896899566 2094960492 1592228858
r-565 49 0.5 49 0.5 1403649544 1483329970 945112090
r-611 44 0.332981 44 0.332981 32293 30699 26027
r-382 15 0.47619 15 0.47619 229 228 212
r-188 13 0.538462 13 0.538462 670 636 600
r-702 21 0.32381 21 0.32381 46567 50794 35796
r-628 19 0.409357 19 0.409357 21627 19376 16872
r-431 25 0.333333 25 0.333333 670 728 673
r-730 23 0.237154 23 0.237154 298 281 279
r-212 50 0.502857 50 0.502857 2105777490 2704505602 1647353574
r-625 13 0.512821 13 0.512821 300 306 290
r-195 32 0.225806 32 0.225806 1010 980 956
r-219 38 0.102418 38 0.102418 23984208 23376648 27664958
r-385 44 0.473573 44 0.473573 14543660 11336514 7010492
r-253 11 0.327273 11 0.327273 70 70 70
r-828 43 0.172757 43 0.172757 860475262 1569491321 784257702
r-283 13 0.282051 13 0.282051 95 95 95
r-937 50 0.497143 50 0.497143 1452732392 1667276638 1054277970
r-504 49 0.331633 49 0.331633 -1 -1 -1
r-811 18 0.470588 18 0.470588 644 672 592
r-853 28 0.42328 28 0.42328 6054059 6039881 4834842
r-340 16 0.458333 16 0.458333 265 319 253
r-990 47 0.194265 47 0.194265 -1 -1 -1
r-957 16 0.5 16 0.5 749 706 583
r-705 21 0.180952 21 0.180952 104393 73125 94255
r-958 18 0.366013 18 0.366013 151 163 161
r-275 46 0.476329 46 0.476329 2101656861 1878089551 1472342204
r-729 38 0.0526316 38 0.0526316 780 780 780
r-237 37 0.153153 37 0.153153 675 708 706
r-791 50 0.392653 50 0.392653 1909287 1576657 1355275
r-234 14 0.362637 14 0.362637 1214 1144 804
r-422 28 0.349206 28 0.349206 5508485 6289746 4856848
r-685 46 0.198068 46 0.198068 -1 -1 -1
r-150 21 0.466667 21 0.466667 122662 115064 100941
r-513 11 0.545455 11 0.545455 287 206 249
r-694 24 0.463768 24 0.463768 841688 783395 622020
r-603 10 0.355556 10 0.355556 99 135 99
r-459 37 0.348348 37 0.348348 7812 7748 6415
r-17 22 0.52381 22 0.52381 70156 70352 60074
r-432 29 0.502463 29 0.502463 5268974 5814320 4544189
r-370 48 0.223404 48 0.223404 1691 1742 1681
r-138 38 0.398293 38 0.398293 384918487 402509950 316791914
r-485 50 0.497143 50 0.497143 -1 2760754313 1871660309
r-581 34 0.508021 34 0.508021 15854397 14820822 11488051
r-264 50 0.183673 50 0.183673 -1 -1 -1
r-716 10 0.2 10 0.2 66 66 66
r-403 30 0.331034 30 0.331034 9164577 11191935 6943295
r-92 22 0.246753 22 0.246753 207 207 207
r-363 12 0.30303 12 0.30303 82 82 82
r-495 32 0.508065 32 0.508065 2674964 3372223 2095596
r-457 49 0.416667 49 0.416667 3999533 4656459 3117754
r-689 14 0.263736 14 0.263736 1275 1230 1080
r-421 43 0.431894 43 0.431894 1432773904 1407271765 1152073877
r-943 10 0.355556 10 0.355556 59 59 59
r-555 44 0.332981 44 0.332981 1002204049 1333954648 885273312
r-413 45 0.20202 45 0.20202 1843 1842 1969
r-482 13 0.538462 13 0.538462 139 135 139
r-66 31 0.490323 31 0.490323 372882 352966 299181
r-633 30 0.0666667 30 0.0666667 496 496 496
r-823 34 0.499109 34 0.499109 4572728 3080269 2681695
r-292 11 0.181818 11 0.181818 78 78 78
r-109 48 0.421986 48 0.421986 -1 -1 -1
r-417 26 0.52 26 0.52 571384 551543 423051
r-201 24 0.289855 24 0.289855 201 201 201
r-205 33 0.477273 33 0.477273 196018 168595 146064
r-877 14 0.43956 14 0.43956 5283 4905 4827
r-265 20 0.442105 20 0.442105 81965 87804 64942
