instance n1 density1 n2 density2 mcsplit mcsplit+f mcsplit+bigf
r-440 28 0.822751 28 0.822751 2802 1836 2058
r-206 20 0.236842 20 0.236842 16 25 25
r-682 24 0.0181159 24 0.0181159 0 0 0
r-20 38 0.682788 38 0.682788 1000000 1000000 971240
r-829 15 0.52381 15 0.52381 4 7 6
r-843 37 0.6997 37 0.6997 741446 693556 702086
r-254 16 0.375 16 0.375 3 5 3
r-947 17 0.0588235 17 0.0588235 0 0 0
r-142 33 0.543561 33 0.543561 104975 104424 97508
r-599 27 0.0968661 27 0.0968661 89 244 82
r-845 17 0.654412 17 0.654412 6 8 8
r-835 32 0.395161 32 0.395161 90610 89258 82289
r-554 21 0.414286 21 0.414286 250 98 143
r-225 28 0.592593 28 0.592593 11072 11317 10595
r-844 27 0.592593 27 0.592593 5151 4198 4998
r-300 32 0.201613 32 0.201613 14821 22092 13481
r-756 26 0.304615 26 0.304615 1960 1781 1650
r-984 22 0.471861 22 0.471861 254 372 262
r-9 35 0.396639 35 0.396639 227084 235263 207090
r-817 23 0.213439 23 0.213439 64 34 47
r-701 17 0.992647 17 0.992647 0 0 0
r-371 36 0.977778 36 0.977778 1000000 1000000 1000000
r-910 24 0.503623 24 0.503623 617 536 900
r-522 15 0.533333 15 0.533333 3 2 2
r-232 18 0.385621 18 0.385621 27 24 24
r-101 25 0.806667 25 0.806667 193 291 182
r-619 36 0.0238095 36 0.0238095 1 1000000 0
r-391 16 0.283333 16 0.283333 2 2 1
r-1000 28 0.21164 28 0.21164 2226 2218 2140
r-22 21 0.609524 21 0.609524 130 176 145
r-841 21 0.147619 21 0.147619 4 4 2
r-826 28 0.441799 28 0.441799 10386 10628 9913
r-455 27 0.666667 27 0.666667 6596 5467 6248
r-754 30 0.806897 30 0.806897 5334 8020 5075
r-303 38 0.766714 38 0.766714 1000000 1000000 978022
r-258 22 0.316017 22 0.316017 143 124 212
r-1 30 0.783908 30 0.783908 10273 12170 9761
r-465 35 0.163025 35 0.163025 76602 103221 72960
r-375 33 0.943182 33 0.943182 804 12331 874
r-882 21 1 21 1 0 0 0
r-645 26 0.6 26 0.6 2673 2759 2452
r-44 33 0.477273 33 0.477273 123773 120530 118628
r-174 29 0.472906 29 0.472906 18333 16997 17285
r-930 23 0.442688 23 0.442688 463 439 511
r-429 33 0.0094697 33 0.0094697 1000000 1 1000000
r-466 39 0.696356 39 0.696356 1000000 1000000 1000000
r-954 35 0.684034 35 0.684034 273793 272654 257515
r-59 31 0.365591 31 0.365591 40225 41691 37909
r-293 39 0.268556 39 0.268556 1000000 1000000 1000000
r-565 33 0.299242 33 0.299242 100668 102233 96425
r-561 29 0.381773 29 0.381773 12899 12959 11715
