instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped-D mcsplit-smart-swapped-O mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped-D mcsplit-b-smart-swapped-O mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped-D mcsplit-nosort-smart-swapped-O
r-398 43 0.438538 46 0.397101 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000
r-832 40 0.120513 23 0.865613 21 11 11 6 35 14 20 22 13 22 24 21 20 20
r-439 26 0.910769 20 0.515789 46 3 6 7 62 9 73 5 5 10 73 24 25 24
r-275 43 0.570321 48 0.633865 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000
r-292 23 0.304348 45 0.0737374 17 3917 18 10 3352 36 24 4516 14 24 50 4862 30 49
r-329 16 0.266667 10 0.733333 0 0 0 0 0 0 0 0 0 0 0 0 0 0
r-430 18 0.601307 40 0.00384615 1 216 0 0 433 1 1 317 1 1 18 205 32 19
r-575 13 0.0384615 33 0.535985 34 10 5 34 37 29 28 17 18 48 59 23 23 35
r-775 24 0.644928 33 0.587121 3550 3863 3859 3507 3953 3387 6521 7510 7441 6514 4581 5151 4874 4729
r-669 50 0.0555102 12 0.393939 3 3 3 1 3 2 5 2 1 2 2 5 5 2
r-668 30 0.117241 24 0.768116 27 15 15 8 37 23 45 21 22 13 33 14 24 24
r-412 11 0.218182 16 0.633333 1 0 0 1 1 1 1 0 1 1 1 1 0 2
r-906 34 0.206774 18 0.398693 380 30 46 46 203 68 397 65 68 65 290 89 141 140
r-578 40 0.487179 41 0.0780488 1486 10092 942 908 7325 1225 1606 18604 1493 1489 4352 14149 4044 4093
r-679 35 0.447059 49 0.259354 468792 1000000 468991 468250 938148 578941 912653 1000000 914642 912624 542107 977587 541384 543713
r-790 25 0.696667 45 0.773737 9009 42562 8264 7911 39195 8376 11235 70204 11255 11368 20274 43594 19985 19863
r-56 10 0.2 28 0.769841 0 1 1 0 1 0 1 2 2 1 1 1 2 1
r-888 29 0.82266 42 0.878049 4705 51569 4863 4740 45159 5727 5864 68917 6755 6560 9075 99286 9559 9389
r-151 48 0.261525 29 0.46798 177775 48951 48566 48620 153128 65529 364341 87418 87423 87417 165258 123802 124071 125672
r-552 26 0.304615 12 0.575758 13 4 4 8 10 13 17 6 10 6 21 11 7 7
r-186 46 0.0309179 20 0.457895 228 6 10 6 402 17 321 8 8 13 280 42 26 24
r-474 31 0.462366 37 0.651652 62875 71009 62934 63046 110230 70034 131023 141059 131434 131183 80229 88672 80223 80433
r-27 38 0.732575 28 0.367725 2323 2980 2791 2789 3221 3112 3461 5481 5328 5140 4575 3175 3329 3122
r-29 45 0.267677 36 0.431746 975641 290402 290885 290993 797706 399634 1000000 559848 559872 558855 787473 571059 570653 570983
r-110 19 0.976608 50 0.084898 4 1 1 4 3 3 6 3 5 11 3 3 3 3
r-777 50 0.240816 50 0.157551 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000
r-271 33 0.736742 25 0.56 6212 2012 2009 2007 5296 2705 11755 3578 3461 3460 5210 3466 3468 3809
r-35 30 0.0298851 41 0.0695122 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000
r-902 44 0.356237 23 0.980237 22 500 22 500 208 103 47 929 47 1492 78 603 78 597
r-359 39 0.179487 12 0.681818 5 2 3 2 7 15 14 3 5 3 9 4 4 2
r-87 43 0.513843 32 0.352823 322469 314931 323022 315478 397798 308274 682279 651873 682396 653363 348923 348476 349739 346413
r-46 15 0.828571 17 0.764706 2 1 2 3 2 2 4 3 1 2 5 5 5 5
r-963 22 0.04329 17 0.963235 0 0 0 0 0 0 0 0 0 0 0 0 0 0
r-133 49 0.322279 22 0.484848 33277 10198 11716 11122 31490 11363 64144 16815 16814 16836 26574 19869 19712 19615
r-188 28 0.920635 36 0.138095 12 11 11 12 36 22 46 20 20 27 19 23 21 18
r-992 48 0.896277 10 0.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0
r-987 25 0.0566667 40 0.665385 292 24 13 357 296 200 357 44 24 367 358 46 82 361
r-813 44 0.114165 14 0.483516 31 3 5 3 43 9 47 6 6 3 35 17 10 17
