instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped
r-136 24 0.543478 24 0.173913 48140 61532 48140 253725 51805 72984 85673 72984 114342 67268 114342
r-529 24 0.0326087 24 0.608696 45006 1939 1939 152425 9879 32167 1120 1120 29898 3323 3323
r-421 24 0.463768 24 0.688406 181664 188666 181664 728739 167952 266533 270746 266533 990611 638336 990611
r-842 24 0.644928 24 0.576087 1843360 601183 601183 719654 1536336 3427387 984405 984405 1868236 1699806 1699806
r-789 24 0.543478 24 0.623188 922190 1738167 922190 1679030 876411 1633777 3330216 1633777 1640008 1118929 1640008
r-960 24 0.460145 24 0.0289855 866 1294301 866 1304041 1318 611 1454425 611 12572 684485 12572
r-224 24 0.880435 24 0.514493 171526 23396 23396 30485 106962 269884 33937 33937 98420 38257 38257
r-223 24 0.576087 24 0.0217391 1072 72925 1072 103994 924 1528 121302 1528 7913 89328 7913
r-365 24 0.76087 24 0.105072 3258 2412 3258 58497 2662 4292 3259 4292 8128 4431 8128
r-963 24 0.0507246 24 0.264493 4572551 58763 58763 371110 334461 5566001 72289 72289 5205629 79259 79259
r-69 24 0.0326087 24 0.615942 97907 1126 1126 985780 92968 163462 635 635 132683 2111 2111
r-355 24 0.507246 24 0.398551 493620 509002 493620 1186889 446898 804445 803998 804445 1361794 1119333 1361794
r-406 24 0.521739 24 0.945652 10744 164961 10744 169419 10357 5658 232919 5658 16826 157076 16826
r-794 24 0.554348 24 0.677536 305069 1198571 305069 1153736 272468 488457 2208204 488457 643694 1174903 643694
r-656 24 0.492754 24 0.134058 8816 131887 8816 119753 9890 12082 212291 12082 140100 151185 140100
r-644 24 0.746377 24 0.202899 2812 4442 2812 81318 2081 3303 6142 3303 51990 68125 51990
r-119 24 0.166667 24 0.583333 11478 4650 4650 134840 12089 16723 6431 6431 61154 29942 29942
r-533 24 0.380435 24 0.442029 1617692 822316 822316 928322 1362283 3113710 1464995 1464995 1438970 1419436 1419436
r-258 24 0.981884 24 0.73913 482251347 18959 18959 18767896 797321 468377125 9790 9790 382687470 2639518 2639518
r-381 24 0.228261 24 0.775362 7603 2468 7603 72768 7853 10962 3078 10962 40361 14735 40361
r-692 24 0.282609 24 0.757246 9348 14357 9348 181537 9652 14141 20430 14141 77936 45183 77936
r-859 24 0.905797 24 0.605072 202148 12500 12500 16010 131403 313116 16761 16761 289001 415610 415610
r-259 24 0.355072 24 0.275362 409436 1107595 409436 1156417 409294 679764 1916760 679764 761668 1203496 761668
r-520 24 0.688406 24 0.126812 2376 11632 2376 42279 1669 3084 16667 3084 11741 47821 11741
r-438 24 0.438406 24 0.199275 37054 507915 37054 437275 33536 39761 886676 39761 125042 141131 125042
