instance n1 density1 n2 density2 mcsplit mcsplit+f mcsplit+bigf
r-4 39 0.668016 39 0.668016 -1 -1 -1
r-575 30 0.567816 30 0.567816 20089392 13668514 18085056
r-659 38 0.810811 38 0.810811 -1 -1 1213268991
r-31 20 0.821053 20 0.821053 18294 27010 15872
r-246 34 0.188948 34 0.188948 78074884 94738999 69580603
r-797 20 0.910526 20 0.910526 20421 19448 17478
r-465 35 0.163025 35 0.163025 124364774 80650646 117709781
r-353 37 0.698198 37 0.698198 587729064 1024002734 531132505
r-989 27 0.17094 27 0.17094 1160404 732734 1038522
r-236 18 0.163399 18 0.163399 1706 1820 1524
r-388 35 0.65042 35 0.65042 241941552 229056673 199153922
r-408 17 0.875 17 0.875 2636 2477 2781
r-438 26 0.369231 26 0.369231 4182145 4771946 3913754
r-572 22 0.571429 22 0.571429 203711 365909 179541
r-621 17 0.0294118 17 0.0294118 1706 113 1711
r-499 22 0.238095 22 0.238095 180598 110999 166962
r-280 39 0.282051 39 0.282051 -1 -1 -1
r-858 16 0.616667 16 0.616667 11851 11850 9775
r-290 37 0.0015015 37 0.0015015 705 705 705
r-498 33 0.560606 33 0.560606 97855780 77559281 88495376
r-975 29 0.285714 29 0.285714 3035486 8074818 2523872
r-509 29 0.630542 29 0.630542 16048492 12747453 14652198
r-382 16 0.2 16 0.2 10021 5790 8971
r-556 28 0.380952 28 0.380952 5794242 5725093 4951156
r-960 19 0.532164 19 0.532164 24232 70769 21337
r-994 22 0.619048 22 0.619048 255345 219650 216439
r-287 27 0.282051 27 0.282051 4200010 5023738 3888723
r-252 26 0.4 26 0.4 2341345 4612621 2072908
r-374 40 0.888462 40 0.888462 89871996 413299749 78986856
r-891 36 0.9 36 0.9 17377464 33040566 16246557
r-346 33 0.994318 33 0.994318 505 583 506
r-974 33 0.412879 33 0.412879 118201464 122793996 106325021
r-997 22 0.831169 22 0.831169 40845 51434 38219
r-723 34 0.955437 34 0.955437 93776 52576589 7304238
r-691 31 0.709677 31 0.709677 14004857 17635728 10500478
r-45 22 0.766234 22 0.766234 152792 156934 137291
r-303 38 0.766714 38 0.766714 -1 -1 383024174
r-970 16 0.183333 16 0.183333 1756 1124 1516
r-160 38 0.715505 38 0.715505 -1 -1 -1
r-471 37 0.978979 37 0.978979 -1 -1 -1
r-247 34 0.843137 34 0.843137 38731316 74986025 36996765
r-397 38 0.123755 38 0.123755 194850690 625343650 176521841
r-20 38 0.682788 38 0.682788 -1 -1 1100947489
r-425 21 0.204762 21 0.204762 66838 72010 56215
r-117 18 0.464052 18 0.464052 28481 23422 23250
r-201 16 0.141667 16 0.141667 2898 3089 2858
r-945 35 0.890756 35 0.890756 61437901 156464006 47680797
r-387 24 0.833333 24 0.833333 178846 301238 153490
r-770 27 0.77208 27 0.77208 2705529 3430829 2368565
r-350 39 0.684211 39 0.684211 -1 -1 -1
r-798 40 0.989744 40 0.989744 66514 -1 10907
r-583 31 0.883871 31 0.883871 4697611 1941683 4268880
r-802 37 0.678679 37 0.678679 648414168 553667129 613298797
r-315 17 0.0147059 17 0.0147059 142 142 142
r-727 40 0.4 40 0.4 -1 -1 -1
r-848 28 0.671958 28 0.671958 8168330 7986335 6788173
r-188 34 0.522282 34 0.522282 146729410 81401542 136632322
r-447 15 0.714286 15 0.714286 3195 1705 2314
r-39 31 0.931183 31 0.931183 86355 130576 82303
