mcsplit mcsplit-h mcsplit+f mcsplit+fmm mcsplit+bigf mcsplit-swapped mcsplit+S
402 413 647 428 237 446 378
1066 865 1286 1166 1005 955 960
1 2 3 3 1 2 1
1000000 1000000 1000000 1000000 1000000 1000000 1000000
0 0 0 1 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
145 177 100 63 82 56 147
1000000 1000000 1000000 1000000 1000000 1000000 1000000
1000000 1000000 1000000 1000000 1000000 1000000 1000000
1000000 1000000 1000000 1000000 1000000 1000000 1000000
131 241 222 148 189 219 166
0 0 0 0 0 0 0
0 0 0 0 0 0 0
335381 377383 416456 448608 304149 217617 216866
9331 11116 10067 11418 7702 8456 9277
18502 19076 64445 68456 17421 39875 18720
93708 110412 106370 117597 87039 98072 98005
119233 137731 327131 363912 105260 284014 119580
7 13 13 14 6 10 7
260 274 175 184 193 156 154
58 61 134 143 56 70 102
1000000 1000000 1000000 1000000 1000000 1000000 1000000
0 1 1 1 1 1 0
0 0 0 0 0 0 0
41484 47145 31712 35475 40279 26429 41348
201627 229225 299152 315159 186846 216717 215319
119100 132788 170013 182393 107199 103205 117252
1578 1650 1941 1605 1954 1121 1234
3 5 2 4 2 2 3
1470 1382 1549 1424 953 1144 1230
153 169 167 176 83 77 93
0 0 0 0 0 0 0
19418 20521 25283 27121 18072 22202 19383
1000000 1000000 1000000 1000000 1000000 1000000 1000000
3881 3858 5198 5349 3387 3769 3736
83 101 80 86 101 52 83
1 0 0 0 0 1 1
43 29 40 73 43 40 43
0 0 0 0 0 0 0
3641 3570 5328 5389 3192 5600 3601
108 95 86 139 64 141 108
0 0 1 1 0 0 0
5550 6760 15560 17289 5298 13049 13056
338655 383107 435863 484975 290899 294496 339071
3886 4571 4574 4918 3567 4906 3713
1000000 1000000 1000000 1000000 1000000 1000000 1000000
2106 2543 605 647 2008 840 2107
12994 15464 13037 13659 11319 8834 12910
1000000 1000000 1000000 1000000 1000000 1000000 1000000
55339 64755 61617 67665 49584 55320 55500
6420 7345 6701 7346 6131 5307 6434
1000000 1000000 1000000 1000000 1000000 1000000 1000000
1000000 1000000 1000000 1000000 1000000 1000000 1000000
56559 60983 147447 154812 45160 102039 58400
1000000 1000000 1000000 1000000 1000000 1000000 1000000
2960 2315 2810 2946 1938 2033 3025
192 210 217 378 179 179 279
54214 58051 64157 69655 51074 52194 54265
0 0 0 0 0 0 0
2 4 2 2 2 4 4
382 307 295 277 258 300 322
22 21 32 19 17 30 20
0 0 0 0 0 0 0
2329 2445 5629 6546 2518 5019 2907
433 539 348 377 522 183 296
2399 2798 2558 2191 2212 1885 2714
17829 18341 30862 31858 16808 20909 17864
10426 11507 10775 14228 10090 12980 10345
1000000 1000000 1000000 1000000 1000000 1000000 1000000
419 570 846 549 600 811 389
18445 18877 28354 30608 14937 18491 17662
1 1 1 0 1 1 1
0 0 0 0 0 0 0
0 0 0 0 0 0 0
32 20 71 42 31 59 49
8515 10597 3076 3538 8000 2646 8438
6 6 5 4 2 2 2
