instance mcsplit-si-ll mcsplit-si-dom mcsplit-si-dom-D1 mcsplit-si-dom-D2 mcsplit-si-static mcsplit-si-adjmat-dom glasgow glasgow-nosupp ri ri-ds vf3 static-then-dom dom-then-static family vbos vbmcsplit
A.18 0 0 0 0 0 1 16 7 0 11 0 0 0 1 0 0
F.15 2 0 1 1 1 2 409 25 1 68 6 1 0 1 1 0
A.19 0 0 0 0 0 1 17 4 0 6 1 0 0 1 0 0
C.12 188 217 153 269 9 1489 229 118 28 228 21 9 109 1 21 9
B.05 5 8 8 8 2 47 137 64 6 160 53 2 8 1 6 2
A.13 0 0 0 0 0 1 16 7 0 15 0 0 0 1 0 0
A.05 0 0 0 0 0 1 13 7 0 8 0 0 0 1 0 0
F.01 2 0 0 1 1 2 382 14 6 74 6 1 0 1 6 0
E.20 0 0 0 0 0 1 94 8 90635 0 0 0 0 1 0 0
B.13 4 4 4 4 1 39 135 39 0 152 6 1 4 1 0 1
A.14 0 0 4 0 0 1 17 4 0 6 1 0 0 1 0 0
B.04 5 8 2259 5 1 29 95 39 0 100 2 1 8 1 0 1
C.13 6 4 1000000 5 4 27 240 126 1 365 5 4 4 1 1 4
F.07 2 0 1 0 1 2 264 26 30 76 32 1 0 1 26 0
E.13 0 0 0 0 0 1 97 5 1000000 0 0 0 0 1 0 0
E.14 0 0 0 0 0 1 286 12 1000000 0 0 0 0 1 0 0
A.11 0 0 0 0 0 1 15 7 0 12 0 0 0 1 0 0
