instance mcsplit-si-ll mcsplit-si-dom mcsplit-si-dom-D1 mcsplit-si-dom-D2 mcsplit-si-static mcsplit-si-adjmat-dom glasgow glasgow-nosupp ri ri-ds vf3 static-then-dom dom-then-static family vbos vbmcsplit
g12-g48 0 0 0 0 0 0 6 1 4 3 17 0 0 2 1 0
g12-g50 9 10 2286 16 6 5 32 47 2014 1803 3627 6 10 2 32 5
g13-g15 0 0 0 0 0 0 1 0 5 4 0 0 0 2 0 0
g13-g20 3 5 0 6 0 2 96 73 2917 2236 1079 0 5 2 73 0
g13-g21 0 0 0 0 0 0 5 1 1000000 1000000 1000000 0 0 2 1 0
g13-g23 0 0 1000000 0 0 0 1 0 0 0 0 0 0 2 0 0
g13-g25 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
g13-g26 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
g13-g27 0 0 1000000 0 0 0 2 0 6814 4843 52 0 0 2 0 0
g13-g29 0 0 365273 0 0 0 7 3 11 9 37 0 0 2 3 0
g13-g30 0 0 35364 0 0 0 6 1 6 5 8 0 0 2 1 0
g13-g31 1 1 51785 1 0 0 11 11 26 19 92 0 1 2 11 0
g13-g32 0 0 0 0 0 0 12 1 1000000 1000000 1000000 0 0 2 1 0
g13-g38 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
g13-g40 127 157 4 122 5945 80 1291 1022 1000000 1000000 1000000 257 6045 2 1022 80
g13-g43 0 0 0 0 3 0 5 5 1000000 1000000 54836 3 0 2 5 0
g13-g44 1 0 1000000 1 0 1 11 5 16 13 60 0 0 2 5 0
g13-g45 0 0 1000000 0 0 0 8 4 8 7 21 0 0 2 4 0
g13-g46 0 0 1000000 0 0 0 6 1 0 1 1 0 0 2 0 0
g13-g47 0 0 1000000 0 0 0 6 1 1 2 1 0 0 2 1 0
g13-g48 0 0 1000000 0 0 0 7 2 2 3 6 0 0 2 2 0
g13-g49 0 0 1000000 0 0 0 4 4 590229 481749 6093 0 0 2 4 0
g13-g50 38 59 2630 39 601 27 66 190 1000000 1000000 1000000 159 59 2 66 27
g14-g15 0 0 1140 0 0 0 0 0 22 17 42 0 0 2 0 0
g14-g20 1 1 0 2 3 1 61 48 1162 966 2821 3 1 2 48 1
g14-g21 0 0 0 0 0 0 3 0 1000000 1000000 1000000 0 0 2 0 0
