instance mcsplit-si-ll mcsplit-si-dom mcsplit-si-dom-D1 mcsplit-si-dom-D2 mcsplit-si-static mcsplit-si-adjmat-dom glasgow glasgow-nosupp ri ri-ds vf3 static-then-dom dom-then-static family vbos vbmcsplit
all-meshes-CVIU11-pattern1-target155 0 0 0 0 0 35 119 1 0 2 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target156 0 0 0 0 0 98 289 4 0 6 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target157 0 0 0 0 0 26 120 1 0 9 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target158 0 0 0 0 0 107 607 4 0 6 1 0 0 13 0 0
all-meshes-CVIU11-pattern1-target159 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target16 0 0 0 0 0 19 2 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target160 0 0 0 0 0 11 46 1 0 3 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target161 0 0 0 0 0 19 4 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target162 0 0 0 0 0 66 405 7 0 8 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target163 0 0 0 0 0 37 207 8 0 10 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target164 0 0 0 0 0 43 138 1 0 2 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target165 0 0 0 0 0 2 0 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target166 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target167 0 0 0 0 0 47 245 4 0 6 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target168 0 0 0 0 0 15 33 0 0 1 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target169 0 0 0 0 0 89 353 3 0 3 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target17 0 0 0 0 0 17 3 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target170 0 0 0 0 0 7 0 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target171 0 0 0 0 0 7 0 0 0 1 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target172 0 0 0 0 0 6 0 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target173 0 0 0 0 0 11 68 1 0 2 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target174 0 0 0 0 0 5 0 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target175 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target176 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target177 0 0 0 0 0 4 0 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target178 0 0 0 0 0 7 0 0 2 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target179 0 0 0 0 0 1 8 0 0 2 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target18 0 0 0 0 0 18 3 1 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target180 0 0 0 0 0 9 38 0 0 5 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target181 0 0 0 0 0 1 15 0 0 3 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target182 0 0 0 0 0 9 45 1 0 3 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target184 0 0 0 0 0 1 5 0 0 1 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target185 2 3 2 2 3 132 1693 14 377 237 52 3 3 13 14 3
all-meshes-CVIU11-pattern1-target186 1 0 0 0 0 183 2194 7 0 12 1 0 0 13 0 0
all-meshes-CVIU11-pattern1-target187 0 0 0 0 0 124 742 5 16 10 1 0 0 13 1 0
all-meshes-CVIU11-pattern1-target188 0 0 0 0 0 29 73 1 0 3 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target189 0 0 0 0 0 46 5 1 8 7 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target19 0 0 0 0 0 23 3 0 0 0 0 0 0 13 0 0
