instance mcsplit-si-ll mcsplit-si-dom mcsplit-si-dom-D1 mcsplit-si-dom-D2 mcsplit-si-static mcsplit-si-adjmat-dom glasgow glasgow-nosupp ri ri-ds vf3 static-then-dom dom-then-static family vbos vbmcsplit
phase-30-150-0.46-0.50-0.52-4 35808 33584 33474 44871 106614 22276 83674 64450 1000000 1000000 1000000 33684 106714 12 64450 22276
phase-30-150-0.46-0.50-0.52-5 40917 38857 38720 45310 171565 26888 85509 65808 1000000 1000000 1000000 38957 171665 12 65808 26888
phase-30-150-0.46-0.50-0.52-6 37989 35988 35858 45550 165944 23097 86329 66333 1000000 1000000 1000000 36088 166044 12 66333 23097
phase-30-150-0.46-0.50-0.52-7 34775 33189 33301 41399 113601 22050 84262 65214 1000000 1000000 1000000 33289 113701 12 65214 22050
phase-30-150-0.46-0.50-0.52-8 37844 36118 36154 42107 152671 23713 88055 68401 1000000 1000000 1000000 36218 152771 12 68401 23713
phase-30-150-0.48-0.50-0.54-1 29920 27973 27994 41712 124087 19685 76425 57374 1000000 1000000 1000000 28073 124187 12 57374 19685
phase-30-150-0.48-0.50-0.54-2 28910 27114 26767 48160 76822 19602 88803 67229 1000000 1000000 1000000 27214 76922 12 67229 19602
phase-30-150-0.48-0.50-0.54-3 35500 33536 33738 46097 118173 22586 90053 68480 1000000 1000000 1000000 33636 118273 12 68480 22586
phase-30-150-0.48-0.50-0.54-4 42582 39690 39713 44677 139210 29941 84041 63225 1000000 1000000 1000000 39790 139310 12 63225 29941
phase-30-150-0.48-0.50-0.54-5 36429 34789 34826 42758 87207 22399 80393 60980 1000000 1000000 1000000 34889 87307 12 60980 22399
phase-30-150-0.48-0.50-0.54-6 35765 33815 34683 46693 134805 24338 87182 65737 1000000 1000000 1000000 33915 134905 12 65737 24338
phase-30-150-0.48-0.50-0.54-7 34563 32328 33516 42295 111623 21961 79081 59968 1000000 1000000 1000000 32428 111723 12 59968 21961
phase-30-150-0.48-0.50-0.54-8 29007 27047 27230 44650 88038 20038 82981 62832 1000000 1000000 1000000 27147 88138 12 62832 20038
phase-30-150-0.50-0.52-0.54-1 28814 26243 26254 41294 73297 20157 77495 58363 1000000 1000000 1000000 26343 73397 12 58363 20157
phase-30-150-0.50-0.52-0.54-2 40586 37356 37352 47765 128257 29583 92690 69454 1000000 1000000 1000000 37456 128357 12 69454 29583
phase-30-150-0.50-0.52-0.54-3 28438 26102 26194 44092 52450 19948 78194 58246 1000000 1000000 1000000 26202 52550 12 58246 19948
phase-30-150-0.50-0.52-0.54-4 37705 34945 45479 45275 136473 24992 86758 65703 1000000 1000000 1000000 35045 136573 12 65703 24992
phase-30-150-0.50-0.52-0.54-5 31732 30264 30253 46545 90543 19847 90411 67568 1000000 1000000 1000000 30364 90643 12 67568 19847
phase-30-150-0.50-0.52-0.54-6 39626 36287 36384 49041 120997 25789 95339 71973 1000000 1000000 1000000 36387 121097 12 71973 25789
phase-30-150-0.50-0.52-0.54-7 38544 35951 35703 41453 111643 27029 82098 61803 1000000 1000000 1000000 36051 111743 12 61803 27029
phase-30-150-0.50-0.52-0.54-8 36990 34364 33778 47147 112236 25928 89982 68021 1000000 1000000 1000000 34464 112336 12 68021 25928
phase-30-150-0.52-0.54-0.56-1 23596 21461 21346 35198 70923 16398 60544 45143 1000000 1000000 1000000 21561 71023 12 45143 16398
phase-30-150-0.52-0.54-0.56-2 23579 22225 21717 41032 52103 16021 73324 54996 1000000 1000000 1000000 22325 52203 12 54996 16021
phase-30-150-0.52-0.54-0.56-3 19771 18457 19268 65184 32969 13391 108226 80198 1000000 1000000 1000000 18557 33069 12 80198 13391
phase-30-150-0.52-0.54-0.56-4 27589 25636 25314 40076 67605 20008 77041 56837 1000000 1000000 1000000 25736 67705 12 56837 20008
phase-30-150-0.52-0.54-0.56-5 17214 16257 16814 34701 64912 11302 64676 48553 1000000 1000000 1000000 16357 65012 12 48553 11302
phase-30-150-0.52-0.54-0.56-6 22661 20869 20826 41809 59929 15642 80821 60818 1000000 1000000 1000000 20969 60029 12 60818 15642
phase-30-150-0.52-0.54-0.56-7 11493 10566 10673 44024 23533 8075 70734 52525 1000000 1000000 1000000 10666 23633 12 52525 8075
phase-30-150-0.52-0.54-0.56-8 19106 18066 17962 31251 34189 12030 54102 40723 1000000 1000000 1000000 18166 34289 12 40723 12030
phase-30-150-0.54-0.56-0.58-1 21946 20130 40701 40307 42764 13848 73618 53961 1000000 1000000 1000000 20230 42864 12 53961 13848
phase-30-150-0.54-0.56-0.58-2 16447 15029 63661 63476 39941 11960 121960 89954 1000000 1000000 1000000 15129 40041 12 89954 11960
phase-30-150-0.54-0.56-0.58-3 14880 13770 13880 34316 26234 9295 68250 50331 1000000 1000000 1000000 13870 26334 12 50331 9295
phase-30-150-0.54-0.56-0.58-4 16224 15069 15059 42419 24400 10653 73689 54054 1000000 1000000 1000000 15169 24500 12 54054 10653
phase-30-150-0.54-0.56-0.58-5 16433 14460 14855 44228 28589 10758 77745 57224 1000000 1000000 1000000 14560 28689 12 57224 10758
phase-30-150-0.54-0.56-0.58-6 11311 10307 10371 33327 16977 8085 57859 42690 1000000 1000000 1000000 10407 17077 12 42690 8085
phase-30-150-0.54-0.56-0.58-7 9626 8569 8753 25302 13685 6018 41739 30452 1000000 1000000 1000000 8669 13785 12 30452 6018
phase-30-150-0.54-0.56-0.58-8 18911 17312 17231 30762 40914 13262 50473 37724 1000000 1000000 1000000 17412 41014 12 37724 13262
phase-30-150-0.56-0.56-0.60-1 19825 17586 39023 38923 35525 14727 61837 45325 1000000 1000000 1000000 17686 35625 12 45325 14727
