instance mcsplit-si-ll mcsplit-si-dom mcsplit-si-dom-D1 mcsplit-si-dom-D2 mcsplit-si-static mcsplit-si-adjmat-dom glasgow glasgow-nosupp ri ri-ds vf3 static-then-dom dom-then-static family vbos vbmcsplit
si6_m4D_m1296.08 3 4 2 2 3 26 255 191 1 77 77 3 4 5 1 3
si6_m4D_m1296.04 8 8 6 8 9 38 233 142 9 158 159 9 8 5 9 8
si6_m4D_m1296.06 3 4 6 4 11 34 645 1418 11 247 303 11 4 5 11 4
si6_m4D_m1296.01 4234 5124 5318 5070 2404 18307 1274 4175 24757 17494 1000000 5224 2504 5 1274 2404
si6_m4D_m1296.03 50 130 99 132 13 790 3329 4794 92 364 447807 13 113 5 92 13
si2_m4Dr6_m256.06 2 2 1 2 0 6 6 9 0 3 0 0 2 6 0 0
si2_m4Dr6_m256.05 0 0 0 0 0 0 5 3 0 3 0 0 0 6 0 0
si2_m4Dr6_m256.09 3 2 2 2 0 10 6 10 0 2 14 0 2 6 0 0
si2_m4Dr6_m256.00 1 2 1 2 0 4 6 4 1 2 4 0 2 6 1 0
si2_m4Dr6_m256.07 0 0 0 0 0 0 6 1 0 1 0 0 0 6 0 0
si2_m4Dr6_m256.04 0 0 0 0 0 0 6 3 0 3 0 0 0 6 0 0
si2_m4Dr6_m256.02 0 0 0 0 0 1 6 9 0 3 0 0 0 6 0 0
si2_m4Dr6_m256.01 4 9 5 5 0 23 6 6 0 3 0 0 9 6 0 0
si2_m4Dr6_m256.08 1 1 1 1 1 4 4 30 5 4 5 1 1 6 4 1
si2_m4Dr6_m256.03 0 0 0 0 0 0 6 2 0 3 0 0 0 6 0 0
si6_m4Dr2_m1296.05 3 2 2 2 2 26 316 150 0 273 3 2 2 6 0 2
si6_m4Dr2_m1296.09 3 2 3 2 4 18 269 147 1 322 2 4 2 6 1 2
si6_m4Dr2_m1296.01 2 2 2 2 2 17 250 149 1 241 2 2 2 6 1 2
si6_m4Dr2_m1296.06 2 1 1 2 4 16 275 157 0 172 3 4 1 6 0 1
si6_m4Dr2_m1296.07 3 2 3 2 2 19 305 151 0 298 3 2 2 6 0 2
si6_m4Dr2_m1296.03 2 2 2 2 2 26 247 148 0 313 3 2 2 6 0 2
si6_m4Dr2_m1296.04 2 2 2 2 4 26 272 148 1 196 2 4 2 6 1 2
si6_m4Dr2_m1296.00 3 2 2 1 2 18 268 154 0 336 3 2 2 6 0 2
si6_m4Dr2_m1296.08 2 2 2 2 2 19 275 148 0 331 2 2 2 6 0 2
si6_m4Dr2_m1296.02 2 2 2 1 2 25 364 149 0 111 2 2 2 6 0 2
si2_m4Dr2_m625.05 1 0 0 1 1 7 27 12 1 16 1 1 0 6 1 0
si2_m4Dr2_m625.00 0 0 0 0 0 3 22 72 6 19 2 0 0 6 2 0
si2_m4Dr2_m625.08 0 0 0 0 0 2 24 5 0 10 0 0 0 6 0 0
si2_m4Dr2_m625.09 0 0 0 0 0 3 26 5 0 16 0 0 0 6 0 0
si2_m4Dr2_m625.06 1 1 1 1 0 9 28 31 4 28 14 0 1 6 4 0
si2_m4Dr2_m625.04 2 4 2 4 0 19 17 11 1 16 0 0 4 6 0 0
si2_m4Dr2_m625.01 1 1 1 2 1 10 28 12 2 23 4 1 1 6 2 1
si2_m4Dr2_m625.03 1 0 0 0 0 5 17 108 8 26 20 0 0 6 8 0
si2_m4Dr2_m625.02 1 1 1 1 1 5 27 5 3 22 5 1 1 6 3 1
si2_m4Dr2_m625.07 0 0 0 0 0 3 28 11 0 33 0 0 0 6 0 0
si4_m4Dr6_m256.01 0 0 0 0 0 0 10 4 0 7 0 0 0 6 0 0
si4_m4Dr6_m256.00 1 0 0 0 0 1 11 2 0 4 1 0 0 6 0 0
si4_m4Dr6_m256.05 1 1 0 1 1 2 13 15 4 7 5 1 1 6 4 1
si4_m4Dr6_m256.08 0 0 0 0 0 0 6 12 1 4 1 0 0 6 1 0
si4_m4Dr6_m256.03 0 0 0 0 0 1 10 2 0 7 0 0 0 6 0 0
si4_m4Dr6_m256.06 0 0 0 0 0 1 11 6 0 4 0 0 0 6 0 0
si4_m4Dr6_m256.09 0 0 0 0 0 0 11 2 0 9 0 0 0 6 0 0
si4_m4Dr6_m256.07 3 3 2 3 1 4 15 21 19 16 9 1 3 6 9 1
si4_m4Dr6_m256.02 0 0 0 0 0 0 10 2 0 4 0 0 0 6 0 0
si4_m4Dr6_m256.04 0 0 0 0 0 2 6 16 1 7 2 0 0 6 1 0
si2_m4D_m256.08 0 0 0 0 0 0 6 2 1 4 0 0 0 5 0 0
si2_m4D_m256.03 0 0 0 0 0 0 4 2 0 2 5 0 0 5 0 0
si2_m4D_m256.02 0 0 0 0 0 0 5 1 0 2 2 0 0 5 0 0
si2_m4D_m256.06 0 0 0 0 0 0 6 2 0 1 0 0 0 5 0 0
si2_m4D_m256.04 0 0 0 0 0 0 4 1 0 0 0 0 0 5 0 0
si2_m4D_m256.07 0 0 0 0 0 0 5 1 0 2 1 0 0 5 0 0
si2_m4D_m256.01 0 0 0 0 0 0 7 2 0 2 30 0 0 5 0 0
si2_m4D_m256.09 0 0 0 0 0 0 3 4 0 2 12 0 0 5 0 0
si2_m4D_m256.00 0 0 0 0 0 0 6 2 0 2 0 0 0 5 0 0
si2_m4D_m256.05 0 0 0 0 0 0 4 2 0 1 0 0 0 5 0 0
si2_m4Dr4_m625.07 3 3 4 3 4 12 19 69 9 23 22 4 3 6 9 3
si2_m4Dr4_m625.02 0 0 0 0 0 2 28 5 0 13 0 0 0 6 0 0
si2_m4Dr4_m625.03 0 0 0 0 0 2 25 5 0 12 0 0 0 6 0 0
si2_m4Dr4_m625.00 0 0 0 0 0 2 26 5 0 16 0 0 0 6 0 0
si2_m4Dr4_m625.05 0 0 0 0 0 3 28 5 0 15 0 0 0 6 0 0
si2_m4Dr4_m625.06 1 1 1 2 1 8 18 11 1 21 0 1 1 6 0 1
si2_m4Dr4_m625.09 342 283 314 331 16 1107 175 538 34 54 17 16 116 6 17 16
si2_m4Dr4_m625.01 0 0 0 0 0 4 19 26 0 17 1 0 0 6 0 0
si2_m4Dr4_m625.08 5 5 5 5 13 19 46 116 23 22 36 13 5 6 22 5
si2_m4Dr4_m625.04 63 39 38 72 2 121 22 157 31 36 87 2 39 6 22 2
si4_m4Dr2_m1296.07 2 1 1 1 1 13 186 76 0 153 2 1 1 6 0 1
si4_m4Dr2_m1296.00 1 1 1 1 1 13 144 77 0 119 2 1 1 6 0 1
si4_m4Dr2_m1296.05 1 1 1 1 1 19 189 75 0 66 2 1 1 6 0 1
si4_m4Dr2_m1296.04 1 1 1 1 1 20 181 76 0 137 1 1 1 6 0 1
si4_m4Dr2_m1296.08 4 2 4 2 4 34 253 148 8 172 18 4 2 6 8 2
si4_m4Dr2_m1296.01 1 1 1 1 1 15 146 75 2 155 2 1 1 6 2 1
si4_m4Dr2_m1296.06 1 1 1 1 1 20 147 78 0 94 2 1 1 6 0 1
si4_m4Dr2_m1296.02 1 1 0 1 2 12 177 74 0 198 2 2 1 6 0 1
si4_m4Dr2_m1296.03 1 0 1 1 3 12 167 159 39 229 16 3 0 6 16 0
si4_m4Dr2_m1296.09 1 1 0 0 1 13 159 75 0 133 2 1 1 6 0 1
si2_m4Dr4_m1296.08 2 3 1 1 2 26 82 31 31 109 38 2 3 6 31 2
si2_m4Dr4_m1296.07 1 0 1 0 0 12 77 29 0 101 1 0 0 6 0 0
si2_m4Dr4_m1296.03 1 2 1 2 1 15 94 428 23 134 174 1 2 6 23 1
si2_m4Dr4_m1296.05 0 0 0 0 0 10 65 49 0 23 0 0 0 6 0 0
si2_m4Dr4_m1296.06 0 0 0 0 1 15 122 49 0 95 0 1 0 6 0 0
si2_m4Dr4_m1296.04 99 140 96 96 0 587 67 27 0 62 0 0 100 6 0 0
si2_m4Dr4_m1296.09 1 1 1 1 1 15 77 111 1 91 1 1 1 6 1 1
si2_m4Dr4_m1296.01 1 0 0 0 0 10 77 58 0 116 0 0 0 6 0 0
si2_m4Dr4_m1296.00 1 1 1 1 0 19 75 29 1 70 1 0 1 6 1 0
si2_m4Dr4_m1296.02 1 1 2 1 1 26 138 149 0 88 1 1 1 6 0 1
si6_m4Dr6_m1296.02 4 2 2 2 2 22 292 203 0 391 3 2 2 6 0 2
si6_m4Dr6_m1296.08 4 3 3 3 2 28 285 206 1 185 2 2 3 6 1 2
si6_m4Dr6_m1296.07 3 2 2 3 4 19 338 153 0 172 2 4 2 6 0 2
si6_m4Dr6_m1296.06 4 2 3 2 2 20 273 152 0 106 2 2 2 6 0 2
si6_m4Dr6_m1296.03 3 3 2 2 2 20 313 160 1 229 2 2 3 6 1 2
si6_m4Dr6_m1296.04 4 3 2 3 2 20 291 208 0 366 3 2 3 6 0 2
si6_m4Dr6_m1296.05 3 2 3 2 4 20 307 154 0 229 4 4 2 6 0 2
si6_m4Dr6_m1296.00 3 2 3 2 2 20 283 154 0 136 3 2 2 6 0 2
si6_m4Dr6_m1296.09 3 2 2 2 2 20 299 156 0 115 2 2 2 6 0 2
si6_m4Dr6_m1296.01 3 2 2 2 2 29 275 154 0 120 2 2 2 6 0 2
si4_m4Dr2_m256.00 0 0 0 0 0 0 10 4 0 6 0 0 0 6 0 0
si4_m4Dr2_m256.01 0 0 0 0 0 0 8 3 0 3 0 0 0 6 0 0
si4_m4Dr2_m256.05 0 0 0 0 0 1 9 3 0 6 0 0 0 6 0 0
si4_m4Dr2_m256.04 0 0 0 0 0 0 9 3 0 6 0 0 0 6 0 0
si4_m4Dr2_m256.08 0 0 0 0 0 0 9 4 0 4 0 0 0 6 0 0
si4_m4Dr2_m256.07 0 0 0 0 1 1 5 3 1 7 0 1 0 6 0 0
si4_m4Dr2_m256.06 0 0 0 0 0 0 5 3 0 5 0 0 0 6 0 0
si4_m4Dr2_m256.02 0 0 0 0 0 0 8 3 0 4 0 0 0 6 0 0
si4_m4Dr2_m256.09 0 0 0 0 0 0 9 3 0 5 0 0 0 6 0 0
si4_m4Dr2_m256.03 0 0 0 0 0 0 6 4 0 7 0 0 0 6 0 0
si4_m4Dr4_m625.07 0 0 0 0 0 4 37 13 0 61 1 0 0 6 0 0
si4_m4Dr4_m625.05 0 0 0 0 0 3 30 21 0 32 0 0 0 6 0 0
si4_m4Dr4_m625.01 0 0 0 0 0 4 28 12 0 49 1 0 0 6 0 0
si4_m4Dr4_m625.08 0 0 0 0 0 5 33 13 0 43 0 0 0 6 0 0
si4_m4Dr4_m625.09 0 0 0 0 0 4 31 22 0 54 0 0 0 6 0 0
si4_m4Dr4_m625.00 1 1 1 0 1 5 35 47 0 37 0 1 1 6 0 1
si4_m4Dr4_m625.04 0 0 0 0 0 4 34 22 0 24 0 0 0 6 0 0
si4_m4Dr4_m625.06 0 0 0 0 0 4 57 13 0 34 0 0 0 6 0 0
si4_m4Dr4_m625.03 0 0 0 0 0 5 31 22 0 32 0 0 0 6 0 0
