instance mcsplit-si-ll mcsplit-si-dom mcsplit-si-dom-D1 mcsplit-si-dom-D2 mcsplit-si-static mcsplit-si-adjmat-dom glasgow glasgow-nosupp ri ri-ds vf3 static-then-dom dom-then-static family vbos vbmcsplit
si2_b06_m200.02 0 0 0 0 0 0 6 1 0 1 0 0 0 3 0 0
si2_b06_m200.00 0 0 0 0 0 0 4 1 0 1 0 0 0 3 0 0
si2_b06_m200.01 0 0 0 0 0 0 6 1 0 1 0 0 0 3 0 0
si2_b06_m200.06 0 0 0 0 0 0 4 0 0 1 0 0 0 3 0 0
si2_b06_m200.09 0 0 0 0 0 0 3 1 0 2 0 0 0 3 0 0
si2_b06_m200.07 0 0 0 0 0 0 6 0 0 1 0 0 0 3 0 0
si2_b06_m200.04 0 0 0 0 0 0 6 1 0 2 0 0 0 3 0 0
si2_b06_m200.08 0 0 0 0 0 0 3 0 0 1 0 0 0 3 0 0
si2_b06_m200.03 0 0 0 0 0 0 3 0 0 1 0 0 0 3 0 0
si2_b06_m200.05 0 0 0 0 0 0 3 1 0 1 0 0 0 3 0 0
si2_b09m_m800.09 0 0 0 0 0 3 57 17 0 29 0 0 0 4 0 0
si2_b09m_m800.07 15710 18157 18571 17617 0 15172 58 24 1 35 0 0 100 4 0 0
si2_b09m_m800.00 0 0 0 0 0 5 63 18 0 48 0 0 0 4 0 0
si2_b09m_m800.04 0 0 0 0 0 5 56 17 4 18 0 0 0 4 0 0
si2_b09m_m800.02 0 0 0 0 0 5 60 11 0 24 0 0 0 4 0 0
si2_b09m_m800.05 0 0 0 0 0 5 35 9 0 48 0 0 0 4 0 0
si2_b09m_m800.03 0 0 0 0 0 3 67 13 1 47 10 0 0 4 1 0
si2_b09m_m800.08 0 0 0 0 0 4 55 10 0 17 0 0 0 4 0 0
si2_b09m_m800.06 0 0 0 0 0 6 67 11 0 29 0 0 0 4 0 0
si2_b09m_m800.01 0 0 0 0 0 5 39 19 0 56 0 0 0 4 0 0
si4_b03_m400.01 0 0 0 0 0 1 25 5 0 6 0 0 0 3 0 0
si4_b03_m400.02 0 0 0 0 0 1 24 5 0 6 0 0 0 3 0 0
si4_b03_m400.05 0 0 0 0 0 1 13 5 0 9 0 0 0 3 0 0
si4_b03_m400.07 0 0 0 0 0 1 24 10 0 9 0 0 0 3 0 0
si4_b03_m400.06 0 0 0 0 0 1 20 5 0 10 0 0 0 3 0 0
si4_b03_m400.00 0 0 0 0 0 1 25 5 0 10 0 0 0 3 0 0
si4_b03_m400.03 0 0 0 0 0 1 25 10 0 9 0 0 0 3 0 0
si4_b03_m400.04 0 0 0 0 0 1 25 10 0 10 0 0 0 3 0 0
si4_b03_m400.09 0 0 0 0 0 1 14 10 0 6 0 0 0 3 0 0
si4_b03_m400.08 0 0 0 0 0 1 24 5 0 10 0 0 0 3 0 0
si2_b03_m200.05 0 0 0 0 0 0 3 0 0 0 0 0 0 3 0 0
si2_b03_m200.09 0 0 0 0 0 0 3 0 0 1 0 0 0 3 0 0
si2_b03_m200.07 0 0 0 0 0 0 3 0 0 1 0 0 0 3 0 0
si2_b03_m200.01 0 0 0 0 0 0 3 1 0 1 0 0 0 3 0 0
si2_b03_m200.08 0 0 0 0 0 0 3 0 0 1 0 0 0 3 0 0
si2_b03_m200.02 0 0 0 0 0 0 2 1 0 1 0 0 0 3 0 0
si2_b03_m200.04 0 0 0 0 0 0 3 1 0 1 0 0 0 3 0 0
si2_b03_m200.03 0 0 0 0 0 0 2 0 0 1 0 0 0 3 0 0
si2_b03_m200.06 0 0 0 0 0 0 3 1 0 1 0 0 0 3 0 0
si2_b03_m200.00 0 0 0 0 0 0 2 1 0 1 0 0 0 3 0 0
si4_b09_m400.05 0 0 0 0 0 1 89 8 0 12 0 0 0 3 0 0
si4_b09_m400.03 0 0 0 0 0 1 83 8 0 20 0 0 0 3 0 0
si4_b09_m400.00 0 0 0 0 0 1 86 15 0 20 0 0 0 3 0 0
si4_b09_m400.07 0 0 0 0 0 1 63 15 0 20 0 0 0 3 0 0
si4_b09_m400.01 0 0 0 0 0 1 83 15 0 21 0 0 0 3 0 0
si4_b09_m400.06 0 0 0 0 0 1 82 15 0 20 0 0 0 3 0 0
si4_b09_m400.04 0 0 0 0 0 1 81 15 0 20 0 0 0 3 0 0
si4_b09_m400.02 0 0 0 0 0 1 48 8 0 11 0 0 0 3 0 0
si4_b09_m400.08 0 0 0 0 0 1 83 15 0 21 0 0 0 3 0 0
si4_b09_m400.09 0 0 0 0 0 1 84 15 0 20 0 0 0 3 0 0
si4_b06m_m400.06 0 0 0 0 0 1 11 9 0 9 0 0 0 4 0 0
si4_b06m_m400.03 0 0 0 0 0 2 20 5 0 10 0 0 0 4 0 0
si4_b06m_m400.01 0 0 0 0 0 1 22 5 0 23 0 0 0 4 0 0
si4_b06m_m400.08 0 0 0 0 0 1 11 8 0 10 0 0 0 4 0 0
si4_b06m_m400.05 0 0 0 0 0 1 19 8 0 12 0 0 0 4 0 0
si4_b06m_m400.07 0 0 0 0 0 1 23 9 0 26 0 0 0 4 0 0
si4_b06m_m400.00 0 0 0 0 0 1 19 5 0 8 0 0 0 4 0 0
si4_b06m_m400.04 0 0 0 0 0 1 13 5 0 23 0 0 0 4 0 0
si4_b06m_m400.09 0 0 0 0 0 1 18 5 0 7 0 0 0 4 0 0
si4_b06m_m400.02 0 0 0 0 0 1 17 5 0 7 0 0 0 4 0 0
si4_b03m_m400.03 0 0 0 0 0 1 13 7 0 6 0 0 0 4 0 0
si4_b03m_m400.09 0 0 0 0 0 1 13 7 0 6 2 0 0 4 0 0
si4_b03m_m400.08 0 0 0 0 0 1 13 7 0 7 2 0 0 4 0 0
si4_b03m_m400.04 0 0 0 0 0 2 8 8 0 6 1 0 0 4 0 0
si4_b03m_m400.00 0 0 0 0 0 1 13 4 0 8 3 0 0 4 0 0
si4_b03m_m400.01 0 0 0 0 0 1 13 8 1 5 1 0 0 4 1 0
si4_b03m_m400.07 0 0 0 0 0 1 8 4 0 10 0 0 0 4 0 0
si4_b03m_m400.02 0 0 0 0 0 1 14 4 1338 3 1 0 0 4 1 0
si4_b03m_m400.06 0 0 0 0 0 1 8 4 33 3 0 0 0 4 0 0
si4_b03m_m400.05 0 0 0 0 0 1 8 6 47 6 0 0 0 4 0 0
si2_b03m_m400.02 1 1 0 1 2 3 4 2 0 5 0 2 1 4 0 1
si2_b03m_m400.00 0 0 0 0 0 1 7 2 4 3 0 0 0 4 0 0
si2_b03m_m400.01 0 0 0 0 0 0 7 3 34 1 0 0 0 4 0 0
si2_b03m_m400.05 0 0 0 0 0 3 7 2 0 4 0 0 0 4 0 0
si2_b03m_m400.08 0 0 0 0 0 1 4 3 0 2 0 0 0 4 0 0
si2_b03m_m400.07 0 0 0 0 0 0 4 3 0 2 0 0 0 4 0 0
si2_b03m_m400.09 0 0 0 0 0 0 6 3 3 2 1 0 0 4 1 0
si2_b03m_m400.03 0 0 0 0 0 0 4 3 5452 1 1 0 0 4 1 0
si2_b03m_m400.04 0 0 0 0 0 1 7 3 0 2 0 0 0 4 0 0
si2_b03m_m400.06 0 0 0 0 0 1 7 4 260799 3 0 0 0 4 0 0
si2_b03m_m200.05 0 0 0 0 0 0 2 1 0 0 0 0 0 4 0 0
si2_b03m_m200.03 0 0 0 0 0 0 1 1 0 0 0 0 0 4 0 0
si2_b03m_m200.00 0 0 0 0 0 0 2 0 0 0 0 0 0 4 0 0
si2_b03m_m200.08 0 0 0 0 0 0 2 1 0 0 0 0 0 4 0 0
si2_b03m_m200.06 0 0 0 0 0 0 2 1 0 0 0 0 0 4 0 0
si2_b03m_m200.02 0 0 0 0 0 0 2 1 6 1 0 0 0 4 0 0
si2_b03m_m200.09 0 0 0 0 0 0 1 1 0 0 0 0 0 4 0 0
si2_b03m_m200.04 0 0 0 0 0 0 2 1 0 0 0 0 0 4 0 0
si2_b03m_m200.01 0 0 0 0 0 0 2 0 155 3 0 0 0 4 0 0
si2_b03m_m200.07 0 0 0 0 0 0 2 0 0 0 0 0 0 4 0 0
si2_b09m_m400.09 0 0 0 0 0 1 13 2 0 5 0 0 0 4 0 0
si2_b09m_m400.03 0 0 0 0 0 1 20 5 0 7 0 0 0 4 0 0
si2_b09m_m400.01 0 0 0 0 0 0 15 2 0 5 0 0 0 4 0 0
si2_b09m_m400.08 0 0 0 0 0 1 16 3 26 24 0 0 0 4 0 0
si2_b09m_m400.05 0 0 0 0 0 2 11 10 0 11 0 0 0 4 0 0
si2_b09m_m400.06 0 0 0 0 0 1 15 2 0 4 0 0 0 4 0 0
si2_b09m_m400.00 0 0 0 0 0 1 17 4 0 4 0 0 0 4 0 0
si2_b09m_m400.02 0 0 0 0 0 1 14 4 0 5 0 0 0 4 0 0
si2_b09m_m400.04 0 0 0 0 0 1 16 4 0 6 0 0 0 4 0 0
si2_b09m_m400.07 0 0 0 0 0 1 9 4 0 5 0 0 0 4 0 0
si2_b09_m800.07 0 0 0 0 0 3 120 16 0 23 0 0 0 3 0 0
si2_b09_m800.04 0 0 0 0 0 4 96 16 0 23 0 0 0 3 0 0
si2_b09_m800.05 0 0 0 0 0 3 96 16 0 40 0 0 0 3 0 0
si2_b09_m800.00 0 0 0 0 0 5 95 16 0 40 0 0 0 3 0 0
si2_b09_m800.02 0 0 0 0 0 5 119 16 0 23 0 0 0 3 0 0
si2_b09_m800.01 0 0 0 0 0 3 95 16 0 36 0 0 0 3 0 0
si2_b09_m800.08 0 0 0 0 0 5 96 16 0 40 0 0 0 3 0 0
si2_b09_m800.09 0 0 0 0 0 3 96 16 0 23 0 0 0 3 0 0
si2_b09_m800.03 0 0 0 0 0 5 95 16 0 23 0 0 0 3 0 0
si2_b09_m800.06 0 0 0 0 0 3 96 29 0 40 0 0 0 3 0 0
si6_b03_m400.04 0 0 0 0 0 2 21 16 0 15 0 0 0 3 0 0
si6_b03_m400.09 0 0 0 0 0 1 38 9 0 15 0 0 0 3 0 0
si6_b03_m400.02 0 0 0 0 0 1 38 9 0 15 0 0 0 3 0 0
si6_b03_m400.06 0 0 0 0 0 2 38 9 0 15 0 0 0 3 0 0
si6_b03_m400.05 0 0 0 0 0 2 21 9 0 15 0 0 0 3 0 0
si6_b03_m400.08 0 0 0 0 0 1 40 16 0 15 0 0 0 3 0 0
si6_b03_m400.01 0 0 0 0 0 2 38 9 0 14 0 0 0 3 0 0
si6_b03_m400.07 0 0 0 0 0 1 21 16 0 15 0 0 0 3 0 0
si6_b03_m400.03 0 0 0 0 0 2 38 9 0 9 0 0 0 3 0 0
si6_b03_m400.00 0 0 0 0 0 2 37 9 0 14 0 0 0 3 0 0
si2_b09_m400.04 0 0 0 0 0 0 42 4 0 10 0 0 0 3 0 0
si2_b09_m400.08 0 0 0 0 0 1 42 4 0 10 0 0 0 3 0 0
si2_b09_m400.05 0 0 0 0 0 1 42 4 0 10 0 0 0 3 0 0
si2_b09_m400.01 0 0 0 0 0 1 43 4 0 9 0 0 0 3 0 0
si2_b09_m400.03 0 0 0 0 0 1 42 4 0 10 0 0 0 3 0 0
si2_b09_m400.02 0 0 0 0 0 0 42 4 0 10 0 0 0 3 0 0
si2_b09_m400.07 0 0 0 0 0 1 42 4 0 10 0 0 0 3 0 0
si2_b09_m400.09 0 0 0 0 0 0 42 4 0 10 0 0 0 3 0 0
si2_b09_m400.06 0 0 0 0 0 0 44 4 0 5 0 0 0 3 0 0
si2_b09_m400.00 0 0 0 0 0 1 24 7 0 9 0 0 0 3 0 0
si4_b06_m200.06 0 0 0 0 0 0 13 1 0 4 0 0 0 3 0 0
si4_b06_m200.03 0 0 0 0 0 0 12 1 0 4 0 0 0 3 0 0
si4_b06_m200.02 0 0 0 0 0 0 12 3 0 3 0 0 0 3 0 0
si4_b06_m200.07 0 0 0 0 0 0 13 3 0 3 0 0 0 3 0 0
si4_b06_m200.05 0 0 0 0 0 0 12 3 0 3 0 0 0 3 0 0
si4_b06_m200.08 0 0 0 0 0 0 13 3 0 3 0 0 0 3 0 0
si4_b06_m200.00 0 0 0 0 0 0 13 3 0 2 0 0 0 3 0 0
si4_b06_m200.04 0 0 0 0 0 0 13 3 0 3 0 0 0 3 0 0
si4_b06_m200.01 0 0 0 0 0 0 13 2 0 2 0 0 0 3 0 0
