instance mcsplit-si-ll mcsplit-si-dom mcsplit-si-dom-D1 mcsplit-si-dom-D2 mcsplit-si-static mcsplit-si-adjmat-dom glasgow glasgow-nosupp ri ri-ds vf3 static-then-dom dom-then-static family vbos vbmcsplit
all-images-CVIU11-pattern1-target22 0 0 0 0 0 54 132 44 0 141 0 0 0 14 0 0
all-images-CVIU11-pattern1-target23 0 0 0 0 0 167 267 76 0 258 0 0 0 14 0 0
all-images-CVIU11-pattern1-target24 0 0 0 0 0 20 39 19 0 135 0 0 0 14 0 0
all-images-CVIU11-pattern1-target25 0 0 0 0 0 51 120 32 0 151 0 0 0 14 0 0
all-images-CVIU11-pattern1-target26 0 0 0 0 0 30 67 42 0 153 0 0 0 14 0 0
all-images-CVIU11-pattern1-target27 0 0 0 0 0 101 202 57 0 208 0 0 0 14 0 0
all-images-CVIU11-pattern1-target28 0 0 0 0 0 20 52 22 0 101 0 0 0 14 0 0
all-images-CVIU11-pattern1-target29 0 0 1 1 0 209 516 114 0 468 0 0 0 14 0 0
all-images-CVIU11-pattern1-target3 0 0 0 0 0 133 276 74 0 283 0 0 0 14 0 0
all-images-CVIU11-pattern1-target30 0 0 0 0 0 155 330 88 0 295 0 0 0 14 0 0
all-images-CVIU11-pattern1-target31 0 0 0 0 0 160 252 73 0 237 0 0 0 14 0 0
all-images-CVIU11-pattern1-target32 1 0 0 1 0 239 516 172 0 373 0 0 0 14 0 0
all-images-CVIU11-pattern1-target33 0 0 0 1 0 222 522 167 0 341 0 0 0 14 0 0
all-images-CVIU11-pattern1-target34 0 0 0 0 0 131 199 66 0 200 0 0 0 14 0 0
all-images-CVIU11-pattern1-target35 0 0 0 1 1 211 445 106 0 364 0 1 0 14 0 0
all-images-CVIU11-pattern1-target36 0 0 0 0 0 64 137 88 0 198 0 0 0 14 0 0
all-images-CVIU11-pattern1-target37 0 0 1 1 0 190 524 160 0 369 0 0 0 14 0 0
all-images-CVIU11-pattern1-target38 1 0 0 0 0 180 367 97 0 310 0 0 0 14 0 0
all-images-CVIU11-pattern1-target39 0 0 0 0 0 96 197 86 0 227 0 0 0 14 0 0
all-images-CVIU11-pattern1-target4 0 0 0 0 0 111 259 71 0 242 0 0 0 14 0 0
all-images-CVIU11-pattern1-target40 0 0 0 0 0 98 240 69 0 267 0 0 0 14 0 0
all-images-CVIU11-pattern1-target41 0 0 0 0 0 108 227 53 0 333 0 0 0 14 0 0
all-images-CVIU11-pattern1-target42 0 0 0 0 0 98 229 62 0 191 0 0 0 14 0 0
all-images-CVIU11-pattern1-target43 1 0 0 0 1 157 344 90 0 254 0 1 0 14 0 0
all-images-CVIU11-pattern1-target44 1 1 0 0 0 236 475 141 0 377 0 0 1 14 0 0
all-images-CVIU11-pattern1-target45 1 0 1 0 0 210 470 163 0 381 0 0 0 14 0 0
all-images-CVIU11-pattern1-target46 0 0 0 0 0 99 228 71 0 263 0 0 0 14 0 0
all-images-CVIU11-pattern1-target47 0 1 0 1 0 167 365 169 0 276 0 0 1 14 0 0
all-images-CVIU11-pattern1-target48 0 0 0 0 0 55 167 46 0 170 0 0 0 14 0 0
all-images-CVIU11-pattern1-target49 0 0 0 0 0 97 217 99 0 232 0 0 0 14 0 0
all-images-CVIU11-pattern1-target5 0 0 0 0 0 179 363 95 0 262 0 0 0 14 0 0
all-images-CVIU11-pattern1-target50 0 0 0 0 1 193 411 107 0 368 0 1 0 14 0 0
all-images-CVIU11-pattern1-target51 0 0 0 0 0 75 196 57 0 208 0 0 0 14 0 0
all-images-CVIU11-pattern1-target52 0 0 0 0 0 78 178 60 0 264 0 0 0 14 0 0
all-images-CVIU11-pattern1-target53 0 0 0 0 0 64 113 40 0 197 0 0 0 14 0 0
all-images-CVIU11-pattern1-target54 0 0 0 0 0 52 121 46 0 162 0 0 0 14 0 0
all-images-CVIU11-pattern1-target55 0 0 0 0 0 44 112 74 0 171 0 0 0 14 0 0
all-images-CVIU11-pattern1-target56 0 0 0 0 0 50 105 32 0 148 0 0 0 14 0 0
all-images-CVIU11-pattern1-target57 0 0 0 0 0 234 520 131 0 335 0 0 0 14 0 0
all-images-CVIU11-pattern1-target58 0 0 0 0 0 50 148 36 0 194 0 0 0 14 0 0
all-images-CVIU11-pattern1-target59 0 0 0 0 0 173 381 82 0 327 0 0 0 14 0 0
all-images-CVIU11-pattern1-target6 0 0 0 1 1 158 351 97 0 331 0 1 0 14 0 0
all-images-CVIU11-pattern1-target60 0 0 0 0 0 81 257 59 0 199 0 0 0 14 0 0
all-images-CVIU11-pattern1-target61 1 0 0 0 0 155 320 87 0 280 0 0 0 14 0 0
all-images-CVIU11-pattern1-target62 0 0 0 0 1 212 375 96 0 288 0 1 0 14 0 0
all-images-CVIU11-pattern1-target63 0 0 0 0 0 128 265 81 0 270 0 0 0 14 0 0
all-images-CVIU11-pattern1-target64 0 0 0 0 0 91 198 109 0 305 0 0 0 14 0 0
all-images-CVIU11-pattern1-target65 0 0 0 0 0 81 184 59 0 253 0 0 0 14 0 0
all-images-CVIU11-pattern1-target66 0 0 0 0 0 67 115 41 0 141 0 0 0 14 0 0
all-images-CVIU11-pattern1-target67 0 0 0 0 1 178 404 130 0 313 0 1 0 14 0 0
all-images-CVIU11-pattern1-target68 1 0 0 0 0 207 509 101 0 351 0 0 0 14 0 0
all-images-CVIU11-pattern1-target69 0 1 1 1 0 232 559 111 0 313 0 0 1 14 0 0
all-images-CVIU11-pattern1-target7 1 0 0 1 0 156 342 130 0 302 0 0 0 14 0 0
all-images-CVIU11-pattern1-target70 0 0 0 0 0 179 406 88 0 295 0 0 0 14 0 0
all-images-CVIU11-pattern1-target71 0 0 0 0 0 149 292 79 0 328 0 0 0 14 0 0
all-images-CVIU11-pattern1-target72 0 0 0 0 0 131 282 114 0 261 0 0 0 14 0 0
all-images-CVIU11-pattern1-target73 0 0 0 0 0 182 410 172 0 323 0 0 0 14 0 0
all-images-CVIU11-pattern1-target74 1 0 0 0 1 223 448 153 0 328 0 1 0 14 0 0
all-images-CVIU11-pattern1-target75 0 0 0 0 0 215 435 94 0 282 0 0 0 14 0 0
all-images-CVIU11-pattern1-target76 0 1 0 1 0 249 505 103 0 307 0 0 1 14 0 0
all-images-CVIU11-pattern1-target77 0 1 0 0 0 260 442 111 0 351 0 0 1 14 0 0
all-images-CVIU11-pattern1-target78 0 0 1 0 1 199 511 110 0 316 0 1 0 14 0 0
all-images-CVIU11-pattern1-target79 0 0 0 0 0 36 90 33 0 136 0 0 0 14 0 0
all-images-CVIU11-pattern1-target8 0 0 0 0 0 82 170 53 0 224 0 0 0 14 0 0
all-images-CVIU11-pattern1-target80 0 0 0 0 0 49 180 43 0 184 0 0 0 14 0 0
all-images-CVIU11-pattern1-target81 0 0 0 0 0 81 187 55 0 223 0 0 0 14 0 0
all-images-CVIU11-pattern1-target82 0 0 0 0 0 142 329 68 0 295 0 0 0 14 0 0
all-images-CVIU11-pattern1-target83 1 0 0 0 0 147 262 76 0 256 0 0 0 14 0 0
all-images-CVIU11-pattern1-target84 0 0 0 0 0 7 26 13 0 86 0 0 0 14 0 0
all-images-CVIU11-pattern1-target85 0 0 0 0 0 149 369 89 0 286 0 0 0 14 0 0
all-images-CVIU11-pattern1-target86 0 0 0 0 0 92 212 57 0 226 0 0 0 14 0 0
all-images-CVIU11-pattern1-target87 0 0 0 0 0 82 186 54 0 303 0 0 0 14 0 0
all-images-CVIU11-pattern1-target88 1 0 0 0 0 142 439 82 0 263 0 0 0 14 0 0
all-images-CVIU11-pattern1-target89 0 0 0 0 0 52 145 41 0 202 0 0 0 14 0 0
all-images-CVIU11-pattern1-target9 0 0 0 0 0 76 177 52 0 309 0 0 0 14 0 0
all-images-CVIU11-pattern1-target90 0 0 0 0 0 31 73 29 0 112 0 0 0 14 0 0
all-images-CVIU11-pattern1-target91 0 0 0 0 0 11 65 17 0 105 0 0 0 14 0 0
all-images-CVIU11-pattern1-target92 0 1 0 0 0 208 456 114 0 362 0 0 1 14 0 0
all-images-CVIU11-pattern1-target93 0 0 0 0 0 104 212 127 0 213 0 0 0 14 0 0
all-images-CVIU11-pattern1-target94 0 0 0 0 0 149 309 89 0 286 0 0 0 14 0 0
all-images-CVIU11-pattern1-target95 0 0 0 0 0 16 45 19 0 105 0 0 0 14 0 0
all-images-CVIU11-pattern1-target96 0 0 0 0 0 57 180 39 0 175 0 0 0 14 0 0
all-images-CVIU11-pattern1-target97 0 0 0 0 0 58 136 42 0 135 0 0 0 14 0 0
all-images-CVIU11-pattern1-target98 0 0 0 0 0 37 66 50 0 99 0 0 0 14 0 0
all-images-CVIU11-pattern1-target99 0 0 0 0 0 124 359 121 0 302 0 0 0 14 0 0
